| **Attribute**        | **Split** | **MRR**       | **Hits@k (k, Value)** |
| -------------------- | --------- | ------------- | --------------------- |
| **bioActivity**      | 1st       | 0.590625      | 5: 0.675              |
|                      | 2nd       | 0.61399371    | 5: 0.68867925         |
|                      | 3rd       | 0.61190476    | 5: 0.67142857         |
|                      | 4th       | 0.65909091    | 5: 0.72727273         |
| **collectionSpecie** | 1st       | 0.83417853    | 50: 0.94354839        |
|                      | 2nd       | 0.87708804    | 50: 0.96296296        |
|                      | 3rd       | 0.88686414    | 50: 0.94444444        |
|                      | 4th       | 0.87149270    | 50: 0.92592593        |
| **collectionType**   | 1st       | 0.92241379    | 1: 0.92241379         |
|                      | 2nd       | 0.91566265    | 1: 0.91566265         |
|                      | 3rd       | 0.92857143    | 1: 0.92857143         |
|                      | 4th       | 0.96296296    | 1: 0.96296296         |
| **collectionSite**   | 1st       | 0.67691123    | 20: 0.81818182        |
|                      | 2nd       | 0.68248360    | 20: 0.76744186        |
|                      | 3rd       | 0.72719298    | 20: 0.84210526        |
|                      | 4th       | 0.81858974    | 20: 0.92307692        |
| **name**             | 1st       | 0.28720190    | 50: 0.60339943        |
|                      | 2nd       | 0.32887444    | 50: 0.58510638        |
|                      | 3rd       | 0.37087869    | 50: 0.60185185        |
|                      | 4th       | 0.39565841    | 50: 0.62790698        |
