true,restored,edge_type
"['10.1002/cbdv.200800342', 'Cytotoxic']","['10.1002/cbdv.200800342', ['Cytotoxic activity against human leukemia (MOLT-4), melanoma (MDA-MB-435), colon (HCT-8), and glyoblastoma (SF-295) cancer cell lines, and against L-929 (normal fibroblasts).', 'Cytotoxic activity against human tumor cell lines.', 'Cytotoxic activity against human tumor cell lines.', 'Cytotoxic activity against human tumor cell lines.', 'Cytotoxic activity against human tumor cell lines.', 'Strongest cytotoxicity against all tumor cell lines tested, compared to normal L-929 cells. Comparable with the positive control doxorubicin.', 'No cytotoxic activity to cancer cells, indicating that the presence of these CO groups at C(18) and C(19) is incompatible with the cytotoxic activity. Derived from degradation of casearin X in CDCl3.']]",doi_bioActivity
"['10.1002/ps.1278', 'Insecticidal']","['10.1002/ps.1278', ['Moderate larval weight loss in Spodoptera frugiperda after 10 days of treatment, suggesting some antifeedant or toxicity effect, but further details are not mentioned', 'Possible feeding deterrence causing larval weight loss in Spodoptera frugiperda', 'High larval mortality in Spodoptera frugiperda, suggest insecticidal or antifeedant properties', 'High larval mortality in Spodoptera frugiperda', ""Possible feeding deterrence causing larval weight loss in Spodoptera frugiperda similar to tannin's bioactivity""]]",doi_bioActivity
"['10.1016/S0031-9422(01)00431-9', 'Antifungal']","['10.1016/S0031-9422(01)00431-9', ['Antifungal activity against Cladosporium sphaerospermum', 'Antifungal activity against Cladosporium sphaerospermum', 'Antifungal activity against Cladosporium cladosporioides', 'Antifungal activity against Cladosporium cladosporioides', 'Antifungal activity against Cladosporium sphaerospermum', 'Antifungal activity against Cladosporium cladosporioides', 'Antifungal activity against Cladosporium cladosporioides', 'Antifungal activity against Cladosporium cladosporioides', 'Antifungal activity against Cladosporium sphaerospermum and Cladosporium cladosporioides', 'Antifungal activity against Cladosporium cladosporioides', 'Antifungal activity against Cladosporium cladosporioides', 'Antifungal activity against Cladosporium cladosporioides', 'Antifungal activity against Cladosporium cladosporioides']]",doi_bioActivity
"['10.1016/S0031-9422(03)00153-5', 'Antitrypanosomal']","['10.1016/S0031-9422(03)00153-5', ['In vitro activity against trypomastigote forms of Trypanosoma cruzi with IC50 value of 59.0 mg/mL', 'In vitro activity against trypomastigote forms of Trypanosoma cruzi with IC50 value of 90.2 mg/mL', 'In vitro activity against trypomastigote forms of Trypanosoma cruzi']]",doi_bioActivity
"['10.1016/S0031-9422(97)00238-0', 'Antifungal']","['10.1016/S0031-9422(97)00238-0', ['Antifungal activity against C. cladosporioides and C. esphaerospermum', 'Antifungal activity against C. cladosporioides and C. esphaerospermum']]",doi_bioActivity
"['10.1016/S0031-9422(97)00238-0', 'Antioxidant']","['10.1016/S0031-9422(97)00238-0', ['Antifungal activity against C. cladosporioides and C. esphaerospermum', 'Antifungal activity against C. cladosporioides and C. esphaerospermum']]",doi_bioActivity
"['10.1016/S0031-9422(97)00598-0', 'Antitrypanosomal']","['10.1016/S0031-9422(97)00598-0', []]",doi_bioActivity
"['10.1016/j.chroma.2009.02.066', 'Antifungal']","['10.1016/j.chroma.2009.02.066', ['Inhibition of symbiotic fungus (Leucoagaricus gongylophorus) of leaf-cutting ant (Atta sexdens rubropilosa)', 'Not explicitly stated in the provided content, further studies are mentioned for identification, mechanism, and transformation', 'Not explicitly mentioned', 'Not explicitly mentioned']]",doi_bioActivity
"['10.1016/j.micres.2004.06.003', 'Antibacterial']","['10.1016/j.micres.2004.06.003', [{'M. luteus': 'The MIC values against M. luteus was 99 mg/mL.', 'S. aureus': 'The MIC values against S. aureus was 137 mg/mL.'}]]",doi_bioActivity
"['10.1021/jf00030a035', 'Anticancer']","['10.1021/jf00030a035', ['Moderate cytotoxic activity against BT-20 breast and HeLa epithelioid cervix carcinoma cells', 'Moderate cytotoxic activity against BT-20 breast and HeLa epithelioid cervix carcinoma cells', 'Moderate cytotoxic activity against BT-20 breast and HeLa epithelioid cervix carcinoma cells']]",doi_bioActivity
