true,restored,edge_type
"['10.1002/cbdv.200800342', 'Cytotoxic']","['10.1002/cbdv.200800342', ['Cytotoxic activity against human leukemia (MOLT-4), melanoma (MDA-MB-435), colon (HCT-8), and glyoblastoma (SF-295) cancer cell lines, and against L-929 (normal fibroblasts).', 'Cytotoxic activity against human tumor cell lines.', 'Cytotoxic activity against human tumor cell lines.', 'Cytotoxic activity against human tumor cell lines.', 'Cytotoxic activity against human tumor cell lines.', 'Strongest cytotoxicity against all tumor cell lines tested, compared to normal L-929 cells. Comparable with the positive control doxorubicin.', 'No cytotoxic activity to cancer cells, indicating that the presence of these CO groups at C(18) and C(19) is incompatible with the cytotoxic activity. Derived from degradation of casearin X in CDCl3.']]",doi_bioActivity
"['10.1002/jobm.200800093', 'Cytotoxic']","['10.1002/jobm.200800093', ['Weak cytotoxic activity against tumor cell lines', 'Moderate cytotoxic activity against tumor cell lines when combined with Compound 5', 'Weak cytotoxic activity, potential synergy with Compound 4', 'Remarkable cytotoxic activity against tumor cell lines', 'Not mentioned', 'Cytotoxic activity not mentioned']]",doi_bioActivity
"['10.1002/ps.1278', 'Insecticidal']","['10.1002/ps.1278', ['Moderate larval weight loss in Spodoptera frugiperda after 10 days of treatment, suggesting some antifeedant or toxicity effect, but further details are not mentioned', 'Possible feeding deterrence causing larval weight loss in Spodoptera frugiperda', 'High larval mortality in Spodoptera frugiperda, suggest insecticidal or antifeedant properties', 'High larval mortality in Spodoptera frugiperda', ""Possible feeding deterrence causing larval weight loss in Spodoptera frugiperda similar to tannin's bioactivity""]]",doi_bioActivity
"['10.1016/0031-9422(81)80027-1', 'Anesthetic']","['10.1016/0031-9422(81)80027-1', ['Anesthetic action on the mucous membranes of the mouth', 'Responsible for anesthetic activity']]",doi_bioActivity
"['10.1016/0031-9422(90)80024-B', 'Molluscicidal']","['10.1016/0031-9422(90)80024-B', ['Inhibition of lettuce root and shoot growth at 500 ppm concentration. No molluscicidal activity.', 'Inhibition of lettuce root and shoot growth at 500 ppm concentration; Molluscicidal activity at 20 ppm against Biomphalaria glabrata.', 'Inhibition of lettuce root and shoot growth at 500 ppm concentration; Molluscicidal activity at 10 ppm against Biomphalaria glabrata.', 'Inhibition of lettuce root and shoot growth at 500 ppm concentration; Molluscicidal activity at 5 ppm against Biomphalaria glabrata.']]",doi_bioActivity
"['10.1016/0031-9422(91)85077-D', 'Antifungal']","['10.1016/0031-9422(91)85077-D', ['Inhibited the growth of Aspergillus niger, Cladosporium cladosporioides, and Colletotrichum gloeosporioides; fungitoxic properties']]",doi_bioActivity
"['10.1016/S0031-9422(00)00226-0', 'Antifungal']","['10.1016/S0031-9422(00)00226-0', ['Antifungal activity against Cladosporium sphaerospermum', 'Antifungal activity against Cladosporium sphaerospermum']]",doi_bioActivity
"['10.1016/S0031-9422(01)00079-6', 'Antifungal']","['10.1016/S0031-9422(01)00079-6', ['Potent inhibition against strains of Saccharomyces cerevisiae and fungi Cladosporium cladosporioides and C. sphaerospermum', 'Potent inhibition against strains of Saccharomyces cerevisiae and fungi Cladosporium cladosporioides and C. sphaerospermum', 'Potent inhibition against strains of Saccharomyces cerevisiae and fungi Cladosporium cladosporioides and C. sphaerospermum', 'Potent inhibition against strains of Saccharomyces cerevisiae and fungi Cladosporium cladosporioides and C. sphaerospermum; previously reported anticancer activity', 'Marginal activity against fungal growth of Cladosporium cladosporioides and C. sphaerospermum', 'Low or no activity against fungal growth of Cladosporium cladosporioides and C. sphaerospermum', 'Marginal activity against fungal growth of Cladosporium cladosporioides and C. sphaerospermum']]",doi_bioActivity
"['10.1016/S0031-9422(01)00079-6', 'Cytotoxic']","['10.1016/S0031-9422(01)00079-6', ['Potent inhibition against strains of Saccharomyces cerevisiae and fungi Cladosporium cladosporioides and C. sphaerospermum', 'Potent inhibition against strains of Saccharomyces cerevisiae and fungi Cladosporium cladosporioides and C. sphaerospermum', 'Potent inhibition against strains of Saccharomyces cerevisiae and fungi Cladosporium cladosporioides and C. sphaerospermum', 'Potent inhibition against strains of Saccharomyces cerevisiae and fungi Cladosporium cladosporioides and C. sphaerospermum; previously reported anticancer activity', 'Marginal activity against fungal growth of Cladosporium cladosporioides and C. sphaerospermum', 'Low or no activity against fungal growth of Cladosporium cladosporioides and C. sphaerospermum', 'Marginal activity against fungal growth of Cladosporium cladosporioides and C. sphaerospermum']]",doi_bioActivity
"['10.1016/S0031-9422(03)00153-5', 'Antitrypanosomal']","['10.1016/S0031-9422(03)00153-5', ['In vitro activity against trypomastigote forms of Trypanosoma cruzi with IC50 value of 59.0 mg/mL', 'In vitro activity against trypomastigote forms of Trypanosoma cruzi with IC50 value of 90.2 mg/mL', 'In vitro activity against trypomastigote forms of Trypanosoma cruzi']]",doi_bioActivity
