true,restored,edge_type
"['10.1002/hlca.200890147', 'Plant Isolated']","['10.1002/hlca.200890147', ['Isolation', 'Isolation', 'Isolation', 'Isolation', 'Isolation']]",doi_collectionType
"['10.1002/jobm.200800093', 'Microorganism isolated']","['10.1002/jobm.200800093', ['Fungal isolate from Smallanthus sonchifolius', 'Fungal isolate from Smallanthus sonchifolius', 'Fungal isolate from Smallanthus sonchifolius', 'Fungal isolate from Smallanthus sonchifolius', 'Fungal isolate from Smallanthus sonchifolius', 'Fungal isolates from Smallanthus sonchifolius']]",doi_collectionType
"['10.1002/ps.1278', 'Plant Isolated']","['10.1002/ps.1278', []]",doi_collectionType
"['10.1002/ptr.1249', 'Plant Isolated']","['10.1002/ptr.1249', []]",doi_collectionType
"['10.1016/0031-9422(73)85048-4', 'Plant Isolated']","['10.1016/0031-9422(73)85048-4', []]",doi_collectionType
"['10.1016/0031-9422(90)80024-B', 'Plant Isolated']","['10.1016/0031-9422(90)80024-B', []]",doi_collectionType
"['10.1016/S0014-5793(02)02700-X', 'Plant Isolated']","['10.1016/S0014-5793(02)02700-X', ['The molecule chalepin was isolated through extraction using organic solvents and various chromatographic techniques.']]",doi_collectionType
"['10.1016/S0031-9422(00)00226-0', 'Plant Isolated']","['10.1016/S0031-9422(00)00226-0', []]",doi_collectionType
"['10.1016/S0031-9422(00)00323-X', 'Plant Isolated']","['10.1016/S0031-9422(00)00323-X', []]",doi_collectionType
"['10.1016/S0031-9422(00)00477-5', 'Plant Isolated']","['10.1016/S0031-9422(00)00477-5', ['natural source', 'natural source', 'natural source', 'natural source', 'natural source', 'natural source']]",doi_collectionType
"['10.1016/S0031-9422(01)00431-9', 'Plant Isolated']","['10.1016/S0031-9422(01)00431-9', []]",doi_collectionType
"['10.1016/S0031-9422(03)00153-5', 'Plant Isolated']","['10.1016/S0031-9422(03)00153-5', []]",doi_collectionType
"['10.1016/S0031-9422(97)00238-0', 'Plant Isolated']","['10.1016/S0031-9422(97)00238-0', []]",doi_collectionType
"['10.1016/S0031-9422(97)00598-0', 'Plant Isolated']","['10.1016/S0031-9422(97)00598-0', []]",doi_collectionType
"['10.1016/S0031-9422(98)00069-7', 'Plant Isolated']","['10.1016/S0031-9422(98)00069-7', []]",doi_collectionType
"['10.1016/S0031-9422(98)00249-0', 'Plant Isolated']","['10.1016/S0031-9422(98)00249-0', []]",doi_collectionType
"['10.1016/S0031-9422(99)00132-6', 'Plant Isolated']","['10.1016/S0031-9422(99)00132-6', ['Natural isolate', 'Natural isolate']]",doi_collectionType
"['10.1016/j.biortech.2010.01.041', 'Biotransformation Product']","['10.1016/j.biortech.2010.01.041', ['Biotransformation Product', 'Biotransformation Product']]",doi_collectionType
"['10.1016/j.bmc.2010.12.056', 'Plant Isolated']","['10.1016/j.bmc.2010.12.056', ['Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark']]",doi_collectionType
