true,restored,edge_type
"['10.1002/hlca.200890147', 'Antifungal']","['10.1002/hlca.200890147', ['Moderate antifungal activities against Candida albicans and C. krusei', 'Moderate antifungal activities against Candida albicans and C. krusei', 'Moderate antifungal activities against Candida albicans and C. krusei', 'Moderate antifungal activities against Candida albicans and C. krusei', 'Moderate antifungal activities against Candida albicans and C. krusei']]",doi_bioActivity
"['10.1002/jobm.200800093', 'Cytotoxic']","['10.1002/jobm.200800093', ['Weak cytotoxic activity against tumor cell lines', 'Moderate cytotoxic activity against tumor cell lines when combined with Compound 5', 'Weak cytotoxic activity, potential synergy with Compound 4', 'Remarkable cytotoxic activity against tumor cell lines', 'Not mentioned', 'Cytotoxic activity not mentioned']]",doi_bioActivity
"['10.1002/ps.478', 'Insecticidal']","['10.1002/ps.478', ['Growth inhibiting activity by stomach ingesting, insecticidal against Anticarsia gemmatalis and Spodoptera frugiperda']]",doi_bioActivity
"['10.1007/s10295-012-1165-2', 'Cytotoxic']","['10.1007/s10295-012-1165-2', ['Cytotoxic; anti-inflammatory; antifeedant activities.', 'Cytotoxic; similar activity against HL-60 cells as Tagitinin C.']]",doi_bioActivity
"['10.1016/0031-9422(73)85048-4', 'Antitrypanosomal']","['10.1016/0031-9422(73)85048-4', []]",doi_bioActivity
"['10.1016/0031-9422(81)80027-1', 'Anesthetic']","['10.1016/0031-9422(81)80027-1', ['Anesthetic action on the mucous membranes of the mouth', 'Responsible for anesthetic activity']]",doi_bioActivity
"['10.1016/0031-9422(90)80024-B', 'Molluscicidal']","['10.1016/0031-9422(90)80024-B', ['Inhibition of lettuce root and shoot growth at 500 ppm concentration. No molluscicidal activity.', 'Inhibition of lettuce root and shoot growth at 500 ppm concentration; Molluscicidal activity at 20 ppm against Biomphalaria glabrata.', 'Inhibition of lettuce root and shoot growth at 500 ppm concentration; Molluscicidal activity at 10 ppm against Biomphalaria glabrata.', 'Inhibition of lettuce root and shoot growth at 500 ppm concentration; Molluscicidal activity at 5 ppm against Biomphalaria glabrata.']]",doi_bioActivity
"['10.1016/0040-4020(95)00254-6', 'Cytotoxic']","['10.1016/0040-4020(95)00254-6', ['Active in a mechanism-based DNA-modifying yeast assay and cytotoxic in Vero monkey and Chinese hamster ovary cell assays', 'Moderately active in Vero monkey and Chinese hamster ovary cell cytotoxicity assays', 'Unknown specific bioactivity from the provided data', 'Assumed bioactive but no specific bioactivity profile provided', 'Assumed bioactive but no specific bioactivity profile provided', 'Unknown specific bioactivity from the provided data', 'Assumed bioactive but no specific bioactivity profile provided']]",doi_bioActivity
"['10.1016/S0031-9422(00)00225-9', 'Antifungal']","['10.1016/S0031-9422(00)00225-9', ['Antibacterial and antifungal activity', 'Antibacterial and antifungal activity', 'Inhibited only S. aureus and C. albicans', 'Inhibited only S. aureus and C. albicans', 'Inhibited only S. aureus and C. albicans']]",doi_bioActivity
"['10.1016/S0031-9422(00)00226-0', 'Antifungal']","['10.1016/S0031-9422(00)00226-0', ['Antifungal activity against Cladosporium sphaerospermum', 'Antifungal activity against Cladosporium sphaerospermum']]",doi_bioActivity
"['10.1016/S0031-9422(00)00248-X', 'Antitrypanosomal']","['10.1016/S0031-9422(00)00248-X', ['weak inhibitor', 'weak inhibitor', 'weak inhibitor', 'not specified', 'comparable to mixture of Molecule_6 and Molecule_7 in inhibiting enzymatic activity by 99% at 100 mg/ml, IC50 value of 81 µM', 'part of mixture with Molecule_7; completely inhibited enzymatic activity (by 100%) at 100 mg/ml', 'part of mixture with Molecule_6; completely inhibited enzymatic activity (by 100%) at 100 mg/ml']]",doi_bioActivity
