true,restored,edge_type
"['10.1002/cbdv.200590016', 'Sao Carlos/SP']","['10.1002/cbdv.200590016', []]",doi_collectionSite
"['10.1002/hlca.200890147', 'Apore/GO']","['10.1002/hlca.200890147', ['Apore, GO, Brazil', 'Apore, GO, Brazil']]",doi_collectionSite
"['10.1002/jobm.200800093', 'Ribeirao Preto/SP, Nigrospora sphaerica']","['10.1002/jobm.200800093', ['Ribeirão Preto, State of São Paulo, Brazil', 'Ribeirão Preto, State of São Paulo, Brazil', 'Ribeirão Preto, State of São Paulo, Brazil', 'Ribeirão Preto, State of São Paulo, Brazil', 'Ribeirão Preto, State of São Paulo, Brazil', 'Ribeirão Preto, State of São Paulo, Brazil']]",doi_collectionSite
"['10.1002/jobm.200800093', 'Ribeirao Preto/SP']","['10.1002/jobm.200800093', ['Ribeirão Preto, State of São Paulo, Brazil', 'Ribeirão Preto, State of São Paulo, Brazil', 'Ribeirão Preto, State of São Paulo, Brazil', 'Ribeirão Preto, State of São Paulo, Brazil', 'Ribeirão Preto, State of São Paulo, Brazil', 'Ribeirão Preto, State of São Paulo, Brazil']]",doi_collectionSite
"['10.1002/ps.1278', 'Pocos De Caldas/MG']","['10.1002/ps.1278', ['Poços de Caldas, Minas Gerais, Brazil', 'Poços de Caldas, Minas Gerais, Brazil', 'Poços de Caldas, Minas Gerais, Brazil', 'Poços de Caldas, Minas Gerais, Brazil', 'Poços de Caldas, Minas Gerais, Brazil', 'Poços de Caldas, Minas Gerais, Brazil', 'Poços de Caldas, Minas Gerais, Brazil']]",doi_collectionSite
"['10.1002/ptr.1249', 'Ribeirao Preto/SP']","['10.1002/ptr.1249', ['Ribeirão Preto, São Paulo', 'Ribeirão Preto, São Paulo', 'Ribeirão Preto, São Paulo', 'Ribeirão Preto, São Paulo', 'Ribeirão Preto, São Paulo']]",doi_collectionSite
"['10.1007/s10295-012-1165-2', 'N/A/MS']","['10.1007/s10295-012-1165-2', ['Ribeirão Preto, Brazil', 'Mato Grosso do Sul State, Brazil']]",doi_collectionSite
"['10.1007/s10295-012-1165-2', 'Ribeirao Preto/SP']","['10.1007/s10295-012-1165-2', ['Ribeirão Preto, Brazil', 'Mato Grosso do Sul State, Brazil']]",doi_collectionSite
"['10.1016/0031-9422(73)85048-4', 'N/A/AM']","['10.1016/0031-9422(73)85048-4', ['Flooded banks of the Amazon river and its tributaries', 'Flooded banks of the Amazon river and its tributaries', 'Flooded banks of the Amazon river and its tributaries', 'Flooded banks of the Amazon river and its tributaries', 'Flooded banks of the Amazon river and its tributaries', 'Flooded banks of the Amazon river and its tributaries', 'Flooded banks of the Amazon river and its tributaries', 'Flooded banks of the Amazon river and its tributaries', 'Flooded banks of the Amazon river and its tributaries']]",doi_collectionSite
"['10.1016/0031-9422(90)80024-B', 'N/A/MG']","['10.1016/0031-9422(90)80024-B', ['Minas Gerais, Brazil', 'Minas Gerais, Brazil', 'Minas Gerais, Brazil', 'Minas Gerais, Brazil']]",doi_collectionSite
"['10.1016/S0014-5793(02)02700-X', 'Araraquara/SP']","['10.1016/S0014-5793(02)02700-X', ['The geographical origin of the collection site is not specified in the provided text.']]",doi_collectionSite
"['10.1016/S0031-9422(00)00225-9', 'Mogi Guacu/SP']","['10.1016/S0031-9422(00)00225-9', ['Campininha Farm, Mogi-Guacu, SP, Brazil', 'Campininha Farm, Mogi-Guacu, SP, Brazil', 'Campininha Farm, Mogi-Guacu, SP, Brazil', 'Campininha Farm, Mogi-Guacu, SP, Brazil', 'Campininha Farm, Mogi-Guacu, SP, Brazil']]",doi_collectionSite
"['10.1016/S0031-9422(00)00226-0', 'Teodoro Sampaio/SP']","['10.1016/S0031-9422(00)00226-0', ['Parque Estadual do Morro do Diabo, Teodoro Sampaio, SP, Brazil', 'Campus do INPA, Manaus, Brazil']]",doi_collectionSite
"['10.1016/S0031-9422(00)00226-0', 'Manaus/AM']","['10.1016/S0031-9422(00)00226-0', ['Parque Estadual do Morro do Diabo, Teodoro Sampaio, SP, Brazil', 'Campus do INPA, Manaus, Brazil']]",doi_collectionSite
"['10.1016/S0031-9422(00)00248-X', 'N/A/ES']","['10.1016/S0031-9422(00)00248-X', ['Espirito Santo, Brazil', 'Espirito Santo, Brazil', 'Espirito Santo, Brazil', 'Espirito Santo, Brazil', 'Espirito Santo, Brazil', 'Espirito Santo, Brazil', 'Espirito Santo, Brazil']]",doi_collectionSite
"['10.1016/S0031-9422(00)00323-X', 'Ibirama/SC']","['10.1016/S0031-9422(00)00323-X', ['San José de la Montaña, Costa Rica', 'San José de la Montaña, Costa Rica', 'San José de la Montaña, Costa Rica', 'San José de la Montaña, Costa Rica']]",doi_collectionSite
"['10.1016/S0031-9422(00)00477-5', 'Belem/PA']","['10.1016/S0031-9422(00)00477-5', ['Amazon Forest, Mocambo, Paraense Emilio Goeldi Museum', 'Amazon Forest, Mocambo, Paraense Emilio Goeldi Museum', 'Amazon Forest, Mocambo, Paraense Emilio Goeldi Museum', 'Amazon Forest, Mocambo, Paraense Emilio Goeldi Museum']]",doi_collectionSite
"['10.1016/S0031-9422(01)00079-6', 'Sao Paulo/SP']","['10.1016/S0031-9422(01)00079-6', ['Instituto Butantã Reserve, São Paulo', 'Instituto Butantã Reserve, São Paulo', 'Instituto Butantã Reserve, São Paulo', 'Instituto Butantã Reserve, São Paulo', 'Instituto Butantã Reserve, São Paulo', 'Instituto Butantã Reserve, São Paulo', 'Instituto Butantã Reserve, São Paulo']]",doi_collectionSite
"['10.1016/S0031-9422(03)00153-5', 'Manaus/AM']","['10.1016/S0031-9422(03)00153-5', ['Manaus, Brazil', 'Manaus, Brazil', 'Manaus, Brazil']]",doi_collectionSite
"['10.1016/S0031-9422(97)00598-0', 'Sao Carlos/SP']","['10.1016/S0031-9422(97)00598-0', ['São Carlos, SP, Brazil', 'São Carlos, SP, Brazil', 'São Carlos, SP, Brazil', 'São Carlos, SP, Brazil', 'São Carlos, SP, Brazil', 'São Carlos, SP, Brazil', 'São Carlos, SP, Brazil', 'São Carlos, SP, Brazil', 'São Carlos, SP, Brazil', 'São Carlos, SP, Brazil']]",doi_collectionSite
"['10.1016/S0031-9422(98)00069-7', 'Corumba/MS']","['10.1016/S0031-9422(98)00069-7', ['Corumba, Mato Grosso do Sul, Brazil']]",doi_collectionSite
