true,restored,edge_type
"['10.1002/cbdv.200590016', 'Sao Carlos/SP']","['10.1002/cbdv.200590016', []]",doi_collectionSite
"['10.1002/ps.1278', 'Pocos De Caldas/MG']","['10.1002/ps.1278', ['Poços de Caldas, Minas Gerais, Brazil', 'Poços de Caldas, Minas Gerais, Brazil', 'Poços de Caldas, Minas Gerais, Brazil', 'Poços de Caldas, Minas Gerais, Brazil', 'Poços de Caldas, Minas Gerais, Brazil', 'Poços de Caldas, Minas Gerais, Brazil', 'Poços de Caldas, Minas Gerais, Brazil']]",doi_collectionSite
"['10.1016/j.chroma.2009.02.009', 'Itacoatiara/AM']","['10.1016/j.chroma.2009.02.009', ['Forest Reserve Adolpho Ducke, Itacoatiara, Amazonas state, Brazil', 'Forest Reserve Adolpho Ducke, Itacoatiara, Amazonas state, Brazil', 'Forest Reserve Adolpho Ducke, Itacoatiara, Amazonas state, Brazil', 'Forest Reserve Adolpho Ducke, Itacoatiara, Amazonas state, Brazil', 'Forest Reserve Adolpho Ducke, Itacoatiara, Amazonas state, Brazil', 'Forest Reserve Adolpho Ducke, Itacoatiara, Amazonas state, Brazil']]",doi_collectionSite
"['10.1016/j.jchromb.2012.07.013', 'Sao Carlos/SP']","['10.1016/j.jchromb.2012.07.013', ['São Carlos, SP, Brazil', 'São Carlos, SP, Brazil', 'São Carlos, SP, Brazil']]",doi_collectionSite
"['10.1016/j.jep.2007.09.020', 'Pocos De Caldas/MG']","['10.1016/j.jep.2007.09.020', ['Poços de Caldas, Minas Gerais State, Brazil', 'Poços de Caldas, Minas Gerais State, Brazil', 'Poços de Caldas, Minas Gerais State, Brazil', 'Poços de Caldas, Minas Gerais State, Brazil', 'Poços de Caldas, Minas Gerais State, Brazil', 'Poços de Caldas, Minas Gerais State, Brazil', 'Poços de Caldas, Minas Gerais State, Brazil', 'Poços de Caldas, Minas Gerais State, Brazil', 'Poços de Caldas, Minas Gerais State, Brazil']]",doi_collectionSite
"['10.1016/j.jfca.2003.09.013', 'N/A/SP']","['10.1016/j.jfca.2003.09.013', []]",doi_collectionSite
"['10.1016/j.jpba.2012.08.028', 'Sao Paulo/SP']","['10.1016/j.jpba.2012.08.028', []]",doi_collectionSite
"['10.1016/j.jphotobiol.2013.01.006', 'Sao Paulo/SP']","['10.1016/j.jphotobiol.2013.01.006', ['Brazil', 'Brazil', 'Brazil', 'Brazil', 'Brazil']]",doi_collectionSite
"['10.1016/j.tiv.2008.01.003', 'Ribeirao Preto/SP']","['10.1016/j.tiv.2008.01.003', [""Extracted from the dried and powdered root bark of M. ilicifolia'""]]",doi_collectionSite
"['10.1021/jf00030a035', 'N/A/CE']","['10.1021/jf00030a035', ['São Paulo, São Carlos, and Rio de Janeiro, Brazil', 'São Paulo, São Carlos, and Rio de Janeiro, Brazil', 'São Paulo, São Carlos, and Rio de Janeiro, Brazil']]",doi_collectionSite
"['10.1021/jf60217a066', 'Igarape-acu/PA']","['10.1021/jf60217a066', ['Northeast Brazil, specifically state of Ceará', 'Northeast Brazil, specifically state of Ceará', 'Northeast Brazil, specifically state of Ceará', 'Northeast Brazil, specifically state of Ceará', 'Northeast Brazil, specifically state of Ceará']]",doi_collectionSite
"['10.1021/np4006822', 'N/A/PE']","['10.1021/np4006822', ['Federal University of Pernambuco, Brazil', 'Federal University of Pernambuco, Brazil', 'Federal University of Pernambuco, Brazil', 'Federal University of Pernambuco, Brazil', 'Federal University of Pernambuco, Brazil', 'Federal University of Pernambuco, Brazil', 'Federal University of Pernambuco, Brazil', 'Federal University of Pernambuco, Brazil', 'Federal University of Pernambuco, Brazil']]",doi_collectionSite
"['10.1021/np9703656', 'Teodoro Sampaio/SP']","['10.1021/np9703656', ['Parque Estadual do Morro do Diabo, Teodoro Sampaio, SP, Brazil', 'Parque Estadual do Morro do Diabo, Teodoro Sampaio, SP, Brazil', 'Parque Estadual do Morro do Diabo, Teodoro Sampaio, SP, Brazil']]",doi_collectionSite
"['10.1055/s-0028-1088323', 'Sao Carlos/SP']","['10.1055/s-0028-1088323', ['São Carlos-SP, Brazil', 'São Carlos-SP, Brazil', 'São Carlos-SP, Brazil', 'São Carlos-SP, Brazil', 'São Carlos-SP, Brazil', 'São Carlos-SP, Brazil', 'São Carlos-SP, Brazil', 'São Carlos-SP, Brazil', 'São Carlos-SP, Brazil', 'São Carlos-SP, Brazil', 'São Carlos-SP, Brazil', 'São Carlos-SP, Brazil', 'São Carlos-SP, Brazil', 'São Carlos-SP, Brazil', 'São Carlos-SP, Brazil', 'São Carlos-SP, Brazil', 'São Carlos-SP, Brazil', 'São Carlos-SP, Brazil', 'São Carlos-SP, Brazil', 'São Carlos-SP, Brazil']]",doi_collectionSite
"['10.1055/s-2002-36346', 'Recife/PE']","['10.1055/s-2002-36346', ['Araraquara/SP, Brazil', 'Araraquara/SP, Brazil', 'Araraquara/SP, Brazil', 'Araraquara/SP, Brazil']]",doi_collectionSite
"['10.1080/14786410903335232', 'Mogi Guacu/SP']","['10.1080/14786410903335232', ['Biological Reserve and Experimental Station at Mogi Guacu, Sao Paulo State, Brazil']]",doi_collectionSite
