true,restored,edge_type
"['10.1016/S0031-9422(01)00079-6', 'Petiveria alliacea (Phytolaccaceae)']","['10.1016/S0031-9422(01)00079-6', ['Petiveria alliacea L. (Phytolacaceae)', 'Petiveria alliacea L. (Phytolacaceae)', 'Petiveria alliacea L. (Phytolacaceae)', 'Petiveria alliacea L. (Phytolacaceae)', 'Petiveria alliacea L. (Phytolacaceae)', 'Petiveria alliacea L. (Phytolacaceae)', 'Petiveria alliacea L. (Phytolacaceae)']]",doi_collectionSpecie
"['10.1016/S0031-9422(03)00153-5', 'Calycophyllum spruceanum (Rubiaceae)']","['10.1016/S0031-9422(03)00153-5', ['Calycophyllum spruceanum (Rubiaceae)', 'Calycophyllum spruceanum (Rubiaceae)', 'Calycophyllum spruceanum (Rubiaceae)']]",doi_collectionSpecie
"['10.1016/j.bmc.2010.12.056', 'Swinglea glutinosa']","['10.1016/j.bmc.2010.12.056', ['Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)']]",doi_collectionSpecie
"['10.1016/j.jep.2007.09.020', 'Vitex polygama (Verbenaceae)']","['10.1016/j.jep.2007.09.020', ['Vitex polygama Cham. (Lamiaceae)', 'Vitex polygama Cham. (Lamiaceae)', 'Vitex polygama Cham. (Lamiaceae)', 'Vitex polygama Cham. (Lamiaceae)', 'Vitex polygama Cham. (Lamiaceae)', 'Vitex polygama Cham. (Lamiaceae)', 'Vitex polygama Cham. (Lamiaceae)', 'Vitex polygama Cham. (Lamiaceae)', 'Vitex polygama Cham. (Lamiaceae)']]",doi_collectionSpecie
"['10.1016/j.jfca.2003.09.013', 'Citrus sp. (Rutaceae)']","['10.1016/j.jfca.2003.09.013', ['Citrus species', 'Citrus species', 'Citrus species', 'Citrus species', 'Citrus species', 'Citrus species']]",doi_collectionSpecie
"['10.1021/cc100076k', 'Vitex polygama (Verbenaceae)']","['10.1021/cc100076k', ['Vitex polygama (Verbenaceae)', 'Lonchocarpus subglaucescens (Leguminoseae)']]",doi_collectionSpecie
"['10.1021/np030100t', 'Arrabidaea samydoides (Bignoniaceae)']","['10.1021/np030100t', ['Arrabidaea samydoides', 'Arrabidaea samydoides', 'Arrabidaea samydoides', 'Arrabidaea samydoides', 'Arrabidaea samydoides', 'Arrabidaea samydoides']]",doi_collectionSpecie
"['10.1021/np4006822', 'Mycoleptodiscus indicus']","['10.1021/np4006822', ['Mycoleptodiscus indicus', 'Mycoleptodiscus indicus', 'Mycoleptodiscus indicus', 'Mycoleptodiscus indicus', 'Mycoleptodiscus indicus', 'Mycoleptodiscus indicus', 'Mycoleptodiscus indicus', 'Mycoleptodiscus indicus', 'Mycoleptodiscus indicus']]",doi_collectionSpecie
"['10.1021/np900644x', 'Senna multijuga (Fabaceae)']","['10.1021/np900644x', ['Senna multijuga (Fabaceae)', 'Senna multijuga (Fabaceae)']]",doi_collectionSpecie
"['10.1021/np9703656', 'Piper hispidum (Piperaceae)']","['10.1021/np9703656', ['Piper hispidum (Piperaceae)', 'Piper hispidum (Piperaceae)', 'Piper hispidum (Piperaceae)']]",doi_collectionSpecie
"['10.1055/s-0028-1088323', 'Cedrela fissilis']","['10.1055/s-0028-1088323', ['Cedrela fissilis', 'Cedrela fissilis', 'Cedrela fissilis', 'Cedrela fissilis', 'Cedrela fissilis', 'Cedrela fissilis', 'Cedrela fissilis', 'Cedrela fissilis', 'Cedrela fissilis', 'Cedrela fissilis', 'Cedrela fissilis', 'Cedrela fissilis', 'Cedrela fissilis', 'Cedrela fissilis', 'Cedrela fissilis', 'Cedrela fissilis', 'Cedrela fissilis', 'Cedrela fissilis', 'Cedrela fissilis', 'Cedrela fissilis']]",doi_collectionSpecie
"['10.1055/s-0034-1368301', 'Nigrospora sphaerica']","['10.1055/s-0034-1368301', ['Papulaspora immersa (Chaetomiaceae)', 'Nigrospora sphaerica (Trichosphaeriaceae)']]",doi_collectionSpecie
"['10.1055/s-2002-36346', 'Stemodia foliosa (Scrophulariaceae)']","['10.1055/s-2002-36346', ['Stemodia foliosa', 'Stemodia foliosa', 'Stemodia foliosa', 'Stemodia foliosa']]",doi_collectionSpecie
"['10.1080/14786410412331271979', 'Styrax camporum (Styracaceae)']","['10.1080/14786410412331271979', ['Styrax camporum (Styracaceae)', 'Styrax camporum (Styracaceae)', 'Styrax camporum (Styracaceae)']]",doi_collectionSpecie
"['10.1080/14786410903335232', 'Alchornea glandulosa (Euphorbiaceae)']","['10.1080/14786410903335232', ['Alchornea glandulosa (Euphorbiaceae)', 'Synthesized from gallic acid', 'Synthesized from gallic acid', 'Synthesized from gallic acid', 'Synthesized from gallic acid', 'Synthesized from gallic acid', 'Synthesized from gallic acid', 'Synthesized from gallic acid', 'Synthesized from gallic acid']]",doi_collectionSpecie
"['10.1107/S1600536803019913', 'Adiscanthus fusciflorus']","['10.1107/S1600536803019913', ['Adiscanthus fusciflorus (Rutaceae)']]",doi_collectionSpecie
"['10.1515/znc-2008-5-611', 'Vitex polygama (Verbenaceae)']","['10.1515/znc-2008-5-611', ['Siphoneugena densiflora O. Berg', 'Siphoneugena densiflora O. Berg', 'Siphoneugena densiflora O. Berg', 'Siphoneugena densiflora O. Berg', 'Siphoneugena densiflora O. Berg', 'Siphoneugena densiflora O. Berg', 'Siphoneugena densiflora O. Berg', 'Siphoneugena densiflora O. Berg', 'Siphoneugena densiflora O. Berg', 'Siphoneugena densiflora O. Berg', 'Siphoneugena densiflora O. Berg', 'Siphoneugena densiflora O. Berg', 'Siphoneugena densiflora O. Berg', 'Vitex polygama Cham.', 'Vitex polygama Cham.', 'Vitex polygama Cham.', 'Vitex polygama Cham.', 'Vitex polygama Cham.', 'Vitex polygama Cham.', 'Vitex polygama Cham.', 'Vitex polygama Cham.', 'Vitex polygama Cham.', 'Vitex polygama Cham.', 'Vitex polygama Cham.', 'Vitex polygama Cham.', 'Vitex polygama Cham.', 'Vitex polygama Cham.']]",doi_collectionSpecie
"['10.1590/S0100-40422005000400009', 'Tocoyena brasiliensis (Rubiaceae)']","['10.1590/S0100-40422005000400009', ['Tocoyena brasiliensis Mart. (Rubiaceae)', 'Tocoyena brasiliensis Mart. (Rubiaceae)', 'Tocoyena brasiliensis Mart. (Rubiaceae)', 'Tocoyena brasiliensis Mart. (Rubiaceae)', 'Tocoyena brasiliensis Mart. (Rubiaceae)']]",doi_collectionSpecie
"['10.1590/S0100-40422008000400018', 'Pterogyne nitens (Fabaceae)']","['10.1590/S0100-40422008000400018', ['Pterogyne nitens', 'Pterogyne nitens', 'Pterogyne nitens', 'Pterogyne nitens', 'Pterogyne nitens', 'Pterogyne nitens', 'Pterogyne nitens', 'Pterogyne nitens', 'Pterogyne nitens', 'Pterogyne nitens', 'Pterogyne nitens']]",doi_collectionSpecie
"['10.1590/S0100-40422008000400023', 'Swartzia langsdorfii (Fabaceae)']","['10.1590/S0100-40422008000400023', ['Swartzia langsdorffii', 'Swartzia langsdorffii', 'Swartzia langsdorffii', 'Swartzia langsdorffii']]",doi_collectionSpecie
"['10.1590/S0100-40422010001000006', 'Xylaria sp. (Xylariaceae)']","['10.1590/S0100-40422010001000006', ['Xylaria sp. (associated with Piper aduncum)', 'Xylaria sp. (associated with Piper aduncum)', 'Xylaria sp. (associated with Piper aduncum)', 'Xylaria sp. (associated with Piper aduncum)', 'Xylaria sp. (associated with Piper aduncum)', 'Xylaria sp. (associated with Piper aduncum)']]",doi_collectionSpecie
"['10.1590/S0102-695X2009000100002', 'Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)']","['10.1590/S0102-695X2009000100002', ['Cipadessa fruticosa', 'Cipadessa fruticosa', 'Cipadessa fruticosa']]",doi_collectionSpecie
"['10.1590/S0103-50532006000300017', 'Cedrela fissilis']","['10.1590/S0103-50532006000300017', ['Cedrela fissilis', 'Carapa guianensis', 'Carapa guianensis', 'Cedrela fissilis', 'Carapa guianensis', 'Cedrela fissilis', 'Carapa guianensis', 'Carapa guianensis']]",doi_collectionSpecie
"['10.1590/S0103-50532009000400008', 'Swinglea glutinosa']","['10.1590/S0103-50532009000400008', ['Swinglea glutinosa (Bl.) Merr.', 'Swinglea glutinosa (Bl.) Merr.', 'Swinglea glutinosa (Bl.) Merr.']]",doi_collectionSpecie
