true,restored,edge_type
"['10.1002/cbdv.200590016', 'Salacia campestris (Celastraceae)']","['10.1002/cbdv.200590016', []]",doi_collectionSpecie
"['10.1002/ptr.1249', 'Maytenus aquifolium (Celastraceae)']","['10.1002/ptr.1249', ['Maytenus aquifolium (Celastraceae)', 'Maytenus aquifolium (Celastraceae)', 'Maytenus aquifolium (Celastraceae)', 'Maytenus aquifolium (Celastraceae)', 'Maytenus aquifolium (Celastraceae)']]",doi_collectionSpecie
"['10.1016/0031-9422(90)80024-B', 'Galipea bracteata (Rutaceae)']","['10.1016/0031-9422(90)80024-B', ['Galipea bracteata', 'Galipea bracteata', 'Galipea bracteata', 'Galipea bracteata']]",doi_collectionSpecie
"['10.1016/0031-9422(91)85077-D', 'Alibertia macrophylla (Rubiaceae)']","['10.1016/0031-9422(91)85077-D', ['Alibertia macrophylla (Rubiaceae)', 'Alibertia macrophylla (Rubiaceae)', 'Alibertia macrophylla (Rubiaceae)']]",doi_collectionSpecie
"['10.1016/S0014-5793(02)02700-X', 'Pilocarpus spicatus (Rutaceae)']","['10.1016/S0014-5793(02)02700-X', ['Pilocarpus spicatus (Rutaceae)']]",doi_collectionSpecie
"['10.1016/S0031-9422(00)00226-0', 'Piper hispidum (Piperaceae)']","['10.1016/S0031-9422(00)00226-0', ['Piper hispidum', 'Piper tuberculatum']]",doi_collectionSpecie
"['10.1016/S0031-9422(00)00226-0', 'Piper tuberculatum (Piperaceae)']","['10.1016/S0031-9422(00)00226-0', ['Piper hispidum', 'Piper tuberculatum']]",doi_collectionSpecie
"['10.1016/S0031-9422(00)00323-X', 'Picramnia teapensis']","['10.1016/S0031-9422(00)00323-X', ['Picramnia teapensis', 'Picramnia teapensis', 'Picramnia teapensis', 'Picramnia teapensis']]",doi_collectionSpecie
"['10.1016/S0031-9422(00)00477-5', 'Iryanthera juruensis (Myristicaceae)']","['10.1016/S0031-9422(00)00477-5', ['Iryanthera juruensis', 'Iryanthera juruensis', 'Iryanthera juruensis', 'Iryanthera juruensis']]",doi_collectionSpecie
"['10.1016/S0031-9422(01)00431-9', 'Piper tuberculatum (Piperaceae)']","['10.1016/S0031-9422(01)00431-9', ['Piper arboreum', 'Piper arboreum', 'Piper arboreum; Piper tuberculatum', 'Piper arboreum; Piper tuberculatum', 'Piper arboreum', 'Piper tuberculatum', 'Piper tuberculatum', 'Piper tuberculatum', 'Piper tuberculatum', 'Piper tuberculatum', 'Piper tuberculatum', 'Piper tuberculatum', 'Piper tuberculatum']]",doi_collectionSpecie
"['10.1016/S0031-9422(01)00431-9', 'Piper arboreum (Piperaceae)']","['10.1016/S0031-9422(01)00431-9', ['Piper arboreum', 'Piper arboreum', 'Piper arboreum; Piper tuberculatum', 'Piper arboreum; Piper tuberculatum', 'Piper arboreum', 'Piper tuberculatum', 'Piper tuberculatum', 'Piper tuberculatum', 'Piper tuberculatum', 'Piper tuberculatum', 'Piper tuberculatum', 'Piper tuberculatum', 'Piper tuberculatum']]",doi_collectionSpecie
"['10.1016/S0031-9422(97)00598-0', 'Murraya paniculata']","['10.1016/S0031-9422(97)00598-0', ['Murraya paniculata', 'Murraya paniculata', 'Murraya paniculata', 'Murraya paniculata', 'Murraya paniculata', 'Murraya paniculata', 'Murraya paniculata', 'Murraya paniculata', 'Murraya paniculata', 'Murraya paniculata']]",doi_collectionSpecie
"['10.1016/S0031-9422(98)00249-0', 'Casearia sylvestris (Flacourtiaceae)']","['10.1016/S0031-9422(98)00249-0', ['Casearia sylvestris', 'Casearia sylvestris', 'Casearia sylvestris']]",doi_collectionSpecie
"['10.1016/j.biortech.2010.01.041', 'Piper crassinervium (Piperaceae)']","['10.1016/j.biortech.2010.01.041', ['Piper crassinervium (Piperaceae)', 'Piper crassinervium (Piperaceae)', 'Piper crassinervium (Piperaceae)']]",doi_collectionSpecie
"['10.1016/j.bmc.2010.12.056', 'Swinglea glutinosa']","['10.1016/j.bmc.2010.12.056', ['Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)', 'Swinglea glutinosa (Rutaceae)']]",doi_collectionSpecie
"['10.1016/j.bse.2006.06.007', 'Colletotrichum gloeosporioides (Phyllachoraceae)']","['10.1016/j.bse.2006.06.007', ['Colletotrichum gloeosporioides', 'Colletotrichum gloeosporioides']]",doi_collectionSpecie
"['10.1016/j.chroma.2009.02.066', 'Citrus sinensis (Rutaceae)']","['10.1016/j.chroma.2009.02.066', ['Citrus sinensis grafted on Citrus limonia', 'Citrus sinensis grafted on Citrus limonia', 'Citrus sinensis grafted on Citrus limonia', 'Citrus sinensis grafted on Citrus limonia']]",doi_collectionSpecie
"['10.1016/j.micres.2004.06.003', 'Penicillium corylophilum']","['10.1016/j.micres.2004.06.003', ['Penicillium corylophilum']]",doi_collectionSpecie
"['10.1016/j.phytochem.2007.08.012', 'Peperomia blanda (Piperaceae)']","['10.1016/j.phytochem.2007.08.012', ['Peperomia blanda', 'Peperomia blanda', 'Peperomia blanda', 'Peperomia blanda', 'Peperomia blanda']]",doi_collectionSpecie
"['10.1016/j.phytochem.2009.08.013', 'Khaya ivorensis']","['10.1016/j.phytochem.2009.08.013', ['Khaya ivorensis (Meliaceae)']]",doi_collectionSpecie
"['10.1016/j.phytol.2010.11.003', 'Xylaria sp. (Xylariaceae)']","['10.1016/j.phytol.2010.11.003', ['Xylaria sp.', 'Penicillium sp.', 'Penicillium sp.']]",doi_collectionSpecie
"['10.1016/j.phytol.2010.11.003', 'Penicillium sp. (Trichocomaceae)']","['10.1016/j.phytol.2010.11.003', ['Xylaria sp.', 'Penicillium sp.', 'Penicillium sp.']]",doi_collectionSpecie
