true,restored,edge_type
"['10.1002/cbdv.200800342', 'Plant Isolated']","['10.1002/cbdv.200800342', ['Isolated from plant leaves', 'Isolated from plant leaves', 'Isolated from plant leaves', 'Isolated from plant leaves', 'Isolated from plant leaves', 'Isolated from plant leaves', 'Degradation Product']]",doi_collectionType
"['10.1002/ps.478', 'Plant Isolated']","['10.1002/ps.478', ['Isolated from plant']]",doi_collectionType
"['10.1016/0031-9422(73)85048-4', 'Plant Isolated']","['10.1016/0031-9422(73)85048-4', []]",doi_collectionType
"['10.1016/S0031-9422(00)00225-9', 'Plant Isolated']","['10.1016/S0031-9422(00)00225-9', []]",doi_collectionType
"['10.1016/S0031-9422(00)00226-0', 'Plant Isolated']","['10.1016/S0031-9422(00)00226-0', []]",doi_collectionType
"['10.1016/S0031-9422(03)00153-5', 'Plant Isolated']","['10.1016/S0031-9422(03)00153-5', []]",doi_collectionType
"['10.1016/S0031-9422(97)00598-0', 'Plant Isolated']","['10.1016/S0031-9422(97)00598-0', []]",doi_collectionType
"['10.1016/S0031-9422(98)00249-0', 'Plant Isolated']","['10.1016/S0031-9422(98)00249-0', []]",doi_collectionType
"['10.1016/S0031-9422(99)00132-6', 'Plant Isolated']","['10.1016/S0031-9422(99)00132-6', ['Natural isolate', 'Natural isolate']]",doi_collectionType
"['10.1016/j.bmc.2010.12.056', 'Plant Isolated']","['10.1016/j.bmc.2010.12.056', ['Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark', 'Isolated from methanol extract of the stem bark']]",doi_collectionType
"['10.1016/j.chroma.2009.02.066', 'Plant Isolated']","['10.1016/j.chroma.2009.02.066', ['Isolated', 'Isolated', 'Isolated', 'Isolated']]",doi_collectionType
"['10.1016/j.jchromb.2012.07.013', 'Plant Isolated']","['10.1016/j.jchromb.2012.07.013', []]",doi_collectionType
"['10.1016/j.jfca.2003.09.013', 'Plant Isolated']","['10.1016/j.jfca.2003.09.013', ['Juice sample from natural oranges commercialized in Brazil', 'Juice sample from natural oranges commercialized in Brazil', 'Juice sample from natural oranges commercialized in Brazil', 'Juice sample from natural oranges commercialized in Brazil', 'Juice sample from natural oranges commercialized in Brazil', 'Juice sample from natural oranges commercialized in Brazil']]",doi_collectionType
"['10.1016/j.jphotobiol.2013.01.006', 'Plant Isolated']","['10.1016/j.jphotobiol.2013.01.006', []]",doi_collectionType
"['10.1016/j.micres.2004.06.003', 'Microorganism isolated']","['10.1016/j.micres.2004.06.003', []]",doi_collectionType
"['10.1016/j.phytochem.2005.06.019', 'Plant Isolated']","['10.1016/j.phytochem.2005.06.019', []]",doi_collectionType
