true,restored,edge_type
"['10.1016/0031-9422(73)85048-4', '7-Hydroxy-4',6-dimethoxyisoflavone; Afrormosin; Afromosin']","['10.1016/0031-9422(73)85048-4', ['Tectorigenin', '(S)-4-Methoxydalbergione', '(6aS,11aS)-Demethylhomopterocarpin', 'Dalbergin', '7-Hydroxy-6-methoxy-3’,4’-methylenedioxyisoflavone', 'Afromosin', 'Caviunin', '7-O-Glycosylcaviunin', 'Tectoridin']]",doi_name
"['10.1016/0031-9422(91)85077-D', '2-Methyl-4-hydroxy-butyl caffeoate']","['10.1016/0031-9422(91)85077-D', ['2-Phenylethyl caffeate', 'Caffeic Acid', 'α-Amyrin', 'β-Amyrin', 'α-Amyrenone', 'β-Amyrenone', 'Lupeol', 'Lupenone', 'Germanicone']]",doi_name
"['10.1016/S0031-9422(00)00323-X', 'Mayoside C']","['10.1016/S0031-9422(00)00323-X', ['Picramnioside F', 'Mayoside C', '1-O-β-D-glucopyranosyl emodin', '8-O-β-D-glucopyranosyl emodin']]",doi_name
"['10.1016/S0031-9422(00)00323-X', 'Picramnioside F']","['10.1016/S0031-9422(00)00323-X', ['Picramnioside F', 'Mayoside C', '1-O-β-D-glucopyranosyl emodin', '8-O-β-D-glucopyranosyl emodin']]",doi_name
"['10.1016/S0031-9422(01)00079-6', 'Dibenzyl sulphide']","['10.1016/S0031-9422(01)00079-6', ['Dipropyl disulphide', 'Dibenzyl sulphide', 'Dibenzyl disulphide', 'Dibenzyl trisulphide', 'Dibenzyl tetrasulphide', 'Benzylhydroxymethyl sulphide', 'Di(benzyltrithio) methane']]",doi_name
"['10.1016/S0031-9422(01)00079-6', 'Dibenzyl trisulphide']","['10.1016/S0031-9422(01)00079-6', ['Dipropyl disulphide', 'Dibenzyl sulphide', 'Dibenzyl disulphide', 'Dibenzyl trisulphide', 'Dibenzyl tetrasulphide', 'Benzylhydroxymethyl sulphide', 'Di(benzyltrithio) methane']]",doi_name
"['10.1016/S0031-9422(01)00079-6', 'Benzylhydroxymethyl sulphide']","['10.1016/S0031-9422(01)00079-6', ['Dipropyl disulphide', 'Dibenzyl sulphide', 'Dibenzyl disulphide', 'Dibenzyl trisulphide', 'Dibenzyl tetrasulphide', 'Benzylhydroxymethyl sulphide', 'Di(benzyltrithio) methane']]",doi_name
"['10.1016/S0031-9422(01)00079-6', 'Dipropyl disulphide']","['10.1016/S0031-9422(01)00079-6', ['Dipropyl disulphide', 'Dibenzyl sulphide', 'Dibenzyl disulphide', 'Dibenzyl trisulphide', 'Dibenzyl tetrasulphide', 'Benzylhydroxymethyl sulphide', 'Di(benzyltrithio) methane']]",doi_name
"['10.1016/S0031-9422(01)00079-6', 'Di(benzyltrithio) methane']","['10.1016/S0031-9422(01)00079-6', ['Dipropyl disulphide', 'Dibenzyl sulphide', 'Dibenzyl disulphide', 'Dibenzyl trisulphide', 'Dibenzyl tetrasulphide', 'Benzylhydroxymethyl sulphide', 'Di(benzyltrithio) methane']]",doi_name
"['10.1016/S0031-9422(01)00079-6', 'Dibenzyl tetrasulphide']","['10.1016/S0031-9422(01)00079-6', ['Dipropyl disulphide', 'Dibenzyl sulphide', 'Dibenzyl disulphide', 'Dibenzyl trisulphide', 'Dibenzyl tetrasulphide', 'Benzylhydroxymethyl sulphide', 'Di(benzyltrithio) methane']]",doi_name
"['10.1016/S0031-9422(01)00079-6', 'Dibenzyl disulphide']","['10.1016/S0031-9422(01)00079-6', ['Dipropyl disulphide', 'Dibenzyl sulphide', 'Dibenzyl disulphide', 'Dibenzyl trisulphide', 'Dibenzyl tetrasulphide', 'Benzylhydroxymethyl sulphide', 'Di(benzyltrithio) methane']]",doi_name
"['10.1016/S0031-9422(03)00153-5', '7-Methoxydiderroside']","['10.1016/S0031-9422(03)00153-5', ['7-methoxydiderroside', '60-O-acetyl-D-glucopyranosyldiderroside', '8-O-tigloyldiderroside']]",doi_name
"['10.1016/S0031-9422(03)00153-5', 'Secoxyloganin']","['10.1016/S0031-9422(03)00153-5', ['7-methoxydiderroside', '60-O-acetyl-D-glucopyranosyldiderroside', '8-O-tigloyldiderroside']]",doi_name
"['10.1016/S0031-9422(03)00153-5', 'Diderroside']","['10.1016/S0031-9422(03)00153-5', ['7-methoxydiderroside', '60-O-acetyl-D-glucopyranosyldiderroside', '8-O-tigloyldiderroside']]",doi_name
"['10.1016/S0031-9422(97)00238-0', 'α-Gardiol']","['10.1016/S0031-9422(97)00238-0', ['α-Gardiol', 'β-Gardiol', 'Mollugoside methyl ester', 'Formosinoside', 'Formosinoside-l-hexaacetate']]",doi_name
"['10.1016/S0031-9422(97)00238-0', 'β-Gardiol']","['10.1016/S0031-9422(97)00238-0', ['α-Gardiol', 'β-Gardiol', 'Mollugoside methyl ester', 'Formosinoside', 'Formosinoside-l-hexaacetate']]",doi_name
"['10.1016/S0031-9422(97)00238-0', 'Ferulic acid']","['10.1016/S0031-9422(97)00238-0', ['α-Gardiol', 'β-Gardiol', 'Mollugoside methyl ester', 'Formosinoside', 'Formosinoside-l-hexaacetate']]",doi_name
