k,algorithm,split,edge_group,dynamic_stage,value,std
1,gpt4,0.8,doi_bioActivity,1st,0.0,0.0
1,gpt4,0.8,doi_bioActivity,2nd,0.0,0.0
1,gpt4,0.8,doi_bioActivity,3rd,0.0,0.0
1,gpt4,0.8,doi_bioActivity,4th,0.0,0.0
5,gpt4,0.8,doi_bioActivity,1st,0.0,0.0
5,gpt4,0.8,doi_bioActivity,2nd,0.0,0.0
5,gpt4,0.8,doi_bioActivity,3rd,0.0,0.0
5,gpt4,0.8,doi_bioActivity,4th,0.0,0.0
10,gpt4,0.8,doi_bioActivity,1st,0.005023584905660378,0.002647710351731798
10,gpt4,0.8,doi_bioActivity,2nd,0.0060090307291593165,0.0051817117029360985
10,gpt4,0.8,doi_bioActivity,3rd,0.006202686202686203,0.00800887454440877
10,gpt4,0.8,doi_bioActivity,4th,0.009696969696969697,0.01563537177445604
15,gpt4,0.8,doi_bioActivity,1st,0.005023584905660378,0.002647710351731798
15,gpt4,0.8,doi_bioActivity,2nd,0.0060090307291593165,0.0051817117029360985
15,gpt4,0.8,doi_bioActivity,3rd,0.006202686202686203,0.00800887454440877
15,gpt4,0.8,doi_bioActivity,4th,0.009696969696969697,0.01563537177445604
20,gpt4,0.8,doi_bioActivity,1st,0.005023584905660378,0.002647710351731798
20,gpt4,0.8,doi_bioActivity,2nd,0.0060090307291593165,0.0051817117029360985
20,gpt4,0.8,doi_bioActivity,3rd,0.006202686202686203,0.00800887454440877
20,gpt4,0.8,doi_bioActivity,4th,0.009696969696969697,0.01563537177445604
25,gpt4,0.8,doi_bioActivity,1st,0.005023584905660378,0.002647710351731798
25,gpt4,0.8,doi_bioActivity,2nd,0.0060090307291593165,0.0051817117029360985
25,gpt4,0.8,doi_bioActivity,3rd,0.006202686202686203,0.00800887454440877
25,gpt4,0.8,doi_bioActivity,4th,0.009696969696969697,0.01563537177445604
30,gpt4,0.8,doi_bioActivity,1st,0.005023584905660378,0.002647710351731798
30,gpt4,0.8,doi_bioActivity,2nd,0.0060090307291593165,0.0051817117029360985
30,gpt4,0.8,doi_bioActivity,3rd,0.006202686202686203,0.00800887454440877
30,gpt4,0.8,doi_bioActivity,4th,0.009696969696969697,0.01563537177445604
35,gpt4,0.8,doi_bioActivity,1st,0.005023584905660378,0.002647710351731798
35,gpt4,0.8,doi_bioActivity,2nd,0.0060090307291593165,0.0051817117029360985
35,gpt4,0.8,doi_bioActivity,3rd,0.006202686202686203,0.00800887454440877
35,gpt4,0.8,doi_bioActivity,4th,0.009696969696969697,0.01563537177445604
40,gpt4,0.8,doi_bioActivity,1st,0.005023584905660378,0.002647710351731798
40,gpt4,0.8,doi_bioActivity,2nd,0.0060090307291593165,0.0051817117029360985
40,gpt4,0.8,doi_bioActivity,3rd,0.006202686202686203,0.00800887454440877
40,gpt4,0.8,doi_bioActivity,4th,0.009696969696969697,0.01563537177445604
45,gpt4,0.8,doi_bioActivity,1st,0.005023584905660378,0.002647710351731798
45,gpt4,0.8,doi_bioActivity,2nd,0.0060090307291593165,0.0051817117029360985
45,gpt4,0.8,doi_bioActivity,3rd,0.006202686202686203,0.00800887454440877
45,gpt4,0.8,doi_bioActivity,4th,0.009696969696969697,0.01563537177445604
50,gpt4,0.8,doi_bioActivity,1st,0.005023584905660378,0.002647710351731798
50,gpt4,0.8,doi_bioActivity,2nd,0.0060090307291593165,0.0051817117029360985
50,gpt4,0.8,doi_bioActivity,3rd,0.006202686202686203,0.00800887454440877
50,gpt4,0.8,doi_bioActivity,4th,0.009696969696969697,0.01563537177445604
