k,algorithm,split,edge_group,dynamic_stage,value,std
1,gpt4,0.8,doi_collectionSite,1st,0.0,0.0
1,gpt4,0.8,doi_collectionSite,2nd,0.0,0.0
1,gpt4,0.8,doi_collectionSite,3rd,0.0,0.0
1,gpt4,0.8,doi_collectionSite,4th,0.0,0.0
5,gpt4,0.8,doi_collectionSite,1st,0.0,0.0
5,gpt4,0.8,doi_collectionSite,2nd,0.0,0.0
5,gpt4,0.8,doi_collectionSite,3rd,0.0,0.0
5,gpt4,0.8,doi_collectionSite,4th,0.0,0.0
10,gpt4,0.8,doi_collectionSite,1st,0.0,0.0
10,gpt4,0.8,doi_collectionSite,2nd,0.0,0.0
10,gpt4,0.8,doi_collectionSite,3rd,0.0,0.0
10,gpt4,0.8,doi_collectionSite,4th,0.0,0.0
15,gpt4,0.8,doi_collectionSite,1st,0.0,0.0
15,gpt4,0.8,doi_collectionSite,2nd,0.0,0.0
15,gpt4,0.8,doi_collectionSite,3rd,0.0,0.0
15,gpt4,0.8,doi_collectionSite,4th,0.0,0.0
20,gpt4,0.8,doi_collectionSite,1st,0.0,0.0
20,gpt4,0.8,doi_collectionSite,2nd,0.0,0.0
20,gpt4,0.8,doi_collectionSite,3rd,0.0,0.0
20,gpt4,0.8,doi_collectionSite,4th,0.0,0.0
25,gpt4,0.8,doi_collectionSite,1st,0.0,0.0
25,gpt4,0.8,doi_collectionSite,2nd,0.0,0.0
25,gpt4,0.8,doi_collectionSite,3rd,0.0,0.0
25,gpt4,0.8,doi_collectionSite,4th,0.0,0.0
30,gpt4,0.8,doi_collectionSite,1st,0.0,0.0
30,gpt4,0.8,doi_collectionSite,2nd,0.0,0.0
30,gpt4,0.8,doi_collectionSite,3rd,0.0,0.0
30,gpt4,0.8,doi_collectionSite,4th,0.0,0.0
35,gpt4,0.8,doi_collectionSite,1st,0.0,0.0
35,gpt4,0.8,doi_collectionSite,2nd,0.0,0.0
35,gpt4,0.8,doi_collectionSite,3rd,0.0,0.0
35,gpt4,0.8,doi_collectionSite,4th,0.0,0.0
40,gpt4,0.8,doi_collectionSite,1st,0.0,0.0
40,gpt4,0.8,doi_collectionSite,2nd,0.0,0.0
40,gpt4,0.8,doi_collectionSite,3rd,0.0,0.0
40,gpt4,0.8,doi_collectionSite,4th,0.0,0.0
45,gpt4,0.8,doi_collectionSite,1st,0.0,0.0
45,gpt4,0.8,doi_collectionSite,2nd,0.0,0.0
45,gpt4,0.8,doi_collectionSite,3rd,0.0,0.0
45,gpt4,0.8,doi_collectionSite,4th,0.0,0.0
50,gpt4,0.8,doi_collectionSite,1st,0.0,0.0
50,gpt4,0.8,doi_collectionSite,2nd,0.0,0.0
50,gpt4,0.8,doi_collectionSite,3rd,0.0,0.0
50,gpt4,0.8,doi_collectionSite,4th,0.0,0.0
