k,algorithm,split,edge_group,dynamic_stage,value,std
1,gpt4,0.8,doi_name,1st,0.054282069581320556,0.005800902122442935
1,gpt4,0.8,doi_name,2nd,0.07202990032977255,0.011928921033779457
1,gpt4,0.8,doi_name,3rd,0.07386378009178898,0.018517489268541236
1,gpt4,0.8,doi_name,4th,0.09379872460793075,0.05446461197566911
5,gpt4,0.8,doi_name,1st,0.19072535063091192,0.007602691009359212
5,gpt4,0.8,doi_name,2nd,0.21019956081394095,0.03239273766741791
5,gpt4,0.8,doi_name,3rd,0.19594676445020814,0.03893275405602977
5,gpt4,0.8,doi_name,4th,0.177851227517403,0.06752974254774274
10,gpt4,0.8,doi_name,1st,0.23649510484598352,0.009587005501954514
10,gpt4,0.8,doi_name,2nd,0.23972392420038488,0.040507132129955124
10,gpt4,0.8,doi_name,3rd,0.22067562101649169,0.03918464671094922
10,gpt4,0.8,doi_name,4th,0.18683069611643682,0.06706812107359955
15,gpt4,0.8,doi_name,1st,0.2450251714516551,0.009378025063917392
15,gpt4,0.8,doi_name,2nd,0.24378524615314995,0.042234643521646235
15,gpt4,0.8,doi_name,3rd,0.22067562101649169,0.03918464671094922
15,gpt4,0.8,doi_name,4th,0.18683069611643682,0.06706812107359955
20,gpt4,0.8,doi_name,1st,0.2475844360648341,0.009372892539130746
20,gpt4,0.8,doi_name,2nd,0.24583325035516204,0.042258779852392826
20,gpt4,0.8,doi_name,3rd,0.2216015469424176,0.037346705916274925
20,gpt4,0.8,doi_name,4th,0.18915627751178568,0.06471173204681231
25,gpt4,0.8,doi_name,1st,0.2475844360648341,0.009372892539130746
25,gpt4,0.8,doi_name,2nd,0.24583325035516204,0.042258779852392826
25,gpt4,0.8,doi_name,3rd,0.2216015469424176,0.037346705916274925
25,gpt4,0.8,doi_name,4th,0.18915627751178568,0.06471173204681231
30,gpt4,0.8,doi_name,1st,0.24929061398923236,0.009997573114744314
30,gpt4,0.8,doi_name,2nd,0.24686153478550832,0.043705561903722906
30,gpt4,0.8,doi_name,3rd,0.2216015469424176,0.037346705916274925
30,gpt4,0.8,doi_name,4th,0.18915627751178568,0.06471173204681231
35,gpt4,0.8,doi_name,1st,0.24929061398923236,0.009997573114744314
35,gpt4,0.8,doi_name,2nd,0.24686153478550832,0.043705561903722906
35,gpt4,0.8,doi_name,3rd,0.2216015469424176,0.037346705916274925
35,gpt4,0.8,doi_name,4th,0.18915627751178568,0.06471173204681231
40,gpt4,0.8,doi_name,1st,0.24929061398923236,0.009997573114744314
40,gpt4,0.8,doi_name,2nd,0.24686153478550832,0.043705561903722906
40,gpt4,0.8,doi_name,3rd,0.2216015469424176,0.037346705916274925
40,gpt4,0.8,doi_name,4th,0.18915627751178568,0.06471173204681231
45,gpt4,0.8,doi_name,1st,0.24929061398923236,0.009997573114744314
45,gpt4,0.8,doi_name,2nd,0.24686153478550832,0.043705561903722906
45,gpt4,0.8,doi_name,3rd,0.2216015469424176,0.037346705916274925
45,gpt4,0.8,doi_name,4th,0.18915627751178568,0.06471173204681231
50,gpt4,0.8,doi_name,1st,0.24929061398923236,0.009997573114744314
50,gpt4,0.8,doi_name,2nd,0.24686153478550832,0.043705561903722906
50,gpt4,0.8,doi_name,3rd,0.2216015469424176,0.037346705916274925
50,gpt4,0.8,doi_name,4th,0.18915627751178568,0.06471173204681231
