k,algorithm,edge_group,split,dynamic_stage,value
1,gpt4,doi_bioActivity,0.8,1st,0.0
1,gpt4,doi_bioActivity,0.8,2nd,0.0
1,gpt4,doi_bioActivity,0.8,3rd,0.0
1,gpt4,doi_bioActivity,0.8,4th,0.0
1,gpt4,doi_bioActivity,0.8,1st,0.0
1,gpt4,doi_bioActivity,0.8,2nd,0.0
1,gpt4,doi_bioActivity,0.8,3rd,0.0
1,gpt4,doi_bioActivity,0.8,4th,0.0
1,gpt4,doi_bioActivity,0.8,1st,0.0
1,gpt4,doi_bioActivity,0.8,2nd,0.0
1,gpt4,doi_bioActivity,0.8,3rd,0.0
1,gpt4,doi_bioActivity,0.8,4th,0.0
1,gpt4,doi_bioActivity,0.8,1st,0.0
1,gpt4,doi_bioActivity,0.8,2nd,0.0
1,gpt4,doi_bioActivity,0.8,3rd,0.0
1,gpt4,doi_bioActivity,0.8,4th,0.0
1,gpt4,doi_bioActivity,0.8,1st,0.0
1,gpt4,doi_bioActivity,0.8,2nd,0.0
1,gpt4,doi_bioActivity,0.8,3rd,0.0
1,gpt4,doi_bioActivity,0.8,4th,0.0
1,gpt4,doi_bioActivity,0.8,1st,0.0
1,gpt4,doi_bioActivity,0.8,2nd,0.0
1,gpt4,doi_bioActivity,0.8,3rd,0.0
1,gpt4,doi_bioActivity,0.8,4th,0.0
1,gpt4,doi_bioActivity,0.8,1st,0.0
1,gpt4,doi_bioActivity,0.8,2nd,0.0
1,gpt4,doi_bioActivity,0.8,3rd,0.0
1,gpt4,doi_bioActivity,0.8,4th,0.0
1,gpt4,doi_bioActivity,0.8,1st,0.0
1,gpt4,doi_bioActivity,0.8,2nd,0.0
1,gpt4,doi_bioActivity,0.8,3rd,0.0
1,gpt4,doi_bioActivity,0.8,4th,0.0
1,gpt4,doi_bioActivity,0.8,1st,0.0
1,gpt4,doi_bioActivity,0.8,2nd,0.0
1,gpt4,doi_bioActivity,0.8,3rd,0.0
1,gpt4,doi_bioActivity,0.8,4th,0.0
1,gpt4,doi_bioActivity,0.8,1st,0.0
1,gpt4,doi_bioActivity,0.8,2nd,0.0
1,gpt4,doi_bioActivity,0.8,3rd,0.0
1,gpt4,doi_bioActivity,0.8,4th,0.0
5,gpt4,doi_bioActivity,0.8,1st,0.0
5,gpt4,doi_bioActivity,0.8,2nd,0.0
5,gpt4,doi_bioActivity,0.8,3rd,0.0
5,gpt4,doi_bioActivity,0.8,4th,0.0
5,gpt4,doi_bioActivity,0.8,1st,0.0
5,gpt4,doi_bioActivity,0.8,2nd,0.0
5,gpt4,doi_bioActivity,0.8,3rd,0.0
5,gpt4,doi_bioActivity,0.8,4th,0.0
5,gpt4,doi_bioActivity,0.8,1st,0.0
5,gpt4,doi_bioActivity,0.8,2nd,0.0
5,gpt4,doi_bioActivity,0.8,3rd,0.0
5,gpt4,doi_bioActivity,0.8,4th,0.0
5,gpt4,doi_bioActivity,0.8,1st,0.0
5,gpt4,doi_bioActivity,0.8,2nd,0.0
5,gpt4,doi_bioActivity,0.8,3rd,0.0
5,gpt4,doi_bioActivity,0.8,4th,0.0
5,gpt4,doi_bioActivity,0.8,1st,0.0
5,gpt4,doi_bioActivity,0.8,2nd,0.0
5,gpt4,doi_bioActivity,0.8,3rd,0.0
5,gpt4,doi_bioActivity,0.8,4th,0.0
5,gpt4,doi_bioActivity,0.8,1st,0.0
5,gpt4,doi_bioActivity,0.8,2nd,0.0
5,gpt4,doi_bioActivity,0.8,3rd,0.0
5,gpt4,doi_bioActivity,0.8,4th,0.0
5,gpt4,doi_bioActivity,0.8,1st,0.0
5,gpt4,doi_bioActivity,0.8,2nd,0.0
5,gpt4,doi_bioActivity,0.8,3rd,0.0
5,gpt4,doi_bioActivity,0.8,4th,0.0
5,gpt4,doi_bioActivity,0.8,1st,0.0
5,gpt4,doi_bioActivity,0.8,2nd,0.0
5,gpt4,doi_bioActivity,0.8,3rd,0.0
5,gpt4,doi_bioActivity,0.8,4th,0.0
5,gpt4,doi_bioActivity,0.8,1st,0.0
5,gpt4,doi_bioActivity,0.8,2nd,0.0
5,gpt4,doi_bioActivity,0.8,3rd,0.0
5,gpt4,doi_bioActivity,0.8,4th,0.0
5,gpt4,doi_bioActivity,0.8,1st,0.0
5,gpt4,doi_bioActivity,0.8,2nd,0.0
5,gpt4,doi_bioActivity,0.8,3rd,0.0
5,gpt4,doi_bioActivity,0.8,4th,0.0
10,gpt4,doi_bioActivity,0.8,1st,0.0
10,gpt4,doi_bioActivity,0.8,2nd,0.0
10,gpt4,doi_bioActivity,0.8,3rd,0.0
10,gpt4,doi_bioActivity,0.8,4th,0.0
10,gpt4,doi_bioActivity,0.8,1st,0.006289308176100629
10,gpt4,doi_bioActivity,0.8,2nd,0.010752688172043012
10,gpt4,doi_bioActivity,0.8,3rd,0.015873015873015872
10,gpt4,doi_bioActivity,0.8,4th,0.030303030303030304
10,gpt4,doi_bioActivity,0.8,1st,0.006289308176100629
10,gpt4,doi_bioActivity,0.8,2nd,0.01020408163265306
10,gpt4,doi_bioActivity,0.8,3rd,0.015384615384615385
10,gpt4,doi_bioActivity,0.8,4th,0.03333333333333333
10,gpt4,doi_bioActivity,0.8,1st,0.00625
10,gpt4,doi_bioActivity,0.8,2nd,0.009708737864077669
10,gpt4,doi_bioActivity,0.8,3rd,0.0
10,gpt4,doi_bioActivity,0.8,4th,0.0
10,gpt4,doi_bioActivity,0.8,1st,0.006289308176100629
10,gpt4,doi_bioActivity,0.8,2nd,0.009900990099009901
10,gpt4,doi_bioActivity,0.8,3rd,0.015384615384615385
10,gpt4,doi_bioActivity,0.8,4th,0.0
10,gpt4,doi_bioActivity,0.8,1st,0.006289308176100629
10,gpt4,doi_bioActivity,0.8,2nd,0.01
10,gpt4,doi_bioActivity,0.8,3rd,0.0
10,gpt4,doi_bioActivity,0.8,4th,0.0
10,gpt4,doi_bioActivity,0.8,1st,0.0
10,gpt4,doi_bioActivity,0.8,2nd,0.0
10,gpt4,doi_bioActivity,0.8,3rd,0.0
10,gpt4,doi_bioActivity,0.8,4th,0.0
10,gpt4,doi_bioActivity,0.8,1st,0.006289308176100629
10,gpt4,doi_bioActivity,0.8,2nd,0.0
10,gpt4,doi_bioActivity,0.8,3rd,0.0
10,gpt4,doi_bioActivity,0.8,4th,0.0
10,gpt4,doi_bioActivity,0.8,1st,0.006289308176100629
10,gpt4,doi_bioActivity,0.8,2nd,0.0
10,gpt4,doi_bioActivity,0.8,3rd,0.0
10,gpt4,doi_bioActivity,0.8,4th,0.0
10,gpt4,doi_bioActivity,0.8,1st,0.00625
10,gpt4,doi_bioActivity,0.8,2nd,0.009523809523809525
10,gpt4,doi_bioActivity,0.8,3rd,0.015384615384615385
10,gpt4,doi_bioActivity,0.8,4th,0.03333333333333333
15,gpt4,doi_bioActivity,0.8,1st,0.0
15,gpt4,doi_bioActivity,0.8,2nd,0.0
15,gpt4,doi_bioActivity,0.8,3rd,0.0
15,gpt4,doi_bioActivity,0.8,4th,0.0
15,gpt4,doi_bioActivity,0.8,1st,0.006289308176100629
15,gpt4,doi_bioActivity,0.8,2nd,0.010752688172043012
15,gpt4,doi_bioActivity,0.8,3rd,0.015873015873015872
15,gpt4,doi_bioActivity,0.8,4th,0.030303030303030304
15,gpt4,doi_bioActivity,0.8,1st,0.006289308176100629
15,gpt4,doi_bioActivity,0.8,2nd,0.01020408163265306
15,gpt4,doi_bioActivity,0.8,3rd,0.015384615384615385
15,gpt4,doi_bioActivity,0.8,4th,0.03333333333333333
15,gpt4,doi_bioActivity,0.8,1st,0.00625
15,gpt4,doi_bioActivity,0.8,2nd,0.009708737864077669
15,gpt4,doi_bioActivity,0.8,3rd,0.0
15,gpt4,doi_bioActivity,0.8,4th,0.0
15,gpt4,doi_bioActivity,0.8,1st,0.006289308176100629
15,gpt4,doi_bioActivity,0.8,2nd,0.009900990099009901
15,gpt4,doi_bioActivity,0.8,3rd,0.015384615384615385
15,gpt4,doi_bioActivity,0.8,4th,0.0
15,gpt4,doi_bioActivity,0.8,1st,0.006289308176100629
15,gpt4,doi_bioActivity,0.8,2nd,0.01
15,gpt4,doi_bioActivity,0.8,3rd,0.0
15,gpt4,doi_bioActivity,0.8,4th,0.0
15,gpt4,doi_bioActivity,0.8,1st,0.0
15,gpt4,doi_bioActivity,0.8,2nd,0.0
15,gpt4,doi_bioActivity,0.8,3rd,0.0
15,gpt4,doi_bioActivity,0.8,4th,0.0
15,gpt4,doi_bioActivity,0.8,1st,0.006289308176100629
15,gpt4,doi_bioActivity,0.8,2nd,0.0
15,gpt4,doi_bioActivity,0.8,3rd,0.0
15,gpt4,doi_bioActivity,0.8,4th,0.0
15,gpt4,doi_bioActivity,0.8,1st,0.006289308176100629
15,gpt4,doi_bioActivity,0.8,2nd,0.0
15,gpt4,doi_bioActivity,0.8,3rd,0.0
15,gpt4,doi_bioActivity,0.8,4th,0.0
15,gpt4,doi_bioActivity,0.8,1st,0.00625
15,gpt4,doi_bioActivity,0.8,2nd,0.009523809523809525
15,gpt4,doi_bioActivity,0.8,3rd,0.015384615384615385
15,gpt4,doi_bioActivity,0.8,4th,0.03333333333333333
20,gpt4,doi_bioActivity,0.8,1st,0.0
20,gpt4,doi_bioActivity,0.8,2nd,0.0
20,gpt4,doi_bioActivity,0.8,3rd,0.0
20,gpt4,doi_bioActivity,0.8,4th,0.0
20,gpt4,doi_bioActivity,0.8,1st,0.006289308176100629
20,gpt4,doi_bioActivity,0.8,2nd,0.010752688172043012
20,gpt4,doi_bioActivity,0.8,3rd,0.015873015873015872
20,gpt4,doi_bioActivity,0.8,4th,0.030303030303030304
20,gpt4,doi_bioActivity,0.8,1st,0.006289308176100629
20,gpt4,doi_bioActivity,0.8,2nd,0.01020408163265306
20,gpt4,doi_bioActivity,0.8,3rd,0.015384615384615385
20,gpt4,doi_bioActivity,0.8,4th,0.03333333333333333
20,gpt4,doi_bioActivity,0.8,1st,0.00625
20,gpt4,doi_bioActivity,0.8,2nd,0.009708737864077669
20,gpt4,doi_bioActivity,0.8,3rd,0.0
20,gpt4,doi_bioActivity,0.8,4th,0.0
20,gpt4,doi_bioActivity,0.8,1st,0.006289308176100629
20,gpt4,doi_bioActivity,0.8,2nd,0.009900990099009901
20,gpt4,doi_bioActivity,0.8,3rd,0.015384615384615385
20,gpt4,doi_bioActivity,0.8,4th,0.0
20,gpt4,doi_bioActivity,0.8,1st,0.006289308176100629
20,gpt4,doi_bioActivity,0.8,2nd,0.01
20,gpt4,doi_bioActivity,0.8,3rd,0.0
20,gpt4,doi_bioActivity,0.8,4th,0.0
20,gpt4,doi_bioActivity,0.8,1st,0.0
20,gpt4,doi_bioActivity,0.8,2nd,0.0
20,gpt4,doi_bioActivity,0.8,3rd,0.0
20,gpt4,doi_bioActivity,0.8,4th,0.0
20,gpt4,doi_bioActivity,0.8,1st,0.006289308176100629
20,gpt4,doi_bioActivity,0.8,2nd,0.0
20,gpt4,doi_bioActivity,0.8,3rd,0.0
20,gpt4,doi_bioActivity,0.8,4th,0.0
