"true","restored","edge_type"
"[""10.1016/j.tiv.2008.01.003"", ""Anticancer""]","[""10.1016/j.tiv.2008.01.003"", [""Antiproliferative"", ""Cytotoxic"", ""Antileukemic"", ""Antimicrobial"", ""Antioxidant"", ""Antimalarial"", ""Anti-inflammatory"", ""Apoptosis induction"", ""Proteasomal inhibition""]]","doi_bioActivity"
"[""10.1021/np1007476"", ""Antioxidant""]","[""10.1021/np1007476"", [""antioxidant"", ""anticholinesterase""]]","doi_bioActivity"
"[""10.1021/np1007476"", ""Inhibition of Acetylcholinesterase""]","[""10.1021/np1007476"", [""antioxidant"", ""anticholinesterase""]]","doi_bioActivity"
"[""10.1016/S0031-9422(01)00431-9"", ""Antifungal""]","[""10.1016/S0031-9422(01)00431-9"", [""Antifungal activity against Cladosporium phaerosospermum"", ""Antifungal activity against C. cladosporioides""]]","doi_bioActivity"
"[""10.1248/bpb.31.538"", ""Antitrypanosomal""]","[""10.1248/bpb.31.538"", [""anti-trypanocidal"", ""anti-fungal"", ""anti-tumour""]]","doi_bioActivity"
"[""10.1007/s10295-012-1165-2"", ""Cytotoxic""]","[""10.1007/s10295-012-1165-2"", [""cytotoxic"", ""antimicrobial"", ""cytostatic"", ""antifeedant"", ""anti-inflammatory"", ""antimalarial""]]","doi_bioActivity"
"[""10.1016/0031-9422(73)85048-4"", ""Antitrypanosomal""]","[""10.1016/0031-9422(73)85048-4"", [""antifungal""]]","doi_bioActivity"
"[""10.1590/s0100-40422008000700015"", ""Cytotoxic""]","[""10.1590/s0100-40422008000700015"", [""antibiotics"", ""antimycotics"", ""immunosuppressors"", ""anticancer"", ""cytotoxic activity"", ""antibacterial activity""]]","doi_bioActivity"
"[""10.1107/S1600536803019913"", ""Antileishmanial""]","[""10.1107/S1600536803019913"", [""inhibitory activity against the enzyme adenine phosphoribosyltransferase (APRT) from Leishmania""]]","doi_bioActivity"
"[""10.1590/S0102-695X2010005000017"", ""Antiangiogenic""]","[""10.1590/S0102-695X2010005000017"", [""Antimicrobial activity against opportunistic fungi"", ""Cytotoxic activity against human cancer cell lines"", ""Myeloperoxidase inhibitory activity"", ""Radical scavenging activity""]]","doi_bioActivity"
"[""10.1590/S0102-695X2010005000017"", ""Cytotoxic""]","[""10.1590/S0102-695X2010005000017"", [""Antimicrobial activity against opportunistic fungi"", ""Cytotoxic activity against human cancer cell lines"", ""Myeloperoxidase inhibitory activity"", ""Radical scavenging activity"", ""Antifungal activity against opportunistic human yeasts"", ""Fungistatic behavior""]]","doi_bioActivity"
"[""10.1590/S0102-695X2010005000017"", ""Antifungal""]","[""10.1590/S0102-695X2010005000017"", [""Antimicrobial activity against opportunistic fungi"", ""Antifungal activity against Candida albicans, Candida krusei, Candida parapsilosis, and Cryptococcus neoformans"", ""Cytotoxic activity against human cancer cell lines"", ""Myeloperoxidase inhibitory and radical scavenging activities""]]","doi_bioActivity"
"[""10.1016/j.bmc.2010.12.056"", ""Inhibition of Cathepsin V""]","[""10.1016/j.bmc.2010.12.056"", [""Inhibition of cathepsin V"", ""Antiparasitic"", ""Antiviral"", ""Cytotoxic""]]","doi_bioActivity"
"[""10.1016/j.phytochem.2006.09.005"", ""Cytotoxic""]","[""10.1016/j.phytochem.2006.09.005"", [""Slight increase in cell proliferation of HeLa and CHO cell lines by compound 2"", ""Potent cytotoxic activity against HeLa and CHO cell lines by compound 3 with an IC50 of 8.0 uM"", ""Potent antifungal activity against Cladosporium sphaerospermum and C. cladosporioides by compound 2""]]","doi_bioActivity"
"[""10.1016/j.phytochem.2006.09.005"", ""Antifungal""]","[""10.1016/j.phytochem.2006.09.005"", [""Slight increase in cell proliferation of HeLa and CHO cell lines by compound 2"", ""Potent cytotoxic activity against HeLa and CHO cell lines by compound 3 with an IC50 of 8.0 uM"", ""Potent antifungal activity against Cladosporium sphaerospermum and C. cladosporioides by compound 2""]]","doi_bioActivity"
"[""10.1016/0031-9422(81)80027-1"", ""Anesthetic""]","[""10.1016/0031-9422(81)80027-1"", [""anesthetic""]]","doi_bioActivity"
"[""10.5935/0103-5053.19930018"", ""Antitrypanosomal""]","[""10.5935/0103-5053.19930018"", []]","doi_bioActivity"
"[""10.1021/np9004079"", ""Cytotoxic""]","[""10.1021/np9004079"", [""Cytotoxicity against human tumor cell lines"", ""Cytotoxicity against HL-60 (human myeloblastic leukemia)"", ""Cytotoxicity against HCT-8 (human colon carcinoma)"", ""Cytotoxicity against MDA/MB-435 (human melanoma)"", ""Cytotoxicity against SF-295 (human glioblastoma)""]]","doi_bioActivity"
"[""10.1590/S0103-50532005000800025"", ""Inhibition of Acetylcholinesterase""]","[""10.1590/S0103-50532005000800025"", [""Toxicity to leaf-cutting ants"", ""High toxicity of limonexic acid to leaf-cutting ants, reducing their longevity"", ""Ichthyotoxic and insect antifeedant activities for fraxinellone and fraxinellonone"", ""Antifertility, antiplatelet aggregation, and vasorelaxant activities for fraxinellone"", ""Reduced growth rate and food consumption of Tribolium castaneum by fraxinellone""]]","doi_bioActivity"
"[""10.1590/S0103-50532005000800025"", ""Antifungal""]","[""10.1590/S0103-50532005000800025"", [""Toxicity to leaf-cutting ants"", ""Reduction of leaf-cutting ants' longevity"", ""Inhibitory activity on L. gongylophorus growth"", ""Ichthyotoxic activity"", ""Insect antifeedant activity"", ""Antifertility activity"", ""Antiplatelet aggregation activity"", ""Vasorelaxant activity"", ""Reduction of growth rate and food consumption of Tribolium castaneum""]]","doi_bioActivity"
"[""10.1002/hlca.200890147"", ""Antifungal""]","[""10.1002/hlca.200890147"", [""Antifungal activity against Candida albicans and C. krusei"", ""No inhibitory effects against Candida parapsilosis and Cryptococcus neoformans""]]","doi_bioActivity"
"[""10.1590/S0103-50532010000500016"", ""Insecticidal""]","[""10.1590/S0103-50532010000500016"", [""insecticidal"", ""fungicidal"", ""analgesic"", ""anti-inflammatory""]]","doi_bioActivity"
"[""10.1002/cbdv.200800342"", ""Cytotoxic""]","[""10.1002/cbdv.200800342"", [""Cytotoxicity against human cancer cell lines"", ""Anti-ulcerogenic"", ""Anti-inflammatory"", ""Antivenom"", ""Anti-fungal activity"", ""Trypanosomicidal properties""]]","doi_bioActivity"
"[""10.1021/np800106x"", ""Antibacterial""]","[""10.1021/np800106x"", [""Antibacterial activity against Staphylococcus aureus, Bacillus cereus, Bacillus subtilis, Bacillus anthracis, Micrococcus luteus, Mycobacterium smegantis, and Mycobacterium phlei"", ""Moderate activity of compound 2 with MIC values in the range 7-20 \u00b5g/mL""]]","doi_bioActivity"
"[""10.1515/znc-2009-11-1212"", ""Inhibition of Acetylcholinesterase""]","[""10.1515/znc-2009-11-1212"", [""antifungal"", ""acetylcholinesterase inhibitory""]]","doi_bioActivity"
"[""10.1002/jobm.200800093"", ""Cytotoxic""]","[""10.1002/jobm.200800093"", [""cytotoxic"", ""anticancer"", ""antimicrobial"", ""anti-inflammatory"", ""antidiabetic"", ""prebiotic""]]","doi_bioActivity"
"[""10.1055/s-0029-1185364"", ""Antitrypanosomal""]","[""10.1055/s-0029-1185364"", [""Trypanocidal activity"", ""Cytotoxic activity""]]","doi_bioActivity"
"[""10.1016/S0031-9422(00)00225-9"", ""Antifungal""]","[""10.1016/S0031-9422(00)00225-9"", [""Antibacterial activity"", ""Antifungal activity""]]","doi_bioActivity"
"[""10.1016/S0031-9422(00)00225-9"", ""Antibacterial""]","[""10.1016/S0031-9422(00)00225-9"", [""Antibacterial activity"", ""Antifungal activity""]]","doi_bioActivity"
"[""10.3390/molecules190812031"", ""Antileishmanial""]","[""10.3390/molecules190812031"", []]","doi_bioActivity"
"[""10.3390/molecules190812031"", ""Insecticidal""]","[""10.3390/molecules190812031"", []]","doi_bioActivity"
"[""10.1016/j.cbi.2010.08.008"", ""Anticancer""]","[""10.1016/j.cbi.2010.08.008"", [""cytotoxic"", ""antiplasmodial"", ""anti-ulcer"", ""antitumor"", ""anti-inflammatory"", ""antimicrobial""]]","doi_bioActivity"
"[""10.1016/j.cbi.2010.08.008"", ""Cytotoxic""]","[""10.1016/j.cbi.2010.08.008"", [""cytotoxic"", ""antiplasmodial"", ""anti-ulcer"", ""antitumor"", ""anti-inflammatory"", ""antimicrobial""]]","doi_bioActivity"
"[""10.1021/jf063451x"", ""Antioxidant""]","[""10.1021/jf063451x"", [""Inhibition of lipid peroxidation (LPO)"", ""Inhibition of cyclooxygenase (COX-1 and COX-2) enzymes"", ""Antioxidant activity"", ""Anti-inflammatory activity""]]","doi_bioActivity"
"[""10.1021/jf063451x"", ""Anti-inflamatory""]","[""10.1021/jf063451x"", [""Inhibition of lipid peroxidation (LPO)"", ""Inhibition of cyclooxygenase (COX-1 and COX-2) enzymes""]]","doi_bioActivity"
"[""10.1016/S0031-9422(00)00477-5"", ""Antioxidant""]","[""10.1016/S0031-9422(00)00477-5"", [""antioxidant activity towards b-carotene"", ""inhibiting solid tumour growth of sarcoma 180"", ""effective against vascular smooth muscle cell proliferation"", ""antioxidant activity evaluated through malondialdehyde (MDA) and chemiluminescence (CL) assays"", ""antioxidant activity of dihydrochalcones and flavonolignans"", ""antioxidant activity of tocotrienols"", ""antioxidant activity of lignans""]]","doi_bioActivity"
"[""10.1016/S0031-9422(98)00069-7"", ""Inhibition of Glycosidase""]","[""10.1016/S0031-9422(98)00069-7"", []]","doi_bioActivity"
"[""10.1590/S0100-40422002000300002"", ""Cytotoxic""]","[""10.1590/S0100-40422002000300002"", [""antifungal"", ""DNA repair inhibition""]]","doi_bioActivity"
