"true","restored","edge_type"
"[""10.1021/np1007476"", ""Antioxidant""]","[""10.1021/np1007476"", [""antioxidant"", ""anticholinesterase""]]","doi_bioActivity"
"[""10.1021/np1007476"", ""Inhibition of Acetylcholinesterase""]","[""10.1021/np1007476"", [""antioxidant"", ""anticholinesterase""]]","doi_bioActivity"
"[""10.1016/S0031-9422(01)00431-9"", ""Antifungal""]","[""10.1016/S0031-9422(01)00431-9"", [""Antifungal activity against Cladosporium sphaerospermum"", ""Antifungal activity against C. cladosporioides""]]","doi_bioActivity"
"[""10.1248/bpb.31.538"", ""Antitrypanosomal""]","[""10.1248/bpb.31.538"", [""anti-trypanocidal"", ""anti-fungal"", ""anti-tumour""]]","doi_bioActivity"
"[""10.1107/S1600536803019913"", ""Antileishmanial""]","[""10.1107/S1600536803019913"", [""Inhibitory activity against the enzyme adenine phosphoribosyltransferase (APRT) from Leishmania""]]","doi_bioActivity"
"[""10.1016/0031-9422(81)80027-1"", ""Anesthetic""]","[""10.1016/0031-9422(81)80027-1"", [""anesthetic""]]","doi_bioActivity"
"[""10.1590/S0103-50532005000800025"", ""Inhibition of Acetylcholinesterase""]","[""10.1590/S0103-50532005000800025"", [""Toxicity to leaf-cutting ants"", ""High toxicity of limonexic acid to leaf-cutting ants, reducing their longevity"", ""Ichthyotoxic and insect antifeedant activities for fraxinellone and fraxinellonone"", ""Antifertility, antiplatelet aggregation, and vasorelaxant activities for fraxinellone"", ""Reduced growth rate and food consumption of Tribolium castaneum by fraxinellone""]]","doi_bioActivity"
"[""10.1590/S0103-50532005000800025"", ""Antifungal""]","[""10.1590/S0103-50532005000800025"", [""Toxicity to leaf-cutting ants"", ""High toxicity of limonexic acid to leaf-cutting ants, reducing their longevity"", ""Ichthyotoxic and insect antifeedant activities for fraxinellone and fraxinellonone"", ""Antifertility, antiplatelet aggregation, and vasorelaxant activities for fraxinellone"", ""Reduced growth rate and food consumption of Tribolium castaneum by fraxinellone""]]","doi_bioActivity"
"[""10.1002/hlca.200890147"", ""Antifungal""]","[""10.1002/hlca.200890147"", [""Antifungal activity against Candida albicans and C. krusei"", ""No inhibitory effects against Candida parapsilosis and Cryptococcus neoformans""]]","doi_bioActivity"
"[""10.1002/cbdv.200800342"", ""Cytotoxic""]","[""10.1002/cbdv.200800342"", [""Cytotoxicity against human cancer cell lines"", ""Anti-ulcerogenic"", ""Anti-inflammatory"", ""Antivenom"", ""Anti-fungal activity"", ""Trypanosomicidal properties""]]","doi_bioActivity"
"[""10.1016/S0031-9422(00)00477-5"", ""Antioxidant""]","[""10.1016/S0031-9422(00)00477-5"", [""Antioxidant activity towards b-carotene"", ""Inhibition of solid tumour growth of sarcoma 180"", ""Inhibition of highly metastatic Lewis lung carcinoma cells"", ""Effective against vascular smooth muscle cell proliferation""]]","doi_bioActivity"
"[""10.1016/S0031-9422(98)00069-7"", ""Inhibition of Glycosidase""]","[""10.1016/S0031-9422(98)00069-7"", []]","doi_bioActivity"
"[""10.1590/S0100-40422002000300002"", ""Cytotoxic""]","[""10.1590/S0100-40422002000300002"", [""antifungal"", ""DNA repair inhibition""]]","doi_bioActivity"
"[""10.1055/s-2002-36346"", ""Antibacterial""]","[""10.1055/s-2002-36346"", [""Antibacterial activity against Gram-positive bacteria Bacillus cereus and B. subtilis and fast-acid bacterium Mycobacterium fortuitum""]]","doi_bioActivity"
"[""10.1590/S0102-695X2007000300003"", ""Antioxidant""]","[""10.1590/S0102-695X2007000300003"", [""antimicrobial activity against Gram-positive bacteria Staphylococcus aureus and Bacillus subtilis"", ""cytotoxicity against mouse lymphoma (L5178) and KB cell lines"", ""acetylcholinesterase inhibition"", ""antioxidant activity measured by DPPH test""]]","doi_bioActivity"
"[""10.1016/j.jfca.2003.09.013"", ""Inhibition of Glycosidase""]","[""10.1016/j.jfca.2003.09.013"", [""antioxidant activity"", ""antiradical activity"", ""free radical scavenging activity""]]","doi_bioActivity"
"[""10.1002/ps.478"", ""Insecticidal""]","[""10.1002/ps.478"", [""insecticidal"", ""growth inhibiting"", ""reducing total liver cholesterol concentration"", ""protecting against oxidative damage to liver mitochondria"", ""inhibiting lens aldose reductase to prevent cataract formation in diabetes"", ""enhancement of the vanadate-stimulated release of lipoprotein lipase activity"", ""hepatoprotective effect"", ""facilitates apoptosis of interleukin-2-dependent phytohaemaglutinin-activated Jurkat cells"", ""antinociceptive"", ""anti-oedematogenic"", ""antidepressant"", ""enzyme inhibitory properties""]]","doi_bioActivity"
"[""10.4067/S0717-97072009000300004"", ""Inhibition of Glycosidase""]","[""10.4067/S0717-97072009000300004"", []]","doi_bioActivity"
"[""10.1021/np0303963"", ""Cytotoxic""]","[""10.1021/np0303963"", [""DNA-damaging activity""]]","doi_bioActivity"
"[""10.1590/S0100-40422012000700020"", ""Inhibition of Acetylcholinesterase""]","[""10.1590/S0100-40422012000700020"", [""Inhibitors of photosynthesis"", ""Bactericidal activity"", ""Cytotoxic activity against adenocarcinoma, epithelioma, breast cancer, and stomach cancer cell lines"", ""Hill reaction inhibitors"", ""Inhibition of PSII electron flow"", ""Inhibition of ATP synthesis"", ""Creation of silent reaction centers in photosystem II""]]","doi_bioActivity"
"[""10.1590/S0103-50532003000500012"", ""Antioxidant""]","[""10.1590/S0103-50532003000500012"", [""antioxidant"", ""cardioprotective effects"", ""anti-inflammatory"", ""anti-tumoral""]]","doi_bioActivity"
"[""10.1590/S0103-50532002000100019"", ""Insecticidal""]","[""10.1590/S0103-50532002000100019"", [""Insecticidal activity against Apis mellifera (honey bees)"", ""Reducing total liver cholesterol concentration"", ""Protecting against oxidative damage to liver mitochondria and hemolysis erythrocytes"", ""Inhibiting lens aldose reductase to prevent cataract formation in diabetes"", ""Enhancement of the vanadate-stimulated release of lipoprotein lipase activity"", ""Hepatoprotective effect in rats and mice""]]","doi_bioActivity"
"[""10.1248/cpb.56.723"", ""Inhibition of Glycosidase""]","[""10.1248/cpb.56.723"", [""myeloperoxidase inhibitory activity"", ""radical scavenging activity"", ""antioxidant activity"", ""anti-inflammatory activity""]]","doi_bioActivity"
"[""10.1248/cpb.56.723"", ""Inhibition of Myeloperoxodase""]","[""10.1248/cpb.56.723"", [""myeloperoxidase inhibitory"", ""radical scavenging"", ""antioxidant"", ""anti-inflammatory""]]","doi_bioActivity"
"[""10.1515/znc-2008-5-611"", ""Antitrypanosomal""]","[""10.1515/znc-2008-5-611"", [""Trypanocidal effects on Trypanosoma cruzi and T. brucei"", ""Enzymatic inhibitory activities on glycosomal glycerolaldehyde-3-phosphate dehydrogenase (gGAPDH) and trypanothione reductase (TR) enzymes from T. cruzi"", ""Enzymatic inhibitory activity on adeninephosphoribosyl transferase (APRT) enzyme from Leishmania tarentolae""]]","doi_bioActivity"
"[""10.1080/14786410903335232"", ""Anticancer""]","[""10.1080/14786410903335232"", [""Suppression of TNF-a induced NFkB activity"", ""Anti-microbial"", ""Antioxidant"", ""Cytotoxic"", ""Antiviral"", ""Anti-inflammatory"", ""Cancer chemoprevention"", ""Inhibition of NFkB activation"", ""Prevention of inflammatory and atherosclerosis responses""]]","doi_bioActivity"
"[""10.5935/0103-5053.19960024"", ""Antifungal""]","[""10.5935/0103-5053.19960024"", [""antifungal"", ""inhibitory activity against fungal growth""]]","doi_bioActivity"
"[""10.1002/ps.1278"", ""Insecticidal""]","[""10.1002/ps.1278"", [""Insecticidal activity against Spodoptera frugiperda"", ""Larval growth inhibition"", ""Feeding deterrence""]]","doi_bioActivity"
"[""10.1155/2013/835081"", ""Antifungal""]","[""10.1155/2013/835081"", [""antimicrobial activity"", ""antifungal activity"", ""anti-Candida activity"", ""antibacterial activity"", ""antimalarial activity""]]","doi_bioActivity"
"[""10.1515/znc-2002-5-602"", ""Insecticidal""]","[""10.1515/znc-2002-5-602"", [""insecticidal"", ""ictiotoxic"", ""anticarcinogenic"", ""potential use against tumours including skin cancer""]]","doi_bioActivity"
"[""10.1515/znc-2002-5-602"", ""Anticancer""]","[""10.1515/znc-2002-5-602"", [""activity against insects"", ""ictiotoxic activity"", ""fish poison"", ""anticarcinogenic activities"", ""potential use against tumours including skin cancer""]]","doi_bioActivity"
"[""10.1515/znc-2002-5-602"", ""Cytotoxic""]","[""10.1515/znc-2002-5-602"", [""activity against insects"", ""ictiotoxic activity"", ""fish poison"", ""anticarcinogenic activities"", ""potential use against tumours including skin cancer""]]","doi_bioActivity"
"[""10.1016/S0031-9422(97)00238-0"", ""Antifungal""]","[""10.1016/S0031-9422(97)00238-0"", [""Antifungal""]]","doi_bioActivity"
"[""10.1016/S0031-9422(97)00238-0"", ""Antioxidant""]","[""10.1016/S0031-9422(97)00238-0"", [""Antifungal""]]","doi_bioActivity"
"[""10.1248/cpb.56.407"", ""Anti-inflamatory""]","[""10.1248/cpb.56.407"", [""Antinociceptive"", ""Anti-inflammatory"", ""Analgesic"", ""Acetylcholinesterase inhibition""]]","doi_bioActivity"
"[""10.1590/S0100-40422008000400023"", ""Antifungal""]","[""10.1590/S0100-40422008000400023"", [""Antifungal activity"", ""Antimicrobial activity"", ""Molluscicidal activity"", ""Cytotoxic activity""]]","doi_bioActivity"
"[""10.1016/S0031-9422(97)00598-0"", ""Antitrypanosomal""]","[""10.1016/S0031-9422(97)00598-0"", []]","doi_bioActivity"
"[""10.1590/S0103-50532005000800029"", ""Cytotoxic""]","[""10.1590/S0103-50532005000800029"", [""Cytotoxicity against human cervical tumor cell line (HeLa)"", ""Antifungal activity against Cladosporium cladosporioides and Cladosporium sphaerospermum""]]","doi_bioActivity"
"[""10.1590/S0103-50532005000800029"", ""Antifungal""]","[""10.1590/S0103-50532005000800029"", [""Cytotoxicity against human cervical tumor cell line (HeLa)"", ""Antifungal activity against Cladosporium cladosporioides and Cladosporium sphaerospermum""]]","doi_bioActivity"
"[""10.1021/np060254j"", ""Anxiolytic""]","[""10.1021/np060254j"", [""Anxiolytic effects""]]","doi_bioActivity"
"[""10.1016/S0031-9422(98)00249-0"", ""Cytotoxic""]","[""10.1016/S0031-9422(98)00249-0"", [""DNA-damaging activity"", ""Selective activity towards DNA-repair deficient yeast Saccharomyces cerevisiae mutants RAD 52YK and RS 321"", ""Cytotoxic activity against V-79 cells""]]","doi_bioActivity"
"[""10.1590/S0100-40421998000600005"", ""Antifungal""]","[""10.1590/S0100-40421998000600005"", [""antitumoral"", ""antifungal"", ""vermifuge"", ""anti-anemic"", ""antimicrobial"", ""MAO-B enzyme inhibitor"", ""fungicidal"", ""fungitoxic""]]","doi_bioActivity"
"[""10.1590/S0103-50532007000700017"", ""Antioxidant""]","[""10.1590/S0103-50532007000700017"", [""Antifungal""]]","doi_bioActivity"
"[""10.1590/S0103-50532007000700017"", ""Antifungal""]","[""10.1590/S0103-50532007000700017"", [""Antifungal""]]","doi_bioActivity"
"[""10.1021/np9704617"", ""Antifungal""]","[""10.1021/np9704617"", [""antifungal activity against Cladosporium dadosporioides"", ""antifungal activity against C. dadosporidoides""]]","doi_bioActivity"
"[""10.1590/S0103-50532009000100029"", ""Antitrypanosomal""]","[""10.1590/S0103-50532009000100029"", [""trypanocidal activity"", ""anti-parasite"", ""antibacterial"", ""antifungal"", ""antitumoral"", ""anti-inflammatory"", ""platelet-activating factor (PAF) inhibition""]]","doi_bioActivity"
"[""10.2174/187152010794728620"", ""Cell growth inhbition""]","[""10.2174/187152010794728620"", [""Inhibition of cell growth in human tumor cell lines"", ""Induction of apoptosis in human tumor cell lines"", ""Cell cycle arrest in human tumor cell lines"", ""Cytotoxic effects against various cancer cell lines"", ""Inhibition of DNA polymerase and DNA topoisomerase"", ""Antimutagenic and antiangiogenic activities"", ""Inhibition of mitochondrial membrane permeability"", ""Inhibition of STAT3 signaling in cancer cells"", ""Inhibition of Hsp90 folding machinery"", ""Induction of differentiation in cancer cell lines""]]","doi_bioActivity"
"[""10.1016/j.phytochem.2005.04.043"", ""Antifungal""]","[""10.1016/j.phytochem.2005.04.043"", [""Moderate antifungal activity against Cidasopporum sphaerospermum and C. cladasoporioides"", ""Potent proliferative stimulus to two mammalian cell lines"", ""Weak antifungal activity"", ""Weak stimulatory effect in HeLa cells""]]","doi_bioActivity"
"[""10.1590/S0073-47212009000100009"", ""Insecticidal""]","[""10.1590/S0073-47212009000100009"", [""Toxicity"", ""Insecticidal potential""]]","doi_bioActivity"
"[""10.1016/j.chroma.2009.02.066"", ""Antifungal""]","[""10.1016/j.chroma.2009.02.066"", [""inhibitor of ants' symbiotic fungus"", ""anti-tumor"", ""anti-bacterial""]]","doi_bioActivity"
"[""10.1016/j.micres.2004.06.003"", ""Antibacterial""]","[""10.1016/j.micres.2004.06.003"", [""Antibacterial activity against Staphylococcus aureus"", ""Antibacterial activity against Micrococcus luteus""]]","doi_bioActivity"
"[""10.1016/j.jep.2007.09.020"", ""Antileishmanial""]","[""10.1016/j.jep.2007.09.020"", [""anti-inflammatory"", ""antinociceptive"", ""antioxidant"", ""preventive effect against kidney stone""]]","doi_bioActivity"
"[""10.1590/S0103-50532002000100010"", ""Antitrypanosomal""]","[""10.1590/S0103-50532002000100010"", [""Antifungal activity against Leucoagarcius gongylophorus"", ""Weak inhibitory activity against Trypanosoma cruzi""]]","doi_bioActivity"
"[""10.1590/S0103-50532002000100010"", ""Antifungal""]","[""10.1590/S0103-50532002000100010"", [""Antifungal activity against Leucoagarcius gongylophorus"", ""Weak inhibitory activity against Trypanosoma cruzi""]]","doi_bioActivity"
