"true","restored","edge_type"
"[""10.1016/S0031-9422(01)00431-9"", ""Antifungal""]","[""10.1016/S0031-9422(01)00431-9"", [""Antifungal activity against Cladosporium phaerosospermum"", ""Antifungal activity against C. cladosporioides""]]","doi_bioActivity"
"[""10.1248/bpb.31.538"", ""Antitrypanosomal""]","[""10.1248/bpb.31.538"", [""anti-trypanocidal"", ""anti-fungal"", ""anti-tumour""]]","doi_bioActivity"
"[""10.1590/S0103-50532005000800025"", ""Inhibition of Acetylcholinesterase""]","[""10.1590/S0103-50532005000800025"", [""Toxicity to leaf-cutting ants"", ""Inhibitory activity on L. gongylophorus growth"", ""Ichthyotoxic activity"", ""Insect antifeedant activity"", ""Antifertility activity"", ""Antiplatelet aggregation activity"", ""Vasorelaxant activity"", ""Reduced growth rate and food consumption of Tribolium castaneum""]]","doi_bioActivity"
"[""10.1590/S0103-50532005000800025"", ""Antifungal""]","[""10.1590/S0103-50532005000800025"", [""Toxicity to leaf-cutting ants"", ""High toxicity of limonexic acid to leaf-cutting ants, reducing their longevity"", ""Ichthyotoxic and insect antifeedant activities for fraxinellone and fraxinellonone"", ""Antifertility, antiplatelet aggregation, and vasorelaxant activities for fraxinellone"", ""Reduced growth rate and food consumption of Tribolium castaneum by fraxinellone""]]","doi_bioActivity"
"[""10.1002/cbdv.200800342"", ""Cytotoxic""]","[""10.1002/cbdv.200800342"", [""Cytotoxicity against human cancer cell lines"", ""Anti-ulcerogenic"", ""Anti-inflammatory"", ""Antivenom"", ""Anti-fungal activity"", ""Trypanosomicidal properties""]]","doi_bioActivity"
"[""10.1590/S0100-40422002000300002"", ""Cytotoxic""]","[""10.1590/S0100-40422002000300002"", [""antifungal activity"", ""inhibitory activity on DNA repair pathways""]]","doi_bioActivity"
"[""10.1055/s-2002-36346"", ""Antibacterial""]","[""10.1055/s-2002-36346"", [""Antibacterial activity against Gram-positive bacteria Bacillus cereus and B. subtilis and fast-acid bacterium Mycobacterium fortuitum""]]","doi_bioActivity"
"[""10.1590/S0102-695X2007000300003"", ""Antioxidant""]","[""10.1590/S0102-695X2007000300003"", [""antimicrobial activity against Gram-positive bacteria Staphylococcus aureus and Bacillus subtilis"", ""cytotoxicity against mouse lymphoma (L5178) and KB cell lines"", ""acetylcholinesterase inhibition"", ""antioxidant activity measured by DPPH test""]]","doi_bioActivity"
"[""10.4067/S0717-97072009000300004"", ""Inhibition of Glycosidase""]","[""10.4067/S0717-97072009000300004"", []]","doi_bioActivity"
"[""10.1021/np0303963"", ""Cytotoxic""]","[""10.1021/np0303963"", [""DNA-damaging activity""]]","doi_bioActivity"
