"true","restored","edge_type"
"[""10.1016/j.tiv.2008.01.003"", ""Ribeirao Preto/SP""]","[""10.1016/j.tiv.2008.01.003"", []]","doi_collectionSite"
"[""10.1021/np1007476"", ""Belem/PA""]","[""10.1021/np1007476"", [""Reserva do Viro, Belem, PA, Brazil""]]","doi_collectionSite"
"[""10.1016/S0031-9422(01)00431-9"", ""Manaus/AM""]","[""10.1016/S0031-9422(01)00431-9"", [""Aranaquara-SP, Brazil"", ""Campus do INPA--Manaus, Brazil""]]","doi_collectionSite"
"[""10.1248/bpb.31.538"", ""Araraquara/SP""]","[""10.1248/bpb.31.538"", [""Institute of Chemistry, UNESP, Araraquara-SP, Brazil"", ""Universidad Pedro Ruiz Gallo, Lambayeque, Peru""]]","doi_collectionSite"
"[""10.1007/s10295-012-1165-2"", ""Ribeirao Preto/SP""]","[""10.1007/s10295-012-1165-2"", [""Ribeirao Preto, Brazil"", ""Mato Grosso do Sul State, Brazil""]]","doi_collectionSite"
"[""10.1016/0031-9422(73)85048-4"", ""N/A/AM""]","[""10.1016/0031-9422(73)85048-4"", [""Flooded banks of the Amazon river and its tributaries"", ""Linhares Reserve, near Vitoria, Espirito Santo State""]]","doi_collectionSite"
"[""10.1590/s0100-40422008000700015"", ""Ribeirao Preto/SP""]","[""10.1590/s0100-40422008000700015"", [""canteiro de plantas do Laboratorio de Farmacocgnosa da Faculdade de Ciencias Farmaceuticas de Ribeirao Preto - USP""]]","doi_collectionSite"
"[""10.1107/S1600536803019913"", ""Manaus/AM""]","[""10.1107/S1600536803019913"", [""Manaus region of the Brazilian Amazon forest""]]","doi_collectionSite"
"[""10.1590/S0100-40422010000900005"", ""Piracicaba/SP""]","[""10.1590/S0100-40422010000900005"", []]","doi_collectionSite"
"[""10.1590/S0102-695X2010005000017"", ""Sao Paulo/SP""]","[""10.1590/S0102-695X2010005000017"", [""Botanic Garden of Sao Paulo, Sao Paulo, Brazil""]]","doi_collectionSite"
"[""10.1016/j.bmc.2010.12.056"", ""Campinas/SP""]","[""10.1016/j.bmc.2010.12.056"", []]","doi_collectionSite"
"[""10.1016/j.phytochem.2006.09.005"", ""Araraquara/SP""]","[""10.1016/j.phytochem.2006.09.005"", [""Estacao Experimental de Araraquara, Araraquara, Sao Paulo, Brazil""]]","doi_collectionSite"
"[""10.1016/0031-9422(81)80027-1"", ""Rio De Janeiro/RJ""]","[""10.1016/0031-9422(81)80027-1"", [""hillside of the Corcovado Mountain in Rio de Janeiro""]]","doi_collectionSite"
"[""10.5935/0103-5053.19930018"", ""N/A/ES""]","[""10.5935/0103-5053.19930018"", [""Espirito Santo, Brazil""]]","doi_collectionSite"
"[""10.1021/np9004079"", ""Campinas/SP""]","[""10.1021/np9004079"", [""Campinas municipality, Sao Paulo, Brazil""]]","doi_collectionSite"
"[""10.1590/S0103-50532005000800025"", ""Ibirama/SC""]","[""10.1590/S0103-50532005000800025"", [""Ressacada, Ibirama, SC, Brazil""]]","doi_collectionSite"
"[""10.1590/S0103-50532010000500016"", ""Rio Verde/GO""]","[""10.1590/S0103-50532010000500016"", [""Rio Verde-Jatai, GO, Brazil""]]","doi_collectionSite"
"[""10.1021/np800106x"", ""Recife/PE""]","[""10.1021/np800106x"", [""Varzea-PE, Brazil""]]","doi_collectionSite"
"[""10.1515/znc-2009-11-1212"", ""Mogi Guacu/SP""]","[""10.1515/znc-2009-11-1212"", [""Estacao Ecologica Experimental de Mogi-Guava, Fazenda Campinina, Mogi-Guava, Sao Paulo, Brazil""]]","doi_collectionSite"
"[""10.1002/jobm.200800093"", ""Ribeirao Preto/SP""]","[""10.1002/jobm.200800093"", [""Ribeirao Preto, State of Sao Paulo, Brazil""]]","doi_collectionSite"
"[""10.1055/s-0029-1185364"", ""Pocos De Caldas/MG""]","[""10.1055/s-0029-1185364"", [""Poos de Caldas, MG, Brazil""]]","doi_collectionSite"
"[""10.1016/S0031-9422(00)00225-9"", ""Mogi Guacu/SP""]","[""10.1016/S0031-9422(00)00225-9"", [""Campininha Farm, Mogi-Guacu, SP, Brazil""]]","doi_collectionSite"
