"true","restored","edge_type"
"[""10.1016/j.tiv.2008.01.003"", ""Ribeirao Preto/SP""]","[""10.1016/j.tiv.2008.01.003"", []]","doi_collectionSite"
"[""10.1021/np1007476"", ""Belem/PA""]","[""10.1021/np1007476"", [""Reserva do Viro, Belem, PA, Brazil""]]","doi_collectionSite"
"[""10.1107/S1600536803019913"", ""Manaus/AM""]","[""10.1107/S1600536803019913"", [""Manaus region of the Brazilian Amazon forest""]]","doi_collectionSite"
"[""10.1016/j.bmc.2010.12.056"", ""Campinas/SP""]","[""10.1016/j.bmc.2010.12.056"", []]","doi_collectionSite"
"[""10.1016/j.phytochem.2006.09.005"", ""Araraquara/SP""]","[""10.1016/j.phytochem.2006.09.005"", [""Estacao Experimental de Araraquara, Araraquara, Sao Paulo, Brazil""]]","doi_collectionSite"
"[""10.1021/np9004079"", ""Campinas/SP""]","[""10.1021/np9004079"", [""Campinas municipality, Sao Paulo, Brazil""]]","doi_collectionSite"
"[""10.1590/S0103-50532005000800025"", ""Ibirama/SC""]","[""10.1590/S0103-50532005000800025"", [""Ressacada, Ibirama, SC, Brazil""]]","doi_collectionSite"
"[""10.1021/np800106x"", ""Recife/PE""]","[""10.1021/np800106x"", [""Varzea-PE, Brazil""]]","doi_collectionSite"
"[""10.1515/znc-2009-11-1212"", ""Mogi Guacu/SP""]","[""10.1515/znc-2009-11-1212"", [""Estacao Ecologica Experimental de Mogi-Guava, Fazenda Campinina, Mogi-Guava, Sao Paulo, Brazil""]]","doi_collectionSite"
"[""10.1016/S0031-9422(00)00225-9"", ""Mogi Guacu/SP""]","[""10.1016/S0031-9422(00)00225-9"", [""Campininha Farm, Mogi-Guacu, SP, Brazil""]]","doi_collectionSite"
"[""10.3390/molecules190812031"", ""Manaus/AM""]","[""10.3390/molecules190812031"", [""Linhares, Espirito Santo state, Brazil"", ""Adolpho Ducke Forest Reserve, Itacoatiara, Amazonas state, Brazil"", ""road from Manaus to Itacoatiara km 31, Amazonas state, Brazil""]]","doi_collectionSite"
"[""10.1021/jf063451x"", ""Belem/PA""]","[""10.1021/jf063451x"", [""Reserva do Mocampo, Amazon forest""]]","doi_collectionSite"
"[""10.1016/S0031-9422(00)00477-5"", ""Belem/PA""]","[""10.1016/S0031-9422(00)00477-5"", [""Reserva do Mocambo, in the Amazon Forest""]]","doi_collectionSite"
"[""10.1016/S0031-9422(98)00069-7"", ""Corumba/MS""]","[""10.1016/S0031-9422(98)00069-7"", [""Corumba (Mato Grosso do Sul, Brazil)""]]","doi_collectionSite"
"[""10.1590/S0100-40422002000300002"", ""Mogi Guacu/SP""]","[""10.1590/S0100-40422002000300002"", [""Estacao Ecologica e Experimental de Mogi-Guacu-SP""]]","doi_collectionSite"
"[""10.1016/j.phytochem.2008.01.006"", ""Sao Paulo/SP""]","[""10.1016/j.phytochem.2008.01.006"", [""Botanical Garden, Sao Paulo""]]","doi_collectionSite"
"[""10.1515/znc-2011-5-607"", ""Sao Paulo/SP""]","[""10.1515/znc-2011-5-607"", [""Universidade Federal de Vicosa, Vicosa, MG, Brazil"", ""Cognis Brasil Ltda., Av. Nacoes Unidas 10989, 4deg andar, Sao Paulo, SP, Brazil""]]","doi_collectionSite"
"[""10.1016/j.jphotobiol.2013.01.006"", ""Sao Paulo/SP""]","[""10.1016/j.jphotobiol.2013.01.006"", [""Brazil"", ""local market""]]","doi_collectionSite"
"[""10.1016/j.jphotobiol.2013.01.006"", ""N/A/ES""]","[""10.1016/j.jphotobiol.2013.01.006"", []]","doi_collectionSite"
"[""10.4067/S0717-97072009000300004"", ""Sao Paulo/SP""]","[""10.4067/S0717-97072009000300004"", []]","doi_collectionSite"
"[""10.1016/j.bse.2006.06.007"", ""N/A/SP""]","[""10.1016/j.bse.2006.06.007"", [""Cerrado"", ""Atlantic Forest""]]","doi_collectionSite"
"[""10.1016/S0031-9422(00)00248-X"", ""N/A/ES""]","[""10.1016/S0031-9422(00)00248-X"", [""Espirito Santo, Brazil""]]","doi_collectionSite"
