"true","restored","edge_type"
"[""10.1021/np1007476"", ""Belem/PA""]","[""10.1021/np1007476"", [""Reserva do Viro, Belem, PA, Brazil""]]","doi_collectionSite"
"[""10.1107/S1600536803019913"", ""Manaus/AM""]","[""10.1107/S1600536803019913"", [""Manaus region of the Brazilian Amazon forest""]]","doi_collectionSite"
"[""10.1016/j.bmc.2010.12.056"", ""Campinas/SP""]","[""10.1016/j.bmc.2010.12.056"", []]","doi_collectionSite"
"[""10.1515/znc-2009-11-1212"", ""Mogi Guacu/SP""]","[""10.1515/znc-2009-11-1212"", [""Estacao Ecologica Experimental de Mogi-Guava, Fazenda Campinina, Mogi-Guava, Sao Paulo, Brazil""]]","doi_collectionSite"
"[""10.1016/S0031-9422(00)00225-9"", ""Mogi Guacu/SP""]","[""10.1016/S0031-9422(00)00225-9"", [""Campininha Farm, Mogi-Guacu, SP, Brazil""]]","doi_collectionSite"
"[""10.3390/molecules190812031"", ""Manaus/AM""]","[""10.3390/molecules190812031"", [""Linhares, Espirito Santo state, Brazil"", ""Adolpho Ducke Forest Reserve, Itacoatiara, Amazonas state, Brazil"", ""road from Manaus to Itacoatiara km 31, Amazonas state, Brazil""]]","doi_collectionSite"
"[""10.1021/jf063451x"", ""Belem/PA""]","[""10.1021/jf063451x"", [""Reserva do Mocampo, Amazon forest""]]","doi_collectionSite"
"[""10.1590/S0100-40422002000300002"", ""Mogi Guacu/SP""]","[""10.1590/S0100-40422002000300002"", [""Estacao Ecologica e Experimental de Mogi-Guacu-SP""]]","doi_collectionSite"
"[""10.1016/j.phytochem.2008.01.006"", ""Sao Paulo/SP""]","[""10.1016/j.phytochem.2008.01.006"", [""Botanical Garden, Sao Paulo""]]","doi_collectionSite"
"[""10.1016/j.phytol.2010.11.003"", ""Mogi Guacu/SP""]","[""10.1016/j.phytol.2010.11.003"", [""Estacao Ecologica Experimental de Mogi-Guacu, Fazenda Campininha, Mogi-Guacu, Sao Paulo, Brazil""]]","doi_collectionSite"
"[""10.1590/S0103-50532003000500012"", ""Belem/PA""]","[""10.1590/S0103-50532003000500012"", [""Reserva do Viro, Belem - PA, Brazil""]]","doi_collectionSite"
"[""10.1080/14786419.2011.647020"", ""N/A/MG""]","[""10.1080/14786419.2011.647020"", [""Minas Gerais, Brazil""]]","doi_collectionSite"
"[""10.1248/cpb.56.407"", ""Araraquara/SP""]","[""10.1248/cpb.56.407"", [""Cassia spectabilis"", ""Cassia spectroballs (DC)""]]","doi_collectionSite"
"[""10.1590/S0100-40422008000400023"", ""Iguape/SP""]","[""10.1590/S0100-40422008000400023"", [""Reserva Jureia-Itatins, Iguape - SP""]]","doi_collectionSite"
"[""10.1515/znb-2005-0715"", ""Murici/AL""]","[""10.1515/znb-2005-0715"", [""Pocos D'antas, municipio de Murici, Alagoas state, Brazil""]]","doi_collectionSite"
"[""10.1021/np9704617"", ""Mogi Guacu/SP""]","[""10.1021/np9704617"", [""Campininha Farm, Mogi-Guayi, SP, Brazil""]]","doi_collectionSite"
"[""10.2174/187152010794728620"", ""Vicosa/MG""]","[""10.2174/187152010794728620"", [""Federal University of Viosa, MG, Brazil"", ""city of Belem, Para State, Brazil""]]","doi_collectionSite"
"[""10.1016/j.jpba.2012.08.028"", ""Sao Paulo/SP""]","[""10.1016/j.jpba.2012.08.028"", [""Faculty of Pharmaceutical Sciences of Ribeirao Preto - University of Sao Paulo""]]","doi_collectionSite"
"[""10.1016/j.micres.2004.06.003"", ""Sao Carlos/SP""]","[""10.1016/j.micres.2004.06.003"", [""Brazilian soil sample"", ""Sao Carlos, state of Sao Paulo, Brazil""]]","doi_collectionSite"
"[""10.1055/s-0028-1088323"", ""Sao Carlos/SP""]","[""10.1055/s-0028-1088323"", [""Sao Carlos-SP, Brazil""]]","doi_collectionSite"
"[""10.1021/jf00030a035"", ""N/A/CE""]","[""10.1021/jf00030a035"", [""Sao Paulo, Brazil"", ""Sao Carlos, Brazil"", ""Rio de Janeiro, Brazil""]]","doi_collectionSite"
"[""10.1080/14786410802243271"", ""N/A/SP""]","[""10.1080/14786410802243271"", [""Vale do Ribeira, Atlantic Forest (Sao Paulo State, Brazil)""]]","doi_collectionSite"
"[""10.1016/S0031-9422(03)00153-5"", ""Manaus/AM""]","[""10.1016/S0031-9422(03)00153-5"", [""Manaus, Brazil""]]","doi_collectionSite"
"[""10.1590/S0102-695X2010000100002"", ""Sao Carlos/SP""]","[""10.1590/S0102-695X2010000100002"", [""S\u00e3o Carlos, SP, Brazil"", ""S\u00e3o Paulo, SP, Brazil""]]","doi_collectionSite"
"[""10.1021/np900644x"", ""Araraquara/SP""]","[""10.1021/np900644x"", [""Araraquara (Sao Paulo, Brazil)""]]","doi_collectionSite"
"[""10.3390/molecules15129205"", ""Sao Paulo/SP""]","[""10.3390/molecules15129205"", [""Cidade Universitaria - Armando Salles de Oliveira- CUASO, USP, Sao Paulo State, Brazil""]]","doi_collectionSite"
