"true","restored","edge_type"
"[""10.1016/j.tiv.2008.01.003"", ""Maytenus ilicifolia (Celastraceae)""]","[""10.1016/j.tiv.2008.01.003"", [""Maytenus ilicifolia""]]","doi_collectionSpecie"
"[""10.1021/np1007476"", ""Chimarrhis turbinata (Rubiaceae)""]","[""10.1021/np1007476"", [""Chimarrhis turbinata""]]","doi_collectionSpecie"
"[""10.1016/S0031-9422(01)00431-9"", ""Piper tuberculatum (Piperaceae)""]","[""10.1016/S0031-9422(01)00431-9"", [""Piper arboreum"", ""Piper tuberculatum"", ""Piper hspidium"", ""Piper rugosum"", ""Piper guineense"", ""Piper aduncanin"", ""Piper longum"", ""Piper abscesses"", ""Fagara macrophylla"", ""Piper trugsam""]]","doi_collectionSpecie"
"[""10.1248/bpb.31.538"", ""Piper aduncum (Piperaceae)""]","[""10.1248/bpb.31.538"", [""Piper gaudichaudianum"", ""Piper aduncum"", ""Trypanosoma cruzi""]]","doi_collectionSpecie"
"[""10.1248/bpb.31.538"", ""Piper gaudichaudianum (Piperaceae)""]","[""10.1248/bpb.31.538"", [""Piper gaudichaudianum"", ""Piper aduncum""]]","doi_collectionSpecie"
"[""10.1007/s10295-012-1165-2"", ""Aspergillus terreus""]","[""10.1007/s10295-012-1165-2"", [""Aspergillus terreus"", ""Tithonia diversifolia"", ""Aspergillus niger"", ""A. ochraceous"", ""Cunninghamella echinulata"", ""Rhizopus oryzae"", ""Trichoderma koningii"", ""Streptomyces griseus"", ""Mucor spinosus"", ""Cystoderma carcharias"", ""Eurotium amstelodami"", ""Neurolaema lobata"", ""Viguiera quinqueremis""]]","doi_collectionSpecie"
"[""10.1007/s10295-012-1165-2"", ""Tithonia diversifolia""]","[""10.1007/s10295-012-1165-2"", [""Aspergillus terreus"", ""Tithonia diversifolia"", ""Aspergillus niger"", ""A. ochraceous"", ""Cunninghamella echinulata"", ""Rhizopus oryzae"", ""Trichoderma koningii"", ""Streptomyces griseus"", ""Mucor spinosus"", ""Cystoderma carcharias"", ""Eurotium amstelodami"", ""Neurolaema lobata"", ""Viguiera quinqueremis""]]","doi_collectionSpecie"
"[""10.1016/0031-9422(73)85048-4"", ""Dalbergia riparia""]","[""10.1016/0031-9422(73)85048-4"", [""Dalbergia riparia"", ""Poecilanthe parviflora""]]","doi_collectionSpecie"
"[""10.1590/s0100-40422008000700015"", ""Chaetomium globosum""]","[""10.1590/s0100-40422008000700015"", [""Chaetomium globosum"", ""Viguiera robusta"", ""Taxus brevifolia"", ""Nothapodytes foetida"", ""Podophyllum pelatum"", ""Podophyllum hexandrum"", ""Escherichia coli"", ""Staphylococcus aureus""]]","doi_collectionSpecie"
"[""10.1107/S1600536803019913"", ""Adiscanthus fusciflorus""]","[""10.1107/S1600536803019913"", [""Adiscanthus fusciflorus"", ""Leishmania tarentolae""]]","doi_collectionSpecie"
"[""10.1590/S0100-40422010000900005"", ""Trichilia claussenii (Meliaceae)""]","[""10.1590/S0100-40422010000900005"", [""Trichilia claussenii"", ""Spodoptera frugiperda""]]","doi_collectionSpecie"
"[""10.1590/S0102-695X2010005000017"", ""Pterogyne nitens (Fabaceae)""]","[""10.1590/S0102-695X2010005000017"", [""Pterogyne nitens"", ""Candida albicans"", ""Candida krusei"", ""Candida parapsilosis"", ""Cryptococcus neoformans"", ""Aspergillus"", ""Mucor"", ""Fusarium"", ""Trichosporon"", ""Sedosporium"", ""Psidium guajava"", ""Origanum vulgare"", ""Alchornea glandulosa"", ""Lippia alba"", ""Struthanthus vulgaris""]]","doi_collectionSpecie"
"[""10.1590/S0100-46702007000300002"", ""Michelia champaca (Magnoliaceae)""]","[""10.1590/S0100-46702007000300002"", [""Michelia champaca"", ""Staphylococcus aureus"", ""Cladosporium cladosporioides"", ""Cladosporium sphaerospermum""]]","doi_collectionSpecie"
"[""10.1016/j.bmc.2010.12.056"", ""Swinglea glutinosa""]","[""10.1016/j.bmc.2010.12.056"", [""Swinglea glutinosa""]]","doi_collectionSpecie"
