"true","restored","edge_type"
"[""10.1016/j.tiv.2008.01.003"", ""Plant Isolated""]","[""10.1016/j.tiv.2008.01.003"", [""liquid-liquid partitioning"", ""silica gel column chromatography"", ""flash silica gel column chromatography"", ""preparatory reverse phase HPLC""]]","doi_collectionType"
"[""10.1016/S0031-9422(01)00431-9"", ""Plant Isolated""]","[""10.1016/S0031-9422(01)00431-9"", []]","doi_collectionType"
"[""10.1007/s10295-012-1165-2"", ""Plant Isolated""]","[""10.1007/s10295-012-1165-2"", [""vacuum liquid chromatography"", ""centrifugal chromatography"", ""preparative TLC""]]","doi_collectionType"
"[""10.1016/0031-9422(73)85048-4"", ""Plant Isolated""]","[""10.1016/0031-9422(73)85048-4"", [""chromatography on silica"", ""hydrolysis""]]","doi_collectionType"
"[""10.1107/S1600536803019913"", ""Plant Isolated""]","[""10.1107/S1600536803019913"", [""chromatography on a silica gel column"", ""isocratic system (hexane/ethyl acetate 7:3)"", ""CCDP using hexane/ethyl acetate 7:3 as the mobile phase"", ""vapour diffusion""]]","doi_collectionType"
"[""10.1590/S0100-40422010000900005"", ""Plant Isolated""]","[""10.1590/S0100-40422010000900005"", [""fractionation"", ""column chromatography""]]","doi_collectionType"
"[""10.1590/S0102-695X2010005000017"", ""Plant Isolated""]","[""10.1590/S0102-695X2010005000017"", [""gel permeation column chromatography"", ""reversed-phase C-18 silica gel column chromatography"", ""preparative thin-layer chromatography""]]","doi_collectionType"
"[""10.1590/S0100-46702007000300002"", ""Plant Isolated""]","[""10.1590/S0100-46702007000300002"", [""Fracionamento biomonitorado"", ""Cromatografia em coluna"", ""Cromatografia em camada delgada"", ""Cromatografia l\u00edquida de alta efici\u00eancia (CLAE)"", ""Extra\u00e7\u00e3o \u00e1cido-base""]]","doi_collectionType"
"[""10.1016/j.bmc.2010.12.056"", ""Plant Isolated""]","[""10.1016/j.bmc.2010.12.056"", []]","doi_collectionType"
"[""10.1016/0031-9422(81)80027-1"", ""Plant Isolated""]","[""10.1016/0031-9422(81)80027-1"", [""extraction with petrol followed by column chromatography"", ""Soxhlet extraction followed by repeated chromatography on silica gel columns""]]","doi_collectionType"
"[""10.5935/0103-5053.19930018"", ""Plant Isolated""]","[""10.5935/0103-5053.19930018"", []]","doi_collectionType"
"[""10.1021/np9004079"", ""Plant Isolated""]","[""10.1021/np9004079"", [""bioactivity-directed fractionation"", ""gel permeation chromatography"", ""preparative RP-HPLC"", ""column chromatography""]]","doi_collectionType"
"[""10.1590/S0103-50532005000800025"", ""Plant Isolated""]","[""10.1590/S0103-50532005000800025"", [""hexane extraction"", ""methanol extraction"", ""chromatography over silica gel"", ""preparative TLC""]]","doi_collectionType"
"[""10.1002/hlca.200890147"", ""Plant Isolated""]","[""10.1002/hlca.200890147"", [""Partition in hexane, AcOEt, and BuOH"", ""Fractionation and purification over silica RP-18"", ""Prep. RP18 HPLC""]]","doi_collectionType"
"[""10.1590/S0103-50532010000500016"", ""Plant Isolated""]","[""10.1590/S0103-50532010000500016"", [""vacuum chromatography"", ""preparative TLC"", ""centrifugational chromatography""]]","doi_collectionType"
"[""10.1002/cbdv.200800342"", ""Plant Isolated""]","[""10.1002/cbdv.200800342"", [""solid-phase extraction (SPE)"", ""normal-phase low pressure column chromatography (LPCC)"", ""preparative reversed-phase (C18) HPLC""]]","doi_collectionType"
"[""10.1021/np800106x"", ""Plant Isolated""]","[""10.1021/np800106x"", [""liquid-liquid partition"", ""column chromatography""]]","doi_collectionType"
"[""10.1515/znc-2009-11-1212"", ""Microorganism isolated""]","[""10.1515/znc-2009-11-1212"", []]","doi_collectionType"
"[""10.1002/jobm.200800093"", ""Microorganism isolated""]","[""10.1002/jobm.200800093"", [""Liquid cultures"", ""Solid cultures"", ""Chromatography over a XAD-4 column"", ""Silica gel column chromatography"", ""HPLC (High-Performance Liquid Chromatography)"", ""Sephadex LH-20 column chromatography""]]","doi_collectionType"
"[""10.1055/s-0029-1185364"", ""Plant Isolated""]","[""10.1055/s-0029-1185364"", [""Bioactivity-guided fractionation"", ""Column chromatography"", ""Recrystallization"", ""Low-pressure column chromatography"", ""Semipermeative reversed phase HPLC"", ""Preparative TLC""]]","doi_collectionType"
"[""10.1016/j.phytochem.2007.08.012"", ""Plant Isolated""]","[""10.1016/j.phytochem.2007.08.012"", [""chromatography"", ""recrystallisation"", ""flash chromatography"", ""preparative HPLC""]]","doi_collectionType"
"[""10.3390/molecules190812031"", ""Plant Isolated""]","[""10.3390/molecules190812031"", [""Chromatography over Cleaning Sephadex with Sodium Hypochlorite"", ""gel permeation column chromatography over Sephadex LH-20"", ""silica gel column chromatography"", ""preparative TLC"", ""centrifugal preparative TLC"", ""high-performance liquid chromatography (HPLC) purification""]]","doi_collectionType"
"[""10.1021/jf063451x"", ""Plant Isolated""]","[""10.1021/jf063451x"", [""bioassay-directed chromatographic purification"", ""HPLC on silica gel"", ""preparative medium-pressure liquid chromatography (MPLC)"", ""preparative thin-layer chromatography (TLC) separation""]]","doi_collectionType"
"[""10.1016/S0031-9422(00)00477-5"", ""Plant Isolated""]","[""10.1016/S0031-9422(00)00477-5"", [""vacuum column chromatography"", ""flash column chromatography"", ""prep. TLC"", ""HPLC""]]","doi_collectionType"
"[""10.1590/S0100-40422002000300002"", ""Plant Isolated""]","[""10.1590/S0100-40422002000300002"", []]","doi_collectionType"
"[""10.1016/j.phytochem.2008.01.006"", ""Plant Isolated""]","[""10.1016/j.phytochem.2008.01.006"", [""defatted with n-hexane"", ""extracted by re-maceration with ethanol"", ""partitioned with ethyl acetate and n-butyl alcohol"", ""column chromatography separation"", ""RP-HPLC"", ""gel filtration on Sephadex LH-20""]]","doi_collectionType"
"[""10.1055/s-2002-36346"", ""Plant Isolated""]","[""10.1055/s-2002-36346"", [""chromatographic procedures"", ""column chromatography"", ""preparative TLC""]]","doi_collectionType"
