"true","restored","edge_type"
"[""10.1016/j.tiv.2008.01.003"", ""Plant Isolated""]","[""10.1016/j.tiv.2008.01.003"", [""liquid-liquid partitioning"", ""silica gel column chromatography"", ""flash silica gel column chromatography"", ""preparatory reverse phase HPLC""]]","doi_collectionType"
"[""10.1016/S0031-9422(01)00431-9"", ""Plant Isolated""]","[""10.1016/S0031-9422(01)00431-9"", []]","doi_collectionType"
"[""10.5935/0103-5053.19930018"", ""Plant Isolated""]","[""10.5935/0103-5053.19930018"", []]","doi_collectionType"
"[""10.1590/S0103-50532010000500016"", ""Plant Isolated""]","[""10.1590/S0103-50532010000500016"", [""vacuum chromatography"", ""preparative TLC"", ""centrifugational chromatography""]]","doi_collectionType"
"[""10.1002/cbdv.200800342"", ""Plant Isolated""]","[""10.1002/cbdv.200800342"", [""solid-phase extraction (SPE)"", ""normal-phase low pressure column chromatography (LPCC)"", ""preparative reversed-phase (C18) HPLC""]]","doi_collectionType"
"[""10.1515/znc-2009-11-1212"", ""Microorganism isolated""]","[""10.1515/znc-2009-11-1212"", []]","doi_collectionType"
"[""10.1016/j.phytochem.2007.08.012"", ""Plant Isolated""]","[""10.1016/j.phytochem.2007.08.012"", [""chromatography"", ""recrystallisation"", ""flash chromatography"", ""preparative HPLC""]]","doi_collectionType"
"[""10.1016/j.phytochem.2008.01.006"", ""Plant Isolated""]","[""10.1016/j.phytochem.2008.01.006"", [""defatting with n-hexane"", ""extraction by re-maceration with ethanol"", ""partitioning with ethyl acetate and n-butyl alcohol"", ""column chromatography separation"", ""RP-HPLC purification"", ""gel filtration on Sephadex LH-20""]]","doi_collectionType"
"[""10.1016/S0031-9422(99)00132-6"", ""Plant Isolated""]","[""10.1016/S0031-9422(99)00132-6"", [""Column Chromatography"", ""High-Performance Liquid Chromatography (HPLC)"", ""Preparative Thin Layer Chromatography (prep. TLC)""]]","doi_collectionType"
"[""10.1055/s-0034-1368301"", ""Microorganism isolated""]","[""10.1055/s-0034-1368301"", []]","doi_collectionType"
"[""10.1590/S0103-50532002000100019"", ""Plant Isolated""]","[""10.1590/S0103-50532002000100019"", [""crystallization from methanol/hexane"", ""preparative flash chromatography"", ""recycling HPLC separation""]]","doi_collectionType"
"[""10.1590/S0103-50532009000400008"", ""Plant Isolated""]","[""10.1590/S0103-50532009000400008"", [""n-hexane extraction"", ""MeOH extraction"", ""VCC (Vacuum Column Chromatography)"", ""Sephadex LH-20 chromatography"", ""Preparative HPLC""]]","doi_collectionType"
"[""10.1515/znb-2005-0715"", ""Plant Isolated""]","[""10.1515/znb-2005-0715"", [""vacuum column chromatography"", ""Column Chromatography"", ""prep. TLC""]]","doi_collectionType"
"[""10.1016/S0031-9422(98)00249-0"", ""Plant Isolated""]","[""10.1016/S0031-9422(98)00249-0"", [""Bioactivity-directed fractionation"", ""Gel filtration"", ""Silica gel column chromatography"", ""Preparative thin-layer chromatography (Prep TLC)""]]","doi_collectionType"
"[""10.1590/S0103-50532009000100029"", ""Biotransformation Product""]","[""10.1590/S0103-50532009000100029"", [""dichloromethane extraction"", ""vacuum filtration"", ""partition with ethyl ether, ethyl acetate, and n-butanol"", ""Silica-gel column chromatography"", ""HPLC""]]","doi_collectionType"
"[""10.1016/S0014-5793(02)02700-X"", ""Plant Isolated""]","[""10.1016/S0014-5793(02)02700-X"", [""liquid-liquid partition"", ""flash chromatography""]]","doi_collectionType"
"[""10.1590/S0100-40422005000600011"", ""Microorganism isolated""]","[""10.1590/S0100-40422005000600011"", [""Bioautography"", ""Chromatography""]]","doi_collectionType"
"[""10.1080/14786410600907002"", ""Plant Isolated""]","[""10.1080/14786410600907002"", [""VCC (Vacuum Column Chromatography)"", ""Gel permeation chromatography"", ""HPLC (High-Performance Liquid Chromatography)""]]","doi_collectionType"
"[""10.1590/S0073-47212009000100009"", ""Plant Isolated""]","[""10.1590/S0073-47212009000100009"", [""percolation"", ""high-speed countercurrent chromatography (HSCC)""]]","doi_collectionType"
"[""10.1016/j.phytochem.2009.08.013"", ""Plant Isolated""]","[""10.1016/j.phytochem.2009.08.013"", [""ultrasound bath-assisted extraction"", ""column chromatography over silica gel"", ""Reversed phase-HPLC""]]","doi_collectionType"
"[""10.1080/14786410802243271"", ""Plant Isolated""]","[""10.1080/14786410802243271"", [""column chromatography over silica gel"", ""column chromatography over reversed phase ODS"", ""preparative TLC over silica gel"", ""preparative HPLC""]]","doi_collectionType"
"[""10.1590/S0100-40422006000300016"", ""Plant Isolated""]","[""10.1590/S0100-40422006000300016"", [""Sephadex LH-20"", ""Silica flash chromatography"", ""Preparative TLC""]]","doi_collectionType"
"[""10.1590/S0102-695X2009000100002"", ""Plant Isolated""]","[""10.1590/S0102-695X2009000100002"", [""vacuum liquid chromatography"", ""column chromatography""]]","doi_collectionType"
"[""10.1590/S0103-50532005000400031"", ""Plant Isolated""]","[""10.1590/S0103-50532005000400031"", [""flash chromatography"", ""column chromatography"", ""preparative TLC"", ""HPLC""]]","doi_collectionType"
"[""10.1590/S0100-40422008000400018"", ""Plant Isolated""]","[""10.1590/S0100-40422008000400018"", [""comatomagrafia em coluna de permeacao em gel"", ""comatomagrafia flash em coluna de gel de silica"", ""comatomagrafia em coluna de fase reversa"", ""cromatografia por exclusao molecular"", ""CLAE-UV preparativo""]]","doi_collectionType"
"[""10.1021/np049863m"", ""Plant Isolated""]","[""10.1021/np049863m"", [""Column chromatography"", ""Vacuum-liquid chromatography (VLC)"", ""High-performance liquid chromatography (HPLC)"", ""Gel filtration on Sephadex LH-20"", ""Preparative HPLC"", ""Semipreparative HPLC""]]","doi_collectionType"
"[""10.1021/cc100076k"", ""Plant Isolated""]","[""10.1021/cc100076k"", [""Solution Phase Synthesis"", ""Solid-phase organic synthesis (SPOS)""]]","doi_collectionType"
