"true","restored","edge_type"
"[""10.1016/j.tiv.2008.01.003"", ""Pristimerin; 20\u03b1-3-hydroxy-2-oxo-24-nor-friedela-1-10,3,5,7-tetraen-carboxylic acid-29-methylester""]","[""10.1016/j.tiv.2008.01.003"", ""['Pristimerin', \""5-bromo-2'-deoxyuridine\"", 'Doxorubicin', 'Acridine orange', 'Ethidium bromide', 'Propidium iodide', 'Docetaxel', 'Camptothecin', 'Tenoposide', 'Celastrol']""]","doi_name"
"[""10.1021/np1007476"", ""Methyl (3R,4R,5R)-3-{[(2Z)-3-(3,4-dihydroxyphenyl)-2-propenoyl]oxy}-1,4,5-trihydroxycyclohexanecarboxylate""]","[""10.1021/np1007476"", ""['elimarthinin', 'BHT', 'chlorogenic acid', 'Chimarhinin']""]","doi_name"
"[""10.1021/np1007476"", ""Methyl (3R,4R,5R)-3-{[(2E)-3-(3,4-dihydroxyphenyl)-2-propenoyl]oxy}-1,4,5-trihydroxycyclohexanecarboxylate""]","[""10.1021/np1007476"", ""['elimarthinin', 'BHT', 'chlorogenic acid', 'Chimarhinin']""]","doi_name"
"[""10.1016/S0031-9422(01)00431-9"", ""Methyl (E)-6,7,8-trimethoxycinnamate""]","[""10.1016/S0031-9422(01)00431-9"", ""['N-[10-(13,14-methylenedioxyphenyl)-7(E),9(Z)-pentadienoyl]-pyrrolidine', 'arboreumine', 'N-[10-(13,14-methylenedioxyphenyl)-7(E)-pentaenosyl]-pyrrolidine', 'N-[10-(13,14-methylenedioxyphenyl)-7(E),9(E)-pentadienoyl]-pyrrolidine', 'N-[10-(13,14-methylenedioxyphenyl)-pentanoyl]-pyrrolidine', 'pedilirine', '\u0394^ab-dihydropierine', 'piperidine', 'dihydropierine', 'cis-pieridine', 'fagaramide', 'methyl 6,7,8-trimethoxyscinnamate', 'methyl trans-6,7,8-trimethoxyscinnamate']""]","doi_name"
"[""10.1016/S0031-9422(01)00431-9"", ""Arboreumine""]","[""10.1016/S0031-9422(01)00431-9"", ""['N-[10-(13,14-methylenedioxyphenyl)-7(E),9(Z)-pentadienoyl]-pyrrolidine', 'arboreumine', 'N-[10-(13,14-methylenedioxyphenyl)-7(E)-pentaenosyl]-pyrrolidine', 'N-[10-(13,14-methylenedioxyphenyl)-7(E),9(E)-pentadienoyl]-pyrrolidine', 'N-[10-(13,14-methylenedioxyphenyl)-pentanoyl]-pyrrolidine', 'pedilirine', '\u0394^ab-dihydropierine', 'piperidine', 'dihydropierine', 'cis-pieridine', 'fagaramide', 'methyl 6,7,8-trimethoxyscinnamate', 'methyl trans-6,7,8-trimethoxyscinnamate']""]","doi_name"
"[""10.1016/S0031-9422(01)00431-9"", ""Fagaramide""]","[""10.1016/S0031-9422(01)00431-9"", ""['N-[10-(13,14-methylenedioxyphenyl)-7(E),9(Z)-pentadienoyl]-pyrrolidine', 'arboreumine', 'N-[10-(13,14-methylenedioxyphenyl)-7(E)-pentaenosyl]-pyrrolidine', 'N-[10-(13,14-methylenedioxyphenyl)-7(E),9(E)-pentadienoyl]-pyrrolidine', 'N-[10-(13,14-methylenedioxyphenyl)-pentanoyl]-pyrrolidine', 'pedilirine', '\u0394^ab-dihydropierine', 'piperidine', 'dihydropierine', 'cis-pieridine', 'fagaramide', 'methyl 6,7,8-trimethoxyscinnamate', 'methyl trans-6,7,8-trimethoxyscinnamate']""]","doi_name"
"[""10.1016/S0031-9422(01)00431-9"", ""Tetrahydropiperyline, N-[10-(13,14-methylenedioxyphenyl)-pentanoyl]-pyrrolidine""]","[""10.1016/S0031-9422(01)00431-9"", ""['N-[10-(13,14-methylenedioxyphenyl)-7(E),9(Z)-pentadienoyl]-pyrrolidine', 'arboreumine', 'N-[10-(13,14-methylenedioxyphenyl)-7(E)-pentaenosyl]-pyrrolidine', 'N-[10-(13,14-methylenedioxyphenyl)-7(E),9(E)-pentadienoyl]-pyrrolidine', 'N-[10-(13,14-methylenedioxyphenyl)-pentanoyl]-pyrrolidine', 'pedilirine', '\u0394^ab-dihydropierine', 'piperidine', 'dihydropierine', 'cis-pieridine', 'fagaramide', 'methyl 6,7,8-trimethoxyscinnamate', 'methyl trans-6,7,8-trimethoxyscinnamate', 'pellitorine', 'dihydro piperine', 'dihydropiplartine', 'piplartine', 'cis-piplartine']""]","doi_name"
"[""10.1016/S0031-9422(01)00431-9"", ""Methyl 6,7,8-trimethoxydihydrocinnamate""]","[""10.1016/S0031-9422(01)00431-9"", ""['N-[10-(13,14-methylenedioxyphenyl)-7(E),9(Z)-pentadienoyl]-pyrrolidine', 'arboreumine', 'N-[10-(13,14-methylenedioxyphenyl)-7(E)-pentaenosyl]-pyrrolidine', 'N-[10-(13,14-methylenedioxyphenyl)-7(E),9(E)-pentadienoyl]-pyrrolidine', 'N-[10-(13,14-methylenedioxyphenyl)-pentanoyl]-pyrrolidine', 'pedilirine', '\u0394^ab-dihydropierine', 'piperidine', 'dihydropierine', 'cis-pieridine', 'fagaramide', 'methyl 6,7,8-trimethoxyscinnamate', 'methyl trans-6,7,8-trimethoxyscinnamate']""]","doi_name"
"[""10.1016/S0031-9422(01)00431-9"", ""Piperyline, N-[10-(13,14-methylenedioxyphenyl)-7(E),9(E)-pentadienoyl]-pyrrolidine""]","[""10.1016/S0031-9422(01)00431-9"", ""['N-[10-(13,14-methylenedioxyphenyl)-7(E),9(Z)-pentadienoyl]-pyrrolidine', 'arboreumine', 'N-[10-(13,14-methylenedioxyphenyl)-7(E)-pentaenosyl]-pyrrolidine', 'N-[10-(13,14-methylenedioxyphenyl)-7(E),9(E)-pentadienoyl]-pyrrolidine', 'N-[10-(13,14-methylenedioxyphenyl)-pentanoyl]-pyrrolidine', 'pedilirine', '\u0394^ab-dihydropierine', 'piperidine', 'dihydropierine', 'cis-pieridine', 'fagaramide', 'methyl 6,7,8-trimethoxyscinnamate', 'methyl trans-6,7,8-trimethoxyscinnamate']""]","doi_name"
"[""10.1248/bpb.31.538"", ""Methyl-8-(ethanoyloxy)-2,2-dimethyl-2H-chromene-6-carboxylate""]","[""10.1248/bpb.31.538"", ""['(2S)-methyl-2-methyl-8-(3\""-methyl-2\""-enyl)-2(4\""-methyl-3\""-enyl)-2H-chrome-6-carboxylate', 'benzindazole', 'nifurimax', 'prenylated chromene', \""(2S)-2-methyl-8-(3*-methylbut-2*-enyl)-2-(4'-methylpent-3*-enyl)-2H-chrome-6-carboxylic acid\"", '2,2-dimethyl-2H-chrome-6-carboxylic acid', 'methyl-2,2-dimethyl-2H-chrome-6-carboxylate', 'methyl-8-hydroxy-2,2-dimethyl-2H-chrome-6-carboxylate', 'methyl-2,2-dimethyl-8-(3*-methylbut-2*-enyl)-2H-chrome-6-carboxylate', \""8-Isopentyl-2-methyl-2-(4'-methylpentyl)chroman-6-carboxylic acid\""]""]","doi_name"
"[""10.1248/bpb.31.538"", ""(2S)-2-methyl-8-(3\""-methylbut-2\""-enyl)-2-(4'-methylpent-3'-enyl)-2H-chromene-6-carboxylic acid""]","[""10.1248/bpb.31.538"", ""['(2S)-methyl-2-methyl-8-(3\""-methyl-2\""-enyl)-2(4\""-methyl-3\""-enyl)-2H-chrome-6-carboxylate', 'benzindazole', 'nifurimax', 'prenylated chromene [(2S)-2-methyl-8-(3deg-methylbut-2deg-enyl)]-2-(4deg-methylpent-3deg-enyl)-2H-chromene-6-carboxylic acid', '2,2-dimethyl-2H-chrome-6-carboxylic acid', 'methyl-2,2-dimethyl-2H-chrome-6-carboxylate', 'methyl-8-hydroxy-2,2-dimethyl-2H-chrome-6-carboxylate', 'methyl-2,2-dimethyl-8-(3*-methylbut-2*-enyl)-2H-chrome-6-carboxylate', \""(2S)-8-Isopentyl-2-methyl-2-(4'-methylpentyl)chroman-6-carboxylic acid\""]""]","doi_name"
