"true","restored","edge_type"
"[""10.1021/np1007476"", ""Methyl (3R,4R,5R)-3-{[(2Z)-3-(3,4-dihydroxyphenyl)-2-propenoyl]oxy}-1,4,5-trihydroxycyclohexanecarboxylate""]","[""10.1021/np1007476"", ""['elimarthinin', 'BHT', 'chlorogenic acid', 'Chimarhinin']""]","doi_name"
"[""10.1021/np1007476"", ""Methyl (3R,4R,5R)-3-{[(2E)-3-(3,4-dihydroxyphenyl)-2-propenoyl]oxy}-1,4,5-trihydroxycyclohexanecarboxylate""]","[""10.1021/np1007476"", ""['elimarthinin', 'BHT', 'chlorogenic acid', 'Chimarhinin']""]","doi_name"
"[""10.1590/s0100-40422008000700015"", ""Chaetoglobosin B""]","[""10.1590/s0100-40422008000700015"", ""['chaetoglobosina B', 'chaetoglobosina D', 'chaetoglobosina E', 'taxol', 'vincristina', 'camptotecina', 'podofilotoxina', 'chaetoglobosina C', 'chaetoglobosina F', 'chaetoglobosina U', 'pencocalasina A']""]","doi_name"
"[""10.1016/j.phytochem.2006.09.005"", ""2,4-Dihydroxy-6-[(1'E,3'E)-penta-1', 3'-dienyl]-benzaldehyde""]","[""10.1016/j.phytochem.2006.09.005"", ""[\""6,8-Dimethoxy-3-(2'-oxo-propyl)-coumarin\"", \""2,4-Dihydroxy-6-[(1'E,3'E)-penta-1',3'-dienyl]-benzaldehyde\"", 'periconicin B']""]","doi_name"
"[""10.1016/j.phytochem.2006.09.005"", ""Periconicin B""]","[""10.1016/j.phytochem.2006.09.005"", ""[\""6,8-Dimethoxy-3-(2'-oxo-propyl)-coumarin\"", \""2,4-Dihydroxy-6-[(1'E,3'E)-penta-1',3'-dienyl]-benzaldehyde\"", 'Periconicin B']""]","doi_name"
"[""10.1002/hlca.200890147"", ""3\u03b2-O-[\u03b1-L-rhamnopyranosyl-(1\u21922)-O-\u03b2-D-glucopyranosyl-(1\u21922)-O-\u03b2-D-glucopyranosyl]-28-O-\u03b2-D-glucopyranoside pomolate""]","[""10.1002/hlca.200890147"", ""['6b-hydroxy-7-epigardoside methyl ester', '3b-O-[a-L-rhamnopyranosyl-(1 - 2)-O-b-d-glucopyranosyl]-28-O-b-d-glucopyranoside pomolate', 'shanzhiside methyl ester', 'ixoside', '3,4,5-trimethoxyphenyl 1-O-b-d-apifofuranosyl-(1 - 6)-O-b-d-glucopyranoside']""]","doi_name"
"[""10.1002/hlca.200890147"", ""6\u03b2-hydroxy-7-epigardoside methyl ester""]","[""10.1002/hlca.200890147"", ""['6b-hydroxy-7-epigardoside methyl ester', '3b-O-[a-L-rhamnopyranosyl-(1 - 2)-O-b-d-glucopyranosyl-(1 - 2)-O-b-d-glucopyranosyl]-28-O-b-d-glucopyranoside pomolate', 'shanzhiside methyl ester', 'ixoside', '3,4,5-trimethoxyphenyl 1-O-b-d-apifofuranosyl-(1 - 6)-O-b-d-glucopyranoside']""]","doi_name"
"[""10.1002/hlca.200890147"", ""Ixoside""]","[""10.1002/hlca.200890147"", ""['6b-hydroxy-7-epigardoside methyl ester', '3b-O-[a-L-rhamnopyranosyl-(1 - 2)-O-b-d-glucopyranosyl]-28-O-b-d-glucopyranoside pomolate', 'shanzhiside methyl ester', 'ixoside', '3,4,5-trimethoxyphenyl 1-O-b-d-apifofuranosyl-(1 - 6)-O-b-d-glucopyranoside']""]","doi_name"
"[""10.1002/hlca.200890147"", ""3,4,5-trimethoxyphenyl 1-O-\u03b2-D-apiofuranosyl-(1\u21926)-O-\u03b2-D-glucopyranoside""]","[""10.1002/hlca.200890147"", ""['6b-hydroxy-7-epigardoside methyl ester', '3b-O-[a-L-rhamnopyranosyl-(1 - 2)-O-b-d-glucopyranosyl-(1 - 2)-O-b-d-glucopyranosyl]-28-O-b-d-glucopyranoside pomolate', 'shanzhiside methyl ester', 'ixoside', '3,4,5-trimethoxyphenyl 1-O-b-d-apifofuranosyl-(1 - 6)-O-b-d-glucopyranoside']""]","doi_name"
"[""10.1590/S0103-50532010000500016"", ""limonexic acid""]","[""10.1590/S0103-50532010000500016"", ""['dictamine', 'g-fagarine', 'skimmianine', '1-methyl-2-phenylquinolin-4-one', 'limonexic acid', 'limonin']""]","doi_name"
"[""10.1002/cbdv.200800342"", ""Casearin X Dialdehyde; (2R*,4aS*,5S*,7R*,8R*,8aS*)-4,4a-Diformyl-1,2,4a,5,6,7,8,8a-octahydro-5-hydroxy-7,8-dimethyl-8-[(2Z)-3-methylpenta-2,4-dien-1-yl]naphthalen-2-yl Butanoate""]","[""10.1002/cbdv.200800342"", ""['Casearin X', 'Caesarins B', 'Caesarins D', 'Caesarins L', 'Caesarins O', 'Caseargrewiin F', 'Caseaverstrins A', 'Caseaverstrins B', 'Caseaverstrins C', '(+)-15-hydroxy-3-cleroden-2-one', '(-)-hardwickiic acid', 'Caseanigrescens D-2', 'Caseanegrescens D', 'Caseanembrin F', 'Caseanembrins J', 'Caseanembrins K', 'Casearnegrescens A-2', 'Casearnegrescens D-2', 'Doxorubicin']""]","doi_name"
