"true","restored","edge_type"
"[""10.1002/cbdv.200800342"", ""Cytotoxic""]","[""10.1002/cbdv.200800342"", [""Cytotoxic"", ""Genotoxic"", ""Mutagenic"", ""Anticancer"", ""Antiviral""]]","doi_bioActivity"
"[""10.1002/ps.1278"", ""Insecticidal""]","[""10.1002/ps.1278"", [""Insecticidal"", ""Molluscicidal"", ""Antibacterial"", ""Antifungal"", ""Antimalarial""]]","doi_bioActivity"
"[""10.1016/j.chroma.2009.02.066"", ""Antifungal""]","[""10.1016/j.chroma.2009.02.066"", [""Antifungal"", ""Antiviral"", ""Antibacterial"", ""Antimalarial"", ""Anticancer""]]","doi_bioActivity"
"[""10.1016/j.micres.2004.06.003"", ""Antibacterial""]","[""10.1016/j.micres.2004.06.003"", [""Antibacterial"", ""Antiviral"", ""Antifungal"", ""Antimalarial"", ""Anti-inflamatory""]]","doi_bioActivity"
"[""10.1016/S0031-9422(01)00431-9"", ""Antifungal""]","[""10.1016/S0031-9422(01)00431-9"", [""Antifungal"", ""Antiviral"", ""Antibacterial"", ""Antimalarial"", ""Anticancer""]]","doi_bioActivity"
"[""10.1016/S0031-9422(03)00153-5"", ""Antitrypanosomal""]","[""10.1016/S0031-9422(03)00153-5"", [""Antitrypanosomal"", ""Antimalarial"", ""Antileishmanial"", ""Antichagasic"", ""Antifungal""]]","doi_bioActivity"
"[""10.1016/S0031-9422(97)00238-0"", ""Antifungal""]","[""10.1016/S0031-9422(97)00238-0"", [""Antifungal"", ""Antiviral"", ""Antibacterial"", ""Antimalarial"", ""Anticancer""]]","doi_bioActivity"
"[""10.1016/S0031-9422(97)00238-0"", ""Antioxidant""]","[""10.1016/S0031-9422(97)00238-0"", [""Antifungal"", ""Antiviral"", ""Antibacterial"", ""Antimalarial"", ""Anticancer""]]","doi_bioActivity"
"[""10.1016/S0031-9422(97)00598-0"", ""Antitrypanosomal""]","[""10.1016/S0031-9422(97)00598-0"", [""Antifungal"", ""Antiviral"", ""Antibacterial"", ""Antimalarial"", ""Anticancer""]]","doi_bioActivity"
"[""10.1021/jf00030a035"", ""Anticancer""]","[""10.1021/jf00030a035"", [""Cytotoxic"", ""Genotoxic"", ""Mutagenic"", ""Anticancer"", ""Antiviral""]]","doi_bioActivity"
"[""10.1021/jf00030a035"", ""Cytotoxic""]","[""10.1021/jf00030a035"", [""Cytotoxic"", ""Genotoxic"", ""Mutagenic"", ""Anticancer"", ""Antiviral""]]","doi_bioActivity"
"[""10.1021/np0303963"", ""Cytotoxic""]","[""10.1021/np0303963"", [""Cytotoxic"", ""Genotoxic"", ""Mutagenic"", ""Anticancer"", ""Antiviral""]]","doi_bioActivity"
"[""10.1021/np060254j"", ""Anxiolytic""]","[""10.1021/np060254j"", [""Anxiolytic"", ""Anesthetic"", ""Antinociceptive"", ""Antichagasic"", ""Antiallergenic""]]","doi_bioActivity"
"[""10.1021/np9704617"", ""Antifungal""]","[""10.1021/np9704617"", [""Antifungal"", ""Antiviral"", ""Antibacterial"", ""Antimalarial"", ""Anticancer""]]","doi_bioActivity"
"[""10.1055/s-2002-36346"", ""Antibacterial""]","[""10.1055/s-2002-36346"", [""Cytotoxic"", ""Genotoxic"", ""Mutagenic"", ""Anticancer"", ""Antiviral""]]","doi_bioActivity"
"[""10.1080/14786410903335232"", ""Anticancer""]","[""10.1080/14786410903335232"", [""Cytotoxic"", ""Genotoxic"", ""Mutagenic"", ""Anticancer"", ""Antiviral""]]","doi_bioActivity"
"[""10.1107/S160053680302107X"", ""Antileishmanial""]","[""10.1107/S160053680302107X"", [""Antileishmanial"", ""Antimalarial"", ""Antitrypanosomal"", ""Antichagasic"", ""Antifungal""]]","doi_bioActivity"
"[""10.1155/2013/835081"", ""Antifungal""]","[""10.1155/2013/835081"", [""Antifungal"", ""Antiviral"", ""Antibacterial"", ""Antimalarial"", ""Anticancer""]]","doi_bioActivity"
"[""10.1248/bpb.31.538"", ""Antitrypanosomal""]","[""10.1248/bpb.31.538"", [""Antitrypanosomal"", ""Antimalarial"", ""Antileishmanial"", ""Antichagasic"", ""Antifungal""]]","doi_bioActivity"
"[""10.1248/cpb.56.723"", ""Inhibition of Glycosidase""]","[""10.1248/cpb.56.723"", [""Antioxidant"", ""Anticancer"", ""Anti-inflamatory"", ""Antiviral"", ""Antibacterial""]]","doi_bioActivity"
"[""10.1248/cpb.56.723"", ""Inhibition of Myeloperoxodase""]","[""10.1248/cpb.56.723"", [""Antioxidant"", ""Anticancer"", ""Anti-inflamatory"", ""Antiviral"", ""Antibacterial""]]","doi_bioActivity"
"[""10.1590/S0100-40421998000600005"", ""Antifungal""]","[""10.1590/S0100-40421998000600005"", [""Antifungal"", ""Antiviral"", ""Antibacterial"", ""Antimalarial"", ""Anticancer""]]","doi_bioActivity"
"[""10.1590/S0100-40422002000300002"", ""Cytotoxic""]","[""10.1590/S0100-40422002000300002"", [""Cytotoxic"", ""Genotoxic"", ""Mutagenic"", ""Anticancer"", ""Antiviral""]]","doi_bioActivity"
"[""10.1590/S0100-40422006000300016"", ""Antioxidant""]","[""10.1590/S0100-40422006000300016"", [""Antioxidant"", ""Anticancer"", ""Anti-inflamatory"", ""Antiviral"", ""Antibacterial""]]","doi_bioActivity"
"[""10.1590/S0102-695X2007000300003"", ""Antioxidant""]","[""10.1590/S0102-695X2007000300003"", [""Antioxidant"", ""Anticancer"", ""Anti-inflamatory"", ""Antiviral"", ""Antibacterial""]]","doi_bioActivity"
"[""10.1590/S0103-50532002000100019"", ""Insecticidal""]","[""10.1590/S0103-50532002000100019"", [""Insecticidal"", ""Molluscicidal"", ""Antibacterial"", ""Antifungal"", ""Antimalarial""]]","doi_bioActivity"
"[""10.1590/S0103-50532003000500012"", ""Antioxidant""]","[""10.1590/S0103-50532003000500012"", [""Antioxidant"", ""Anticancer"", ""Anti-inflamatory"", ""Antiviral"", ""Antibacterial""]]","doi_bioActivity"
"[""10.1590/S0103-50532005000400031"", ""Insecticidal""]","[""10.1590/S0103-50532005000400031"", [""Antifungal"", ""Antiviral"", ""Antibacterial"", ""Antimalarial"", ""Anticancer""]]","doi_bioActivity"
"[""10.1590/S0103-50532005000800025"", ""Inhibition of Acetylcholinesterase""]","[""10.1590/S0103-50532005000800025"", [""Insecticidal"", ""Molluscicidal"", ""Antibacterial"", ""Antifungal"", ""Antimalarial""]]","doi_bioActivity"
"[""10.1590/S0103-50532005000800025"", ""Antifungal""]","[""10.1590/S0103-50532005000800025"", [""Insecticidal"", ""Molluscicidal"", ""Antibacterial"", ""Antifungal"", ""Antimalarial""]]","doi_bioActivity"
"[""10.1590/S1519-566X2008000600013"", ""Insecticidal""]","[""10.1590/S1519-566X2008000600013"", [""Insecticidal"", ""Molluscicidal"", ""Antibacterial"", ""Antifungal"", ""Antimalarial""]]","doi_bioActivity"
"[""10.4067/S0717-97072009000300004"", ""Inhibition of Glycosidase""]","[""10.4067/S0717-97072009000300004"", [""Cytotoxic"", ""Genotoxic"", ""Mutagenic"", ""Anticancer"", ""Antiviral""]]","doi_bioActivity"
"[""10.5935/0103-5053.19960024"", ""Antifungal""]","[""10.5935/0103-5053.19960024"", [""Cytotoxic"", ""Genotoxic"", ""Mutagenic"", ""Anticancer"", ""Antiviral""]]","doi_bioActivity"
