"true","restored","edge_type"
"[""10.1002/hlca.200890147"", ""Alibertia edulis (Rubiaceae)""]","[""10.1002/hlca.200890147"", [""Alibertia edulis (Rubiaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Almeidea rubra (Rutaceae)"", ""Rudgea viburnioides (Rubiaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Neoraputia alba (Rutaceae)"", ""Coussarea hydrangeifolia (Rubiaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Erythrina mulungu (Fabaceae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Raulinoa echinata (Rutaceae)"", ""Hortia superba (Rutaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Galipea bracteata (Rutaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Dalbergia riparia"", ""Ricinus communis (Euphorbiaceae)"", ""Neoraputia magnifica (Rutaceae)"", ""Swartzia langsdorfii (Fabaceae)"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Trichilia elegans (Meliaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Iryanthera juruensis (Myristicaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Citrus sinensis (Rutaceae)"", ""Piper tuberculatum (Piperaceae)"", ""Pilocarpus riedelianus"", ""Senna spectabilis (Fabaceae)"", ""Senna multijuga (Fabaceae)"", ""Vitex polygama (Verbenaceae)"", ""Angostura paniculata (Rutaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Piper hispidum (Piperaceae)"", ""Piper arboreum (Piperaceae)"", ""Citrus sp. (Rutaceae)"", ""Lantana lilacina (Verbenaceae)"", ""Maytenus ilicifolia (Celastraceae)"", ""Peperomia obtusifolia (Piperaceae)"", ""Cedrela odorata (Meliaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Piper gaudichaudianum (Piperaceae)""]]","doi_collectionSpecie"
"[""10.1016/0031-9422(73)85048-4"", ""Dalbergia riparia""]","[""10.1016/0031-9422(73)85048-4"", [""Dalbergia riparia"", ""Cassia spectabilis (Fabaceae)"", ""Swartzia langsdorfii (Fabaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Senna spectabilis (Fabaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Alibertia edulis (Rubiaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Erythrina mulungu (Fabaceae)"", ""Pilocarpus riedelianus"", ""Rudgea viburnioides (Rubiaceae)"", ""Styrax camporum (Styracaceae)"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Styrax ferrugineus (Styracaceae)"", ""Senna multijuga (Fabaceae)"", ""Galipea bracteata (Rutaceae)"", ""Pilocarpus grandiflorus"", ""Almeidea rubra (Rutaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Rapanea lancifolia (Myrsinaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Neoraputia alba (Rutaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Trichilia elegans (Meliaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Piper tuberculatum (Piperaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Siphoneugena densiflora (Myrtaceae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Piper gaudichaudianum (Piperaceae)"", ""Piper arboreum (Piperaceae)"", ""Cedrela odorata (Meliaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Neoraputia magnifica (Rutaceae)"", ""Phomopsis sp. (Valsaceae)"", ""Raulinoa echinata (Rutaceae)"", ""Lantana lilacina (Verbenaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Hortia superba (Rutaceae)"", ""Iryanthera juruensis (Myristicaceae)"", ""Esenbeckia leiocarpa""]]","doi_collectionSpecie"
"[""10.1016/0031-9422(90)80024-B"", ""Galipea bracteata (Rutaceae)""]","[""10.1016/0031-9422(90)80024-B"", [""Galipea bracteata (Rutaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Neoraputia alba (Rutaceae)"", ""Raulinoa echinata (Rutaceae)"", ""Hortia superba (Rutaceae)"", ""Almeidea rubra (Rutaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Neoraputia magnifica (Rutaceae)"", ""Peperomia obtusifolia (Piperaceae)"", ""Piper gaudichaudianum (Piperaceae)"", ""Salacia campestris (Celastraceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Pilocarpus riedelianus"", ""Pilocarpus grandiflorus"", ""Rudgea viburnioides (Rubiaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Alibertia edulis (Rubiaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Piper hispidum (Piperaceae)"", ""Angostura paniculata (Rutaceae)"", ""Senna multijuga (Fabaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Coussarea hydrangeifolia (Rubiaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Peperomia blanda (Piperaceae)"", ""Iryanthera juruensis (Myristicaceae)"", ""Casearia rupestris (Salicaeae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Carapa guianensis"", ""Casearia obliqua (Flacourtiaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Piper crassinervium (Piperaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Rapanea lancifolia (Myrsinaceae)"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Vitex polygama (Verbenaceae)"", ""Michelia champaca (Magnoliaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Piper arboreum (Piperaceae)""]]","doi_collectionSpecie"
"[""10.1016/j.chroma.2009.02.066"", ""Citrus sinensis (Rutaceae)""]","[""10.1016/j.chroma.2009.02.066"", [""Citrus sinensis (Rutaceae)"", ""Citrus sp. (Rutaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Hortia superba (Rutaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Ricinus communis (Euphorbiaceae)"", ""Raulinoa echinata (Rutaceae)"", ""Angostura paniculata (Rutaceae)"", ""Rudgea viburnioides (Rubiaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Coussarea hydrangeifolia (Rubiaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Cinnamomum australe (Lauraceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Almeidea rubra (Rutaceae)"", ""Alibertia edulis (Rubiaceae)"", ""Esenbeckia leiocarpa"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Iryanthera juruensis (Myristicaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Galipea bracteata (Rutaceae)"", ""Neoraputia alba (Rutaceae)"", ""Siphoneugena densiflora (Myrtaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Neoraputia magnifica (Rutaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Croton zehntneri (Euphorbiaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Pilocarpus riedelianus"", ""Cassia leptophylla (Fabaceae)"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Pilocarpus grandiflorus"", ""Swartzia langsdorfii (Fabaceae)"", ""Chrysophyllum marginatum (Sapotaceae)"", ""Rapanea lancifolia (Myrsinaceae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Vitex polygama (Verbenaceae)"", ""Piper hispidum (Piperaceae)"", ""Carapa guianensis"", ""Casearia sylvestris (Flacourtiaceae)"", ""Anacardium occidentale (Anacardiaceae)"", ""Piper crassinervium (Piperaceae)"", ""Murraya paniculata"", ""Casearia rupestris (Salicaeae)"", ""Senna multijuga (Fabaceae)""]]","doi_collectionSpecie"
"[""10.1016/j.jchromb.2012.07.013"", ""Zingiber officinale""]","[""10.1016/j.jchromb.2012.07.013"", [""Zingiber officinale"", ""Cinnamomum australe (Lauraceae)"", ""Citrus sinensis (Rutaceae)"", ""Piper aduncum (Piperaceae)"", ""Piper tuberculatum (Piperaceae)"", ""Piper hispidum (Piperaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Piper gaudichaudianum (Piperaceae)"", ""Peperomia obtusifolia (Piperaceae)"", ""Piper arboreum (Piperaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Ottonia corcovadensis (Piperaceae)"", ""Trichilia elegans (Meliaceae)"", ""Croton zehntneri (Euphorbiaceae)"", ""Piper crassinervium (Piperaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Alibertia edulis (Rubiaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Rudgea viburnioides (Rubiaceae)"", ""Ricinus communis (Euphorbiaceae)"", ""Vitex polygama (Verbenaceae)"", ""Angostura paniculata (Rutaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Cedrela odorata (Meliaceae)"", ""Coussarea hydrangeifolia (Rubiaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Piper hostmannianum (Piperaceae)"", ""Swartzia langsdorfii (Fabaceae)"", ""Esenbeckia leiocarpa"", ""Stemodia foliosa (Scrophulariaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Peperomia blanda (Piperaceae)"", ""Dalbergia riparia"", ""Alibertia macrophylla (Rubiaceae)"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Cedrela fissilis"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Citrus sp. (Rutaceae)"", ""Vochysia thyrsoidea"", ""Siphoneugena densiflora (Myrtaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Styrax ferrugineus (Styracaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Anacardium occidentale (Anacardiaceae)"", ""Maytenus ilicifolia (Celastraceae)"", ""Pilocarpus spicatus (Rutaceae)""]]","doi_collectionSpecie"
"[""10.1016/j.jpba.2012.08.028"", ""Piper solmsianum""]","[""10.1016/j.jpba.2012.08.028"", [""Iryanthera juruensis (Myristicaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Rapanea lancifolia (Myrsinaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Lantana lilacina (Verbenaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Croton zehntneri (Euphorbiaceae)"", ""Siphoneugena densiflora (Myrtaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Angostura paniculata (Rutaceae)"", ""Vitex polygama (Verbenaceae)"", ""Galipea bracteata (Rutaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Rudgea viburnioides (Rubiaceae)"", ""Ricinus communis (Euphorbiaceae)"", ""Carapa guianensis"", ""Casearia sylvestris (Flacourtiaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Hortia superba (Rutaceae)"", ""Alibertia edulis (Rubiaceae)"", ""Styrax ferrugineus (Styracaceae)"", ""Raulinoa echinata (Rutaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Chrysophyllum marginatum (Sapotaceae)"", ""Cinnamomum australe (Lauraceae)"", ""Pilocarpus riedelianus"", ""Alibertia sessilis (Rubiaceae)"", ""Citrus sp. (Rutaceae)"", ""Citrus sinensis (Rutaceae)"", ""Vochysia thyrsoidea"", ""Cedrela odorata (Meliaceae)"", ""Swartzia langsdorfii (Fabaceae)"", ""Erythrina mulungu (Fabaceae)"", ""Dimorphandra mollis"", ""Pilocarpus grandiflorus"", ""Styrax camporum (Styracaceae)"", ""Dalbergia riparia"", ""Alibertia macrophylla (Rubiaceae)"", ""Neoraputia alba (Rutaceae)"", ""Coussarea hydrangeifolia (Rubiaceae)"", ""Stemodia foliosa (Scrophulariaceae)""]]","doi_collectionSpecie"
"[""10.1016/j.phytochem.2005.06.019"", ""Coussarea hydrangeifolia (Rubiaceae)""]","[""10.1016/j.phytochem.2005.06.019"", [""Coussarea hydrangeifolia (Rubiaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Rudgea viburnioides (Rubiaceae)"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Alibertia edulis (Rubiaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Hortia superba (Rutaceae)"", ""Casearia obliqua (Flacourtiaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Casearia sylvestris (Flacourtiaceae)"", ""Galipea bracteata (Rutaceae)"", ""Ricinus communis (Euphorbiaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Almeidea rubra (Rutaceae)"", ""Piper gaudichaudianum (Piperaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Raulinoa echinata (Rutaceae)"", ""Citrus sinensis (Rutaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Citrus sp. (Rutaceae)"", ""Piper hispidum (Piperaceae)"", ""Iryanthera juruensis (Myristicaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Angostura paniculata (Rutaceae)"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Phomopsis cassiae (Valsaceae)"", ""Piper crassinervium (Piperaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Casearia rupestris (Salicaeae)"", ""Peperomia obtusifolia (Piperaceae)"", ""Styrax ferrugineus (Styracaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Styrax camporum (Styracaceae)"", ""Siphoneugena densiflora (Myrtaceae)"", ""Vochysia thyrsoidea"", ""Lantana lilacina (Verbenaceae)"", ""Rapanea lancifolia (Myrsinaceae)"", ""Croton zehntneri (Euphorbiaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Adiscanthus fusciflorus"", ""Swartzia langsdorfii (Fabaceae)"", ""Piper tuberculatum (Piperaceae)""]]","doi_collectionSpecie"
"[""10.1016/j.phytochem.2006.09.005"", ""Periconia atropurpurea (Annonaceae)""]","[""10.1016/j.phytochem.2006.09.005"", [""Periconia atropurpurea (Annonaceae)"", ""Peperomia obtusifolia (Piperaceae)"", ""Pilocarpus grandiflorus"", ""Xylaria sp. (Xylariaceae)"", ""Peperomia blanda (Piperaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Picramnia teapensis"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Vochysia thyrsoidea"", ""Pothomorphe umbellata (Piperaceae)"", ""Amorpha fruticosa"", ""Adiscanthus fusciflorus"", ""Galipea bracteata (Rutaceae)"", ""Piper hispidum (Piperaceae)"", ""Pilocarpus riedelianus"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Piper gaudichaudianum (Piperaceae)"", ""Tithonia diversifolia"", ""Pilocarpus spicatus (Rutaceae)"", ""Lantana lilacina (Verbenaceae)"", ""Piper crassinervium (Piperaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Hortia superba (Rutaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Ouratea multiflora (Ochnaceae)"", ""Metrodorea stipularis"", ""Dalbergia riparia"", ""Piper hostmannianum (Piperaceae)"", ""Trichilia pallida"", ""Piper solmsianum"", ""Piper arboreum (Piperaceae)"", ""Cedrela odorata (Meliaceae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Carapa guianensis"", ""Cassia spectabilis (Fabaceae)"", ""Iryanthera juruensis (Myristicaceae)"", ""Casearia rupestris (Salicaeae)"", ""Siphoneugena densiflora (Myrtaceae)"", ""Rapanea lancifolia (Myrsinaceae)"", ""Piper tuberculatum (Piperaceae)"", ""Cinnamomum australe (Lauraceae)"", ""Trichilia claussenii (Meliaceae)"", ""Croton zehntneri (Euphorbiaceae)"", ""Angostura paniculata (Rutaceae)"", ""Trichilia elegans (Meliaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Casearia obliqua (Flacourtiaceae)"", ""Ottonia corcovadensis (Piperaceae)""]]","doi_collectionSpecie"
"[""10.1016/S0031-9422(01)00079-6"", ""Petiveria alliacea (Phytolaccaceae)""]","[""10.1016/S0031-9422(01)00079-6"", [""Petiveria alliacea (Phytolaccaceae)"", ""Peperomia obtusifolia (Piperaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Piper gaudichaudianum (Piperaceae)"", ""Peperomia blanda (Piperaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Piper hostmannianum (Piperaceae)"", ""Lantana lilacina (Verbenaceae)"", ""Piper hispidum (Piperaceae)"", ""Piper crassinervium (Piperaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Phomopsis sp. (Valsaceae)"", ""Piper tuberculatum (Piperaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Ottonia corcovadensis (Piperaceae)"", ""Piper aduncum (Piperaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Piper arboreum (Piperaceae)"", ""Penicillium sp. (Trichocomaceae)"", ""Alibertia edulis (Rubiaceae)"", ""Trichilia elegans (Meliaceae)"", ""Vochysia thyrsoidea"", ""Curvularia sp. (Pleosporaceae)"", ""Phomopsis cassiae (Valsaceae)"", ""Vitex polygama (Verbenaceae)"", ""Casearia sylvestris (Flacourtiaceae)"", ""Xylaria sp. (Xylariaceae)"", ""Casearia obliqua (Flacourtiaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Galipea bracteata (Rutaceae)"", ""Maytenus ilicifolia (Celastraceae)"", ""Pilocarpus riedelianus"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Piper solmsianum"", ""Hortia superba (Rutaceae)"", ""Pilocarpus grandiflorus"", ""Michelia champaca (Magnoliaceae)"", ""Swartzia langsdorfii (Fabaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Rapanea lancifolia (Myrsinaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Styrax camporum (Styracaceae)"", ""Almeidea rubra (Rutaceae)"", ""Coussarea hydrangeifolia (Rubiaceae)"", ""Trichilia pallida""]]","doi_collectionSpecie"
"[""10.1016/S0031-9422(03)00153-5"", ""Calycophyllum spruceanum (Rubiaceae)""]","[""10.1016/S0031-9422(03)00153-5"", [""Calycophyllum spruceanum (Rubiaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Rudgea viburnioides (Rubiaceae)"", ""Alibertia edulis (Rubiaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Coussarea hydrangeifolia (Rubiaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Chrysophyllum marginatum (Sapotaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Galipea bracteata (Rutaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Iryanthera juruensis (Myristicaceae)"", ""Styrax camporum (Styracaceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Almeidea rubra (Rutaceae)"", ""Raulinoa echinata (Rutaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Citrus sp. (Rutaceae)"", ""Pilocarpus riedelianus"", ""Salacia campestris (Celastraceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Piper crassinervium (Piperaceae)"", ""Piper tuberculatum (Piperaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Cedrela odorata (Meliaceae)"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Cedrela fissilis"", ""Piper gaudichaudianum (Piperaceae)"", ""Cinnamomum australe (Lauraceae)"", ""Cassia spectabilis (Fabaceae)"", ""Swartzia langsdorfii (Fabaceae)"", ""Angostura paniculata (Rutaceae)"", ""Pilocarpus grandiflorus"", ""Himatanthus sucuuba (Apocynaceae)"", ""Piper hispidum (Piperaceae)"", ""Styrax ferrugineus (Styracaceae)"", ""Dalbergia riparia"", ""Casearia sylvestris (Flacourtiaceae)"", ""Croton zehntneri (Euphorbiaceae)"", ""Citrus sinensis (Rutaceae)"", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Piper arboreum (Piperaceae)"", ""Anacardium occidentale (Anacardiaceae)"", ""Erythrina mulungu (Fabaceae)"", ""Pterogyne nitens (Fabaceae)""]]","doi_collectionSpecie"
