"true","restored","edge_type"
"[""10.1016/j.tiv.2008.01.003"", ""Ribeirao Preto/SP""]","[""10.1016/j.tiv.2008.01.003"", [""Mogi Guacu/SP"", ""Teodoro Sampaio/SP"", ""Urucuca/BA"", ""N/A/ES"", ""Pocos De Caldas/MG"", ""Igarape-acu/PA"", ""Chapada Dos Guimaraes/MT"", ""N/A/AM"", ""Lavras/MG"", ""Vicosa/MG"", ""N/A/MS"", ""Belem/PA"", ""Cunha/SP"", ""Santarem/PA"", ""Rifaina/SP"", ""Recife/PE"", ""Campinas/SP"", ""Sao Paulo/SP"", ""Corumba/MS"", ""Cordeiropolis/SP""]]","doi_collectionSite"
"[""10.1021/np1007476"", ""Belem/PA""]","[""10.1021/np1007476"", [""Belem/PA"", ""Recife/PE"", ""Santarem/PA"", ""Itaituba/PA"", ""Ribeirao Preto/SP"", ""Sao Paulo/SP"", ""Teodoro Sampaio/SP"", ""Rio Claro/SP"", ""Rio De Janeiro/RJ"", ""Chapada Dos Guimaraes/MT"", ""Campinas/SP"", ""Sao Sebastiao Do Passe/BA"", ""Araraquara/SP"", ""Pirenopolis/GO"", ""Sao Carlos/SP"", ""Cordeiropolis/SP"", ""Piracicaba/SP"", ""Igarape-acu/PA"", ""Manaus/AM"", ""Iguape/SP""]]","doi_collectionSite"
"[""10.1016/0031-9422(73)85048-4"", ""N/A/AM""]","[""10.1016/0031-9422(73)85048-4"", [""Manaus/AM"", ""Itacoatiara/AM"", ""Itaituba/PA"", ""Chapada Dos Guimaraes/MT"", ""Ribeirao Preto/SP"", ""Araraquara/SP"", ""Rio Claro/SP"", ""Rio De Janeiro/RJ"", ""Iguape/SP"", ""Cordeiropolis/SP"", ""Teodoro Sampaio/SP"", ""Vicosa/MG"", ""Sao Sebastiao Do Passe/BA"", ""Igarape-acu/PA"", ""Mogi Guacu/SP"", ""Sao Carlos/SP"", ""Sao Paulo/SP"", ""Santarem/PA"", ""Londrina/PR"", ""Campinas/SP""]]","doi_collectionSite"
"[""10.1590/s0100-40422008000700015"", ""Ribeirao Preto/SP""]","[""10.1590/s0100-40422008000700015"", [""Ribeirao Preto/SP, Nigrospora sphaerica"", ""Ribeirao Preto/SP"", ""Campinas/SP"", ""Piracicaba/SP"", ""Sao Paulo/SP"", ""Teodoro Sampaio/SP"", ""Araraquara/SP"", ""Iguape/SP"", ""Itirapina/SP"", ""Cunha/SP"", ""Pocos De Caldas/MG, Lonchocarpus atropurpureus"", ""Sao Carlos/SP"", ""Rio Claro/SP"", ""Cordeiropolis/SP"", ""Peruibe/SP"", ""Vicosa/MG"", ""Recife/PE"", ""Mogi Guacu/SP"", ""Santarem/PA"", ""Ibirama/SC""]]","doi_collectionSite"
"[""10.1107/S1600536803019913"", ""Manaus/AM""]","[""10.1107/S1600536803019913"", [""Manaus/AM"", ""Itacoatiara/AM"", ""Itaituba/PA"", ""Chapada Dos Guimaraes/MT"", ""Araraquara/SP"", ""Corumba/MS"", ""Sao Carlos/SP"", ""Rio De Janeiro/RJ"", ""Sao Sebastiao Do Passe/BA"", ""Piracicaba/SP"", ""Ribeirao Preto/SP"", ""Recife/PE"", ""Campinas/SP"", ""Cuiaba/MT"", ""Sao Paulo/SP"", ""Santarem/PA"", ""Mogi Guacu/SP"", ""Goiania/GO"", ""Teodoro Sampaio/SP"", ""Cordeiropolis/SP""]]","doi_collectionSite"
"[""10.1590/S0100-40422010000900005"", ""Piracicaba/SP""]","[""10.1590/S0100-40422010000900005"", [""Mogi Guacu/SP"", ""Teodoro Sampaio/SP"", ""Urucuca/BA"", ""N/A/ES"", ""Pocos De Caldas/MG"", ""Igarape-acu/PA"", ""Chapada Dos Guimaraes/MT"", ""N/A/AM"", ""Lavras/MG"", ""Vicosa/MG"", ""N/A/MS"", ""Belem/PA"", ""Cunha/SP"", ""Santarem/PA"", ""Recife/PE"", ""Rifaina/SP"", ""Campinas/SP"", ""Sao Paulo/SP"", ""Corumba/MS"", ""Cordeiropolis/SP""]]","doi_collectionSite"
"[""10.1016/j.bmc.2010.12.056"", ""Campinas/SP""]","[""10.1016/j.bmc.2010.12.056"", [""Mogi Guacu/SP"", ""Teodoro Sampaio/SP"", ""Urucuca/BA"", ""N/A/ES"", ""Pocos De Caldas/MG"", ""Igarape-acu/PA"", ""Chapada Dos Guimaraes/MT"", ""N/A/AM"", ""Lavras/MG"", ""Vicosa/MG"", ""N/A/MS"", ""Belem/PA"", ""Cunha/SP"", ""Santarem/PA"", ""Rifaina/SP"", ""Recife/PE"", ""Campinas/SP"", ""Sao Paulo/SP"", ""Corumba/MS"", ""Cordeiropolis/SP""]]","doi_collectionSite"
"[""10.1016/j.phytochem.2006.09.005"", ""Araraquara/SP""]","[""10.1016/j.phytochem.2006.09.005"", [""Araraquara/SP"", ""Sao Paulo/SP"", ""Piracicaba/SP"", ""Sao Carlos/SP"", ""Campinas/SP"", ""Rio Claro/SP"", ""Ribeirao Preto/SP"", ""Teodoro Sampaio/SP"", ""Iguape/SP"", ""Sao Miguel Arcanjo/SP"", ""Sao Sebastiao Do Passe/BA"", ""Igarape-acu/PA"", ""Cordeiropolis/SP"", ""Ribeirao Preto/SP, Nigrospora sphaerica"", ""Itacoatiara/AM"", ""Cunha/SP"", ""Santarem/PA"", ""Mogi Guacu/SP"", ""Chapada Dos Guimaraes/MT"", ""Itaituba/PA""]]","doi_collectionSite"
"[""10.5935/0103-5053.19930018"", ""N/A/ES""]","[""10.5935/0103-5053.19930018"", [""Sao Miguel Arcanjo/SP"", ""Sao Sebastiao Do Passe/BA"", ""Teodoro Sampaio/SP"", ""Sao Carlos/SP"", ""Sao Paulo/SP"", ""Rio Claro/SP"", ""Santarem/PA"", ""Iguape/SP"", ""Rio De Janeiro/RJ"", ""Mogi Guacu/SP"", ""Piracicaba/SP"", ""Ribeirao Preto/SP"", ""Chapada Dos Guimaraes/MT"", ""Araraquara/SP"", ""Cordeiropolis/SP"", ""Itaituba/PA"", ""Campinas/SP"", ""Belem/PA"", ""Recife/PE"", ""Cunha/SP""]]","doi_collectionSite"
"[""10.1021/np9004079"", ""Campinas/SP""]","[""10.1021/np9004079"", [""Campinas/SP"", ""Sao Paulo/SP"", ""Piracicaba/SP"", ""Sao Carlos/SP"", ""Teodoro Sampaio/SP"", ""Rio Claro/SP"", ""Ribeirao Preto/SP"", ""Araraquara/SP"", ""Iguape/SP"", ""Cordeiropolis/SP"", ""Sao Sebastiao Do Passe/BA"", ""Cunha/SP"", ""Pirenopolis/GO"", ""Sao Miguel Arcanjo/SP"", ""Mogi Guacu/SP"", ""Belem/PA"", ""Santarem/PA"", ""Corumba/MS"", ""Ribeirao Preto/SP, Nigrospora sphaerica"", ""Chapada Dos Guimaraes/MT""]]","doi_collectionSite"
