"true","restored","edge_type"
"[""10.1016/j.tiv.2008.01.003"", ""Maytenus ilicifolia (Celastraceae)""]","[""10.1016/j.tiv.2008.01.003"", [""Maytenus ilicifolia (Celastraceae)"", ""Maytenus aquifolium (Celastraceae)"", ""Adiscanthus fusciflorus"", ""Iryanthera juruensis (Myristicaceae)"", ""Tithonia diversifolia"", ""Esenbeckia leiocarpa"", ""Himatanthus sucuuba (Apocynaceae)"", ""Pilocarpus grandiflorus"", ""Vochysia thyrsoidea"", ""Cedrela fissilis"", ""Pilocarpus riedelianus"", ""Rapanea lancifolia (Myrsinaceae)"", ""Metrodorea stipularis"", ""Trichilia claussenii (Meliaceae)"", ""Ottonia corcovadensis (Piperaceae)"", ""Toona ciliata (Meliacee)"", ""Trichilia elegans (Meliaceae)"", ""Dalbergia riparia"", ""Stemodia foliosa (Scrophulariaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Picramnia teapensis"", ""Petiveria alliacea (Phytolaccaceae)"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Trichilia pallida"", ""Pterogyne nitens (Fabaceae)"", ""Siphoneugena densiflora (Myrtaceae)"", ""Piper solmsianum"", ""Ouratea multiflora (Ochnaceae)"", ""Cedrela odorata (Meliaceae)"", ""Carapa guianensis"", ""Eucalyptus maculata"", ""Lantana lilacina (Verbenaceae)"", ""Piper hispidum (Piperaceae)"", ""Croton zehntneri (Euphorbiaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Mycoleptodiscus indicus"", ""Senna multijuga (Fabaceae)"", ""Ricinus communis (Euphorbiaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Casearia sylvestris (Flacourtiaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Hortia superba (Rutaceae)"", ""Piper gaudichaudianum (Piperaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Murraya paniculata"", ""Pothomorphe umbellata (Piperaceae)"", ""Erythrina mulungu (Fabaceae)"", ""Humicola grisea"", ""Senna spectabilis (Fabaceae)""]]","doi_collectionSpecie"
"[""10.1021/np1007476"", ""Chimarrhis turbinata (Rubiaceae)""]","[""10.1021/np1007476"", [""Chimarrhis turbinata (Rubiaceae)"", ""Dimorphandra mollis"", ""Picramnia teapensis"", ""Carapa guianensis"", ""Mycoleptodiscus indicus"", ""Murraya paniculata"", ""Pilocarpus grandiflorus"", ""Chaetomium globosum"", ""Piper solmsianum"", ""Pilocarpus riedelianus"", ""Piper tuberculatum (Piperaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Trichilia pallida"", ""Tithonia diversifolia"", ""Pothomorphe umbellata (Piperaceae)"", ""Dalbergia riparia"", ""Vochysia thyrsoidea"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Humicola grisea"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Styrax ferrugineus (Styracaceae)"", ""Galipea bracteata (Rutaceae)"", ""Adiscanthus fusciflorus"", ""Swinglea glutinosa"", ""Chrysophyllum marginatum (Sapotaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Cinnamomum australe (Lauraceae)"", ""Raulinoa echinata (Rutaceae)"", ""Erythrina mulungu (Fabaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Piper hispidum (Piperaceae)"", ""Angostura paniculata (Rutaceae)"", ""Michelia champaca (Magnoliaceae)"", ""Cabralea canjerana"", ""Cedrela fissilis"", ""Piper gaudichaudianum (Piperaceae)"", ""Metrodorea stipularis"", ""Hortia superba (Rutaceae)"", ""Aspergillus terreus"", ""Amorpha fruticosa"", ""Zingiber officinale"", ""Esenbeckia leiocarpa"", ""Tocoyena formosa (Rubiaceae)"", ""Nigrospora sphaerica"", ""Iryanthera juruensis (Myristicaceae)"", ""Fusarium oxysporum"", ""Trichilia elegans (Meliaceae)""]]","doi_collectionSpecie"
"[""10.1016/S0031-9422(01)00431-9"", ""Piper tuberculatum (Piperaceae)""]","[""10.1016/S0031-9422(01)00431-9"", [""Piper tuberculatum (Piperaceae)"", ""Piper arboreum (Piperaceae)"", ""Piper aduncum (Piperaceae)"", ""Piper gaudichaudianum (Piperaceae)"", ""Piper hispidum (Piperaceae)"", ""Piper crassinervium (Piperaceae)"", ""Piper solmsianum"", ""Peperomia obtusifolia (Piperaceae)"", ""Piper hostmannianum (Piperaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Peperomia blanda (Piperaceae)"", ""Pilocarpus grandiflorus"", ""Ottonia corcovadensis (Piperaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Rudgea viburnioides (Rubiaceae)"", ""Dalbergia riparia"", ""Pilocarpus riedelianus"", ""Amorpha fruticosa"", ""Angostura paniculata (Rutaceae)"", ""Carapa guianensis"", ""Petiveria alliacea (Phytolaccaceae)"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Alibertia edulis (Rubiaceae)"", ""Coussarea hydrangeifolia (Rubiaceae)"", ""Adiscanthus fusciflorus"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Zingiber officinale"", ""Alibertia sessilis (Rubiaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Hortia superba (Rutaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Picramnia teapensis"", ""Balfourodendron riedelianum (Rutaceae)"", ""Galipea bracteata (Rutaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Cedrela fissilis"", ""Esenbeckia leiocarpa"", ""Trichilia pallida"", ""Styrax ferrugineus (Styracaceae)"", ""Ricinus communis (Euphorbiaceae)"", ""Aspergillus terreus"", ""Stemodia foliosa (Scrophulariaceae)"", ""Aspergillus fumigatus"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Humicola grisea""]]","doi_collectionSpecie"
"[""10.1248/bpb.31.538"", ""Piper aduncum (Piperaceae)""]","[""10.1248/bpb.31.538"", [""Piper gaudichaudianum (Piperaceae)"", ""Piper aduncum (Piperaceae)"", ""Piper solmsianum"", ""Piper tuberculatum (Piperaceae)"", ""Piper crassinervium (Piperaceae)"", ""Piper hispidum (Piperaceae)"", ""Piper hostmannianum (Piperaceae)"", ""Piper arboreum (Piperaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Peperomia obtusifolia (Piperaceae)"", ""Ottonia corcovadensis (Piperaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Cabralea canjerana"", ""Humicola grisea"", ""Picramnia teapensis"", ""Peperomia blanda (Piperaceae)"", ""Angostura paniculata (Rutaceae)"", ""Carapa guianensis"", ""Trichilia pallida"", ""Penicillium sp. (Trichocomaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Amorpha fruticosa"", ""Penicillium corylophilum"", ""Aspergillus terreus"", ""Pilocarpus grandiflorus"", ""Petiveria alliacea (Phytolaccaceae)"", ""Chaetomium globosum"", ""Dalbergia riparia"", ""Aspergillus fumigatus"", ""Pterogyne nitens (Fabaceae)"", ""Fusarium oxysporum"", ""Adiscanthus fusciflorus"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Dimorphandra mollis"", ""Cedrela fissilis"", ""Pilocarpus riedelianus"", ""Tocoyena formosa (Rubiaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Nigrospora sphaerica"", ""Swinglea glutinosa"", ""Trichilia elegans (Meliaceae)"", ""Galipea bracteata (Rutaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Tithonia diversifolia"", ""Tephrosia candida"", ""Casearia obliqua (Flacourtiaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Vochysia thyrsoidea"", ""Styrax ferrugineus (Styracaceae)""]]","doi_collectionSpecie"
"[""10.1248/bpb.31.538"", ""Piper gaudichaudianum (Piperaceae)""]","[""10.1248/bpb.31.538"", [""Piper gaudichaudianum (Piperaceae)"", ""Piper aduncum (Piperaceae)"", ""Piper hispidum (Piperaceae)"", ""Piper tuberculatum (Piperaceae)"", ""Piper solmsianum"", ""Piper arboreum (Piperaceae)"", ""Piper crassinervium (Piperaceae)"", ""Piper hostmannianum (Piperaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Peperomia obtusifolia (Piperaceae)"", ""Ottonia corcovadensis (Piperaceae)"", ""Peperomia blanda (Piperaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Pilocarpus grandiflorus"", ""Periconia atropurpurea (Annonaceae)"", ""Adiscanthus fusciflorus"", ""Pterogyne nitens (Fabaceae)"", ""Pilocarpus riedelianus"", ""Pilocarpus spicatus (Rutaceae)"", ""Dalbergia riparia"", ""Galipea bracteata (Rutaceae)"", ""Angostura paniculata (Rutaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Trichilia pallida"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Coussarea hydrangeifolia (Rubiaceae)"", ""Cedrela fissilis"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Rudgea viburnioides (Rubiaceae)"", ""Carapa guianensis"", ""Styrax camporum (Styracaceae)"", ""Hortia superba (Rutaceae)"", ""Rapanea lancifolia (Myrsinaceae)"", ""Picramnia teapensis"", ""Alibertia edulis (Rubiaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Dimorphandra mollis"", ""Ricinus communis (Euphorbiaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Esenbeckia leiocarpa"", ""Styrax ferrugineus (Styracaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Neoraputia alba (Rutaceae)"", ""Tithonia diversifolia"", ""Amorpha fruticosa""]]","doi_collectionSpecie"
"[""10.1007/s10295-012-1165-2"", ""Aspergillus terreus""]","[""10.1007/s10295-012-1165-2"", [""Aspergillus terreus"", ""Aspergillus fumigatus"", ""Fusarium oxysporum"", ""Penicillium corylophilum"", ""Penicillium sp. (Trichocomaceae)"", ""Nigrospora sphaerica"", ""Streptomyces sp."", ""Tephrosia candida"", ""Humicola grisea"", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Chaetomium globosum"", ""Adiscanthus fusciflorus"", ""Phoma betae"", ""Curvularia sp. (Pleosporaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Xylaria sp. (Xylariaceae)"", ""Vochysia thyrsoidea"", ""Casearia rupestris (Salicaeae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Cedrela fissilis"", ""Dimorphandra mollis"", ""Tithonia diversifolia"", ""Swinglea glutinosa"", ""Erythrina mulungu (Fabaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Trichilia pallida"", ""Amorpha fruticosa"", ""Phomopsis sp. (Valsaceae)"", ""Dalbergia riparia"", ""Periconia atropurpurea (Annonaceae)"", ""Styrax camporum (Styracaceae)"", ""Cinnamomum australe (Lauraceae)"", ""Ouratea multiflora (Ochnaceae)"", ""Trichilia elegans (Meliaceae)"", ""Styrax ferrugineus (Styracaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Pilocarpus grandiflorus"", ""Croton zehntneri (Euphorbiaceae)"", ""Phomopsis cassiae (Valsaceae)"", ""Picramnia teapensis"", ""Chimarrhis turbinata (Rubiaceae)"", ""Mycoleptodiscus indicus"", ""Iryanthera juruensis (Myristicaceae)"", ""Pilocarpus riedelianus"", ""Stemodia foliosa (Scrophulariaceae)"", ""Carapa guianensis"", ""Raulinoa echinata (Rutaceae)"", ""Casearia obliqua (Flacourtiaceae)""]]","doi_collectionSpecie"
"[""10.1007/s10295-012-1165-2"", ""Tithonia diversifolia""]","[""10.1007/s10295-012-1165-2"", [""Aspergillus terreus"", ""Aspergillus fumigatus"", ""Fusarium oxysporum"", ""Penicillium corylophilum"", ""Penicillium sp. (Trichocomaceae)"", ""Nigrospora sphaerica"", ""Streptomyces sp."", ""Tephrosia candida"", ""Humicola grisea"", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Chaetomium globosum"", ""Adiscanthus fusciflorus"", ""Phoma betae"", ""Curvularia sp. (Pleosporaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Xylaria sp. (Xylariaceae)"", ""Vochysia thyrsoidea"", ""Casearia rupestris (Salicaeae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Cedrela fissilis"", ""Dimorphandra mollis"", ""Tithonia diversifolia"", ""Swinglea glutinosa"", ""Erythrina mulungu (Fabaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Trichilia pallida"", ""Amorpha fruticosa"", ""Phomopsis sp. (Valsaceae)"", ""Dalbergia riparia"", ""Periconia atropurpurea (Annonaceae)"", ""Styrax camporum (Styracaceae)"", ""Cinnamomum australe (Lauraceae)"", ""Ouratea multiflora (Ochnaceae)"", ""Trichilia elegans (Meliaceae)"", ""Styrax ferrugineus (Styracaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Pilocarpus grandiflorus"", ""Croton zehntneri (Euphorbiaceae)"", ""Phomopsis cassiae (Valsaceae)"", ""Picramnia teapensis"", ""Chimarrhis turbinata (Rubiaceae)"", ""Mycoleptodiscus indicus"", ""Iryanthera juruensis (Myristicaceae)"", ""Pilocarpus riedelianus"", ""Stemodia foliosa (Scrophulariaceae)"", ""Carapa guianensis"", ""Raulinoa echinata (Rutaceae)"", ""Casearia obliqua (Flacourtiaceae)""]]","doi_collectionSpecie"
"[""10.1016/0031-9422(73)85048-4"", ""Dalbergia riparia""]","[""10.1016/0031-9422(73)85048-4"", [""Dalbergia riparia"", ""Pilocarpus riedelianus"", ""Pilocarpus grandiflorus"", ""Balfourodendron riedelianum (Rutaceae)"", ""Dimorphandra mollis"", ""Swartzia langsdorfii (Fabaceae)"", ""Adiscanthus fusciflorus"", ""Petiveria alliacea (Phytolaccaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Trichilia pallida"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Rapanea lancifolia (Myrsinaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Esenbeckia leiocarpa"", ""Alibertia edulis (Rubiaceae)"", ""Tithonia diversifolia"", ""Alibertia sessilis (Rubiaceae)"", ""Trichilia elegans (Meliaceae)"", ""Cedrela fissilis"", ""Cassia leptophylla (Fabaceae)"", ""Vochysia thyrsoidea"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Galipea bracteata (Rutaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Siphoneugena densiflora (Myrtaceae)"", ""Phomopsis sp. (Valsaceae)"", ""Piper gaudichaudianum (Piperaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Nectandra grandiflora (Lauraceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Lantana lilacina (Verbenaceae)"", ""Styrax camporum (Styracaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Picramnia teapensis"", ""Pterogyne nitens (Fabaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Senna spectabilis (Fabaceae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Neoraputia alba (Rutaceae)"", ""Erythrina mulungu (Fabaceae)"", ""Metrodorea stipularis"", ""Tocoyena formosa (Rubiaceae)"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Humicola grisea"", ""Iryanthera juruensis (Myristicaceae)""]]","doi_collectionSpecie"
"[""10.1590/s0100-40422008000700015"", ""Chaetomium globosum""]","[""10.1590/s0100-40422008000700015"", [""Chaetomium globosum"", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Fusarium oxysporum"", ""Penicillium corylophilum"", ""Humicola grisea"", ""Phoma betae"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Vochysia thyrsoidea"", ""Penicillium sp. (Trichocomaceae)"", ""Curvularia sp. (Pleosporaceae)"", ""Phomopsis sp. (Valsaceae)"", ""Cheiloclinium cognatum (Hippocrateaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Nigrospora sphaerica"", ""Stemodia foliosa (Scrophulariaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Tephrosia candida"", ""Cassia spectabilis (Fabaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Chrysophyllum marginatum (Sapotaceae)"", ""Casearia rupestris (Salicaeae)"", ""Phomopsis cassiae (Valsaceae)"", ""Styrax camporum (Styracaceae)"", ""Adiscanthus fusciflorus"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Metrodorea stipularis"", ""Eucalyptus maculata"", ""Streptomyces sp."", ""Aspergillus terreus"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Esenbeckia leiocarpa"", ""Aspergillus fumigatus"", ""Xylaria sp. (Xylariaceae)"", ""Rudgea viburnioides (Rubiaceae)"", ""Cedrela fissilis"", ""Hortia superba (Rutaceae)"", ""Picramnia teapensis"", ""Pterogyne nitens (Fabaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Trichilia elegans (Meliaceae)"", ""Swartzia langsdorfii (Fabaceae)"", ""Casearia obliqua (Flacourtiaceae)"", ""Vitex polygama (Verbenaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Piper tuberculatum (Piperaceae)"", ""Galipea bracteata (Rutaceae)"", ""Tocoyena brasiliensis (Rubiaceae)""]]","doi_collectionSpecie"
"[""10.1107/S1600536803019913"", ""Adiscanthus fusciflorus""]","[""10.1107/S1600536803019913"", [""Adiscanthus fusciflorus"", ""Tithonia diversifolia"", ""Dimorphandra mollis"", ""Vochysia thyrsoidea"", ""Swartzia langsdorfii (Fabaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Lantana lilacina (Verbenaceae)"", ""Tephrosia candida"", ""Trichilia claussenii (Meliaceae)"", ""Esenbeckia leiocarpa"", ""Pilocarpus grandiflorus"", ""Trichilia elegans (Meliaceae)"", ""Cedrela fissilis"", ""Periconia atropurpurea (Annonaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Trichilia pallida"", ""Ouratea multiflora (Ochnaceae)"", ""Mycoleptodiscus indicus"", ""Fusarium oxysporum"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Aspergillus terreus"", ""Peperomia obtusifolia (Piperaceae)"", ""Carapa guianensis"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Humicola grisea"", ""Phomopsis sp. (Valsaceae)"", ""Aspergillus fumigatus"", ""Amorpha fruticosa"", ""Metrodorea stipularis"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Maytenus ilicifolia (Celastraceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Chaetomium globosum"", ""Phomopsis cassiae (Valsaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Croton zehntneri (Euphorbiaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Casearia obliqua (Flacourtiaceae)"", ""Dalbergia riparia"", ""Casearia sylvestris (Flacourtiaceae)"", ""Peperomia blanda (Piperaceae)"", ""Nectandra grandiflora (Lauraceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Cabralea canjerana"", ""Erythrina mulungu (Fabaceae)""]]","doi_collectionSpecie"
