"true","restored","edge_type"
"[""10.1016/j.tiv.2008.01.003"", ""Maytenus ilicifolia (Celastraceae)""]","[""10.1016/j.tiv.2008.01.003"", [""Maytenus ilicifolia (Celastraceae)"", ""Maytenus aquifolium (Celastraceae)"", ""Adiscanthus fusciflorus"", ""Esenbeckia leiocarpa"", ""Pilocarpus grandiflorus"", ""Iryanthera juruensis (Myristicaceae)"", ""Cedrela fissilis"", ""Vochysia thyrsoidea"", ""Pilocarpus riedelianus"", ""Rapanea lancifolia (Myrsinaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Tithonia diversifolia"", ""Himatanthus sucuuba (Apocynaceae)"", ""Dalbergia riparia"", ""Trichilia elegans (Meliaceae)"", ""Lantana lilacina (Verbenaceae)"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Siphoneugena densiflora (Myrtaceae)"", ""Metrodorea stipularis"", ""Pilocarpus spicatus (Rutaceae)"", ""Senna spectabilis (Fabaceae)"", ""Ottonia corcovadensis (Piperaceae)"", ""Senna multijuga (Fabaceae)"", ""Cedrela odorata (Meliaceae)"", ""Toona ciliata (Meliacee)"", ""Carapa guianensis"", ""Stemodia foliosa (Scrophulariaceae)"", ""Trichilia pallida"", ""Erythrina mulungu (Fabaceae)"", ""Ricinus communis (Euphorbiaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Piper hispidum (Piperaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Picramnia teapensis"", ""Alibertia edulis (Rubiaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Ouratea multiflora (Ochnaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Peperomia obtusifolia (Piperaceae)"", ""Croton zehntneri (Euphorbiaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Amorpha fruticosa"", ""Balfourodendron riedelianum (Rutaceae)"", ""Michelia champaca (Magnoliaceae)"", ""Murraya paniculata"", ""Vitex polygama (Verbenaceae)""]]","doi_collectionSpecie"
"[""10.1021/np1007476"", ""Chimarrhis turbinata (Rubiaceae)""]","[""10.1021/np1007476"", [""Chimarrhis turbinata (Rubiaceae)"", ""Dimorphandra mollis"", ""Picramnia teapensis"", ""Carapa guianensis"", ""Mycoleptodiscus indicus"", ""Murraya paniculata"", ""Pilocarpus grandiflorus"", ""Chaetomium globosum"", ""Piper solmsianum"", ""Pilocarpus riedelianus"", ""Piper tuberculatum (Piperaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Tithonia diversifolia"", ""Trichilia pallida"", ""Pothomorphe umbellata (Piperaceae)"", ""Dalbergia riparia"", ""Vochysia thyrsoidea"", ""Humicola grisea"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Styrax ferrugineus (Styracaceae)"", ""Galipea bracteata (Rutaceae)"", ""Adiscanthus fusciflorus"", ""Swinglea glutinosa"", ""Chrysophyllum marginatum (Sapotaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Raulinoa echinata (Rutaceae)"", ""Cinnamomum australe (Lauraceae)"", ""Erythrina mulungu (Fabaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Piper hispidum (Piperaceae)"", ""Angostura paniculata (Rutaceae)"", ""Cabralea canjerana"", ""Michelia champaca (Magnoliaceae)"", ""Cedrela fissilis"", ""Piper gaudichaudianum (Piperaceae)"", ""Metrodorea stipularis"", ""Hortia superba (Rutaceae)"", ""Aspergillus terreus"", ""Amorpha fruticosa"", ""Zingiber officinale"", ""Esenbeckia leiocarpa"", ""Tocoyena formosa (Rubiaceae)"", ""Nigrospora sphaerica"", ""Iryanthera juruensis (Myristicaceae)"", ""Fusarium oxysporum"", ""Trichilia elegans (Meliaceae)""]]","doi_collectionSpecie"
"[""10.1016/S0031-9422(01)00431-9"", ""Piper tuberculatum (Piperaceae)""]","[""10.1016/S0031-9422(01)00431-9"", [""Piper tuberculatum (Piperaceae)"", ""Piper arboreum (Piperaceae)"", ""Piper gaudichaudianum (Piperaceae)"", ""Piper aduncum (Piperaceae)"", ""Piper hispidum (Piperaceae)"", ""Piper crassinervium (Piperaceae)"", ""Piper solmsianum"", ""Peperomia obtusifolia (Piperaceae)"", ""Piper hostmannianum (Piperaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Peperomia blanda (Piperaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Pilocarpus grandiflorus"", ""Ottonia corcovadensis (Piperaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Dalbergia riparia"", ""Amorpha fruticosa"", ""Angostura paniculata (Rutaceae)"", ""Rudgea viburnioides (Rubiaceae)"", ""Carapa guianensis"", ""Pilocarpus riedelianus"", ""Petiveria alliacea (Phytolaccaceae)"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Adiscanthus fusciflorus"", ""Alibertia edulis (Rubiaceae)"", ""Coussarea hydrangeifolia (Rubiaceae)"", ""Hortia superba (Rutaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Galipea bracteata (Rutaceae)"", ""Zingiber officinale"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Picramnia teapensis"", ""Balfourodendron riedelianum (Rutaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Styrax ferrugineus (Styracaceae)"", ""Cedrela fissilis"", ""Esenbeckia leiocarpa"", ""Aspergillus fumigatus"", ""Fusarium oxysporum"", ""Humicola grisea"", ""Ricinus communis (Euphorbiaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Senna multijuga (Fabaceae)"", ""Aspergillus terreus""]]","doi_collectionSpecie"
"[""10.1248/bpb.31.538"", ""Piper aduncum (Piperaceae)""]","[""10.1248/bpb.31.538"", [""Piper gaudichaudianum (Piperaceae)"", ""Piper aduncum (Piperaceae)"", ""Piper solmsianum"", ""Piper tuberculatum (Piperaceae)"", ""Piper crassinervium (Piperaceae)"", ""Piper hispidum (Piperaceae)"", ""Piper hostmannianum (Piperaceae)"", ""Piper arboreum (Piperaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Peperomia obtusifolia (Piperaceae)"", ""Ottonia corcovadensis (Piperaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Cabralea canjerana"", ""Humicola grisea"", ""Picramnia teapensis"", ""Peperomia blanda (Piperaceae)"", ""Angostura paniculata (Rutaceae)"", ""Carapa guianensis"", ""Trichilia pallida"", ""Penicillium sp. (Trichocomaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Amorpha fruticosa"", ""Penicillium corylophilum"", ""Aspergillus terreus"", ""Pilocarpus grandiflorus"", ""Petiveria alliacea (Phytolaccaceae)"", ""Chaetomium globosum"", ""Dalbergia riparia"", ""Aspergillus fumigatus"", ""Pterogyne nitens (Fabaceae)"", ""Fusarium oxysporum"", ""Adiscanthus fusciflorus"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Dimorphandra mollis"", ""Cedrela fissilis"", ""Pilocarpus riedelianus"", ""Tocoyena formosa (Rubiaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Nigrospora sphaerica"", ""Swinglea glutinosa"", ""Trichilia elegans (Meliaceae)"", ""Galipea bracteata (Rutaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Tithonia diversifolia"", ""Tephrosia candida"", ""Casearia obliqua (Flacourtiaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Vochysia thyrsoidea"", ""Styrax ferrugineus (Styracaceae)""]]","doi_collectionSpecie"
"[""10.1248/bpb.31.538"", ""Piper gaudichaudianum (Piperaceae)""]","[""10.1248/bpb.31.538"", [""Piper gaudichaudianum (Piperaceae)"", ""Piper aduncum (Piperaceae)"", ""Piper solmsianum"", ""Piper tuberculatum (Piperaceae)"", ""Piper crassinervium (Piperaceae)"", ""Piper hispidum (Piperaceae)"", ""Piper hostmannianum (Piperaceae)"", ""Piper arboreum (Piperaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Peperomia obtusifolia (Piperaceae)"", ""Ottonia corcovadensis (Piperaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Cabralea canjerana"", ""Humicola grisea"", ""Picramnia teapensis"", ""Peperomia blanda (Piperaceae)"", ""Angostura paniculata (Rutaceae)"", ""Carapa guianensis"", ""Trichilia pallida"", ""Penicillium sp. (Trichocomaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Amorpha fruticosa"", ""Penicillium corylophilum"", ""Aspergillus terreus"", ""Pilocarpus grandiflorus"", ""Petiveria alliacea (Phytolaccaceae)"", ""Chaetomium globosum"", ""Dalbergia riparia"", ""Aspergillus fumigatus"", ""Pterogyne nitens (Fabaceae)"", ""Fusarium oxysporum"", ""Adiscanthus fusciflorus"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Dimorphandra mollis"", ""Cedrela fissilis"", ""Pilocarpus riedelianus"", ""Tocoyena formosa (Rubiaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Nigrospora sphaerica"", ""Swinglea glutinosa"", ""Trichilia elegans (Meliaceae)"", ""Galipea bracteata (Rutaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Tithonia diversifolia"", ""Tephrosia candida"", ""Casearia obliqua (Flacourtiaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Vochysia thyrsoidea"", ""Styrax ferrugineus (Styracaceae)""]]","doi_collectionSpecie"
"[""10.1016/0031-9422(73)85048-4"", ""Dalbergia riparia""]","[""10.1016/0031-9422(73)85048-4"", [""Dalbergia riparia"", ""Pilocarpus grandiflorus"", ""Pilocarpus riedelianus"", ""Dimorphandra mollis"", ""Balfourodendron riedelianum (Rutaceae)"", ""Adiscanthus fusciflorus"", ""Swartzia langsdorfii (Fabaceae)"", ""Trichilia pallida"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Cedrela fissilis"", ""Rapanea lancifolia (Myrsinaceae)"", ""Esenbeckia leiocarpa"", ""Tithonia diversifolia"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Trichilia elegans (Meliaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Piper gaudichaudianum (Piperaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Vochysia thyrsoidea"", ""Lantana lilacina (Verbenaceae)"", ""Galipea bracteata (Rutaceae)"", ""Siphoneugena densiflora (Myrtaceae)"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Alibertia edulis (Rubiaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Senna spectabilis (Fabaceae)"", ""Nectandra grandiflora (Lauraceae)"", ""Metrodorea stipularis"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Styrax camporum (Styracaceae)"", ""Picramnia teapensis"", ""Phomopsis sp. (Valsaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Neoraputia alba (Rutaceae)"", ""Erythrina mulungu (Fabaceae)"", ""Humicola grisea"", ""Senna multijuga (Fabaceae)"", ""Cedrela odorata (Meliaceae)"", ""Peperomia obtusifolia (Piperaceae)"", ""Ricinus communis (Euphorbiaceae)"", ""Piper solmsianum""]]","doi_collectionSpecie"
"[""10.1590/s0100-40422008000700015"", ""Chaetomium globosum""]","[""10.1590/s0100-40422008000700015"", [""Chaetomium globosum"", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Fusarium oxysporum"", ""Penicillium corylophilum"", ""Humicola grisea"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Phoma betae"", ""Vochysia thyrsoidea"", ""Penicillium sp. (Trichocomaceae)"", ""Curvularia sp. (Pleosporaceae)"", ""Phomopsis sp. (Valsaceae)"", ""Cheiloclinium cognatum (Hippocrateaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Nigrospora sphaerica"", ""Stemodia foliosa (Scrophulariaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Tephrosia candida"", ""Cassia spectabilis (Fabaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Chrysophyllum marginatum (Sapotaceae)"", ""Casearia rupestris (Salicaeae)"", ""Phomopsis cassiae (Valsaceae)"", ""Adiscanthus fusciflorus"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Styrax camporum (Styracaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Metrodorea stipularis"", ""Streptomyces sp."", ""Calycophyllum spruceanum (Rubiaceae)"", ""Eucalyptus maculata"", ""Aspergillus terreus"", ""Trichilia claussenii (Meliaceae)"", ""Esenbeckia leiocarpa"", ""Rudgea viburnioides (Rubiaceae)"", ""Aspergillus fumigatus"", ""Xylaria sp. (Xylariaceae)"", ""Cedrela fissilis"", ""Hortia superba (Rutaceae)"", ""Picramnia teapensis"", ""Pterogyne nitens (Fabaceae)"", ""Trichilia elegans (Meliaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Swartzia langsdorfii (Fabaceae)"", ""Casearia obliqua (Flacourtiaceae)"", ""Vitex polygama (Verbenaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Piper tuberculatum (Piperaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Galipea bracteata (Rutaceae)""]]","doi_collectionSpecie"
"[""10.1107/S1600536803019913"", ""Adiscanthus fusciflorus""]","[""10.1107/S1600536803019913"", [""Adiscanthus fusciflorus"", ""Tithonia diversifolia"", ""Dimorphandra mollis"", ""Vochysia thyrsoidea"", ""Swartzia langsdorfii (Fabaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Lantana lilacina (Verbenaceae)"", ""Tephrosia candida"", ""Trichilia claussenii (Meliaceae)"", ""Esenbeckia leiocarpa"", ""Pilocarpus grandiflorus"", ""Trichilia elegans (Meliaceae)"", ""Cedrela fissilis"", ""Periconia atropurpurea (Annonaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Trichilia pallida"", ""Ouratea multiflora (Ochnaceae)"", ""Mycoleptodiscus indicus"", ""Fusarium oxysporum"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Aspergillus terreus"", ""Peperomia obtusifolia (Piperaceae)"", ""Carapa guianensis"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Humicola grisea"", ""Phomopsis sp. (Valsaceae)"", ""Aspergillus fumigatus"", ""Amorpha fruticosa"", ""Metrodorea stipularis"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Maytenus ilicifolia (Celastraceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Chaetomium globosum"", ""Phomopsis cassiae (Valsaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Croton zehntneri (Euphorbiaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Casearia obliqua (Flacourtiaceae)"", ""Dalbergia riparia"", ""Casearia sylvestris (Flacourtiaceae)"", ""Peperomia blanda (Piperaceae)"", ""Nectandra grandiflora (Lauraceae)"", ""Cabralea canjerana"", ""Petiveria alliacea (Phytolaccaceae)"", ""Erythrina mulungu (Fabaceae)""]]","doi_collectionSpecie"
"[""10.1590/S0100-40422010000900005"", ""Trichilia claussenii (Meliaceae)""]","[""10.1590/S0100-40422010000900005"", [""Trichilia claussenii (Meliaceae)"", ""Trichilia pallida"", ""Trichilia elegans (Meliaceae)"", ""Vochysia thyrsoidea"", ""Penicillium sp. (Trichocomaceae)"", ""Humicola grisea"", ""Nigrospora sphaerica"", ""Styrax ferrugineus (Styracaceae)"", ""Casearia rupestris (Salicaeae)"", ""Cedrela fissilis"", ""Metrodorea stipularis"", ""Fusarium oxysporum"", ""Stemodia foliosa (Scrophulariaceae)"", ""Piper solmsianum"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Dimorphandra mollis"", ""Petiveria alliacea (Phytolaccaceae)"", ""Swartzia langsdorfii (Fabaceae)"", ""Swinglea glutinosa"", ""Pterogyne nitens (Fabaceae)"", ""Pilocarpus grandiflorus"", ""Dalbergia riparia"", ""Esenbeckia leiocarpa"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Hortia oreadica"", ""Adiscanthus fusciflorus"", ""Aspergillus terreus"", ""Pilocarpus riedelianus"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Phomopsis sp. (Valsaceae)"", ""Maytenus ilicifolia (Celastraceae)"", ""Cassia spectabilis (Fabaceae)"", ""Chaetomium globosum"", ""Piper crassinervium (Piperaceae)"", ""Phoma betae"", ""Hortia superba (Rutaceae)"", ""Phomopsis cassiae (Valsaceae)"", ""Mycoleptodiscus indicus"", ""Picramnia teapensis"", ""Curvularia sp. (Pleosporaceae)"", ""Senna multijuga (Fabaceae)"", ""Styrax camporum (Styracaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Aspergillus fumigatus"", ""Rapanea lancifolia (Myrsinaceae)"", ""Tithonia diversifolia"", ""Piper gaudichaudianum (Piperaceae)"", ""Tephrosia candida"", ""Casearia obliqua (Flacourtiaceae)""]]","doi_collectionSpecie"
"[""10.1590/S0102-695X2010005000017"", ""Pterogyne nitens (Fabaceae)""]","[""10.1590/S0102-695X2010005000017"", [""Aspergillus terreus"", ""Aspergillus fumigatus"", ""Penicillium sp. (Trichocomaceae)"", ""Tephrosia candida"", ""Penicillium corylophilum"", ""Fusarium oxysporum"", ""Nigrospora sphaerica"", ""Streptomyces sp."", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Pterogyne nitens (Fabaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Curvularia sp. (Pleosporaceae)"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Cedrela fissilis"", ""Phoma betae"", ""Piper hostmannianum (Piperaceae)"", ""Xylaria sp. (Xylariaceae)"", ""Carapa guianensis"", ""Piper crassinervium (Piperaceae)"", ""Amorpha fruticosa"", ""Humicola grisea"", ""Phomopsis sp. (Valsaceae)"", ""Chaetomium globosum"", ""Piper tuberculatum (Piperaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Adiscanthus fusciflorus"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Pilocarpus grandiflorus"", ""Phomopsis cassiae (Valsaceae)"", ""Casearia rupestris (Salicaeae)"", ""Piper gaudichaudianum (Piperaceae)"", ""Piper solmsianum"", ""Pilocarpus riedelianus"", ""Trichilia pallida"", ""Dimorphandra mollis"", ""Pilocarpus spicatus (Rutaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Peperomia obtusifolia (Piperaceae)"", ""Picramnia teapensis"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Croton zehntneri (Euphorbiaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Cinnamomum australe (Lauraceae)"", ""Piper hispidum (Piperaceae)"", ""Trichilia elegans (Meliaceae)"", ""Styrax camporum (Styracaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Swinglea glutinosa"", ""Alchornea glandulosa (Euphorbiaceae)""]]","doi_collectionSpecie"
