"true","restored","edge_type"
"[""10.1016/j.tiv.2008.01.003"", ""Maytenus ilicifolia (Celastraceae)""]","[""10.1016/j.tiv.2008.01.003"", [""Maytenus ilicifolia (Celastraceae)"", ""Maytenus aquifolium (Celastraceae)"", ""Adiscanthus fusciflorus"", ""Esenbeckia leiocarpa"", ""Pilocarpus grandiflorus"", ""Iryanthera juruensis (Myristicaceae)"", ""Cedrela fissilis"", ""Vochysia thyrsoidea"", ""Pilocarpus riedelianus"", ""Rapanea lancifolia (Myrsinaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Tithonia diversifolia"", ""Himatanthus sucuuba (Apocynaceae)"", ""Dalbergia riparia"", ""Trichilia elegans (Meliaceae)"", ""Lantana lilacina (Verbenaceae)"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Siphoneugena densiflora (Myrtaceae)"", ""Metrodorea stipularis"", ""Pilocarpus spicatus (Rutaceae)"", ""Senna spectabilis (Fabaceae)"", ""Ottonia corcovadensis (Piperaceae)"", ""Senna multijuga (Fabaceae)"", ""Cedrela odorata (Meliaceae)"", ""Toona ciliata (Meliacee)"", ""Carapa guianensis"", ""Stemodia foliosa (Scrophulariaceae)"", ""Trichilia pallida"", ""Erythrina mulungu (Fabaceae)"", ""Ricinus communis (Euphorbiaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Piper hispidum (Piperaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Picramnia teapensis"", ""Alibertia edulis (Rubiaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Ouratea multiflora (Ochnaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Peperomia obtusifolia (Piperaceae)"", ""Croton zehntneri (Euphorbiaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Amorpha fruticosa"", ""Balfourodendron riedelianum (Rutaceae)"", ""Michelia champaca (Magnoliaceae)"", ""Murraya paniculata"", ""Vitex polygama (Verbenaceae)""]]","doi_collectionSpecie"
"[""10.1021/np1007476"", ""Chimarrhis turbinata (Rubiaceae)""]","[""10.1021/np1007476"", [""Chimarrhis turbinata (Rubiaceae)"", ""Dimorphandra mollis"", ""Picramnia teapensis"", ""Carapa guianensis"", ""Mycoleptodiscus indicus"", ""Murraya paniculata"", ""Pilocarpus grandiflorus"", ""Chaetomium globosum"", ""Piper solmsianum"", ""Pilocarpus riedelianus"", ""Piper tuberculatum (Piperaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Tithonia diversifolia"", ""Trichilia pallida"", ""Pothomorphe umbellata (Piperaceae)"", ""Dalbergia riparia"", ""Vochysia thyrsoidea"", ""Humicola grisea"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Styrax ferrugineus (Styracaceae)"", ""Galipea bracteata (Rutaceae)"", ""Adiscanthus fusciflorus"", ""Swinglea glutinosa"", ""Chrysophyllum marginatum (Sapotaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Raulinoa echinata (Rutaceae)"", ""Cinnamomum australe (Lauraceae)"", ""Erythrina mulungu (Fabaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Piper hispidum (Piperaceae)"", ""Angostura paniculata (Rutaceae)"", ""Cabralea canjerana"", ""Michelia champaca (Magnoliaceae)"", ""Cedrela fissilis"", ""Piper gaudichaudianum (Piperaceae)"", ""Metrodorea stipularis"", ""Hortia superba (Rutaceae)"", ""Aspergillus terreus"", ""Amorpha fruticosa"", ""Zingiber officinale"", ""Esenbeckia leiocarpa"", ""Tocoyena formosa (Rubiaceae)"", ""Nigrospora sphaerica"", ""Iryanthera juruensis (Myristicaceae)"", ""Fusarium oxysporum"", ""Trichilia elegans (Meliaceae)""]]","doi_collectionSpecie"
"[""10.1016/S0031-9422(01)00431-9"", ""Piper tuberculatum (Piperaceae)""]","[""10.1016/S0031-9422(01)00431-9"", [""Piper tuberculatum (Piperaceae)"", ""Piper arboreum (Piperaceae)"", ""Piper aduncum (Piperaceae)"", ""Piper gaudichaudianum (Piperaceae)"", ""Piper hispidum (Piperaceae)"", ""Piper crassinervium (Piperaceae)"", ""Piper solmsianum"", ""Piper hostmannianum (Piperaceae)"", ""Peperomia obtusifolia (Piperaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Peperomia blanda (Piperaceae)"", ""Ottonia corcovadensis (Piperaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Pilocarpus grandiflorus"", ""Rudgea viburnioides (Rubiaceae)"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Amorpha fruticosa"", ""Cassia spectabilis (Fabaceae)"", ""Angostura paniculata (Rutaceae)"", ""Hortia superba (Rutaceae)"", ""Alibertia edulis (Rubiaceae)"", ""Dalbergia riparia"", ""Coussarea hydrangeifolia (Rubiaceae)"", ""Picramnia teapensis"", ""Petiveria alliacea (Phytolaccaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Galipea bracteata (Rutaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Carapa guianensis"", ""Adiscanthus fusciflorus"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Pilocarpus riedelianus"", ""Pterogyne nitens (Fabaceae)"", ""Fusarium oxysporum"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Zingiber officinale"", ""Tocoyena formosa (Rubiaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Aspergillus fumigatus"", ""Humicola grisea"", ""Penicillium sp. (Trichocomaceae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Cedrela fissilis"", ""Aspergillus terreus"", ""Neoraputia alba (Rutaceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)""]]","doi_collectionSpecie"
"[""10.1016/0031-9422(73)85048-4"", ""Dalbergia riparia""]","[""10.1016/0031-9422(73)85048-4"", [""Dalbergia riparia"", ""Pilocarpus riedelianus"", ""Pilocarpus grandiflorus"", ""Balfourodendron riedelianum (Rutaceae)"", ""Dimorphandra mollis"", ""Swartzia langsdorfii (Fabaceae)"", ""Adiscanthus fusciflorus"", ""Petiveria alliacea (Phytolaccaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Trichilia pallida"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Rapanea lancifolia (Myrsinaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Esenbeckia leiocarpa"", ""Alibertia edulis (Rubiaceae)"", ""Tithonia diversifolia"", ""Alibertia sessilis (Rubiaceae)"", ""Cedrela fissilis"", ""Trichilia elegans (Meliaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Vochysia thyrsoidea"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Galipea bracteata (Rutaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Siphoneugena densiflora (Myrtaceae)"", ""Phomopsis sp. (Valsaceae)"", ""Piper gaudichaudianum (Piperaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Nectandra grandiflora (Lauraceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Lantana lilacina (Verbenaceae)"", ""Styrax camporum (Styracaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Picramnia teapensis"", ""Pterogyne nitens (Fabaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Senna spectabilis (Fabaceae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Neoraputia alba (Rutaceae)"", ""Erythrina mulungu (Fabaceae)"", ""Metrodorea stipularis"", ""Tocoyena formosa (Rubiaceae)"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Humicola grisea"", ""Iryanthera juruensis (Myristicaceae)""]]","doi_collectionSpecie"
"[""10.1590/s0100-40422008000700015"", ""Chaetomium globosum""]","[""10.1590/s0100-40422008000700015"", [""Chaetomium globosum"", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Fusarium oxysporum"", ""Penicillium corylophilum"", ""Humicola grisea"", ""Phoma betae"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Vochysia thyrsoidea"", ""Penicillium sp. (Trichocomaceae)"", ""Curvularia sp. (Pleosporaceae)"", ""Phomopsis sp. (Valsaceae)"", ""Cheiloclinium cognatum (Hippocrateaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Nigrospora sphaerica"", ""Stemodia foliosa (Scrophulariaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Tephrosia candida"", ""Cassia spectabilis (Fabaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Chrysophyllum marginatum (Sapotaceae)"", ""Casearia rupestris (Salicaeae)"", ""Phomopsis cassiae (Valsaceae)"", ""Styrax camporum (Styracaceae)"", ""Adiscanthus fusciflorus"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Metrodorea stipularis"", ""Eucalyptus maculata"", ""Streptomyces sp."", ""Aspergillus terreus"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Esenbeckia leiocarpa"", ""Aspergillus fumigatus"", ""Xylaria sp. (Xylariaceae)"", ""Rudgea viburnioides (Rubiaceae)"", ""Cedrela fissilis"", ""Hortia superba (Rutaceae)"", ""Picramnia teapensis"", ""Pterogyne nitens (Fabaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Trichilia elegans (Meliaceae)"", ""Swartzia langsdorfii (Fabaceae)"", ""Casearia obliqua (Flacourtiaceae)"", ""Vitex polygama (Verbenaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Piper tuberculatum (Piperaceae)"", ""Galipea bracteata (Rutaceae)"", ""Tocoyena brasiliensis (Rubiaceae)""]]","doi_collectionSpecie"
"[""10.1107/S1600536803019913"", ""Adiscanthus fusciflorus""]","[""10.1107/S1600536803019913"", [""Adiscanthus fusciflorus"", ""Tithonia diversifolia"", ""Dimorphandra mollis"", ""Vochysia thyrsoidea"", ""Swartzia langsdorfii (Fabaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Lantana lilacina (Verbenaceae)"", ""Tephrosia candida"", ""Trichilia claussenii (Meliaceae)"", ""Esenbeckia leiocarpa"", ""Pilocarpus grandiflorus"", ""Trichilia elegans (Meliaceae)"", ""Cedrela fissilis"", ""Periconia atropurpurea (Annonaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Trichilia pallida"", ""Ouratea multiflora (Ochnaceae)"", ""Mycoleptodiscus indicus"", ""Fusarium oxysporum"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Aspergillus terreus"", ""Peperomia obtusifolia (Piperaceae)"", ""Carapa guianensis"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Humicola grisea"", ""Phomopsis sp. (Valsaceae)"", ""Aspergillus fumigatus"", ""Amorpha fruticosa"", ""Metrodorea stipularis"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Maytenus ilicifolia (Celastraceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Chaetomium globosum"", ""Phomopsis cassiae (Valsaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Croton zehntneri (Euphorbiaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Casearia obliqua (Flacourtiaceae)"", ""Dalbergia riparia"", ""Casearia sylvestris (Flacourtiaceae)"", ""Peperomia blanda (Piperaceae)"", ""Nectandra grandiflora (Lauraceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Cabralea canjerana"", ""Erythrina mulungu (Fabaceae)""]]","doi_collectionSpecie"
"[""10.1590/S0100-40422010000900005"", ""Trichilia claussenii (Meliaceae)""]","[""10.1590/S0100-40422010000900005"", [""Trichilia claussenii (Meliaceae)"", ""Trichilia pallida"", ""Trichilia elegans (Meliaceae)"", ""Vochysia thyrsoidea"", ""Penicillium sp. (Trichocomaceae)"", ""Humicola grisea"", ""Nigrospora sphaerica"", ""Styrax ferrugineus (Styracaceae)"", ""Casearia rupestris (Salicaeae)"", ""Cedrela fissilis"", ""Metrodorea stipularis"", ""Fusarium oxysporum"", ""Stemodia foliosa (Scrophulariaceae)"", ""Piper solmsianum"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Dimorphandra mollis"", ""Petiveria alliacea (Phytolaccaceae)"", ""Swartzia langsdorfii (Fabaceae)"", ""Swinglea glutinosa"", ""Pterogyne nitens (Fabaceae)"", ""Pilocarpus grandiflorus"", ""Dalbergia riparia"", ""Esenbeckia leiocarpa"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Hortia oreadica"", ""Adiscanthus fusciflorus"", ""Aspergillus terreus"", ""Pilocarpus riedelianus"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Phomopsis sp. (Valsaceae)"", ""Maytenus ilicifolia (Celastraceae)"", ""Cassia spectabilis (Fabaceae)"", ""Chaetomium globosum"", ""Piper crassinervium (Piperaceae)"", ""Phoma betae"", ""Hortia superba (Rutaceae)"", ""Phomopsis cassiae (Valsaceae)"", ""Mycoleptodiscus indicus"", ""Picramnia teapensis"", ""Curvularia sp. (Pleosporaceae)"", ""Senna multijuga (Fabaceae)"", ""Styrax camporum (Styracaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Aspergillus fumigatus"", ""Rapanea lancifolia (Myrsinaceae)"", ""Tithonia diversifolia"", ""Piper gaudichaudianum (Piperaceae)"", ""Tephrosia candida"", ""Casearia obliqua (Flacourtiaceae)""]]","doi_collectionSpecie"
"[""10.1590/S0102-695X2010005000017"", ""Pterogyne nitens (Fabaceae)""]","[""10.1590/S0102-695X2010005000017"", [""Aspergillus terreus"", ""Aspergillus fumigatus"", ""Penicillium sp. (Trichocomaceae)"", ""Tephrosia candida"", ""Penicillium corylophilum"", ""Fusarium oxysporum"", ""Nigrospora sphaerica"", ""Streptomyces sp."", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Curvularia sp. (Pleosporaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Phoma betae"", ""Petiveria alliacea (Phytolaccaceae)"", ""Cedrela fissilis"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Humicola grisea"", ""Carapa guianensis"", ""Xylaria sp. (Xylariaceae)"", ""Chaetomium globosum"", ""Phomopsis sp. (Valsaceae)"", ""Amorpha fruticosa"", ""Casearia rupestris (Salicaeae)"", ""Adiscanthus fusciflorus"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Phomopsis cassiae (Valsaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Piper hostmannianum (Piperaceae)"", ""Pilocarpus grandiflorus"", ""Dimorphandra mollis"", ""Trichilia pallida"", ""Picramnia teapensis"", ""Trichilia claussenii (Meliaceae)"", ""Piper crassinervium (Piperaceae)"", ""Pilocarpus riedelianus"", ""Swinglea glutinosa"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Trichilia elegans (Meliaceae)"", ""Croton zehntneri (Euphorbiaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Piper solmsianum"", ""Pilocarpus spicatus (Rutaceae)"", ""Piper tuberculatum (Piperaceae)"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Styrax camporum (Styracaceae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Vochysia thyrsoidea"", ""Piper gaudichaudianum (Piperaceae)"", ""Cinnamomum australe (Lauraceae)"", ""Cabralea canjerana"", ""Peperomia obtusifolia (Piperaceae)""]]","doi_collectionSpecie"
"[""10.1590/S0100-46702007000300002"", ""Michelia champaca (Magnoliaceae)""]","[""10.1590/S0100-46702007000300002"", [""Michelia champaca (Magnoliaceae)"", ""Chaetomium globosum"", ""Penicillium corylophilum"", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Penicillium sp. (Trichocomaceae)"", ""Fusarium oxysporum"", ""Nigrospora sphaerica"", ""Humicola grisea"", ""Tephrosia candida"", ""Phomopsis sp. (Valsaceae)"", ""Streptomyces sp."", ""Trichilia claussenii (Meliaceae)"", ""Salacia campestris (Celastraceae)"", ""Aspergillus fumigatus"", ""Cedrela fissilis"", ""Aspergillus terreus"", ""Styrax camporum (Styracaceae)"", ""Vochysia thyrsoidea"", ""Stemodia foliosa (Scrophulariaceae)"", ""Phomopsis cassiae (Valsaceae)"", ""Phoma betae"", ""Cassia spectabilis (Fabaceae)"", ""Metrodorea stipularis"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Curvularia sp. (Pleosporaceae)"", ""Chrysophyllum marginatum (Sapotaceae)"", ""Cheiloclinium cognatum (Hippocrateaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Picramnia teapensis"", ""Cedrela odorata (Meliaceae)"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Xylaria sp. (Xylariaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Amorpha fruticosa"", ""Casearia rupestris (Salicaeae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Adiscanthus fusciflorus"", ""Maytenus ilicifolia (Celastraceae)"", ""Cassia leptophylla (Fabaceae)"", ""Pilocarpus grandiflorus"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Esenbeckia leiocarpa"", ""Alibertia macrophylla (Rubiaceae)"", ""Trichilia elegans (Meliaceae)"", ""Senna spectabilis (Fabaceae)"", ""Pothomorphe umbellata (Piperaceae)""]]","doi_collectionSpecie"
"[""10.1016/j.phytochem.2006.09.005"", ""Periconia atropurpurea (Annonaceae)""]","[""10.1016/j.phytochem.2006.09.005"", [""Periconia atropurpurea (Annonaceae)"", ""Fusarium oxysporum"", ""Xylaria sp. (Xylariaceae)"", ""Vochysia thyrsoidea"", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Nigrospora sphaerica"", ""Chaetomium globosum"", ""Picramnia teapensis"", ""Penicillium corylophilum"", ""Pilocarpus grandiflorus"", ""Adiscanthus fusciflorus"", ""Curvularia sp. (Pleosporaceae)"", ""Penicillium sp. (Trichocomaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Humicola grisea"", ""Peperomia blanda (Piperaceae)"", ""Cheiloclinium cognatum (Hippocrateaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Phoma betae"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Aspergillus terreus"", ""Phomopsis sp. (Valsaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Cedrela fissilis"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Amorpha fruticosa"", ""Peperomia obtusifolia (Piperaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Pilocarpus riedelianus"", ""Casearia rupestris (Salicaeae)"", ""Ouratea multiflora (Ochnaceae)"", ""Metrodorea stipularis"", ""Aspergillus fumigatus"", ""Tephrosia candida"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Phomopsis cassiae (Valsaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Tithonia diversifolia"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Salacia campestris (Celastraceae)"", ""Dimorphandra mollis"", ""Piper solmsianum"", ""Casearia obliqua (Flacourtiaceae)"", ""Siphoneugena densiflora (Myrtaceae)"", ""Styrax camporum (Styracaceae)"", ""Hortia oreadica""]]","doi_collectionSpecie"
