"true","restored","edge_type"
"[""10.1002/cbdv.200800342"", ""Cytotoxic""]","[""10.1002/cbdv.200800342"", [""Cytotoxic"", ""Genotoxic"", ""Mutagenic"", ""Anticancer"", ""Antiviral""]]","doi_bioActivity"
"[""10.1002/hlca.200890147"", ""Antifungal""]","[""10.1002/hlca.200890147"", [""Antifungal"", ""Antiviral"", ""Antibacterial"", ""Antimalarial"", ""Anticancer""]]","doi_bioActivity"
"[""10.1002/jobm.200800093"", ""Cytotoxic""]","[""10.1002/jobm.200800093"", [""Cytotoxic"", ""Genotoxic"", ""Mutagenic"", ""Anticancer"", ""Antiviral""]]","doi_bioActivity"
"[""10.1002/ps.1278"", ""Insecticidal""]","[""10.1002/ps.1278"", [""Insecticidal"", ""Molluscicidal"", ""Antibacterial"", ""Antifungal"", ""Antimalarial""]]","doi_bioActivity"
"[""10.1002/ps.478"", ""Insecticidal""]","[""10.1002/ps.478"", [""Insecticidal"", ""Molluscicidal"", ""Antibacterial"", ""Antifungal"", ""Antimalarial""]]","doi_bioActivity"
"[""10.1007/s10295-012-1165-2"", ""Cytotoxic""]","[""10.1007/s10295-012-1165-2"", [""Cytotoxic"", ""Genotoxic"", ""Mutagenic"", ""Anticancer"", ""Antiviral""]]","doi_bioActivity"
"[""10.1016/0031-9422(73)85048-4"", ""Antitrypanosomal""]","[""10.1016/0031-9422(73)85048-4"", [""Antifungal"", ""Antiviral"", ""Antibacterial"", ""Antimalarial"", ""Anticancer""]]","doi_bioActivity"
"[""10.1016/0031-9422(81)80027-1"", ""Anesthetic""]","[""10.1016/0031-9422(81)80027-1"", [""Anesthetic"", ""Antinociceptive"", ""Anxiolytic"", ""Antichagasic"", ""Antibacterial""]]","doi_bioActivity"
"[""10.1016/0031-9422(90)80024-B"", ""Molluscicidal""]","[""10.1016/0031-9422(90)80024-B"", [""Molluscicidal"", ""Insecticidal"", ""Antimalarial"", ""Antileishmanial"", ""Antibacterial""]]","doi_bioActivity"
"[""10.1016/0031-9422(91)85077-D"", ""Antifungal""]","[""10.1016/0031-9422(91)85077-D"", [""Antifungal"", ""Antiviral"", ""Antibacterial"", ""Antimalarial"", ""Anticancer""]]","doi_bioActivity"
"[""10.1016/0040-4020(95)00254-6"", ""Cytotoxic""]","[""10.1016/0040-4020(95)00254-6"", [""Cytotoxic"", ""Genotoxic"", ""Mutagenic"", ""Anticancer"", ""Antiviral""]]","doi_bioActivity"
"[""10.1016/j.biortech.2010.01.041"", ""Antiviral""]","[""10.1016/j.biortech.2010.01.041"", [""Inhibition of Protease"", ""Inhibition of Glycosidase"", ""Inhibition of Cathepsin B"", ""Inhibition of Cathepsin L"", ""Inhibition of Cathepsin V""]]","doi_bioActivity"
"[""10.1016/j.biortech.2010.01.041"", ""Inhibition of Protease""]","[""10.1016/j.biortech.2010.01.041"", [""Inhibition of Protease"", ""Inhibition of Glycosidase"", ""Inhibition of Cathepsin B"", ""Inhibition of Cathepsin L"", ""Inhibition of Cathepsin V""]]","doi_bioActivity"
"[""10.1016/j.bmc.2010.12.056"", ""Inhibition of Cathepsin V""]","[""10.1016/j.bmc.2010.12.056"", [""Inhibition of Cathepsin V"", ""Inhibition of Cathepsin L"", ""Inhibition of Cathepsin B"", ""Inhibition of Protease"", ""Inhibition of Glycosidase""]]","doi_bioActivity"
"[""10.1016/j.cbi.2010.08.008"", ""Anticancer""]","[""10.1016/j.cbi.2010.08.008"", [""Cytotoxic"", ""Genotoxic"", ""Mutagenic"", ""Anticancer"", ""Antiviral""]]","doi_bioActivity"
"[""10.1016/j.cbi.2010.08.008"", ""Cytotoxic""]","[""10.1016/j.cbi.2010.08.008"", [""Cytotoxic"", ""Genotoxic"", ""Mutagenic"", ""Anticancer"", ""Antiviral""]]","doi_bioActivity"
"[""10.1016/j.chroma.2009.02.009"", ""Antitrypanosomal""]","[""10.1016/j.chroma.2009.02.009"", [""Antimalarial"", ""Antitrypanosomal"", ""Antileishmanial"", ""Antiviral"", ""Antifungal""]]","doi_bioActivity"
"[""10.1016/j.chroma.2009.02.066"", ""Antifungal""]","[""10.1016/j.chroma.2009.02.066"", [""Antifungal"", ""Antiviral"", ""Antibacterial"", ""Antimalarial"", ""Anticancer""]]","doi_bioActivity"
"[""10.1016/j.jep.2007.09.020"", ""Antileishmanial""]","[""10.1016/j.jep.2007.09.020"", [""Antioxidant"", ""Anticancer"", ""Anti-inflamatory"", ""Antiviral"", ""Antibacterial""]]","doi_bioActivity"
"[""10.1016/j.jfca.2003.09.013"", ""Inhibition of Glycosidase""]","[""10.1016/j.jfca.2003.09.013"", [""Antioxidant"", ""Anticancer"", ""Anti-inflamatory"", ""Antiviral"", ""Antibacterial""]]","doi_bioActivity"
"[""10.1016/j.jpba.2012.08.028"", ""Antitrypanosomal""]","[""10.1016/j.jpba.2012.08.028"", [""Cytotoxic"", ""Genotoxic"", ""Mutagenic"", ""Anticancer"", ""Antiviral""]]","doi_bioActivity"
"[""10.1016/j.jphotobiol.2013.01.006"", ""Inhibition of uncoupled electron transport""]","[""10.1016/j.jphotobiol.2013.01.006"", [""Inhibition of ATP synthesis"", ""Inhibition of phosphorylating electron transport"", ""Inhibition of basal electron transport"", ""Inhibition of uncoupled electron transport"", ""Inhibition of Glycosidase""]]","doi_bioActivity"
"[""10.1016/j.jphotobiol.2013.01.006"", ""Inhibition of basal electron transport""]","[""10.1016/j.jphotobiol.2013.01.006"", [""Inhibition of ATP synthesis"", ""Inhibition of phosphorylating electron transport"", ""Inhibition of basal electron transport"", ""Inhibition of uncoupled electron transport"", ""Inhibition of Glycosidase""]]","doi_bioActivity"
"[""10.1016/j.micres.2004.06.003"", ""Antibacterial""]","[""10.1016/j.micres.2004.06.003"", [""Antibacterial"", ""Antiviral"", ""Antifungal"", ""Antimalarial"", ""Anti-inflamatory""]]","doi_bioActivity"
"[""10.1016/j.phytochem.2005.04.043"", ""Antifungal""]","[""10.1016/j.phytochem.2005.04.043"", [""Antifungal"", ""Antiviral"", ""Antibacterial"", ""Antimalarial"", ""Anticancer""]]","doi_bioActivity"
"[""10.1016/j.phytochem.2005.06.019"", ""Antioxidant""]","[""10.1016/j.phytochem.2005.06.019"", [""Antioxidant"", ""Anticancer"", ""Anti-inflamatory"", ""Antiviral"", ""Antibacterial""]]","doi_bioActivity"
"[""10.1016/j.phytochem.2006.06.004"", ""Antifungal""]","[""10.1016/j.phytochem.2006.06.004"", [""Cytotoxic"", ""Genotoxic"", ""Mutagenic"", ""Anticancer"", ""Antiviral""]]","doi_bioActivity"
"[""10.1016/j.phytochem.2006.09.005"", ""Cytotoxic""]","[""10.1016/j.phytochem.2006.09.005"", [""Cytotoxic"", ""Genotoxic"", ""Mutagenic"", ""Anticancer"", ""Antiviral""]]","doi_bioActivity"
"[""10.1016/j.phytochem.2006.09.005"", ""Antifungal""]","[""10.1016/j.phytochem.2006.09.005"", [""Cytotoxic"", ""Genotoxic"", ""Mutagenic"", ""Anticancer"", ""Antiviral""]]","doi_bioActivity"
"[""10.1016/j.phytochem.2008.01.006"", ""Inhibition of Glycosidase""]","[""10.1016/j.phytochem.2008.01.006"", [""Antioxidant"", ""Anticancer"", ""Anti-inflamatory"", ""Antiviral"", ""Antibacterial""]]","doi_bioActivity"
"[""10.1016/j.phytochem.2008.01.006"", ""Antifungal""]","[""10.1016/j.phytochem.2008.01.006"", [""Antioxidant"", ""Anticancer"", ""Anti-inflamatory"", ""Antiviral"", ""Antibacterial""]]","doi_bioActivity"
"[""10.1016/j.phytochem.2009.08.013"", ""Antifungal""]","[""10.1016/j.phytochem.2009.08.013"", [""Antifungal"", ""Antiviral"", ""Antibacterial"", ""Antimalarial"", ""Anticancer""]]","doi_bioActivity"
"[""10.1016/j.phytol.2010.11.003"", ""Antifungal""]","[""10.1016/j.phytol.2010.11.003"", [""Antifungal"", ""Antiviral"", ""Antibacterial"", ""Antimalarial"", ""Anticancer""]]","doi_bioActivity"
"[""10.1016/j.tiv.2008.01.003"", ""Anticancer""]","[""10.1016/j.tiv.2008.01.003"", [""Cytotoxic"", ""Genotoxic"", ""Mutagenic"", ""Anticancer"", ""Antiviral""]]","doi_bioActivity"
"[""10.1016/S0014-5793(02)02700-X"", ""Antitrypanosomal""]","[""10.1016/S0014-5793(02)02700-X"", [""Antitrypanosomal"", ""Antimalarial"", ""Antileishmanial"", ""Antichagasic"", ""Antifungal""]]","doi_bioActivity"
"[""10.1016/S0031-9422(00)00225-9"", ""Antifungal""]","[""10.1016/S0031-9422(00)00225-9"", [""Antibacterial"", ""Antiviral"", ""Antifungal"", ""Antimalarial"", ""Anti-inflamatory""]]","doi_bioActivity"
"[""10.1016/S0031-9422(00)00225-9"", ""Antibacterial""]","[""10.1016/S0031-9422(00)00225-9"", [""Antibacterial"", ""Antiviral"", ""Antifungal"", ""Antimalarial"", ""Anti-inflamatory""]]","doi_bioActivity"
"[""10.1016/S0031-9422(00)00248-X"", ""Antitrypanosomal""]","[""10.1016/S0031-9422(00)00248-X"", [""Inhibition of Glycosidase"", ""Inhibition of phosphorylating electron transport"", ""Inhibition of Myeloperoxodase"", ""Inhibition of ATP synthesis"", ""Inhibition of basal electron transport""]]","doi_bioActivity"
"[""10.1016/S0031-9422(00)00477-5"", ""Antioxidant""]","[""10.1016/S0031-9422(00)00477-5"", [""Antioxidant"", ""Anticancer"", ""Anti-inflamatory"", ""Antiviral"", ""Antibacterial""]]","doi_bioActivity"
"[""10.1016/S0031-9422(01)00079-6"", ""Cytotoxic""]","[""10.1016/S0031-9422(01)00079-6"", [""Antifungal"", ""Antiviral"", ""Antibacterial"", ""Antimalarial"", ""Anticancer""]]","doi_bioActivity"
"[""10.1016/S0031-9422(01)00079-6"", ""Antifungal""]","[""10.1016/S0031-9422(01)00079-6"", [""Antifungal"", ""Antiviral"", ""Antibacterial"", ""Antimalarial"", ""Anticancer""]]","doi_bioActivity"
