index,true,predictions
6,"['10.1016/0031-9422(73)85048-4', 'Antitrypanosomal']",['Antifungal']
11,"['10.1016/j.biortech.2010.01.041', 'Antiviral']",['Inhibition of Protease']
14,"['10.1016/j.cbi.2010.08.008', 'Anticancer']",['Cytotoxic']
16,"['10.1016/j.chroma.2009.02.009', 'Antitrypanosomal']",['Antimalarial']
18,"['10.1016/j.jep.2007.09.020', 'Antileishmanial']",['Antioxidant']
19,"['10.1016/j.jfca.2003.09.013', 'Inhibition of Glycosidase']",['Antioxidant']
20,"['10.1016/j.jpba.2012.08.028', 'Antitrypanosomal']",['Cytotoxic']
21,"['10.1016/j.jphotobiol.2013.01.006', 'Inhibition of uncoupled electron transport']",['Inhibition of ATP synthesis']
22,"['10.1016/j.jphotobiol.2013.01.006', 'Inhibition of basal electron transport']",['Inhibition of ATP synthesis']
26,"['10.1016/j.phytochem.2006.06.004', 'Antifungal']",['Cytotoxic']
28,"['10.1016/j.phytochem.2006.09.005', 'Antifungal']",['Cytotoxic']
29,"['10.1016/j.phytochem.2008.01.006', 'Inhibition of Glycosidase']",['Antioxidant']
30,"['10.1016/j.phytochem.2008.01.006', 'Antifungal']",['Antioxidant']
33,"['10.1016/j.tiv.2008.01.003', 'Anticancer']",['Cytotoxic']
35,"['10.1016/S0031-9422(00)00225-9', 'Antifungal']",['Antibacterial']
37,"['10.1016/S0031-9422(00)00248-X', 'Antitrypanosomal']",['Inhibition of Glycosidase']
39,"['10.1016/S0031-9422(01)00079-6', 'Cytotoxic']",['Antifungal']
44,"['10.1016/S0031-9422(97)00238-0', 'Antioxidant']",['Antifungal']
45,"['10.1016/S0031-9422(97)00598-0', 'Antitrypanosomal']",['Antioxidant']
46,"['10.1016/S0031-9422(98)00069-7', 'Inhibition of Glycosidase']",['Antifungal']
49,"['10.1016/S0031-9422(99)00132-6', 'Antifungal']",['Cytotoxic']
50,"['10.1016/S0031-9422(99)00132-6', 'Anticancer']",['Cytotoxic']
52,"['10.1021/jf00030a035', 'Anticancer']",['Cytotoxic']
55,"['10.1021/jf063451x', 'Anti-inflamatory']",['Antioxidant']
57,"['10.1021/jf60217a066', 'Insect antennae response']",['Anesthetic']
60,"['10.1021/np0303963', 'Cytotoxic']",['Genotoxic']
66,"['10.1021/np1007476', 'Inhibition of Acetylcholinesterase']",['Antioxidant']
69,"['10.1021/np4006822', 'Antileishmanial']",['Cytotoxic']
70,"['10.1021/np4006822', 'Inhibition of Acetylcholinesterase']",['Cytotoxic']
71,"['10.1021/np500453x', 'Inhibition of Cathepsin B']",['Antichagasic']
72,"['10.1021/np500453x', 'Antimalarial']",['Antichagasic']
73,"['10.1021/np500453x', 'Anticancer']",['Antichagasic']
74,"['10.1021/np500453x', 'Inhibition of Cathepsin L']",['Antichagasic']
75,"['10.1021/np50086a012', 'Molluscicidal']",['Cytotoxic']
77,"['10.1021/np800612x', 'Antiangiogenic']",['Cytotoxic']
79,"['10.1021/np800612x', 'Antifungal']",['Cytotoxic']
85,"['10.1055/s-0034-1368301', 'Anticancer']",['Cytotoxic']
86,"['10.1055/s-2002-36346', 'Antibacterial']",['Antioxidant']
87,"['10.1080/14786410600907002', 'Anticancer']",['Cytotoxic']
89,"['10.1080/14786410903335232', 'Anticancer']",['Cytotoxic']
91,"['10.1093/mutage/gep034', 'Cytotoxic']",['Genotoxic']
92,"['10.1093/mutage/gep034', 'Mutagenic']",['Genotoxic']
97,"['10.1248/cpb.56.407', 'Anti-inflamatory']",['Antinociceptive']
98,"['10.1248/cpb.56.723', 'Inhibition of Glycosidase']",['Antioxidant']
99,"['10.1248/cpb.56.723', 'Inhibition of Myeloperoxodase']",['Antioxidant']
101,"['10.1515/znc-2002-5-602', 'Insecticidal']",['Cytotoxic']
102,"['10.1515/znc-2002-5-602', 'Anticancer']",['Cytotoxic']
104,"['10.1515/znc-2008-5-611', 'Antitrypanosomal']",['Inhibition of Glycosidase']
105,"['10.1515/znc-2009-11-1212', 'Inhibition of Acetylcholinesterase']",['Antifungal']
109,"['10.1590/S0100-40422002000300002', 'Cytotoxic']",['Antifungal']
115,"['10.1590/S0100-40422008000400018', 'Inhibition of Myeloperoxodase']",['Antioxidant']
120,"['10.1590/S0100-40422010001000006', 'Antifungal']",['Cytotoxic']
121,"['10.1590/S0100-40422012000700020', 'Inhibition of Acetylcholinesterase']",['Inhibition of ATP synthesis']
124,"['10.1590/S0102-695X2009000100002', 'Antitrypanosomal']",['Inhibition of Glycosidase']
126,"['10.1590/S0102-695X2010005000017', 'Antiangiogenic']",['Antifungal']
127,"['10.1590/S0102-695X2010005000017', 'Cytotoxic']",['Antifungal']
129,"['10.1590/S0102-695X2012005000106', 'Antileishmanial']",['Cytotoxic']
