index,true,predictions
6,"['10.1016/0031-9422(73)85048-4', 'N/A/AM']","['N/A/ES', 'Itirapina/SP', 'Lavras/MG', 'Londrina/PR', 'Rifaina/SP', 'Peruibe/SP', 'Cunha/SP', 'Sao Paulo/SP', 'Araraquara/SP', 'Santarem/PA', 'Campinas/SP', 'Iguape/SP', 'N/A/SP', 'Recife/PE', 'Teodoro Sampaio/SP', 'Ibirama/SC', 'Sao Carlos/SP', 'N/A/PE', 'Rio Claro/SP', 'Vicosa/MG']"
12,"['10.1016/j.bse.2006.06.007', 'N/A/SP']","['Sao Paulo/SP', 'Sao Carlos/SP', 'Piracicaba/SP', 'Campinas/SP', 'Ribeirao Preto/SP', 'Teodoro Sampaio/SP', 'Araraquara/SP', 'Iguape/SP', 'Cunha/SP', 'Rio Claro/SP', 'Sao Miguel Arcanjo/SP', 'Cordeiropolis/SP', 'Rio De Janeiro/RJ', 'Sao Sebastiao Do Passe/BA', 'Recife/PE', 'Peruibe/SP', 'Mogi Guacu/SP', 'Goiania/GO', 'Itirapina/SP', 'Corumba/MS']"
15,"['10.1016/j.jfca.2003.09.013', 'N/A/SP']","['Araraquara/SP', 'Piracicaba/SP', 'Sao Paulo/SP', 'Ribeirao Preto/SP', 'Iguape/SP', 'Sao Carlos/SP', 'Rio Claro/SP', 'Campinas/SP', 'Teodoro Sampaio/SP', 'Sao Miguel Arcanjo/SP', 'Cordeiropolis/SP', 'Cunha/SP', 'Mogi Guacu/SP', 'Corumba/MS', 'Santarem/PA', 'Rio De Janeiro/RJ', 'Chapada Dos Guimaraes/MT', 'Igarape-acu/PA', 'Itacoatiara/AM', 'Itirapina/SP']"
18,"['10.1016/j.jphotobiol.2013.01.006', 'N/A/ES']","['Sao Carlos/SP', 'Sao Paulo/SP', 'Araraquara/SP', 'Teodoro Sampaio/SP', 'Ribeirao Preto/SP', 'Campinas/SP', 'Piracicaba/SP', 'Sao Miguel Arcanjo/SP', 'Rio Claro/SP', 'Iguape/SP', 'Cunha/SP', 'Sao Sebastiao Do Passe/BA', 'Cordeiropolis/SP', 'Mogi Guacu/SP', 'Recife/PE', 'Rio De Janeiro/RJ', 'Manaus/AM', 'Santarem/PA', 'Goiania/GO', 'Peruibe/SP']"
33,"['10.1016/S0031-9422(01)00431-9', 'Manaus/AM']","['Araraquara/SP', 'Piracicaba/SP', 'Sao Paulo/SP', 'Ribeirao Preto/SP', 'Iguape/SP', 'Sao Carlos/SP', 'Rio Claro/SP', 'Campinas/SP', 'Teodoro Sampaio/SP', 'Sao Miguel Arcanjo/SP', 'Cordeiropolis/SP', 'Cunha/SP', 'Mogi Guacu/SP', 'Corumba/MS', 'Santarem/PA', 'Rio De Janeiro/RJ', 'Chapada Dos Guimaraes/MT', 'Igarape-acu/PA', 'Itacoatiara/AM', 'Itirapina/SP']"
39,"['10.1021/cc100076k', 'Pocos De Caldas/MG']","['Sao Carlos/SP', 'Sao Paulo/SP', 'Araraquara/SP', 'Teodoro Sampaio/SP', 'Ribeirao Preto/SP', 'Campinas/SP', 'Piracicaba/SP', 'Sao Miguel Arcanjo/SP', 'Rio Claro/SP', 'Iguape/SP', 'Cunha/SP', 'Sao Sebastiao Do Passe/BA', 'Cordeiropolis/SP', 'Mogi Guacu/SP', 'Recife/PE', 'Rio De Janeiro/RJ', 'Manaus/AM', 'Santarem/PA', 'Goiania/GO', 'Peruibe/SP']"
40,"['10.1021/cc100076k', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus']","['Goiania/GO', 'Rio Verde/GO', 'Pirenopolis/GO', 'Apore/GO', 'Mogi Guacu/SP', 'Pocos De Caldas/MG', 'Sao Paulo/SP', 'Iguape/SP', 'Sao Carlos/SP', 'Rio Claro/SP', 'N/A/ES', 'Rio De Janeiro/RJ', 'Chapada Dos Guimaraes/MT', 'Sao Miguel Arcanjo/SP', 'Igarape-acu/PA', 'Cunha/SP', 'Santarem/PA', 'Campinas/SP', 'Belem/PA', 'Itacoatiara/AM']"
41,"['10.1021/jf00030a035', 'N/A/CE']","['Sao Carlos/SP', 'Sao Paulo/SP', 'Rio De Janeiro/RJ', 'Ribeirao Preto/SP', 'Araraquara/SP', 'Rio Claro/SP', 'Campinas/SP', 'Piracicaba/SP', 'Teodoro Sampaio/SP', 'Iguape/SP', 'Sao Miguel Arcanjo/SP', 'Sao Sebastiao Do Passe/BA', 'Goiania/GO', 'Recife/PE', 'Cunha/SP', 'Cordeiropolis/SP', 'Manaus/AM', 'Corumba/MS', 'Chapada Dos Guimaraes/MT', 'Mogi Guacu/SP']"
48,"['10.1021/np030530j', 'Ibate/SP']","['Manaus/AM', 'Itacoatiara/AM', 'Recife/PE', 'Sao Paulo/SP', 'Corumba/MS', 'Sao Carlos/SP', 'Cuiaba/MT', 'Araraquara/SP', 'Goiania/GO', 'Sao Sebastiao Do Passe/BA', 'Ribeirao Preto/SP', 'Itaituba/PA', 'Campinas/SP', 'Chapada Dos Guimaraes/MT', 'Rio De Janeiro/RJ', 'Santarem/PA', 'Piracicaba/SP', 'Belem/PA', 'Teodoro Sampaio/SP', 'Cunha/SP']"
53,"['10.1021/np4006822', 'N/A/PE']","['Recife/PE', 'Sao Paulo/SP', 'Ribeirao Preto/SP', 'Piracicaba/SP', 'Rio De Janeiro/RJ', 'Iguape/SP', 'Sao Sebastiao Do Passe/BA', 'Pirenopolis/GO', 'Sao Carlos/SP', 'Goiania/GO', 'Manaus/AM', 'Belem/PA', 'Araraquara/SP', 'Corumba/MS', 'Campinas/SP', 'Igarape-acu/PA', 'Rio Claro/SP', 'Teodoro Sampaio/SP', 'Santarem/PA', 'Peruibe/SP']"
54,"['10.1021/np50086a012', 'N/A/MG']","['Sao Paulo/SP', 'Piracicaba/SP', 'Sao Carlos/SP', 'Iguape/SP', 'Araraquara/SP', 'Ribeirao Preto/SP', 'Cunha/SP', 'Campinas/SP', 'Teodoro Sampaio/SP', 'Mogi Guacu/SP', 'Rio Claro/SP', 'Cordeiropolis/SP', 'Peruibe/SP', 'Sao Miguel Arcanjo/SP', 'Corumba/MS', 'Sao Sebastiao Do Passe/BA', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Recife/PE', 'Rio De Janeiro/RJ', 'Itirapina/SP']"
66,"['10.1080/14786419.2011.647020', 'N/A/MG']","['Lavras/MG', 'Vicosa/MG', 'Pocos De Caldas/MG', 'Goiania/GO', 'Araraquara/SP', 'Cuiaba/MT', 'Rio De Janeiro/RJ', 'Iguape/SP', 'Ribeirao Preto/SP', 'Sao Paulo/SP', 'Chapada Dos Guimaraes/MT', 'Sao Carlos/SP', 'Recife/PE', 'Piracicaba/SP', 'Pirenopolis/GO', 'Mogi Guacu/SP', 'Corumba/MS', 'Campinas/SP', 'Rio Claro/SP', 'Manaus/AM']"
75,"['10.1515/znc-2002-5-602', 'Cuiaba/MT']","['Londrina/PR', 'Sao Paulo/SP', 'Piracicaba/SP', 'Ribeirao Preto/SP', 'Belem/PA', 'Pirenopolis/GO', 'Rio De Janeiro/RJ', 'Araraquara/SP', 'Itaituba/PA', 'Rio Claro/SP', 'Campinas/SP', 'Cordeiropolis/SP', 'Cunha/SP', 'Santarem/PA', 'Lavras/MG', 'Recife/PE', 'Sao Carlos/SP', 'Iguape/SP', 'Goiania/GO', 'Teodoro Sampaio/SP']"
87,"['10.1590/S0100-40422008000400005', 'Itacoatiara/AM']","['Sao Carlos/SP', 'Sao Paulo/SP', 'Araraquara/SP', 'Teodoro Sampaio/SP', 'Ribeirao Preto/SP', 'Campinas/SP', 'Piracicaba/SP', 'Sao Miguel Arcanjo/SP', 'Rio Claro/SP', 'Iguape/SP', 'Cunha/SP', 'Sao Sebastiao Do Passe/BA', 'Cordeiropolis/SP', 'Mogi Guacu/SP', 'Recife/PE', 'Rio De Janeiro/RJ', 'Manaus/AM', 'Santarem/PA', 'Goiania/GO', 'Peruibe/SP']"
88,"['10.1590/S0100-40422008000400005', 'Pirenopolis/GO']","['Sao Carlos/SP', 'Sao Paulo/SP', 'Araraquara/SP', 'Teodoro Sampaio/SP', 'Ribeirao Preto/SP', 'Campinas/SP', 'Piracicaba/SP', 'Sao Miguel Arcanjo/SP', 'Rio Claro/SP', 'Iguape/SP', 'Cunha/SP', 'Sao Sebastiao Do Passe/BA', 'Cordeiropolis/SP', 'Mogi Guacu/SP', 'Recife/PE', 'Rio De Janeiro/RJ', 'Manaus/AM', 'Santarem/PA', 'Goiania/GO', 'Peruibe/SP']"
93,"['10.1590/S0100-40422012000700020', 'Itaituba/PA']","['Goiania/GO', 'Pirenopolis/GO', 'Manaus/AM', 'Rio Verde/GO', 'Itacoatiara/AM', 'Campinas/SP', 'Cordeiropolis/SP', 'Sao Paulo/SP', 'Recife/PE', 'Chapada Dos Guimaraes/MT', 'Sao Carlos/SP', 'Rio Claro/SP', 'Corumba/MS', 'Araraquara/SP', 'Ribeirao Preto/SP', 'Piracicaba/SP', 'Iguape/SP', 'Teodoro Sampaio/SP', 'Londrina/PR', 'Sao Sebastiao Do Passe/BA']"
103,"['10.1590/S0103-50532005000400031', 'Londrina/PR']","['Sao Carlos/SP', 'Sao Paulo/SP', 'Araraquara/SP', 'Teodoro Sampaio/SP', 'Ribeirao Preto/SP', 'Campinas/SP', 'Piracicaba/SP', 'Sao Miguel Arcanjo/SP', 'Rio Claro/SP', 'Iguape/SP', 'Cunha/SP', 'Sao Sebastiao Do Passe/BA', 'Cordeiropolis/SP', 'Mogi Guacu/SP', 'Recife/PE', 'Rio De Janeiro/RJ', 'Manaus/AM', 'Santarem/PA', 'Goiania/GO', 'Peruibe/SP']"
107,"['10.1590/S0103-50532005000800026', 'N/A/MS']","['Corumba/MS', 'Cordeiropolis/SP', 'Cuiaba/MT', 'Chapada Dos Guimaraes/MT', 'Araraquara/SP', 'Sao Paulo/SP', 'Piracicaba/SP', 'Campinas/SP', 'Ribeirao Preto/SP', 'Manaus/AM', 'Cunha/SP', 'Recife/PE', 'Rio De Janeiro/RJ', 'Itacoatiara/AM', 'Teodoro Sampaio/SP', 'Sao Carlos/SP', 'Iguape/SP', 'Rio Claro/SP', 'Pirenopolis/GO', 'Ibirama/SC']"
108,"['10.1590/S0103-50532005000800029', 'Maues/AM']","['Araraquara/SP', 'Piracicaba/SP', 'Sao Paulo/SP', 'Ribeirao Preto/SP', 'Iguape/SP', 'Sao Carlos/SP', 'Rio Claro/SP', 'Campinas/SP', 'Teodoro Sampaio/SP', 'Sao Miguel Arcanjo/SP', 'Cordeiropolis/SP', 'Cunha/SP', 'Mogi Guacu/SP', 'Corumba/MS', 'Santarem/PA', 'Rio De Janeiro/RJ', 'Chapada Dos Guimaraes/MT', 'Igarape-acu/PA', 'Itacoatiara/AM', 'Itirapina/SP']"
110,"['10.1590/S0103-50532006000300017', 'N/A/SP, Cedrela fissilis']","['Sao Carlos/SP', 'Sao Paulo/SP', 'Araraquara/SP', 'Teodoro Sampaio/SP', 'Ribeirao Preto/SP', 'Campinas/SP', 'Piracicaba/SP', 'Sao Miguel Arcanjo/SP', 'Rio Claro/SP', 'Iguape/SP', 'Cunha/SP', 'Sao Sebastiao Do Passe/BA', 'Cordeiropolis/SP', 'Mogi Guacu/SP', 'Recife/PE', 'Rio De Janeiro/RJ', 'Manaus/AM', 'Santarem/PA', 'Goiania/GO', 'Peruibe/SP']"
114,"['10.1590/S1519-566X2008000600013', 'Itacoatiara/AM']","['Sao Carlos/SP', 'Sao Paulo/SP', 'Araraquara/SP', 'Teodoro Sampaio/SP', 'Ribeirao Preto/SP', 'Campinas/SP', 'Piracicaba/SP', 'Sao Miguel Arcanjo/SP', 'Rio Claro/SP', 'Iguape/SP', 'Cunha/SP', 'Sao Sebastiao Do Passe/BA', 'Cordeiropolis/SP', 'Mogi Guacu/SP', 'Recife/PE', 'Rio De Janeiro/RJ', 'Manaus/AM', 'Santarem/PA', 'Goiania/GO', 'Peruibe/SP']"
120,"['10.5935/0103-5053.19930018', 'N/A/ES']","['Sao Paulo/SP', 'Sao Carlos/SP', 'Piracicaba/SP', 'Campinas/SP', 'Ribeirao Preto/SP', 'Teodoro Sampaio/SP', 'Araraquara/SP', 'Iguape/SP', 'Cunha/SP', 'Rio Claro/SP', 'Sao Miguel Arcanjo/SP', 'Cordeiropolis/SP', 'Rio De Janeiro/RJ', 'Sao Sebastiao Do Passe/BA', 'Recife/PE', 'Peruibe/SP', 'Mogi Guacu/SP', 'Goiania/GO', 'Itirapina/SP', 'Corumba/MS']"
