index,true,predictions
6,"['10.1016/0031-9422(73)85048-4', 'Antitrypanosomal']","['Antifungal', 'Antiviral', 'Antibacterial', 'Antimalarial', 'Anticancer']"
11,"['10.1016/j.biortech.2010.01.041', 'Antiviral']","['Inhibition of Protease', 'Inhibition of Glycosidase', 'Inhibition of Cathepsin B', 'Inhibition of Cathepsin L', 'Inhibition of Cathepsin V']"
18,"['10.1016/j.jep.2007.09.020', 'Antileishmanial']","['Antioxidant', 'Anticancer', 'Anti-inflamatory', 'Antiviral', 'Antibacterial']"
19,"['10.1016/j.jfca.2003.09.013', 'Inhibition of Glycosidase']","['Antioxidant', 'Anticancer', 'Anti-inflamatory', 'Antiviral', 'Antibacterial']"
20,"['10.1016/j.jpba.2012.08.028', 'Antitrypanosomal']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer', 'Antiviral']"
26,"['10.1016/j.phytochem.2006.06.004', 'Antifungal']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer', 'Antiviral']"
28,"['10.1016/j.phytochem.2006.09.005', 'Antifungal']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer', 'Antiviral']"
29,"['10.1016/j.phytochem.2008.01.006', 'Inhibition of Glycosidase']","['Antioxidant', 'Anticancer', 'Anti-inflamatory', 'Antiviral', 'Antibacterial']"
30,"['10.1016/j.phytochem.2008.01.006', 'Antifungal']","['Antioxidant', 'Anticancer', 'Anti-inflamatory', 'Antiviral', 'Antibacterial']"
37,"['10.1016/S0031-9422(00)00248-X', 'Antitrypanosomal']","['Inhibition of Glycosidase', 'Inhibition of Myeloperoxodase', 'Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis', 'Inhibition of Protease']"
39,"['10.1016/S0031-9422(01)00079-6', 'Cytotoxic']","['Antifungal', 'Antiviral', 'Antibacterial', 'Antimalarial', 'Anticancer']"
44,"['10.1016/S0031-9422(97)00238-0', 'Antioxidant']","['Antifungal', 'Antiviral', 'Antibacterial', 'Antimalarial', 'Anticancer']"
45,"['10.1016/S0031-9422(97)00598-0', 'Antitrypanosomal']","['Antioxidant', 'Anticancer', 'Anti-inflamatory', 'Antiviral', 'Antibacterial']"
46,"['10.1016/S0031-9422(98)00069-7', 'Inhibition of Glycosidase']","['Antifungal', 'Antiviral', 'Antibacterial', 'Antimalarial', 'Anticancer']"
49,"['10.1016/S0031-9422(99)00132-6', 'Antifungal']","['Cytotoxic', 'Genotoxic', 'Mutagenic', 'Anticancer', 'Antiviral']"
57,"['10.1021/jf60217a066', 'Insect antennae response']","['Anesthetic', 'Antinociceptive', 'Anxiolytic', 'Antichagasic', 'Antibacterial']"
66,"['10.1021/np1007476', 'Inhibition of Acetylcholinesterase']","['Antioxidant', 'Anticancer', 'Anti-inflamatory', 'Antiviral', 'Antibacterial']"
