"true","restored","edge_type"
"['10.1002/jobm.200800093', 'Ribeirao Preto/SP']","['10.1002/jobm.200800093', ['Ribeirao Preto ,SP']]","doi_collectionSite"
"['10.1002/jobm.200800093', 'Ribeirao Preto/SP, Nigrospora sphaerica']","['10.1002/jobm.200800093', ['Ribeirao Preto ,SP']]","doi_collectionSite"
"['10.1002/ps.1278', 'Pocos De Caldas/MG']","['10.1002/ps.1278', ['Pocos De Caldas ,MG']]","doi_collectionSite"
"['10.1002/ps.478', 'Rio Claro/SP']","['10.1002/ps.478', ['Rio Claro ,SP']]","doi_collectionSite"
"['10.1016/0031-9422(81)80027-1', 'Rio De Janeiro/RJ']","['10.1016/0031-9422(81)80027-1', ['Rio De Janeiro ,RJ']]","doi_collectionSite"
"['10.1016/0031-9422(91)85077-D', 'Mogi Guacu/SP']","['10.1016/0031-9422(91)85077-D', ['Mogi Guacu ,SP']]","doi_collectionSite"
"['10.1016/0040-4020(95)00254-6', 'Sao Paulo/SP']","['10.1016/0040-4020(95)00254-6', ['Sao Paulo ,SP']]","doi_collectionSite"
"['10.1016/S0031-9422(00)00225-9', 'Mogi Guacu/SP']","['10.1016/S0031-9422(00)00225-9', ['Campestre ,MG']]","doi_collectionSite"
"['10.1016/S0031-9422(00)00226-0', 'Teodoro Sampaio/SP']","['10.1016/S0031-9422(00)00226-0', ['Teodoro Sampaio ,SP', 'Manaus ,AM']]","doi_collectionSite"
"['10.1016/S0031-9422(00)00323-X', 'Ibirama/SC']","['10.1016/S0031-9422(00)00323-X', ['Costa Rica ,MS']]","doi_collectionSite"
"['10.1016/S0031-9422(97)00238-0', 'Mogi Guacu/SP']","['10.1016/S0031-9422(97)00238-0', ['Mogi Guacu ,SP']]","doi_collectionSite"
"['10.1016/S0031-9422(97)00598-0', 'Sao Carlos/SP']","['10.1016/S0031-9422(97)00598-0', ['Sao Carlos ,SP']]","doi_collectionSite"
"['10.1016/S0031-9422(98)00069-7', 'Corumba/MS']","['10.1016/S0031-9422(98)00069-7', ['Corumba ,MS']]","doi_collectionSite"
"['10.1016/j.biortech.2010.01.041', 'Araraquara/SP']","['10.1016/j.biortech.2010.01.041', ['Araraquara ,SP']]","doi_collectionSite"
"['10.1016/j.bmc.2010.12.056', 'Campinas/SP']","['10.1016/j.bmc.2010.12.056', []]","doi_collectionSite"
"['10.1016/j.chroma.2009.02.009', 'Itacoatiara/AM']","['10.1016/j.chroma.2009.02.009', ['Floresta Do Araguaia ,PA']]","doi_collectionSite"
"['10.1016/j.chroma.2009.02.066', 'Cordeiropolis/SP']","['10.1016/j.chroma.2009.02.066', ['Campinas ,SP']]","doi_collectionSite"
"['10.1016/j.jep.2007.09.020', 'Pocos De Caldas/MG']","['10.1016/j.jep.2007.09.020', ['Pocos De Caldas ,MG']]","doi_collectionSite"
"['10.1016/j.jphotobiol.2013.01.006', 'N/A/ES']","['10.1016/j.jphotobiol.2013.01.006', ['Brasilandia Do Sul ,PR']]","doi_collectionSite"
"['10.1016/j.micres.2004.06.003', 'Sao Carlos/SP']","['10.1016/j.micres.2004.06.003', ['Sao Carlos ,SP']]","doi_collectionSite"
"['10.1016/j.phytochem.2006.06.004', 'Araraquara/SP']","['10.1016/j.phytochem.2006.06.004', ['Araraquara ,SP']]","doi_collectionSite"
"['10.1016/j.phytol.2010.11.003', 'Mogi Guacu/SP']","['10.1016/j.phytol.2010.11.003', ['Mogi Guacu ,SP']]","doi_collectionSite"
"['10.1021/cc100076k', 'Pocos De Caldas/MG, Lonchocarpus atropurpureus']","['10.1021/cc100076k', []]","doi_collectionSite"
"['10.1021/cc100076k', 'Pocos De Caldas/MG']","['10.1021/cc100076k', []]","doi_collectionSite"
"['10.1021/jf00030a035', 'N/A/CE']","['10.1021/jf00030a035', ['Sao Carlos ,SP']]","doi_collectionSite"
"['10.1021/jf063451x', 'Belem/PA']","['10.1021/jf063451x', ['Reserva Do Cabacal ,MT']]","doi_collectionSite"
"['10.1021/jf60217a066', 'Igarape-acu/PA']","['10.1021/jf60217a066', ['Guaraciaba Do Norte ,CE']]","doi_collectionSite"
"['10.1021/np0103970', 'Ibirama/SC']","['10.1021/np0103970', ['Itajai ,SC']]","doi_collectionSite"
"['10.1021/np0303963', 'Sao Paulo/SP']","['10.1021/np0303963', ['Jardinopolis ,SP']]","doi_collectionSite"
"['10.1021/np030530j', 'Sao Paulo/SP']","['10.1021/np030530j', ['Campinas ,SP', 'Itapeva ,SP', 'Manaus ,AM']]","doi_collectionSite"
"['10.1021/np030530j', 'Ibate/SP']","['10.1021/np030530j', ['Campinas ,SP', 'Itapeva ,SP', 'Manaus ,AM']]","doi_collectionSite"
"['10.1021/np030530j', 'Manaus/AM']","['10.1021/np030530j', ['Campinas ,SP', 'Itapeva ,SP', 'Manaus ,AM']]","doi_collectionSite"
"['10.1021/np070312g', 'Araraquara/SP']","['10.1021/np070312g', ['Araraquara ,SP']]","doi_collectionSite"
"['10.1021/np4006822', 'N/A/PE']","['10.1021/np4006822', ['Recife ,PE']]","doi_collectionSite"
"['10.1021/np50086a012', 'N/A/MG']","['10.1021/np50086a012', ['Brasilandia De Minas ,MG']]","doi_collectionSite"
"['10.1021/np9004079', 'Campinas/SP']","['10.1021/np9004079', ['Campinas ,SP']]","doi_collectionSite"
"['10.1021/np9703656', 'Teodoro Sampaio/SP']","['10.1021/np9703656', ['Teodoro Sampaio ,SP']]","doi_collectionSite"
"['10.1021/np9704617', 'Mogi Guacu/SP']","['10.1021/np9704617', ['Campestre ,MG']]","doi_collectionSite"
"['10.1055/s-0034-1368301', 'Ribeirao Preto/SP']","['10.1055/s-0034-1368301', []]","doi_collectionSite"
"['10.1080/14786410412331271979', 'Mogi Guacu/SP']","['10.1080/14786410412331271979', ['Campestre ,MG']]","doi_collectionSite"
"['10.1080/14786410600907002', 'Campinas/SP']","['10.1080/14786410600907002', ['Campinas ,SP']]","doi_collectionSite"
"['10.1080/14786410802243271', 'N/A/SP']","['10.1080/14786410802243271', ['Ribeira ,SP']]","doi_collectionSite"
