"true","restored","edge_type"
"['10.1002/jobm.200800093', 'Ribeirao Preto/SP']","['10.1002/jobm.200800093', ['Ribeirao Preto ,SP']]","doi_collectionSite"
"['10.1002/jobm.200800093', 'Ribeirao Preto/SP, Nigrospora sphaerica']","['10.1002/jobm.200800093', ['Ribeirao Preto ,SP']]","doi_collectionSite"
"['10.1002/ps.478', 'Rio Claro/SP']","['10.1002/ps.478', ['Rio Claro ,SP']]","doi_collectionSite"
"['10.1016/S0031-9422(00)00226-0', 'Teodoro Sampaio/SP']","['10.1016/S0031-9422(00)00226-0', ['Teodoro Sampaio ,SP', 'Manaus ,AM']]","doi_collectionSite"
"['10.1016/j.chroma.2009.02.066', 'Cordeiropolis/SP']","['10.1016/j.chroma.2009.02.066', ['Campinas ,SP']]","doi_collectionSite"
"['10.1016/j.micres.2004.06.003', 'Sao Carlos/SP']","['10.1016/j.micres.2004.06.003', ['Sao Carlos ,SP']]","doi_collectionSite"
"['10.1016/j.phytochem.2006.06.004', 'Araraquara/SP']","['10.1016/j.phytochem.2006.06.004', ['Araraquara ,SP']]","doi_collectionSite"
"['10.1021/jf00030a035', 'N/A/CE']","['10.1021/jf00030a035', ['Sao Carlos ,SP']]","doi_collectionSite"
"['10.1021/jf60217a066', 'Igarape-acu/PA']","['10.1021/jf60217a066', ['Guaraciaba Do Norte ,CE']]","doi_collectionSite"
"['10.1021/np030530j', 'Sao Paulo/SP']","['10.1021/np030530j', ['Campinas ,SP', 'Itapeva ,SP', 'Manaus ,AM']]","doi_collectionSite"
"['10.1021/np030530j', 'Ibate/SP']","['10.1021/np030530j', ['Campinas ,SP', 'Itapeva ,SP', 'Manaus ,AM']]","doi_collectionSite"
"['10.1021/np030530j', 'Manaus/AM']","['10.1021/np030530j', ['Campinas ,SP', 'Itapeva ,SP', 'Manaus ,AM']]","doi_collectionSite"
"['10.1055/s-0034-1368301', 'Ribeirao Preto/SP']","['10.1055/s-0034-1368301', []]","doi_collectionSite"
"['10.1080/14786410903335232', 'Mogi Guacu/SP']","['10.1080/14786410903335232', ['Mogi Guacu ,SP']]","doi_collectionSite"
"['10.1080/14786419.2011.647020', 'N/A/MG']","['10.1080/14786419.2011.647020', ['Brasilandia De Minas ,MG']]","doi_collectionSite"
"['10.1155/2013/835081', 'Rio Claro/SP']","['10.1155/2013/835081', ['Arantina ,MG']]","doi_collectionSite"
"['10.1590/S0100-40422004000200005', 'Cunha/SP']","['10.1590/S0100-40422004000200005', ['Cunha ,SP']]","doi_collectionSite"
"['10.1590/S0100-40422009000600037', 'Piracicaba/SP']","['10.1590/S0100-40422009000600037', ['Piracicaba ,SP']]","doi_collectionSite"
"['10.1590/S0102-695X2008000200010', 'Lavras/MG']","['10.1590/S0102-695X2008000200010', ['Lavras ,MG']]","doi_collectionSite"
"['10.1590/S0102-695X2009000100002', 'Campinas/SP']","['10.1590/S0102-695X2009000100002', ['Brasilandia De Minas ,MG']]","doi_collectionSite"
"['10.1590/S0102-695X2012005000106', 'Ribeirao Preto/SP']","['10.1590/S0102-695X2012005000106', []]","doi_collectionSite"
"['10.1590/S0103-50532002000100019', 'Rio Claro/SP']","['10.1590/S0103-50532002000100019', ['Rio Claro ,SP']]","doi_collectionSite"
"['10.1590/S0103-50532003000500012', 'Belem/PA']","['10.1590/S0103-50532003000500012', ['Brasil Novo ,PA']]","doi_collectionSite"
"['10.1590/S0103-50532005000400005', 'Peruibe/SP']","['10.1590/S0103-50532005000400005', ['Floresta Do Araguaia ,PA']]","doi_collectionSite"
"['10.1590/S0103-50532005000800018', 'Araraquara/SP']","['10.1590/S0103-50532005000800018', ['Campinas ,SP']]","doi_collectionSite"
"['10.1590/S0103-50532005000800029', 'Maues/AM']","['10.1590/S0103-50532005000800029', ['Araraquara ,SP']]","doi_collectionSite"
"['10.1590/S0103-50532010000500016', 'Rio Verde/GO']","['10.1590/S0103-50532010000500016', ['Rio Verde ,GO']]","doi_collectionSite"
"['10.1590/s0100-40422008000700015', 'Ribeirao Preto/SP']","['10.1590/s0100-40422008000700015', ['N/A,TO']]","doi_collectionSite"
"['10.4067/S0717-97072009000300004', 'Sao Paulo/SP']","['10.4067/S0717-97072009000300004', ['Jardinopolis ,SP']]","doi_collectionSite"
"['10.5935/0103-5053.19960024', 'Mogi Guacu/SP']","['10.5935/0103-5053.19960024', []]","doi_collectionSite"
