true,restored,edge_type
"['10.1002/cbdv.200800342', 'Plant Isolated']","['10.1002/cbdv.200800342', ['Isolated from plant leaves', 'Isolated from plant leaves', 'Isolated from plant leaves', 'Isolated from plant leaves', 'Isolated from plant leaves', 'Isolated from plant leaves', 'Degradation Product']]",doi_collectionType
"['10.1002/hlca.200890147', 'Plant Isolated']","['10.1002/hlca.200890147', ['Isolation', 'Isolation', 'Isolation', 'Isolation', 'Isolation']]",doi_collectionType
"['10.1002/ps.1278', 'Plant Isolated']","['10.1002/ps.1278', []]",doi_collectionType
"['10.1002/ptr.1249', 'Plant Isolated']","['10.1002/ptr.1249', []]",doi_collectionType
"['10.1016/0031-9422(81)80027-1', 'Plant Isolated']","['10.1016/0031-9422(81)80027-1', ['Extraction and separation from dried, powdered roots', 'Extraction and separation from dried, powdered roots', 'Extraction and separation from dried, powdered roots', 'Extraction and separation from dried, powdered roots', 'Extraction and separation from dried, powdered roots']]",doi_collectionType
"['10.1016/0031-9422(90)80024-B', 'Plant Isolated']","['10.1016/0031-9422(90)80024-B', []]",doi_collectionType
"['10.1016/0040-4020(95)00254-6', 'Plant Isolated']","['10.1016/0040-4020(95)00254-6', []]",doi_collectionType
"['10.1016/S0031-9422(00)00248-X', 'Plant Isolated']","['10.1016/S0031-9422(00)00248-X', []]",doi_collectionType
"['10.1016/S0031-9422(00)00477-5', 'Plant Isolated']","['10.1016/S0031-9422(00)00477-5', ['natural source', 'natural source', 'natural source', 'natural source', 'natural source', 'natural source']]",doi_collectionType
"['10.1016/S0031-9422(01)00079-6', 'Plant Isolated']","['10.1016/S0031-9422(01)00079-6', []]",doi_collectionType
"['10.1016/S0031-9422(03)00153-5', 'Plant Isolated']","['10.1016/S0031-9422(03)00153-5', []]",doi_collectionType
"['10.1016/S0031-9422(98)00069-7', 'Plant Isolated']","['10.1016/S0031-9422(98)00069-7', []]",doi_collectionType
"['10.1016/j.bse.2006.06.007', 'Microorganism isolated']","['10.1016/j.bse.2006.06.007', ['Endophytic fungus isolated from healthy leaves of Cryptocarya mandioccana', 'Endophytic fungus isolated from healthy leaves of Cryptocarya mandioccana']]",doi_collectionType
"['10.1016/j.jchromb.2012.07.013', 'Plant Isolated']","['10.1016/j.jchromb.2012.07.013', []]",doi_collectionType
"['10.1016/j.jfca.2003.09.013', 'Plant Isolated']","['10.1016/j.jfca.2003.09.013', ['Juice sample from natural oranges commercialized in Brazil', 'Juice sample from natural oranges commercialized in Brazil', 'Juice sample from natural oranges commercialized in Brazil', 'Juice sample from natural oranges commercialized in Brazil', 'Juice sample from natural oranges commercialized in Brazil', 'Juice sample from natural oranges commercialized in Brazil']]",doi_collectionType
"['10.1016/j.phytochem.2006.06.004', 'Microorganism isolated']","['10.1016/j.phytochem.2006.06.004', ['Isolated from leaves of Cassia spectabilis', 'Isolated from leaves of Cassia spectabilis', 'Isolated from leaves of Cassia spectabilis', 'Isolated from leaves of Cassia spectabilis', 'Isolated from leaves of Cassia spectabilis']]",doi_collectionType
"['10.1016/j.phytochem.2007.08.012', 'Plant Isolated']","['10.1016/j.phytochem.2007.08.012', []]",doi_collectionType
"['10.1016/j.phytochem.2008.01.006', 'Plant Isolated']","['10.1016/j.phytochem.2008.01.006', []]",doi_collectionType
"['10.1021/jf100233y', 'Plant Isolated']","['10.1021/jf100233y', ['Extraction from plant material', 'Semi-synthesis', 'Semi-synthesis', 'Semi-synthesis', 'Synthetic radical initiator']]",doi_collectionType
"['10.1021/jf100233y', 'Semisynthesis Product']","['10.1021/jf100233y', ['Extraction from plant material', 'Semi-synthesis', 'Semi-synthesis', 'Semi-synthesis', 'Synthetic radical initiator']]",doi_collectionType
"['10.1021/np0303963', 'Plant Isolated']","['10.1021/np0303963', []]",doi_collectionType
"['10.1021/np049863m', 'Plant Isolated']","['10.1021/np049863m', []]",doi_collectionType
"['10.1021/np1007476', 'Plant Isolated']","['10.1021/np1007476', ['Isolation from the leaves extract', 'Isolation from the leaves extract', 'Isolation from the leaves extract']]",doi_collectionType
"['10.1021/np500453x', 'Plant Isolated']","['10.1021/np500453x', []]",doi_collectionType
"['10.1021/np50086a012', 'Plant Isolated']","['10.1021/np50086a012', ['Leaf Extract', 'Leaf Extract']]",doi_collectionType
"['10.1021/np800106x', 'Plant Isolated']","['10.1021/np800106x', []]",doi_collectionType
"['10.1021/np800612x', 'Plant Isolated']","['10.1021/np800612x', []]",doi_collectionType
"['10.1021/np9004079', 'Plant Isolated']","['10.1021/np9004079', ['Extracted from twigs', 'Extracted from twigs', 'Extracted from leaves', 'Extracted from leaves', 'Extracted from leaves']]",doi_collectionType
"['10.1021/np900644x', 'Plant Isolated']","['10.1021/np900644x', []]",doi_collectionType
"['10.1021/np9704617', 'Plant Isolated']","['10.1021/np9704617', ['Natural Product', 'Known compound isolated from the plant', 'Known saponin isolated from the plant', 'Known saponin isolated from the plant', 'Known saponin isolated from the plant']]",doi_collectionType
"['10.1055/s-0028-1088323', 'Plant Isolated']","['10.1055/s-0028-1088323', []]",doi_collectionType
"['10.1055/s-0029-1185364', 'Plant Isolated']","['10.1055/s-0029-1185364', ['Isolation from ethanol extracts of leaves and stems', 'Isolation from ethanol extracts of leaves and stems', 'Isolation from ethanol extracts of leaves and stems', 'Isolation from ethanol extracts of leaves and stems', 'Isolation from ethanol extracts of leaves and stems', 'Isolation from ethanol extracts of leaves and stems', 'Isolation from ethanol extracts of leaves and stems']]",doi_collectionType
"['10.1055/s-0034-1368301', 'Microorganism isolated']","['10.1055/s-0034-1368301', ['Isolated from endophytic fungi', 'Isolated from endophytic fungi']]",doi_collectionType
"['10.1155/2013/835081', 'Microorganism isolated']","['10.1155/2013/835081', []]",doi_collectionType
"['10.1248/bpb.31.538', 'Plant Isolated']","['10.1248/bpb.31.538', ['Isolated from stems', 'Isolated from leaves', 'Isolated from leaves', 'Isolated from leaves', 'Isolated from leaves', 'Chemical derivative', 'Chemical derivative', 'Chemical derivative', 'Chemical derivative', 'Chemical derivative', 'Chemical derivative', 'Chemical derivative']]",doi_collectionType
