true,restored,edge_type
"['10.1002/cbdv.200590016', 'Netzahualcoyene']","['10.1002/cbdv.200590016', []]",doi_name
"['10.1002/cbdv.200590016', '20α-Hydroxymaytenin; 20-hydroxy-20-epi-tingenone']","['10.1002/cbdv.200590016', []]",doi_name
"['10.1002/cbdv.200590016', 'Salacin']","['10.1002/cbdv.200590016', []]",doi_name
"['10.1002/hlca.200890147', '6β-hydroxy-7-epigardoside methyl ester']","['10.1002/hlca.200890147', ['6 b-hydroxy-7-epigardoside methyl ester', '3 b-O-[a-l-rhamnopyranosyl-(1!2)-O-b-d-glucopyranosyl-(1!2)-O-b-d-glucopyranosyl]-28- O-b-d-glucopyranoside pomolate', 'shanzhiside methyl ester', 'ixoside', '3,4,5-trimethoxyphenyl 1-O-β-d-apiofuranosyl-(1!6)-O-β-d-glucopyranoside']]",doi_name
"['10.1002/hlca.200890147', '3,4,5-trimethoxyphenyl 1-O-β-D-apiofuranosyl-(1→6)-O-β-D-glucopyranoside']","['10.1002/hlca.200890147', ['6 b-hydroxy-7-epigardoside methyl ester', '3 b-O-[a-l-rhamnopyranosyl-(1!2)-O-b-d-glucopyranosyl-(1!2)-O-b-d-glucopyranosyl]-28- O-b-d-glucopyranoside pomolate', 'shanzhiside methyl ester', 'ixoside', '3,4,5-trimethoxyphenyl 1-O-β-d-apiofuranosyl-(1!6)-O-β-d-glucopyranoside']]",doi_name
"['10.1016/0031-9422(73)85048-4', '7-Hydroxy-4',6-dimethoxyisoflavone; Afrormosin; Afromosin']","['10.1016/0031-9422(73)85048-4', ['Tectorigenin', '(S)-4-Methoxydalbergione', '(6aS,11aS)-Demethylhomopterocarpin', 'Dalbergin', '7-Hydroxy-6-methoxy-3’,4’-methylenedioxyisoflavone', 'Afromosin', 'Caviunin', '7-O-Glycosylcaviunin', 'Tectoridin']]",doi_name
"['10.1016/0031-9422(81)80027-1', 'Piperovatine']","['10.1016/0031-9422(81)80027-1', ['N-Isobutyl-3,4-(methylenedioxy)cinnamamide', '(2Z,4Z)-N-Isobutyl-5-(3,4-methylenedioxyphenyl)-penta-2,4-dienoic amide', '(2E,4E)-N-(2-Methyl-2-acetoxypropyl)-5-(3,4-methylenedioxyphenyl)-penta-2,4-dienoic amide', '(2Z,4Z)-N-(2-Methyl-2-acetoxypropyl)-5-(3,4-methylenedioxyphenyl)-penta-2,4-dienoic amide']]",doi_name
"['10.1016/0031-9422(91)85077-D', '2-Methyl-4-hydroxy-butyl caffeoate']","['10.1016/0031-9422(91)85077-D', ['2-Phenylethyl caffeate', 'Caffeic Acid', 'α-Amyrin', 'β-Amyrin', 'α-Amyrenone', 'β-Amyrenone', 'Lupeol', 'Lupenone', 'Germanicone']]",doi_name
"['10.1016/0040-4020(95)00254-6', 'Canavaline']","['10.1016/0040-4020(95)00254-6', ['(-)-spectaline', '(-)-spectalinine', 'canavaline', 'leptophyllin A', '3-acetylleptophyllin A', 'iso-6-canavaline', 'leptophyllin B']]",doi_name
"['10.1016/0040-4020(95)00254-6', '(-)-Spectalinine']","['10.1016/0040-4020(95)00254-6', ['(-)-spectaline', '(-)-spectalinine', 'canavaline', 'leptophyllin A', '3-acetylleptophyllin A', 'iso-6-canavaline', 'leptophyllin B']]",doi_name
