true,restored,edge_type
"['10.1002/cbdv.200590016', 'Antioxidant']","['10.1002/cbdv.200590016', []]",doi_bioActivity
"['10.1002/cbdv.200800342', 'Cytotoxic']","['10.1002/cbdv.200800342', ['Cytotoxic activity against human leukemia (MOLT-4), melanoma (MDA-MB-435), colon (HCT-8), and glyoblastoma (SF-295) cancer cell lines, and against L-929 (normal fibroblasts).', 'Cytotoxic activity against human tumor cell lines.', 'Cytotoxic activity against human tumor cell lines.', 'Cytotoxic activity against human tumor cell lines.', 'Cytotoxic activity against human tumor cell lines.', 'Strongest cytotoxicity against all tumor cell lines tested, compared to normal L-929 cells. Comparable with the positive control doxorubicin.', 'No cytotoxic activity to cancer cells, indicating that the presence of these CO groups at C(18) and C(19) is incompatible with the cytotoxic activity. Derived from degradation of casearin X in CDCl3.']]",doi_bioActivity
"['10.1002/hlca.200890147', 'Antifungal']","['10.1002/hlca.200890147', ['Moderate antifungal activities against Candida albicans and C. krusei', 'Moderate antifungal activities against Candida albicans and C. krusei', 'Moderate antifungal activities against Candida albicans and C. krusei', 'Moderate antifungal activities against Candida albicans and C. krusei', 'Moderate antifungal activities against Candida albicans and C. krusei']]",doi_bioActivity
"['10.1002/jobm.200800093', 'Cytotoxic']","['10.1002/jobm.200800093', ['Weak cytotoxic activity against tumor cell lines', 'Moderate cytotoxic activity against tumor cell lines when combined with Compound 5', 'Weak cytotoxic activity, potential synergy with Compound 4', 'Remarkable cytotoxic activity against tumor cell lines', 'Not mentioned', 'Cytotoxic activity not mentioned']]",doi_bioActivity
"['10.1002/ps.1278', 'Insecticidal']","['10.1002/ps.1278', ['Moderate larval weight loss in Spodoptera frugiperda after 10 days of treatment, suggesting some antifeedant or toxicity effect, but further details are not mentioned', 'Possible feeding deterrence causing larval weight loss in Spodoptera frugiperda', 'High larval mortality in Spodoptera frugiperda, suggest insecticidal or antifeedant properties', 'High larval mortality in Spodoptera frugiperda', ""Possible feeding deterrence causing larval weight loss in Spodoptera frugiperda similar to tannin's bioactivity""]]",doi_bioActivity
"['10.1002/ps.478', 'Insecticidal']","['10.1002/ps.478', ['Growth inhibiting activity by stomach ingesting, insecticidal against Anticarsia gemmatalis and Spodoptera frugiperda']]",doi_bioActivity
"['10.1007/s10295-012-1165-2', 'Cytotoxic']","['10.1007/s10295-012-1165-2', ['Cytotoxic; anti-inflammatory; antifeedant activities.', 'Cytotoxic; similar activity against HL-60 cells as Tagitinin C.']]",doi_bioActivity
"['10.1016/0031-9422(90)80024-B', 'Molluscicidal']","['10.1016/0031-9422(90)80024-B', ['Inhibition of lettuce root and shoot growth at 500 ppm concentration. No molluscicidal activity.', 'Inhibition of lettuce root and shoot growth at 500 ppm concentration; Molluscicidal activity at 20 ppm against Biomphalaria glabrata.', 'Inhibition of lettuce root and shoot growth at 500 ppm concentration; Molluscicidal activity at 10 ppm against Biomphalaria glabrata.', 'Inhibition of lettuce root and shoot growth at 500 ppm concentration; Molluscicidal activity at 5 ppm against Biomphalaria glabrata.']]",doi_bioActivity
"['10.1016/0040-4020(95)00254-6', 'Cytotoxic']","['10.1016/0040-4020(95)00254-6', ['Active in a mechanism-based DNA-modifying yeast assay and cytotoxic in Vero monkey and Chinese hamster ovary cell assays', 'Moderately active in Vero monkey and Chinese hamster ovary cell cytotoxicity assays', 'Unknown specific bioactivity from the provided data', 'Assumed bioactive but no specific bioactivity profile provided', 'Assumed bioactive but no specific bioactivity profile provided', 'Unknown specific bioactivity from the provided data', 'Assumed bioactive but no specific bioactivity profile provided']]",doi_bioActivity
"['10.1016/S0031-9422(00)00225-9', 'Antibacterial']","['10.1016/S0031-9422(00)00225-9', ['Antibacterial and antifungal activity', 'Antibacterial and antifungal activity', 'Inhibited only S. aureus and C. albicans', 'Inhibited only S. aureus and C. albicans', 'Inhibited only S. aureus and C. albicans']]",doi_bioActivity
"['10.1016/S0031-9422(00)00225-9', 'Antifungal']","['10.1016/S0031-9422(00)00225-9', ['Antibacterial and antifungal activity', 'Antibacterial and antifungal activity', 'Inhibited only S. aureus and C. albicans', 'Inhibited only S. aureus and C. albicans', 'Inhibited only S. aureus and C. albicans']]",doi_bioActivity
