true,restored,edge_type
"['10.1002/cbdv.200800342', 'Sao Miguel Arcanjo/SP']","['10.1002/cbdv.200800342', ['Parque Estadual Carlos Botelho, São Miguel Arcanjo, São Paulo, Brazil', 'Parque Estadual Carlos Botelho, São Miguel Arcanjo, São Paulo, Brazil', 'Parque Estadual Carlos Botelho, São Miguel Arcanjo, São Paulo, Brazil', 'Parque Estadual Carlos Botelho, São Miguel Arcanjo, São Paulo, Brazil', 'Parque Estadual Carlos Botelho, São Miguel Arcanjo, São Paulo, Brazil', 'Parque Estadual Carlos Botelho, São Miguel Arcanjo, São Paulo, Brazil', 'Parque Estadual Carlos Botelho, São Miguel Arcanjo, São Paulo, Brazil']]",doi_collectionSite
"['10.1002/hlca.200890147', 'Apore/GO']","['10.1002/hlca.200890147', ['Apore, GO, Brazil', 'Apore, GO, Brazil']]",doi_collectionSite
"['10.1002/ps.478', 'Rio Claro/SP']","['10.1002/ps.478', ['Rio Claro, São Paulo, Brazil']]",doi_collectionSite
"['10.1016/0031-9422(73)85048-4', 'N/A/AM']","['10.1016/0031-9422(73)85048-4', ['Flooded banks of the Amazon river and its tributaries', 'Flooded banks of the Amazon river and its tributaries', 'Flooded banks of the Amazon river and its tributaries', 'Flooded banks of the Amazon river and its tributaries', 'Flooded banks of the Amazon river and its tributaries', 'Flooded banks of the Amazon river and its tributaries', 'Flooded banks of the Amazon river and its tributaries', 'Flooded banks of the Amazon river and its tributaries', 'Flooded banks of the Amazon river and its tributaries']]",doi_collectionSite
"['10.1016/0031-9422(81)80027-1', 'Rio De Janeiro/RJ']","['10.1016/0031-9422(81)80027-1', ['Hillside of the Corcovado Mountain in Rio de Janeiro', 'Hillside of the Corcovado Mountain in Rio de Janeiro', 'Hillside of the Corcovado Mountain in Rio de Janeiro', 'Hillside of the Corcovado Mountain in Rio de Janeiro', 'Hillside of the Corcovado Mountain in Rio de Janeiro']]",doi_collectionSite
"['10.1016/0031-9422(91)85077-D', 'Mogi Guacu/SP']","['10.1016/0031-9422(91)85077-D', ['Estação Ecológica e Experimental de Moji-Guaçu, São Paulo, Brazil', 'Estação Ecológica e Experimental de Moji-Guaçu, São Paulo, Brazil', 'Estação Ecológica e Experimental de Moji-Guaçu, São Paulo, Brazil']]",doi_collectionSite
"['10.1016/0040-4020(95)00254-6', 'Sao Paulo/SP']","['10.1016/0040-4020(95)00254-6', ['Sao Paulo State, Brazil', 'Sao Paulo State, Brazil', 'Sao Paulo State, Brazil', 'Sao Paulo State, Brazil', 'Sao Paulo State, Brazil', 'Sao Paulo State, Brazil', 'Sao Paulo State, Brazil']]",doi_collectionSite
"['10.1016/S0014-5793(02)02700-X', 'Araraquara/SP']","['10.1016/S0014-5793(02)02700-X', ['The geographical origin of the collection site is not specified in the provided text.']]",doi_collectionSite
"['10.1016/S0031-9422(00)00248-X', 'N/A/ES']","['10.1016/S0031-9422(00)00248-X', ['Espirito Santo, Brazil', 'Espirito Santo, Brazil', 'Espirito Santo, Brazil', 'Espirito Santo, Brazil', 'Espirito Santo, Brazil', 'Espirito Santo, Brazil', 'Espirito Santo, Brazil']]",doi_collectionSite
"['10.1016/S0031-9422(01)00431-9', 'Manaus/AM']","['10.1016/S0031-9422(01)00431-9', ['Araraquara/SP, Brazil', 'Araraquara/SP, Brazil', 'Araraquara/SP, Brazil; INPA — Manaus, Brazil', 'Araraquara/SP, Brazil; INPA — Manaus, Brazil', 'Araraquara/SP, Brazil', 'INPA — Manaus, Brazil', 'INPA — Manaus, Brazil', 'INPA — Manaus, Brazil', 'INPA — Manaus, Brazil', 'INPA — Manaus, Brazil', 'INPA — Manaus, Brazil', 'INPA — Manaus, Brazil', 'INPA — Manaus, Brazil']]",doi_collectionSite
"['10.1016/S0031-9422(03)00153-5', 'Manaus/AM']","['10.1016/S0031-9422(03)00153-5', ['Manaus, Brazil', 'Manaus, Brazil', 'Manaus, Brazil']]",doi_collectionSite
"['10.1016/S0031-9422(98)00069-7', 'Corumba/MS']","['10.1016/S0031-9422(98)00069-7', ['Corumba, Mato Grosso do Sul, Brazil']]",doi_collectionSite
"['10.1016/S0031-9422(99)00132-6', 'Ibate/SP']","['10.1016/S0031-9422(99)00132-6', ['Reserva da Ripasa, Ibate, SP, Brazil', 'Reserva da Ripasa, Ibate, SP, Brazil']]",doi_collectionSite
"['10.1016/j.bmc.2010.12.056', 'Campinas/SP']","['10.1016/j.bmc.2010.12.056', []]",doi_collectionSite
"['10.1016/j.bse.2006.06.007', 'N/A/SP']","['10.1016/j.bse.2006.06.007', ['Araraquara, SP, Brazil', 'Araraquara, SP, Brazil']]",doi_collectionSite
"['10.1016/j.chroma.2009.02.009', 'Itacoatiara/AM']","['10.1016/j.chroma.2009.02.009', ['Forest Reserve Adolpho Ducke, Itacoatiara, Amazonas state, Brazil', 'Forest Reserve Adolpho Ducke, Itacoatiara, Amazonas state, Brazil', 'Forest Reserve Adolpho Ducke, Itacoatiara, Amazonas state, Brazil', 'Forest Reserve Adolpho Ducke, Itacoatiara, Amazonas state, Brazil', 'Forest Reserve Adolpho Ducke, Itacoatiara, Amazonas state, Brazil', 'Forest Reserve Adolpho Ducke, Itacoatiara, Amazonas state, Brazil']]",doi_collectionSite
"['10.1016/j.chroma.2009.02.066', 'Cordeiropolis/SP']","['10.1016/j.chroma.2009.02.066', ['Estação Experimental de Citricultura do Instituto Agronômico de Campinas, Cordeirópolis, Brazil', 'Estação Experimental de Citricultura do Instituto Agronômico de Campinas, Cordeirópolis, Brazil', 'Estação Experimental de Citricultura do Instituto Agronômico de Campinas, Cordeirópolis, Brazil', 'Estação Experimental de Citricultura do Instituto Agronômico de Campinas, Cordeirópolis, Brazil']]",doi_collectionSite
"['10.1016/j.jchromb.2012.07.013', 'Sao Carlos/SP']","['10.1016/j.jchromb.2012.07.013', ['São Carlos, SP, Brazil', 'São Carlos, SP, Brazil', 'São Carlos, SP, Brazil']]",doi_collectionSite
"['10.1016/j.jfca.2003.09.013', 'N/A/SP']","['10.1016/j.jfca.2003.09.013', []]",doi_collectionSite
"['10.1016/j.micres.2004.06.003', 'Sao Carlos/SP']","['10.1016/j.micres.2004.06.003', ['São Carlos, state of São Paulo, Brazil']]",doi_collectionSite
"['10.1016/j.phytochem.2004.03.039', 'Goiania/GO']","['10.1016/j.phytochem.2004.03.039', ['Universidade Federal de Goiás, Goiânia, GO, Brazil', 'Universidade Federal de Goiás, Goiânia, GO, Brazil', 'Universidade Federal de Goiás, Goiânia, GO, Brazil', 'Universidade Federal de Goiás, Goiânia, GO, Brazil', 'Universidade Federal de Goiás, Goiânia, GO, Brazil', 'Universidade Federal de Goiás, Goiânia, GO, Brazil', 'Universidade Federal de Goiás, Goiânia, GO, Brazil', 'Universidade Federal de Goiás, Goiânia, GO, Brazil', 'Universidade Federal de Goiás, Goiânia, GO, Brazil']]",doi_collectionSite
"['10.1016/j.phytochem.2007.08.012', 'Ibate/SP']","['10.1016/j.phytochem.2007.08.012', ['Ibate – SP, Brazil', 'Ibate – SP, Brazil', 'Ibate – SP, Brazil', 'Ibate – SP, Brazil', 'Ibate – SP, Brazil']]",doi_collectionSite
"['10.1016/j.phytochem.2008.01.006', 'Sao Paulo/SP']","['10.1016/j.phytochem.2008.01.006', ['Botanic Garden of São Paulo, São Paulo State, Brazil', 'Botanic Garden of São Paulo, São Paulo State, Brazil', 'Botanic Garden of São Paulo, São Paulo State, Brazil', 'Botanic Garden of São Paulo, São Paulo State, Brazil', 'Botanic Garden of São Paulo, São Paulo State, Brazil', 'Botanic Garden of São Paulo, São Paulo State, Brazil', 'Botanic Garden of São Paulo, São Paulo State, Brazil']]",doi_collectionSite
"['10.1016/j.phytol.2010.11.003', 'Mogi Guacu/SP']","['10.1016/j.phytol.2010.11.003', ['Mogi-Guacu, Sao Paulo, Brazil', 'Mogi-Guacu, Sao Paulo, Brazil', 'Mogi-Guacu, Sao Paulo, Brazil']]",doi_collectionSite
"['10.1021/jf60217a066', 'Igarape-acu/PA']","['10.1021/jf60217a066', ['Northeast Brazil, specifically state of Ceará', 'Northeast Brazil, specifically state of Ceará', 'Northeast Brazil, specifically state of Ceará', 'Northeast Brazil, specifically state of Ceará', 'Northeast Brazil, specifically state of Ceará']]",doi_collectionSite
"['10.1021/np030100t', 'Mogi Guacu/SP']","['10.1021/np030100t', ['Campininha Farm, Mogi-Guacu, SP, Brazil', 'Campininha Farm, Mogi-Guacu, SP, Brazil', 'Campininha Farm, Mogi-Guacu, SP, Brazil']]",doi_collectionSite
"['10.1021/np030530j', 'Manaus/AM']","['10.1021/np030530j', ['Campus of the Universidade de São Paulo, Brazil', 'Reserva Ripasa, Ibate, São Paulo, Brazil', 'Manaus, State of Amazonas, Brazil', 'Campus of the Universidade de São Paulo, Brazil']]",doi_collectionSite
