true,restored,edge_type
"['10.1002/cbdv.200590016', 'Salacin']","['10.1002/cbdv.200590016', []]",doi_name
"['10.1002/cbdv.200590016', 'Maytenin, Tingenone']","['10.1002/cbdv.200590016', []]",doi_name
"['10.1002/cbdv.200590016', 'Netzahualcoyene']","['10.1002/cbdv.200590016', []]",doi_name
"['10.1002/cbdv.200590016', '20α-Hydroxymaytenin; 20-hydroxy-20-epi-tingenone']","['10.1002/cbdv.200590016', []]",doi_name
"['10.1002/cbdv.200800342', 'Casearin D; (1R*,3S*,5S*,6aR*,7R*,8R*,9S*,10S*,10aR*)-1-(Acetyloxy)-3,5,6,6a,7,8,9,10-octahydro-5,10-dihydroxy-7,8-dimethyl-7-[(2Z)-3-methylpenta-2,4-dien-1-yl]naphtho[1,8a-c]furan-3,9-diyl Dibutanoate']","['10.1002/cbdv.200800342', ['(1R*,3S*,5S*,6aR*,7S*,8S*,10R*,10aR*)-1-(Acetyloxy)-3,5,6,6a,7,8,9,10-octahydro-10-hydroxy-7,8-dimethyl-7-[(2Z)-3-methylpenta-2,4-dien-1-yl]naphtho[1,8a-c]furan-3,5-diyl Dibutanoate', 'not provided', 'not provided', 'not provided', 'not provided', '(1R*,3S*,5S*,6aR*,7S*,8R*,10R*,10aR*)-1,3-Bis(acetyloxy)-3,5,6,6a,7,8,9,10-octahydro-10-hydroxy-7,8-dimethyl-7-[(2Z)-3-methylpenta-2,4-dien-1-yl]naphtho[1,8a-c]furan-5-yl Butanoate', '(2R*,4aS*,5S*,7R*,8R*,8aS*)-4,4a-Diformyl-1,2,4a,5,6,7,8,8a-octahydro-5-hydroxy-7,8-dimethyl-8-[(2Z)-3-methylpenta-2,4-dien-1-yl]naphthalen-2-yl Butanoate']]",doi_name
"['10.1002/hlca.200890147', '3,4,5-trimethoxyphenyl 1-O-β-D-apiofuranosyl-(1→6)-O-β-D-glucopyranoside']","['10.1002/hlca.200890147', ['6 b-hydroxy-7-epigardoside methyl ester', '3 b-O-[a-l-rhamnopyranosyl-(1!2)-O-b-d-glucopyranosyl-(1!2)-O-b-d-glucopyranosyl]-28- O-b-d-glucopyranoside pomolate', 'shanzhiside methyl ester', 'ixoside', '3,4,5-trimethoxyphenyl 1-O-β-d-apiofuranosyl-(1!6)-O-β-d-glucopyranoside']]",doi_name
"['10.1002/hlca.200890147', '6β-hydroxy-7-epigardoside methyl ester']","['10.1002/hlca.200890147', ['6 b-hydroxy-7-epigardoside methyl ester', '3 b-O-[a-l-rhamnopyranosyl-(1!2)-O-b-d-glucopyranosyl-(1!2)-O-b-d-glucopyranosyl]-28- O-b-d-glucopyranoside pomolate', 'shanzhiside methyl ester', 'ixoside', '3,4,5-trimethoxyphenyl 1-O-β-d-apiofuranosyl-(1!6)-O-β-d-glucopyranoside']]",doi_name
"['10.1002/hlca.200890147', '3β-O-[α-L-rhamnopyranosyl-(1→2)-O-β-D-glucopyranosyl-(1→2)-O-β-D-glucopyranosyl]-28-O-β-D-glucopyranoside pomolate']","['10.1002/hlca.200890147', ['6 b-hydroxy-7-epigardoside methyl ester', '3 b-O-[a-l-rhamnopyranosyl-(1!2)-O-b-d-glucopyranosyl-(1!2)-O-b-d-glucopyranosyl]-28- O-b-d-glucopyranoside pomolate', 'shanzhiside methyl ester', 'ixoside', '3,4,5-trimethoxyphenyl 1-O-β-d-apiofuranosyl-(1!6)-O-β-d-glucopyranoside']]",doi_name
"['10.1002/ps.1278', 'Syringic acid']","['10.1002/ps.1278', ['Caffeoyl 6-O-β-D-glucopyranoside', 'Caffeoyl 6-O-α-D-glucopyranoside', '20-hydroxyecdysone', 'Casuarinin', 'Quercetin', 'Quercetin-3-O-α-L-rhamnopyranoside or quercitrin', 'β-Pedunculagin']]",doi_name
"['10.1002/ps.1278', 'ellagic acid 4-O-α-L-rhamnopyranoside; eschweilenol C']","['10.1002/ps.1278', ['Caffeoyl 6-O-β-D-glucopyranoside', 'Caffeoyl 6-O-α-D-glucopyranoside', '20-hydroxyecdysone', 'Casuarinin', 'Quercetin', 'Quercetin-3-O-α-L-rhamnopyranoside or quercitrin', 'β-Pedunculagin']]",doi_name
"['10.1002/ps.1278', 'Isoorientin']","['10.1002/ps.1278', ['Caffeoyl 6-O-β-D-glucopyranoside', 'Caffeoyl 6-O-α-D-glucopyranoside', '20-hydroxyecdysone', 'Casuarinin', 'Quercetin', 'Quercetin-3-O-α-L-rhamnopyranoside or quercitrin', 'β-Pedunculagin']]",doi_name
