k,algorithm,split,edge_group,dynamic_stage,value,std
1,gpt4,0.8,doi_collectionSpecie,1st,0.3206005769735117,0.017700216447922038
1,gpt4,0.8,doi_collectionSpecie,2nd,0.33206530977909315,0.03881990448818614
1,gpt4,0.8,doi_collectionSpecie,3rd,0.34633316487441496,0.055206349597078125
1,gpt4,0.8,doi_collectionSpecie,4th,0.3567384390832667,0.06417615564655976
5,gpt4,0.8,doi_collectionSpecie,1st,0.33927353789666925,0.017589701741919872
5,gpt4,0.8,doi_collectionSpecie,2nd,0.3497313086277358,0.03594991953483487
5,gpt4,0.8,doi_collectionSpecie,3rd,0.3640078570908495,0.05272900696934023
5,gpt4,0.8,doi_collectionSpecie,4th,0.37187902263764333,0.06685710074599117
10,gpt4,0.8,doi_collectionSpecie,1st,0.344145030159979,0.018978961170214692
10,gpt4,0.8,doi_collectionSpecie,2nd,0.35324736621356084,0.033580777710329676
10,gpt4,0.8,doi_collectionSpecie,3rd,0.3658260389090313,0.055066239371224936
10,gpt4,0.8,doi_collectionSpecie,4th,0.37187902263764333,0.06685710074599117
15,gpt4,0.8,doi_collectionSpecie,1st,0.344145030159979,0.018978961170214692
15,gpt4,0.8,doi_collectionSpecie,2nd,0.35324736621356084,0.033580777710329676
15,gpt4,0.8,doi_collectionSpecie,3rd,0.3658260389090313,0.055066239371224936
15,gpt4,0.8,doi_collectionSpecie,4th,0.37187902263764333,0.06685710074599117
20,gpt4,0.8,doi_collectionSpecie,1st,0.344145030159979,0.018978961170214692
20,gpt4,0.8,doi_collectionSpecie,2nd,0.35324736621356084,0.033580777710329676
20,gpt4,0.8,doi_collectionSpecie,3rd,0.3658260389090313,0.055066239371224936
20,gpt4,0.8,doi_collectionSpecie,4th,0.37187902263764333,0.06685710074599117
25,gpt4,0.8,doi_collectionSpecie,1st,0.344145030159979,0.018978961170214692
25,gpt4,0.8,doi_collectionSpecie,2nd,0.35324736621356084,0.033580777710329676
25,gpt4,0.8,doi_collectionSpecie,3rd,0.3658260389090313,0.055066239371224936
25,gpt4,0.8,doi_collectionSpecie,4th,0.37187902263764333,0.06685710074599117
30,gpt4,0.8,doi_collectionSpecie,1st,0.344145030159979,0.018978961170214692
30,gpt4,0.8,doi_collectionSpecie,2nd,0.35324736621356084,0.033580777710329676
30,gpt4,0.8,doi_collectionSpecie,3rd,0.3658260389090313,0.055066239371224936
30,gpt4,0.8,doi_collectionSpecie,4th,0.37187902263764333,0.06685710074599117
35,gpt4,0.8,doi_collectionSpecie,1st,0.344145030159979,0.018978961170214692
35,gpt4,0.8,doi_collectionSpecie,2nd,0.35324736621356084,0.033580777710329676
35,gpt4,0.8,doi_collectionSpecie,3rd,0.3658260389090313,0.055066239371224936
35,gpt4,0.8,doi_collectionSpecie,4th,0.37187902263764333,0.06685710074599117
40,gpt4,0.8,doi_collectionSpecie,1st,0.344145030159979,0.018978961170214692
40,gpt4,0.8,doi_collectionSpecie,2nd,0.35324736621356084,0.033580777710329676
40,gpt4,0.8,doi_collectionSpecie,3rd,0.3658260389090313,0.055066239371224936
40,gpt4,0.8,doi_collectionSpecie,4th,0.37187902263764333,0.06685710074599117
45,gpt4,0.8,doi_collectionSpecie,1st,0.344145030159979,0.018978961170214692
45,gpt4,0.8,doi_collectionSpecie,2nd,0.35324736621356084,0.033580777710329676
45,gpt4,0.8,doi_collectionSpecie,3rd,0.3658260389090313,0.055066239371224936
45,gpt4,0.8,doi_collectionSpecie,4th,0.37187902263764333,0.06685710074599117
50,gpt4,0.8,doi_collectionSpecie,1st,0.344145030159979,0.018978961170214692
50,gpt4,0.8,doi_collectionSpecie,2nd,0.35324736621356084,0.033580777710329676
50,gpt4,0.8,doi_collectionSpecie,3rd,0.3658260389090313,0.055066239371224936
50,gpt4,0.8,doi_collectionSpecie,4th,0.37187902263764333,0.06685710074599117
