k,algorithm,edge_group,split,dynamic_stage,value
1,gpt4,doi_collectionType,0.8,1st,0.017241379310344827
1,gpt4,doi_collectionType,0.8,2nd,0.012048192771084338
1,gpt4,doi_collectionType,0.8,3rd,0.017857142857142856
1,gpt4,doi_collectionType,0.8,4th,0.037037037037037035
1,gpt4,doi_collectionType,0.8,1st,0.02586206896551724
1,gpt4,doi_collectionType,0.8,2nd,0.0125
1,gpt4,doi_collectionType,0.8,3rd,0.0
1,gpt4,doi_collectionType,0.8,4th,0.0
1,gpt4,doi_collectionType,0.8,1st,0.02586206896551724
1,gpt4,doi_collectionType,0.8,2nd,0.012345679012345678
1,gpt4,doi_collectionType,0.8,3rd,0.01818181818181818
1,gpt4,doi_collectionType,0.8,4th,0.0
1,gpt4,doi_collectionType,0.8,1st,0.02586206896551724
1,gpt4,doi_collectionType,0.8,2nd,0.0375
1,gpt4,doi_collectionType,0.8,3rd,0.03571428571428571
1,gpt4,doi_collectionType,0.8,4th,0.0
1,gpt4,doi_collectionType,0.8,1st,0.02586206896551724
1,gpt4,doi_collectionType,0.8,2nd,0.0375
1,gpt4,doi_collectionType,0.8,3rd,0.03636363636363636
1,gpt4,doi_collectionType,0.8,4th,0.034482758620689655
1,gpt4,doi_collectionType,0.8,1st,0.02586206896551724
1,gpt4,doi_collectionType,0.8,2nd,0.01282051282051282
1,gpt4,doi_collectionType,0.8,3rd,0.018867924528301886
1,gpt4,doi_collectionType,0.8,4th,0.04
1,gpt4,doi_collectionType,0.8,1st,0.017241379310344827
1,gpt4,doi_collectionType,0.8,2nd,0.012345679012345678
1,gpt4,doi_collectionType,0.8,3rd,0.0
1,gpt4,doi_collectionType,0.8,4th,0.0
1,gpt4,doi_collectionType,0.8,1st,0.02586206896551724
1,gpt4,doi_collectionType,0.8,2nd,0.024691358024691357
1,gpt4,doi_collectionType,0.8,3rd,0.03773584905660377
1,gpt4,doi_collectionType,0.8,4th,0.038461538461538464
1,gpt4,doi_collectionType,0.8,1st,0.02564102564102564
1,gpt4,doi_collectionType,0.8,2nd,0.024096385542168676
1,gpt4,doi_collectionType,0.8,3rd,0.0
1,gpt4,doi_collectionType,0.8,4th,0.0
1,gpt4,doi_collectionType,0.8,1st,0.02586206896551724
1,gpt4,doi_collectionType,0.8,2nd,0.012658227848101266
1,gpt4,doi_collectionType,0.8,3rd,0.0
1,gpt4,doi_collectionType,0.8,4th,0.0
5,gpt4,doi_collectionType,0.8,1st,0.017241379310344827
5,gpt4,doi_collectionType,0.8,2nd,0.012048192771084338
5,gpt4,doi_collectionType,0.8,3rd,0.017857142857142856
5,gpt4,doi_collectionType,0.8,4th,0.037037037037037035
5,gpt4,doi_collectionType,0.8,1st,0.02586206896551724
5,gpt4,doi_collectionType,0.8,2nd,0.0125
5,gpt4,doi_collectionType,0.8,3rd,0.0
5,gpt4,doi_collectionType,0.8,4th,0.0
5,gpt4,doi_collectionType,0.8,1st,0.02586206896551724
5,gpt4,doi_collectionType,0.8,2nd,0.012345679012345678
5,gpt4,doi_collectionType,0.8,3rd,0.01818181818181818
5,gpt4,doi_collectionType,0.8,4th,0.0
5,gpt4,doi_collectionType,0.8,1st,0.02586206896551724
5,gpt4,doi_collectionType,0.8,2nd,0.0375
5,gpt4,doi_collectionType,0.8,3rd,0.03571428571428571
5,gpt4,doi_collectionType,0.8,4th,0.0
5,gpt4,doi_collectionType,0.8,1st,0.02586206896551724
5,gpt4,doi_collectionType,0.8,2nd,0.0375
5,gpt4,doi_collectionType,0.8,3rd,0.03636363636363636
5,gpt4,doi_collectionType,0.8,4th,0.034482758620689655
5,gpt4,doi_collectionType,0.8,1st,0.02586206896551724
5,gpt4,doi_collectionType,0.8,2nd,0.01282051282051282
5,gpt4,doi_collectionType,0.8,3rd,0.018867924528301886
5,gpt4,doi_collectionType,0.8,4th,0.04
5,gpt4,doi_collectionType,0.8,1st,0.017241379310344827
5,gpt4,doi_collectionType,0.8,2nd,0.012345679012345678
5,gpt4,doi_collectionType,0.8,3rd,0.0
5,gpt4,doi_collectionType,0.8,4th,0.0
5,gpt4,doi_collectionType,0.8,1st,0.02586206896551724
5,gpt4,doi_collectionType,0.8,2nd,0.024691358024691357
5,gpt4,doi_collectionType,0.8,3rd,0.03773584905660377
5,gpt4,doi_collectionType,0.8,4th,0.038461538461538464
5,gpt4,doi_collectionType,0.8,1st,0.02564102564102564
5,gpt4,doi_collectionType,0.8,2nd,0.024096385542168676
5,gpt4,doi_collectionType,0.8,3rd,0.0
5,gpt4,doi_collectionType,0.8,4th,0.0
5,gpt4,doi_collectionType,0.8,1st,0.02586206896551724
5,gpt4,doi_collectionType,0.8,2nd,0.012658227848101266
5,gpt4,doi_collectionType,0.8,3rd,0.0
5,gpt4,doi_collectionType,0.8,4th,0.0
10,gpt4,doi_collectionType,0.8,1st,0.017241379310344827
10,gpt4,doi_collectionType,0.8,2nd,0.012048192771084338
10,gpt4,doi_collectionType,0.8,3rd,0.017857142857142856
10,gpt4,doi_collectionType,0.8,4th,0.037037037037037035
10,gpt4,doi_collectionType,0.8,1st,0.02586206896551724
10,gpt4,doi_collectionType,0.8,2nd,0.0125
10,gpt4,doi_collectionType,0.8,3rd,0.0
10,gpt4,doi_collectionType,0.8,4th,0.0
10,gpt4,doi_collectionType,0.8,1st,0.02586206896551724
10,gpt4,doi_collectionType,0.8,2nd,0.012345679012345678
10,gpt4,doi_collectionType,0.8,3rd,0.01818181818181818
10,gpt4,doi_collectionType,0.8,4th,0.0
10,gpt4,doi_collectionType,0.8,1st,0.02586206896551724
10,gpt4,doi_collectionType,0.8,2nd,0.0375
10,gpt4,doi_collectionType,0.8,3rd,0.03571428571428571
10,gpt4,doi_collectionType,0.8,4th,0.0
10,gpt4,doi_collectionType,0.8,1st,0.02586206896551724
10,gpt4,doi_collectionType,0.8,2nd,0.0375
10,gpt4,doi_collectionType,0.8,3rd,0.03636363636363636
10,gpt4,doi_collectionType,0.8,4th,0.034482758620689655
10,gpt4,doi_collectionType,0.8,1st,0.02586206896551724
10,gpt4,doi_collectionType,0.8,2nd,0.01282051282051282
10,gpt4,doi_collectionType,0.8,3rd,0.018867924528301886
10,gpt4,doi_collectionType,0.8,4th,0.04
10,gpt4,doi_collectionType,0.8,1st,0.017241379310344827
10,gpt4,doi_collectionType,0.8,2nd,0.012345679012345678
10,gpt4,doi_collectionType,0.8,3rd,0.0
10,gpt4,doi_collectionType,0.8,4th,0.0
10,gpt4,doi_collectionType,0.8,1st,0.02586206896551724
10,gpt4,doi_collectionType,0.8,2nd,0.024691358024691357
10,gpt4,doi_collectionType,0.8,3rd,0.03773584905660377
10,gpt4,doi_collectionType,0.8,4th,0.038461538461538464
10,gpt4,doi_collectionType,0.8,1st,0.02564102564102564
10,gpt4,doi_collectionType,0.8,2nd,0.024096385542168676
10,gpt4,doi_collectionType,0.8,3rd,0.0
10,gpt4,doi_collectionType,0.8,4th,0.0
10,gpt4,doi_collectionType,0.8,1st,0.02586206896551724
10,gpt4,doi_collectionType,0.8,2nd,0.012658227848101266
10,gpt4,doi_collectionType,0.8,3rd,0.0
10,gpt4,doi_collectionType,0.8,4th,0.0
15,gpt4,doi_collectionType,0.8,1st,0.017241379310344827
15,gpt4,doi_collectionType,0.8,2nd,0.012048192771084338
15,gpt4,doi_collectionType,0.8,3rd,0.017857142857142856
15,gpt4,doi_collectionType,0.8,4th,0.037037037037037035
15,gpt4,doi_collectionType,0.8,1st,0.02586206896551724
15,gpt4,doi_collectionType,0.8,2nd,0.0125
15,gpt4,doi_collectionType,0.8,3rd,0.0
15,gpt4,doi_collectionType,0.8,4th,0.0
15,gpt4,doi_collectionType,0.8,1st,0.02586206896551724
15,gpt4,doi_collectionType,0.8,2nd,0.012345679012345678
15,gpt4,doi_collectionType,0.8,3rd,0.01818181818181818
15,gpt4,doi_collectionType,0.8,4th,0.0
15,gpt4,doi_collectionType,0.8,1st,0.02586206896551724
15,gpt4,doi_collectionType,0.8,2nd,0.0375
15,gpt4,doi_collectionType,0.8,3rd,0.03571428571428571
