"true","restored","edge_type"
"[""10.1016/j.tiv.2008.01.003"", ""Anticancer""]","[""10.1016/j.tiv.2008.01.003"", [""Antiproliferative"", ""Cytotoxic"", ""Antileukemic"", ""Antimicrobial"", ""Antioxidant"", ""Antimalarial"", ""Anti-inflammatory"", ""Apoptosis induction"", ""Proteasomal inhibition""]]","doi_bioActivity"
"[""10.1021/np1007476"", ""Antioxidant""]","[""10.1021/np1007476"", [""antioxidant"", ""anticholinesterase""]]","doi_bioActivity"
"[""10.1021/np1007476"", ""Inhibition of Acetylcholinesterase""]","[""10.1021/np1007476"", [""antioxidant"", ""anticholinesterase""]]","doi_bioActivity"
"[""10.1016/S0031-9422(01)00431-9"", ""Antifungal""]","[""10.1016/S0031-9422(01)00431-9"", [""Antifungal activity against Cladosporium phaerosospermum"", ""Antifungal activity against C. cladosporioides""]]","doi_bioActivity"
"[""10.1248/bpb.31.538"", ""Antitrypanosomal""]","[""10.1248/bpb.31.538"", [""anti-trypanocidal"", ""anti-fungal"", ""anti-tumour""]]","doi_bioActivity"
"[""10.1007/s10295-012-1165-2"", ""Cytotoxic""]","[""10.1007/s10295-012-1165-2"", [""cytotoxic"", ""antimicrobial"", ""cytostatic"", ""antifeedant"", ""anti-inflammatory"", ""antimalarial""]]","doi_bioActivity"
"[""10.1016/0031-9422(73)85048-4"", ""Antitrypanosomal""]","[""10.1016/0031-9422(73)85048-4"", []]","doi_bioActivity"
"[""10.1590/s0100-40422008000700015"", ""Cytotoxic""]","[""10.1590/s0100-40422008000700015"", [""antibiotics"", ""antimycotics"", ""immunosuppressors"", ""anticancer"", ""cytotoxic activity"", ""antibacterial activity""]]","doi_bioActivity"
"[""10.1107/S1600536803019913"", ""Antileishmanial""]","[""10.1107/S1600536803019913"", [""Inhibitory activity against the enzyme adenine phosphoribosyltransferase (APRT) from Leishmania""]]","doi_bioActivity"
"[""10.1016/j.phytochem.2006.09.005"", ""Cytotoxic""]","[""10.1016/j.phytochem.2006.09.005"", [""Slight increase in cell proliferation of HeLa and CHO cell lines by compound 2"", ""Potent cytotoxic activity against HeLa and CHO cell lines by compound 3"", ""Potent antifungal activity against Cladosporium sphaerospermum and C. cladosporioides by compound 2""]]","doi_bioActivity"
"[""10.1016/j.phytochem.2006.09.005"", ""Antifungal""]","[""10.1016/j.phytochem.2006.09.005"", [""Slight increase in cell proliferation of HeLa and CHO cell lines by compound 2"", ""Potent cytotoxic activity against HeLa and CHO cell lines by compound 3 with an IC50 of 8.0 uM"", ""Potent antifungal activity by compound 2 against Cladosporium sphaerospermum and C. cladosporioides""]]","doi_bioActivity"
"[""10.1016/0031-9422(81)80027-1"", ""Anesthetic""]","[""10.1016/0031-9422(81)80027-1"", [""anesthetic""]]","doi_bioActivity"
"[""10.5935/0103-5053.19930018"", ""Antitrypanosomal""]","[""10.5935/0103-5053.19930018"", []]","doi_bioActivity"
"[""10.1021/np9004079"", ""Cytotoxic""]","[""10.1021/np9004079"", [""Cytotoxicity against human tumor cell lines"", ""Cytotoxicity against HL-60 (human myeloblastic leukemia)"", ""Cytotoxicity against HCT-8 (human colon carcinoma)"", ""Cytotoxicity against MDA/MB-435 (human melanoma)"", ""Cytotoxicity against SF-295 (human glioblastoma)""]]","doi_bioActivity"
"[""10.1590/S0103-50532005000800025"", ""Inhibition of Acetylcholinesterase""]","[""10.1590/S0103-50532005000800025"", [""Toxicity to leaf-cutting ants"", ""Inhibitory activity on L. gongylophorus growth"", ""Ichthyotoxic activity"", ""Insect antifeedant activity"", ""Antifertility activity"", ""Antiplatelet aggregation activity"", ""Vasorelaxant activity"", ""Reduced growth rate and food consumption of Tribolium castaneum""]]","doi_bioActivity"
"[""10.1590/S0103-50532005000800025"", ""Antifungal""]","[""10.1590/S0103-50532005000800025"", [""Toxicity to leaf-cutting ants"", ""High toxicity of limonexic acid to leaf-cutting ants, reducing their longevity"", ""Ichthyotoxic and insect antifeedant activities for fraxinellone and fraxinellonone"", ""Antifertility, antiplatelet aggregation, and vasorelaxant activities for fraxinellone"", ""Reduced growth rate and food consumption in Tribolium castaneum by fraxinellone""]]","doi_bioActivity"
"[""10.1002/hlca.200890147"", ""Antifungal""]","[""10.1002/hlca.200890147"", [""Antifungal activity against Candida albicans and C. krusei"", ""No inhibitory effects against Candida parapsilosis and Cryptococcus neoformans""]]","doi_bioActivity"
"[""10.1590/S0103-50532010000500016"", ""Insecticidal""]","[""10.1590/S0103-50532010000500016"", [""insecticidal"", ""fungicidal"", ""analgesic"", ""anti-inflammatory""]]","doi_bioActivity"
"[""10.1002/cbdv.200800342"", ""Cytotoxic""]","[""10.1002/cbdv.200800342"", [""Cytotoxicity against human cancer cell lines"", ""Anti-ulcerogenic"", ""Anti-inflammatory"", ""Antivenom"", ""Anti-fungal activity"", ""Trypanosomicidal properties""]]","doi_bioActivity"
"[""10.1002/jobm.200800093"", ""Cytotoxic""]","[""10.1002/jobm.200800093"", [""cytotoxic"", ""anticancer"", ""antimicrobial"", ""anti-inflammatory"", ""antidiabetic"", ""prebiotic""]]","doi_bioActivity"
"[""10.1055/s-0029-1185364"", ""Antitrypanosomal""]","[""10.1055/s-0029-1185364"", [""Trypanocidal activity"", ""Cytotoxic activity""]]","doi_bioActivity"
"[""10.1016/S0031-9422(00)00225-9"", ""Antifungal""]","[""10.1016/S0031-9422(00)00225-9"", [""Antibacterial activity"", ""Antifungal activity""]]","doi_bioActivity"
"[""10.1016/S0031-9422(00)00225-9"", ""Antibacterial""]","[""10.1016/S0031-9422(00)00225-9"", [""antibacterial"", ""antifungal""]]","doi_bioActivity"
"[""10.1021/jf063451x"", ""Antioxidant""]","[""10.1021/jf063451x"", [""Inhibition of lipid peroxidation (LPO)"", ""Inhibition of cyclooxygenase (COX-1 and COX-2) enzymes"", ""Antioxidant activity"", ""Anti-inflammatory activity""]]","doi_bioActivity"
"[""10.1021/jf063451x"", ""Anti-inflamatory""]","[""10.1021/jf063451x"", [""Inhibition of lipid peroxidation (LPO)"", ""Inhibition of cyclooxygenase (COX-1 and COX-2) enzymes""]]","doi_bioActivity"
"[""10.1016/S0031-9422(00)00477-5"", ""Antioxidant""]","[""10.1016/S0031-9422(00)00477-5"", [""Antioxidant activity towards b-carotene"", ""Inhibition of solid tumour growth of sarcoma 180"", ""Inhibition of highly metastatic Lewis lung carcinoma cells"", ""Effective against vascular smooth muscle cell proliferation""]]","doi_bioActivity"
"[""10.1016/S0031-9422(98)00069-7"", ""Inhibition of Glycosidase""]","[""10.1016/S0031-9422(98)00069-7"", [""Treatment of callosities"", ""Treatment of cataract""]]","doi_bioActivity"
"[""10.1590/S0100-40422002000300002"", ""Cytotoxic""]","[""10.1590/S0100-40422002000300002"", [""antifungal"", ""inhibitory activity on DNA repair pathways""]]","doi_bioActivity"
"[""10.1055/s-2002-36346"", ""Antibacterial""]","[""10.1055/s-2002-36346"", [""Antibacterial activity against Gram-positive bacteria Bacillus cereus and B. subtilis and fast-acid bacterium Mycobacterium fortuitum""]]","doi_bioActivity"
"[""10.1590/S0102-695X2007000300003"", ""Antioxidant""]","[""10.1590/S0102-695X2007000300003"", [""antimicrobial activity against Gram-positive bacteria Staphylococcus aureus and Bacillus subtilis"", ""cytotoxicity against mouse lymphoma (L5178) and KB cell lines"", ""acetylcholinesterase inhibition"", ""antioxidant activity measured by DPPH test""]]","doi_bioActivity"
"[""10.1016/j.jfca.2003.09.013"", ""Inhibition of Glycosidase""]","[""10.1016/j.jfca.2003.09.013"", [""antioxidant activity"", ""antiradical activity"", ""free radical scavenging activity""]]","doi_bioActivity"
"[""10.1002/ps.478"", ""Insecticidal""]","[""10.1002/ps.478"", [""insecticidal"", ""growth inhibiting"", ""reducing total liver cholesterol concentration"", ""protecting against oxidative damage to liver mitochondria"", ""inhibiting lens aldose reductase to prevent cataract formation in diabetes"", ""enhancement of the vanadate-stimulated release of lipoprotein lipase activity"", ""hepatoprotective effect"", ""facilitates apoptosis of interleukin-2-dependent phytohaemaglutinin-activated Jurkat cells"", ""antinociceptive"", ""anti-oedematogenic"", ""antidepressant"", ""enzyme inhibitory properties""]]","doi_bioActivity"
"[""10.4067/S0717-97072009000300004"", ""Inhibition of Glycosidase""]","[""10.4067/S0717-97072009000300004"", []]","doi_bioActivity"
"[""10.1021/np0303963"", ""Cytotoxic""]","[""10.1021/np0303963"", [""DNA-damaging activity""]]","doi_bioActivity"
"[""10.1021/jf100233y"", ""Antioxidant""]","[""10.1021/jf100233y"", [""antioxidant"", ""antibacterial"", ""anti-inflammatory"", ""antimutagenic"", ""chemopreventive"", ""pro-apoptotic"", ""pro-oxidant"", ""inhibitor of xanthine oxidase"", ""inhibitor of mitochondrial lipid peroxidation"", ""inhibitor of oral bacterial growth"", ""inhibitor of Streptococcus mutans biofilms"", ""inhibitor of leukotriene C4 production"", ""inhibitor of prostaglandin D2 production"", ""anti-Salmonella activity"", ""protection against skin tumors"", ""cytotoxic effect on melanoma cells"", ""inhibition of HeLa cell growth"", ""antihemolytic""]]","doi_bioActivity"
"[""10.1590/S0100-40422012000700020"", ""Inhibition of Acetylcholinesterase""]","[""10.1590/S0100-40422012000700020"", [""Inhibitors of photosynthesis"", ""Bactericidal activity"", ""Cytotoxic activity against adenocarcinoma, epithelioma, breast cancer, and stomach cancer cell lines"", ""Herbicide potential through inhibition of the Hill reaction"", ""Inhibition of PSII electron flow"", ""Inhibition of ATP synthesis""]]","doi_bioActivity"
