"true","restored","edge_type"
"[""10.1016/j.tiv.2008.01.003"", ""Maytenus ilicifolia (Celastraceae)""]","[""10.1016/j.tiv.2008.01.003"", [""Maytenus ilicifolia"", ""Maytenus licifolia""]]","doi_collectionSpecie"
"[""10.1021/np1007476"", ""Chimarrhis turbinata (Rubiaceae)""]","[""10.1021/np1007476"", [""Chimarrhis turbinata""]]","doi_collectionSpecie"
"[""10.1016/S0031-9422(01)00431-9"", ""Piper tuberculatum (Piperaceae)""]","[""10.1016/S0031-9422(01)00431-9"", [""Piper arboreum"", ""Piper tuberculatum"", ""Piper hspidium"", ""Piper rugosum"", ""Piper guineense"", ""Piper aduncanin"", ""Piper longum"", ""Piper abscesses"", ""Piper trugsam"", ""Fagara macrophylla"", ""Cis-samples glomerular"", ""Piper peeploides""]]","doi_collectionSpecie"
"[""10.1016/0031-9422(73)85048-4"", ""Dalbergia riparia""]","[""10.1016/0031-9422(73)85048-4"", [""Dalbergia riparia"", ""Poecilanthe parviflora""]]","doi_collectionSpecie"
"[""10.1590/s0100-40422008000700015"", ""Chaetomium globosum""]","[""10.1590/s0100-40422008000700015"", [""Chaetomium globosum"", ""Viguiera robusta"", ""Taxus brevifolia"", ""Nothapodytes foetida"", ""Podophyllum pelatum"", ""Podophyllum hexandrum"", ""Escherichia coli"", ""Staphylococcus aureus""]]","doi_collectionSpecie"
"[""10.1107/S1600536803019913"", ""Adiscanthus fusciflorus""]","[""10.1107/S1600536803019913"", [""Adiscanthus fusciflorus"", ""Leishmania tarentolae""]]","doi_collectionSpecie"
"[""10.1590/S0100-40422010000900005"", ""Trichilia claussenii (Meliaceae)""]","[""10.1590/S0100-40422010000900005"", [""Trichilia claussenii"", ""Spodoptera frugiperda""]]","doi_collectionSpecie"
"[""10.1590/S0102-695X2010005000017"", ""Pterogyne nitens (Fabaceae)""]","[""10.1590/S0102-695X2010005000017"", [""Pterogyne nitens"", ""Candida albicans"", ""Candida krusei"", ""Candida parapsilosis"", ""Cryptococcus neoformans"", ""Aspergillus"", ""Mucor"", ""Fusarium"", ""Trichosporon"", ""Sedosporium"", ""Psidium guajava"", ""Origanum vulgare"", ""Alchornea glandulosa"", ""Piper crassinevinum"", ""Lippia alba"", ""Struthanthus vulgaris""]]","doi_collectionSpecie"
"[""10.1590/S0100-46702007000300002"", ""Michelia champaca (Magnoliaceae)""]","[""10.1590/S0100-46702007000300002"", [""Michelia champaca"", ""Staphylococcus aureus"", ""Cladosporium cladosporioides"", ""Cladosporium sphaerospermum""]]","doi_collectionSpecie"
"[""10.1016/j.phytochem.2006.09.005"", ""Periconia atropurpurea (Annonaceae)""]","[""10.1016/j.phytochem.2006.09.005"", [""Periconia atropurpurea"", ""Xylopia aromatica"", ""Cladosporium sphaerospermum"", ""Cladosporium cladosporioides""]]","doi_collectionSpecie"
"[""10.1016/0031-9422(81)80027-1"", ""Ottonia corcovadensis (Piperaceae)""]","[""10.1016/0031-9422(81)80027-1"", [""Ottonia corcovadensis""]]","doi_collectionSpecie"
"[""10.1590/S0103-50532005000800025"", ""Raulinoa echinata (Rutaceae)""]","[""10.1590/S0103-50532005000800025"", [""Raulinoa echinata"", ""Atta sexdens rubropilosa"", ""Dictannus angustifolius"", ""Tetradium trichotomum"", ""Citrus nippokoreana"", ""Melia azedarach"", ""Dictamnus dasycarpus"", ""Oryzias latipes"", ""Spodoptera littoralis"", ""Tribolium castaneum""]]","doi_collectionSpecie"
"[""10.1002/hlca.200890147"", ""Alibertia edulis (Rubiaceae)""]","[""10.1002/hlca.200890147"", [""Alibertia edulis"", ""Candida albicans"", ""Candida krusei"", ""Candida parapsilosis"", ""Cryptococcus neoformans""]]","doi_collectionSpecie"
"[""10.1021/np800106x"", ""Stemodia foliosa (Scrophulariaceae)""]","[""10.1021/np800106x"", [""Stemodia foliosa"", ""Stemodia matrilina"", ""Staphylococcus aureus"", ""Bacillus cereus"", ""Bacillus subtilis"", ""Bacillus anthracis"", ""Micrococcus luteus"", ""Mycobacterium smegantis"", ""Mycobacterium phlei"", ""Mycobacterium fortuitum""]]","doi_collectionSpecie"
"[""10.1016/S0031-9422(98)00069-7"", ""Cnidoscolus vitifolius (Euphorbiaceae)""]","[""10.1016/S0031-9422(98)00069-7"", [""Cnidoscolus vitifolius"", ""Acacia suma""]]","doi_collectionSpecie"
"[""10.1590/S0100-40422002000300002"", ""Styrax camporum (Styracaceae)""]","[""10.1590/S0100-40422002000300002"", [""Styrax camporum"", ""Saccharomyces cerevisiae""]]","doi_collectionSpecie"
"[""10.1055/s-2002-36346"", ""Stemodia foliosa (Scrophulariaceae)""]","[""10.1055/s-2002-36346"", [""Stemodia foliosa"", ""Staphylococcus aureus"", ""Bacillus cereus"", ""Bacillus anthracis"", ""Bacillus subtilis"", ""Klebsiella pneumoniae"", ""Pseudonocardia termophyta"", ""Mycobacterium fortuitum""]]","doi_collectionSpecie"
"[""10.1080/14786410412331271979"", ""Styrax camporum (Styracaceae)""]","[""10.1080/14786410412331271979"", [""Styracacemorum"", ""Styrax camporum"", ""Styrax obassia"", ""Forsythia intermedia""]]","doi_collectionSpecie"
"[""10.1515/znc-2011-5-607"", ""Carapa guianensis""]","[""10.1515/znc-2011-5-607"", [""Cabralea canjerana"", ""Carapa guianensis"", ""Spodoptera frugiperda"", ""Dysoxylum malabricum"", ""Khaya senegalensis"", ""Sandoricum koetjape"", ""Cedrela spp."", ""Azadirachta indica""]]","doi_collectionSpecie"
"[""10.1016/S0031-9422(99)00132-6"", ""Piper aduncum (Piperaceae)""]","[""10.1016/S0031-9422(99)00132-6"", [""Piper aduncum"", ""Saccharomyces cerevisiae""]]","doi_collectionSpecie"
"[""10.1002/ps.478"", ""Dimorphandra mollis""]","[""10.1002/ps.478"", [""Dimorphandra mollis"", ""Anticarsia gemmatalis"", ""Spodoptera frugiperda"", ""Lonchocarpus speciosus"", ""Astilbe thunbergin"", ""Engelhardria chrysolepis"", ""Vitis vinifera"", ""Hynanaea martiana"", ""H pareifolia"", ""Walffia baccata"", ""Hypericum perforatum"", ""Smilax glabra"", ""Drosophila melanogaster"", ""Drinys winteri""]]","doi_collectionSpecie"
"[""10.1016/j.jphotobiol.2013.01.006"", ""Balfourodendron riedelianum (Rutaceae)""]","[""10.1016/j.jphotobiol.2013.01.006"", [""Balfourodendron riedelianum"", ""Swinglea glutinosa"", ""Hortic supra"", ""Spinacea oleracea"", ""Physalis ioxocarpa"", ""Lolium perenne"", ""Seleginella leptohydylla"", ""Celastrus vulcanicolo""]]","doi_collectionSpecie"
"[""10.1590/S0100-40422012000700020"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)""]","[""10.1590/S0100-40422012000700020"", [""Myrsine cuneifolia"", ""Spinacia oleracea""]]","doi_collectionSpecie"
"[""10.1055/s-0034-1368301"", ""Nigrospora sphaerica""]","[""10.1055/s-0034-1368301"", [""Populspaora immersa"", ""Nigrospora sphareica"", ""Cephalosporium aphidicola"", ""Clavularia"", ""Smallanthus sonofibrilins""]]","doi_collectionSpecie"
"[""10.1080/14786419.2011.647020"", ""Humicola grisea""]","[""10.1080/14786419.2011.647020"", [""Humicola grisea var thermoidea"", ""Halichondria melanodocia""]]","doi_collectionSpecie"
"[""10.1248/cpb.56.407"", ""Senna spectabilis (Fabaceae)""]","[""10.1248/cpb.56.407"", [""Cassia spectabilis"", ""Cassia spectroballs""]]","doi_collectionSpecie"
"[""10.1590/S0100-40422008000400023"", ""Swartzia langsdorfii (Fabaceae)""]","[""10.1590/S0100-40422008000400023"", [""Swartzia langsdorffii"", ""Cladosporium cladosporioides"", ""Cladosporium sphaerospermum"", ""Candida albicans"", ""Candida krusei"", ""Candida parapsilosis"", ""Cryptococcus neoformans""]]","doi_collectionSpecie"
"[""10.1590/S0103-50532005000800029"", ""Phomopsis cassiae (Valsaceae)""]","[""10.1590/S0103-50532005000800029"", [""Phomopsis cassiae"", ""Cassia spectabilis"", ""Cladosporium cladosporioides"", ""Cladosporium sphaerospermum""]]","doi_collectionSpecie"
"[""10.1515/znb-2005-0715"", ""Pilocarpus grandiflorus""]","[""10.1515/znb-2005-0715"", [""Pilocarpus grandiflora"", ""Leucoagarcius gongylophorus"", ""Atta sexdens rubropilosa"", ""Casimiroa"", ""Pilocarpus"", ""Atta"", ""Acromyrmex"", ""Cladosporium herbarum"", ""Aspergillus flavus"", ""Aspergillus parasiticus"", ""Geotrichum candidum"", ""Coriolus versicolor"", ""Phanerochaete chrysosporium"", ""Mycelia sterilia""]]","doi_collectionSpecie"
"[""10.1021/np060254j"", ""Erythrina mulungu (Fabaceae)""]","[""10.1021/np060254j"", [""Erythrina mulungu"", ""Erythrina vespertilio""]]","doi_collectionSpecie"
"[""10.1590/S0103-50532007000700017"", ""Alibertia sessilis (Rubiaceae)""]","[""10.1590/S0103-50532007000700017"", [""Alibertia sessilis"", ""Cladosporium sphaerospermum"", ""Cladosporium cladosporioides""]]","doi_collectionSpecie"
"[""10.1016/j.jchromb.2012.07.013"", ""Zingiber officinale""]","[""10.1016/j.jchromb.2012.07.013"", [""Zingiber officinale""]]","doi_collectionSpecie"
