"true","restored","edge_type"
"[""10.1021/np1007476"", ""Chimarrhis turbinata (Rubiaceae)""]","[""10.1021/np1007476"", [""Chimarrhis turbinata""]]","doi_collectionSpecie"
"[""10.1016/0031-9422(73)85048-4"", ""Dalbergia riparia""]","[""10.1016/0031-9422(73)85048-4"", [""Dalbergia riparia"", ""Poecilanthe parviflora""]]","doi_collectionSpecie"
"[""10.1590/s0100-40422008000700015"", ""Chaetomium globosum""]","[""10.1590/s0100-40422008000700015"", [""Chaetomium globosum"", ""Viguiera robusta"", ""Taxus brevifolia"", ""Nothapodytes foetida"", ""Podophyllum pelatum"", ""Podophyllum hexandrum"", ""Escherichia coli"", ""Staphylococcus aureus""]]","doi_collectionSpecie"
"[""10.1590/S0100-46702007000300002"", ""Michelia champaca (Magnoliaceae)""]","[""10.1590/S0100-46702007000300002"", [""Michelia champaca"", ""Staphylococcus aureus"", ""Cladosporium cladosporioides"", ""Cladosporium sphaerospermum""]]","doi_collectionSpecie"
"[""10.1016/j.phytochem.2006.09.005"", ""Periconia atropurpurea (Annonaceae)""]","[""10.1016/j.phytochem.2006.09.005"", [""Periconia atropurpurea"", ""Xylopia aromatica"", ""Cladosporium sphaerospermum"", ""Cladosporium cladosporioides""]]","doi_collectionSpecie"
"[""10.1590/S0103-50532005000800025"", ""Raulinoa echinata (Rutaceae)""]","[""10.1590/S0103-50532005000800025"", [""Raulinoa echinata"", ""Atta sexdens rubropilosa"", ""Dictamnus angustifolius"", ""Tetradium trichotomum"", ""Citrus nippokoreana"", ""Melia azedarach"", ""Dictamnus dasycarpus"", ""Oryzias latipes"", ""Spodoptera littoralis"", ""Tribolium castaneum""]]","doi_collectionSpecie"
"[""10.1002/hlca.200890147"", ""Alibertia edulis (Rubiaceae)""]","[""10.1002/hlca.200890147"", [""Alibertia edulis"", ""Candida albicans"", ""Candida krusei"", ""Candida parapsilosis"", ""Cryptococcus neoformans""]]","doi_collectionSpecie"
"[""10.1021/np800106x"", ""Stemodia foliosa (Scrophulariaceae)""]","[""10.1021/np800106x"", [""Stemodia foliosa"", ""Stemodia matrilina"", ""Staphylococcus aureus"", ""Bacillus cereus"", ""Bacillus subtilis"", ""Bacillus anthracis"", ""Micrococcus luteus"", ""Mycobacterium smegantis"", ""Mycobacterium phlei"", ""Mycobacterium fortuitum""]]","doi_collectionSpecie"
"[""10.1590/S0100-40422002000300002"", ""Styrax camporum (Styracaceae)""]","[""10.1590/S0100-40422002000300002"", [""Styrax camporum"", ""Saccharomyces cerevisiae""]]","doi_collectionSpecie"
"[""10.1055/s-2002-36346"", ""Stemodia foliosa (Scrophulariaceae)""]","[""10.1055/s-2002-36346"", [""Stemodia foliosa"", ""Staphylococcus aureus"", ""Bacillus cereus"", ""Bacillus anthracis"", ""Bacillus subtilis"", ""Klebsiella pneumoniae"", ""Pseudonocardia termophyta"", ""Mycobacterium fortuitum""]]","doi_collectionSpecie"
