"true","restored","edge_type"
"[""10.1016/j.tiv.2008.01.003"", ""Plant Isolated""]","[""10.1016/j.tiv.2008.01.003"", [""liquid-liquid partitioning"", ""silica gel column chromatography"", ""flash silica gel column chromatography"", ""preparatory reverse phase HPLC""]]","doi_collectionType"
"[""10.1016/S0031-9422(01)00431-9"", ""Plant Isolated""]","[""10.1016/S0031-9422(01)00431-9"", []]","doi_collectionType"
"[""10.1107/S1600536803019913"", ""Plant Isolated""]","[""10.1107/S1600536803019913"", [""chromatography on a silica gel column"", ""isocratic system (hexane/ethyl acetate 7:3)"", ""CCDP using hexane/ethyl acetate 7:3 as the mobile phase"", ""vapour diffusion""]]","doi_collectionType"
"[""10.1590/S0100-40422010000900005"", ""Plant Isolated""]","[""10.1590/S0100-40422010000900005"", [""Fractionation"", ""Column Chromatography""]]","doi_collectionType"
"[""10.1590/S0100-46702007000300002"", ""Plant Isolated""]","[""10.1590/S0100-46702007000300002"", [""fracionamento biomonitorado"", ""cromatografia em columa"", ""cromatografia em camada delgada"", ""cromatografia liquida de alta eficiencia (CLAE)"", ""cromatografia em fase reversa"", ""cromatografia em camada delgada preparativa"", ""extracao acido-base""]]","doi_collectionType"
"[""10.1016/j.bmc.2010.12.056"", ""Plant Isolated""]","[""10.1016/j.bmc.2010.12.056"", []]","doi_collectionType"
"[""10.1016/0031-9422(81)80027-1"", ""Plant Isolated""]","[""10.1016/0031-9422(81)80027-1"", [""extraction with petrol followed by column chromatography"", ""Soxhlet extraction followed by repeated chromatography on silica gel columns""]]","doi_collectionType"
"[""10.5935/0103-5053.19930018"", ""Plant Isolated""]","[""10.5935/0103-5053.19930018"", []]","doi_collectionType"
"[""10.1590/S0103-50532005000800025"", ""Plant Isolated""]","[""10.1590/S0103-50532005000800025"", [""hexane extraction"", ""methanol extraction"", ""chromatography over silica gel"", ""preparative TLC""]]","doi_collectionType"
"[""10.1590/S0103-50532010000500016"", ""Plant Isolated""]","[""10.1590/S0103-50532010000500016"", [""vacuum chromatography"", ""preparative TLC"", ""centrifugational chromatography""]]","doi_collectionType"
"[""10.1002/cbdv.200800342"", ""Plant Isolated""]","[""10.1002/cbdv.200800342"", [""solid-phase extraction (SPE)"", ""normal-phase low pressure column chromatography (LPCC)"", ""preparative reversed-phase (C18) HPLC""]]","doi_collectionType"
"[""10.1515/znc-2009-11-1212"", ""Microorganism isolated""]","[""10.1515/znc-2009-11-1212"", []]","doi_collectionType"
"[""10.1055/s-0029-1185364"", ""Plant Isolated""]","[""10.1055/s-0029-1185364"", [""Bioactivity-guided fractionation"", ""Liquid-liquid partition"", ""Column chromatography"", ""Recrystallization"", ""Low-pressure column chromatography"", ""Semipermeative reversed phase HPLC"", ""Preparative TLC""]]","doi_collectionType"
"[""10.1016/j.phytochem.2007.08.012"", ""Plant Isolated""]","[""10.1016/j.phytochem.2007.08.012"", [""chromatography"", ""recrystallisation"", ""flash chromatography"", ""preparative HPLC""]]","doi_collectionType"
"[""10.3390/molecules190812031"", ""Plant Isolated""]","[""10.3390/molecules190812031"", [""Chromatography over Cleaning Sephadex with Sodium Hypochlorite"", ""gel permeation column chromatography over Sephadex LH-20"", ""silica gel column chromatography"", ""preparative TLC"", ""centrifugal preparative TLC"", ""high-performance liquid chromatography (HPLC)""]]","doi_collectionType"
"[""10.1590/S0100-40422002000300002"", ""Plant Isolated""]","[""10.1590/S0100-40422002000300002"", []]","doi_collectionType"
"[""10.1016/j.phytochem.2008.01.006"", ""Plant Isolated""]","[""10.1016/j.phytochem.2008.01.006"", [""defatting with n-hexane"", ""extraction by re-maceration with ethanol"", ""partitioning with ethyl acetate and n-butyl alcohol"", ""column chromatography separation"", ""RP-HPLC purification"", ""gel filtration on Sephadex LH-20""]]","doi_collectionType"
"[""10.1590/S0100-40422005000400009"", ""Plant Isolated""]","[""10.1590/S0100-40422005000400009"", [""chloroform extract"", ""ethanol extract""]]","doi_collectionType"
"[""10.1016/S0031-9422(99)00132-6"", ""Plant Isolated""]","[""10.1016/S0031-9422(99)00132-6"", [""Column Chromatography"", ""High-Performance Liquid Chromatography (HPLC)"", ""Preparative Thin Layer Chromatography (prep. TLC)""]]","doi_collectionType"
"[""10.1016/S0031-9422(00)00248-X"", ""Plant Isolated""]","[""10.1016/S0031-9422(00)00248-X"", [""vacuum chromatography"", ""flash chromatography"", ""prep. TLC"", ""R-HPLC"", ""crystallization""]]","doi_collectionType"
"[""10.1590/S0103-50532003000500012"", ""Plant Isolated""]","[""10.1590/S0103-50532003000500012"", [""maceration"", ""pre-purification using a Sep-Pak cartridge""]]","doi_collectionType"
"[""10.1016/S0031-9422(00)00226-0"", ""Plant Isolated""]","[""10.1016/S0031-9422(00)00226-0"", [""chromatographic techniques"", ""silica gel column chromatography"", ""HPLC purification"", ""preparative TLC""]]","doi_collectionType"
"[""10.1055/s-0034-1368301"", ""Microorganism isolated""]","[""10.1055/s-0034-1368301"", []]","doi_collectionType"
"[""10.1590/S0103-50532002000100019"", ""Plant Isolated""]","[""10.1590/S0103-50532002000100019"", [""crystallization from methanol/hexane"", ""preparative flash chromatography"", ""recycling HPLC separation""]]","doi_collectionType"
"[""10.1080/14786419.2011.647020"", ""Plant Isolated, Microorganism isolated""]","[""10.1080/14786419.2011.647020"", [""column chromatography"", ""vacuum liquid chromatography"", ""flash chromatography"", ""HPLC chromatography""]]","doi_collectionType"
"[""10.1080/14786410903335232"", ""Semisynthesis Product""]","[""10.1080/14786410903335232"", [""Maceration"", ""Partitioning"", ""Gel permeation chromatography"", ""RP-HPLC""]]","doi_collectionType"
"[""10.1021/np030100t"", ""Plant Isolated""]","[""10.1021/np030100t"", []]","doi_collectionType"
