"true","restored","edge_type"
"[""10.1016/j.phytochem.2006.09.005"", ""2,4-Dihydroxy-6-[(1'E,3'E)-penta-1', 3'-dienyl]-benzaldehyde""]","[""10.1016/j.phytochem.2006.09.005"", ""[\""6,8-Dimethoxy-3-(2'-oxo-propyl)-coumarin\"", \""2,4-Dihydroxy-6-[(1'E,3'E)-penta-1',3'-dienyl]-benzaldehyde\"", 'Periconicin B']""]","doi_name"
"[""10.1016/j.phytochem.2006.09.005"", ""Periconicin B""]","[""10.1016/j.phytochem.2006.09.005"", ""[\""6,8-Dimethoxy-3-(2'-oxo-propyl)-coumarin\"", \""2,4-Dihydroxy-6-[(1'E,3'E)-penta-1',3'-dienyl]-benzaldehyde\"", 'Periconicin B']""]","doi_name"
"[""10.1590/S0103-50532010000500016"", ""limonexic acid""]","[""10.1590/S0103-50532010000500016"", ""['dictamine', '\u03b3-fagarine', 'skimmianine', '1-methyl-2-phenylquinolin-4-one', 'limonexic acid', 'limonin']""]","doi_name"
"[""10.1016/S0031-9422(98)00069-7"", ""3-Acetyl aleuritolic acid""]","[""10.1016/S0031-9422(98)00069-7"", ""['3-acetyl aleuritolic acid', '3_b_-acetyl-', 'cinnamoyl-', 'dihydroxymethyl-lupool', '3_b_-hexanoyl lupool', '3_b_-_O-cinnamoyl', 'dihydrocinnamomoyl', 'acetyl lupools', 'lupool heptanate', 'lupool dihydroxymethylcinnamate', 'lupool cinnamate', 'lupool acetate', 'sitosterol', 'campesterol', 'stigmasterol', 'Lup-20(29)-en-3\u03b2-O-hexanoate']""]","doi_name"
"[""10.1055/s-2002-36346"", ""Stearic acid 4-pentoyloxyphenethyl ester""]","[""10.1055/s-2002-36346"", ""['Stearic acid 4-pentoyloxyphenyl ester', 'stearic methyl ester', 'sitosterol', 'stigmasterol', 'lupeol', 'lupeol acetate']""]","doi_name"
"[""10.1080/14786410412331271979"", ""(\u00b1)-Syringaresinol""]","[""10.1080/14786410412331271979"", ""['egonol', 'homoegonol', 'springarensol', 'benzyl benzoate', 'benzyl salicylate', 'sitosterol', 'vanillin', 'cinnamic acid esters', 'ferulic acid esters', 'syringaresinol', 'licarin A', 'streptonigrin']""]","doi_name"
"[""10.1080/14786410412331271979"", ""Homoegonol""]","[""10.1080/14786410412331271979"", ""['egonol', 'homoegonol', 'springarensol', 'benzyl benzoate', 'benzyl salicylate', 'sitosterol', 'vanillin', 'cinnamic acid', 'ferulic acid', 'syringaresinol', 'licarin A', 'streptonigrin']""]","doi_name"
"[""10.1080/14786410412331271979"", ""Egonol""]","[""10.1080/14786410412331271979"", ""['egonol', 'homoegonol', 'springarensol', 'benzyl benzoate', 'benzyl salicylate', 'sitosterol', 'vanillin', 'cinnamic acid esters', 'ferulic acid esters', 'syringaresinol', 'licarin A', 'streptonigrin']""]","doi_name"
"[""10.1590/S0100-40422009000600037"", ""11\u03b2-acetoxyobacunone""]","[""10.1590/S0100-40422009000600037"", ""['11b-acetoxybacunone', 'ecdrelone', 'methylangelonate', 'photogedunin', 'scoparone', 'scopoletin', 'umbeliferone', 'stigmasterol', 'b-sitosterol', 'istostenone', 'campesterol', 'cedrelona', 'angolensato de metila']""]","doi_name"
"[""10.1016/j.jfca.2003.09.013"", ""p-Coumaric acid""]","[""10.1016/j.jfca.2003.09.013"", ""['caffeic acid', 'chlorogenic acid', 'sinapic acid', 'ferulic acid', 'p-coumaric acid', 'cinnamic acid', 'ascorbic acid', '2,2-diphenyl-1-picrylhydrazyl (DPPH)']""]","doi_name"
"[""10.1002/ps.478"", ""astilbin; Rel-(2R, 3R)-dihydroquercetin-3-O-\u00b1-L-rhamnoside""]","[""10.1002/ps.478"", ""['astilbin', 'quercetin', 'rutin', 'taxafilon', 'engeletin', 'eucerythin']""]","doi_name"
"[""10.1021/np800612x"", ""Nitensidine D""]","[""10.1021/np800612x"", ""['galegine', 'Nitensidine E', 'pterogyrine', 'pterogyridine', 'gaseleine', 'Galegine', 'metformin', 'nitensidine D']""]","doi_name"
"[""10.1021/np800612x"", ""Nitensidine E""]","[""10.1021/np800612x"", ""['galegine', 'Nitensidine E', 'pterogyrine', 'pterogyridine', 'gaseleine', 'Galegine', 'metformin', 'nitensidine D', 'Nitensidine D']""]","doi_name"
"[""10.1021/np0303963"", ""(-)-3-O-acetyl-spectaline""]","[""10.1021/np0303963"", ""['(-)-3-O-acetylspectaline', '(-)-7-hydroxypedaline', 'iso-6-spectaline', '(-)-spectaline']""]","doi_name"
"[""10.1016/j.phytol.2010.11.003"", ""(3R,4R)-4,7-Dihydroxymellein""]","[""10.1016/j.phytol.2010.11.003"", ""['(3_R_AR_)-3.4-dihydro-4,6-dihydroxy-3-methyl-1-oxo-1H-isochromene-5-carboxylic acid', '(_R_)-7-hydroxymellein', '(3_R_AR_)-4.7-dihydroxymellein']""]","doi_name"
