"true","restored","edge_type"
"[""10.1002/cbdv.200590016"", ""Sao Carlos/SP""]","[""10.1002/cbdv.200590016"", [""Sao Sebastiao Do Passe/BA"", ""Lavras/MG"", ""Sao Paulo/SP"", ""Sao Carlos/SP"", ""Ribeirao Preto/SP"", ""Pocos De Caldas/MG"", ""Chapada Dos Guimaraes/MT"", ""Sao Miguel Arcanjo/SP"", ""Vicosa/MG"", ""Araraquara/SP"", ""Teodoro Sampaio/SP"", ""Rio Claro/SP"", ""Rio De Janeiro/RJ"", ""Piracicaba/SP"", ""Iguape/SP"", ""Recife/PE"", ""Santarem/PA"", ""Campinas/SP"", ""Goiania/GO"", ""Cuiaba/MT""]]","doi_collectionSite"
"[""10.1002/jobm.200800093"", ""Ribeirao Preto/SP""]","[""10.1002/jobm.200800093"", [""Ribeirao Preto/SP"", ""Piracicaba/SP"", ""Sao Paulo/SP"", ""Araraquara/SP"", ""Ribeirao Preto/SP, Nigrospora sphaerica"", ""Rio Claro/SP"", ""Iguape/SP"", ""Sao Carlos/SP"", ""Campinas/SP"", ""Rio De Janeiro/RJ"", ""Teodoro Sampaio/SP"", ""Cordeiropolis/SP"", ""Recife/PE"", ""Sao Sebastiao Do Passe/BA"", ""Cunha/SP"", ""Sao Miguel Arcanjo/SP"", ""Pirenopolis/GO"", ""Corumba/MS"", ""Chapada Dos Guimaraes/MT"", ""Mogi Guacu/SP""]]","doi_collectionSite"
"[""10.1002/ps.1278"", ""Pocos De Caldas/MG""]","[""10.1002/ps.1278"", [""Pocos De Caldas/MG"", ""Pocos De Caldas/MG, Lonchocarpus atropurpureus"", ""Vicosa/MG"", ""Lavras/MG"", ""Chapada Dos Guimaraes/MT"", ""Cuiaba/MT"", ""Recife/PE"", ""Ribeirao Preto/SP"", ""Sao Carlos/SP"", ""Mogi Guacu/SP"", ""Rio Claro/SP"", ""Sao Sebastiao Do Passe/BA"", ""Campinas/SP"", ""Iguape/SP"", ""Sao Paulo/SP"", ""Sao Miguel Arcanjo/SP"", ""Piracicaba/SP"", ""Araraquara/SP"", ""Cunha/SP"", ""Teodoro Sampaio/SP""]]","doi_collectionSite"
"[""10.1002/ps.478"", ""Rio Claro/SP""]","[""10.1002/ps.478"", [""Rio Claro/SP"", ""Sao Paulo/SP"", ""Ribeirao Preto/SP"", ""Araraquara/SP"", ""Piracicaba/SP"", ""Sao Carlos/SP"", ""Rio De Janeiro/RJ"", ""Campinas/SP"", ""Iguape/SP"", ""Teodoro Sampaio/SP"", ""Sao Miguel Arcanjo/SP"", ""Cordeiropolis/SP"", ""Cunha/SP"", ""Rio Verde/GO"", ""Ribeirao Preto/SP, Nigrospora sphaerica"", ""Mogi Guacu/SP"", ""Chapada Dos Guimaraes/MT"", ""Recife/PE"", ""Sao Sebastiao Do Passe/BA"", ""Goiania/GO""]]","doi_collectionSite"
"[""10.1002/ptr.1249"", ""Ribeirao Preto/SP""]","[""10.1002/ptr.1249"", [""Ribeirao Preto/SP"", ""Piracicaba/SP"", ""Sao Paulo/SP"", ""Araraquara/SP"", ""Ribeirao Preto/SP, Nigrospora sphaerica"", ""Rio Claro/SP"", ""Iguape/SP"", ""Sao Carlos/SP"", ""Campinas/SP"", ""Rio De Janeiro/RJ"", ""Teodoro Sampaio/SP"", ""Cordeiropolis/SP"", ""Recife/PE"", ""Sao Sebastiao Do Passe/BA"", ""Cunha/SP"", ""Sao Miguel Arcanjo/SP"", ""Pirenopolis/GO"", ""Corumba/MS"", ""Chapada Dos Guimaraes/MT"", ""Mogi Guacu/SP""]]","doi_collectionSite"
"[""10.1007/s10295-012-1165-2"", ""Ribeirao Preto/SP""]","[""10.1007/s10295-012-1165-2"", [""Ribeirao Preto/SP"", ""Piracicaba/SP"", ""Sao Paulo/SP"", ""Araraquara/SP"", ""Ribeirao Preto/SP, Nigrospora sphaerica"", ""Rio Claro/SP"", ""Iguape/SP"", ""Sao Carlos/SP"", ""Campinas/SP"", ""Rio De Janeiro/RJ"", ""Teodoro Sampaio/SP"", ""Cordeiropolis/SP"", ""Recife/PE"", ""Sao Sebastiao Do Passe/BA"", ""Cunha/SP"", ""Sao Miguel Arcanjo/SP"", ""Pirenopolis/GO"", ""Corumba/MS"", ""Chapada Dos Guimaraes/MT"", ""Mogi Guacu/SP""]]","doi_collectionSite"
"[""10.1016/0031-9422(73)85048-4"", ""N/A/AM""]","[""10.1016/0031-9422(73)85048-4"", [""N/A/ES"", ""Itirapina/SP"", ""Lavras/MG"", ""Londrina/PR"", ""Rifaina/SP"", ""Peruibe/SP"", ""Cunha/SP"", ""Sao Paulo/SP"", ""Araraquara/SP"", ""Santarem/PA"", ""Campinas/SP"", ""Iguape/SP"", ""N/A/SP"", ""Recife/PE"", ""Teodoro Sampaio/SP"", ""Ibirama/SC"", ""Sao Carlos/SP"", ""N/A/PE"", ""Rio Claro/SP"", ""Vicosa/MG""]]","doi_collectionSite"
"[""10.1016/0031-9422(81)80027-1"", ""Rio De Janeiro/RJ""]","[""10.1016/0031-9422(81)80027-1"", [""Rio De Janeiro/RJ"", ""Sao Paulo/SP"", ""Ribeirao Preto/SP"", ""Rio Claro/SP"", ""Recife/PE"", ""Araraquara/SP"", ""Piracicaba/SP"", ""Goiania/GO"", ""Sao Carlos/SP"", ""Sao Sebastiao Do Passe/BA"", ""Campinas/SP"", ""Iguape/SP"", ""Londrina/PR"", ""Cuiaba/MT"", ""Teodoro Sampaio/SP"", ""Corumba/MS"", ""Manaus/AM"", ""Cordeiropolis/SP"", ""Chapada Dos Guimaraes/MT"", ""Rio Verde/GO""]]","doi_collectionSite"
"[""10.1016/0031-9422(91)85077-D"", ""Mogi Guacu/SP""]","[""10.1016/0031-9422(91)85077-D"", [""Mogi Guacu/SP"", ""Iguape/SP"", ""Piracicaba/SP"", ""Cunha/SP"", ""Teodoro Sampaio/SP"", ""Sao Miguel Arcanjo/SP"", ""Sao Paulo/SP"", ""Araraquara/SP"", ""Chapada Dos Guimaraes/MT"", ""Cordeiropolis/SP"", ""Peruibe/SP"", ""Sao Carlos/SP"", ""Vicosa/MG"", ""Igarape-acu/PA"", ""Campinas/SP"", ""Goiania/GO"", ""Ribeirao Preto/SP"", ""Rio Claro/SP"", ""Itirapina/SP"", ""Pocos De Caldas/MG""]]","doi_collectionSite"
"[""10.1016/0040-4020(95)00254-6"", ""Sao Paulo/SP""]","[""10.1016/0040-4020(95)00254-6"", [""Sao Paulo/SP"", ""Sao Carlos/SP"", ""Piracicaba/SP"", ""Campinas/SP"", ""Ribeirao Preto/SP"", ""Teodoro Sampaio/SP"", ""Araraquara/SP"", ""Iguape/SP"", ""Cunha/SP"", ""Rio Claro/SP"", ""Sao Miguel Arcanjo/SP"", ""Cordeiropolis/SP"", ""Rio De Janeiro/RJ"", ""Sao Sebastiao Do Passe/BA"", ""Recife/PE"", ""Peruibe/SP"", ""Mogi Guacu/SP"", ""Goiania/GO"", ""Itirapina/SP"", ""Corumba/MS""]]","doi_collectionSite"
