"true","restored","edge_type"
"[""10.1002/hlca.200890147"", ""Alibertia edulis (Rubiaceae)""]","[""10.1002/hlca.200890147"", [""Alibertia edulis (Rubiaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Almeidea rubra (Rutaceae)"", ""Rudgea viburnioides (Rubiaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Neoraputia alba (Rutaceae)"", ""Coussarea hydrangeifolia (Rubiaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Erythrina mulungu (Fabaceae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Raulinoa echinata (Rutaceae)"", ""Hortia superba (Rutaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Galipea bracteata (Rutaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Dalbergia riparia"", ""Ricinus communis (Euphorbiaceae)"", ""Neoraputia magnifica (Rutaceae)"", ""Swartzia langsdorfii (Fabaceae)"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Trichilia elegans (Meliaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Iryanthera juruensis (Myristicaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Citrus sinensis (Rutaceae)"", ""Piper tuberculatum (Piperaceae)"", ""Pilocarpus riedelianus"", ""Senna multijuga (Fabaceae)"", ""Senna spectabilis (Fabaceae)"", ""Vitex polygama (Verbenaceae)"", ""Angostura paniculata (Rutaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Piper hispidum (Piperaceae)"", ""Piper arboreum (Piperaceae)"", ""Citrus sp. (Rutaceae)"", ""Lantana lilacina (Verbenaceae)"", ""Maytenus ilicifolia (Celastraceae)"", ""Peperomia obtusifolia (Piperaceae)"", ""Cedrela odorata (Meliaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Piper gaudichaudianum (Piperaceae)""]]","doi_collectionSpecie"
"[""10.1002/ps.478"", ""Dimorphandra mollis""]","[""10.1002/ps.478"", [""Dimorphandra mollis"", ""Swartzia langsdorfii (Fabaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Trichilia elegans (Meliaceae)"", ""Erythrina mulungu (Fabaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Adiscanthus fusciflorus"", ""Michelia champaca (Magnoliaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Styrax camporum (Styracaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Dalbergia riparia"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Senna spectabilis (Fabaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Phomopsis cassiae (Valsaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Nectandra grandiflora (Lauraceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Phomopsis sp. (Valsaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Amorpha fruticosa"", ""Siphoneugena densiflora (Myrtaceae)"", ""Alibertia edulis (Rubiaceae)"", ""Iryanthera juruensis (Myristicaceae)"", ""Neoraputia magnifica (Rutaceae)"", ""Curvularia sp. (Pleosporaceae)"", ""Styrax ferrugineus (Styracaceae)"", ""Galipea bracteata (Rutaceae)"", ""Rudgea viburnioides (Rubiaceae)"", ""Tithonia diversifolia"", ""Metrodorea stipularis"", ""Tocoyena formosa (Rubiaceae)"", ""Chrysophyllum marginatum (Sapotaceae)"", ""Hortia superba (Rutaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Raulinoa echinata (Rutaceae)"", ""Senna multijuga (Fabaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Rapanea lancifolia (Myrsinaceae)"", ""Casearia obliqua (Flacourtiaceae)""]]","doi_collectionSpecie"
"[""10.1002/ptr.1249"", ""Maytenus aquifolium (Celastraceae)""]","[""10.1002/ptr.1249"", [""Maytenus aquifolium (Celastraceae)"", ""Maytenus ilicifolia (Celastraceae)"", ""Salacia campestris (Celastraceae)"", ""Trichilia claussenii (Meliaceae)"", ""Trichilia elegans (Meliaceae)"", ""Cedrela odorata (Meliaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Casearia obliqua (Flacourtiaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Casearia sylvestris (Flacourtiaceae)"", ""Rapanea lancifolia (Myrsinaceae)"", ""Galipea bracteata (Rutaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Siphoneugena densiflora (Myrtaceae)"", ""Ouratea multiflora (Ochnaceae)"", ""Senna spectabilis (Fabaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Adiscanthus fusciflorus"", ""Vitex polygama (Verbenaceae)"", ""Croton zehntneri (Euphorbiaceae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Tithonia diversifolia"", ""Michelia champaca (Magnoliaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Iryanthera juruensis (Myristicaceae)"", ""Cheiloclinium cognatum (Hippocrateaceae)"", ""Lantana lilacina (Verbenaceae)"", ""Hortia superba (Rutaceae)"", ""Chrysophyllum marginatum (Sapotaceae)"", ""Nectandra grandiflora (Lauraceae)"", ""Pterogyne nitens (Fabaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Cedrela fissilis"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Vochysia thyrsoidea"", ""Ottonia corcovadensis (Piperaceae)"", ""Piper crassinervium (Piperaceae)"", ""Phomopsis cassiae (Valsaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Senna multijuga (Fabaceae)"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Coussarea hydrangeifolia (Rubiaceae)"", ""Styrax camporum (Styracaceae)"", ""Peperomia obtusifolia (Piperaceae)"", ""Almeidea rubra (Rutaceae)"", ""Tocoyena formosa (Rubiaceae)""]]","doi_collectionSpecie"
"[""10.1016/0031-9422(73)85048-4"", ""Dalbergia riparia""]","[""10.1016/0031-9422(73)85048-4"", [""Dalbergia riparia"", ""Cassia spectabilis (Fabaceae)"", ""Swartzia langsdorfii (Fabaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Senna spectabilis (Fabaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Alibertia edulis (Rubiaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Erythrina mulungu (Fabaceae)"", ""Pilocarpus riedelianus"", ""Rudgea viburnioides (Rubiaceae)"", ""Styrax camporum (Styracaceae)"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Styrax ferrugineus (Styracaceae)"", ""Senna multijuga (Fabaceae)"", ""Galipea bracteata (Rutaceae)"", ""Pilocarpus grandiflorus"", ""Almeidea rubra (Rutaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Rapanea lancifolia (Myrsinaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Neoraputia alba (Rutaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Trichilia elegans (Meliaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Piper tuberculatum (Piperaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Siphoneugena densiflora (Myrtaceae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Piper gaudichaudianum (Piperaceae)"", ""Piper arboreum (Piperaceae)"", ""Cedrela odorata (Meliaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Neoraputia magnifica (Rutaceae)"", ""Phomopsis sp. (Valsaceae)"", ""Raulinoa echinata (Rutaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Lantana lilacina (Verbenaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Hortia superba (Rutaceae)"", ""Iryanthera juruensis (Myristicaceae)"", ""Esenbeckia leiocarpa""]]","doi_collectionSpecie"
"[""10.1016/0031-9422(81)80027-1"", ""Ottonia corcovadensis (Piperaceae)""]","[""10.1016/0031-9422(81)80027-1"", [""Ottonia corcovadensis (Piperaceae)"", ""Piper crassinervium (Piperaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Piper tuberculatum (Piperaceae)"", ""Piper gaudichaudianum (Piperaceae)"", ""Piper aduncum (Piperaceae)"", ""Piper hispidum (Piperaceae)"", ""Piper arboreum (Piperaceae)"", ""Piper hostmannianum (Piperaceae)"", ""Peperomia obtusifolia (Piperaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Piper solmsianum"", ""Croton zehntneri (Euphorbiaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Hortia superba (Rutaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Peperomia blanda (Piperaceae)"", ""Styrax camporum (Styracaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Ouratea multiflora (Ochnaceae)"", ""Angostura paniculata (Rutaceae)"", ""Phomopsis cassiae (Valsaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Michelia champaca (Magnoliaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Maytenus ilicifolia (Celastraceae)"", ""Casearia obliqua (Flacourtiaceae)"", ""Anacardium occidentale (Anacardiaceae)"", ""Phomopsis sp. (Valsaceae)"", ""Almeidea rubra (Rutaceae)"", ""Ricinus communis (Euphorbiaceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Rudgea viburnioides (Rubiaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Swartzia langsdorfii (Fabaceae)"", ""Tithonia diversifolia"", ""Chrysophyllum marginatum (Sapotaceae)"", ""Neoraputia magnifica (Rutaceae)"", ""Neoraputia alba (Rutaceae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Vochysia thyrsoidea"", ""Maytenus aquifolium (Celastraceae)"", ""Cedrela odorata (Meliaceae)""]]","doi_collectionSpecie"
"[""10.1016/0031-9422(90)80024-B"", ""Galipea bracteata (Rutaceae)""]","[""10.1016/0031-9422(90)80024-B"", [""Galipea bracteata (Rutaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Neoraputia alba (Rutaceae)"", ""Raulinoa echinata (Rutaceae)"", ""Hortia superba (Rutaceae)"", ""Almeidea rubra (Rutaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Neoraputia magnifica (Rutaceae)"", ""Piper gaudichaudianum (Piperaceae)"", ""Peperomia obtusifolia (Piperaceae)"", ""Salacia campestris (Celastraceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Pilocarpus riedelianus"", ""Rudgea viburnioides (Rubiaceae)"", ""Pilocarpus grandiflorus"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Alibertia edulis (Rubiaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Piper hispidum (Piperaceae)"", ""Angostura paniculata (Rutaceae)"", ""Senna multijuga (Fabaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Coussarea hydrangeifolia (Rubiaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Peperomia blanda (Piperaceae)"", ""Iryanthera juruensis (Myristicaceae)"", ""Casearia rupestris (Salicaeae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Carapa guianensis"", ""Casearia obliqua (Flacourtiaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Piper crassinervium (Piperaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Rapanea lancifolia (Myrsinaceae)"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Vitex polygama (Verbenaceae)"", ""Michelia champaca (Magnoliaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Piper arboreum (Piperaceae)""]]","doi_collectionSpecie"
"[""10.1016/j.chroma.2009.02.066"", ""Citrus sinensis (Rutaceae)""]","[""10.1016/j.chroma.2009.02.066"", [""Citrus sinensis (Rutaceae)"", ""Citrus sp. (Rutaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Hortia superba (Rutaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Ricinus communis (Euphorbiaceae)"", ""Raulinoa echinata (Rutaceae)"", ""Angostura paniculata (Rutaceae)"", ""Rudgea viburnioides (Rubiaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Coussarea hydrangeifolia (Rubiaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Cinnamomum australe (Lauraceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Almeidea rubra (Rutaceae)"", ""Alibertia edulis (Rubiaceae)"", ""Esenbeckia leiocarpa"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Iryanthera juruensis (Myristicaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Galipea bracteata (Rutaceae)"", ""Neoraputia alba (Rutaceae)"", ""Siphoneugena densiflora (Myrtaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Neoraputia magnifica (Rutaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Croton zehntneri (Euphorbiaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Pilocarpus riedelianus"", ""Cassia leptophylla (Fabaceae)"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Pilocarpus grandiflorus"", ""Swartzia langsdorfii (Fabaceae)"", ""Chrysophyllum marginatum (Sapotaceae)"", ""Rapanea lancifolia (Myrsinaceae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Vitex polygama (Verbenaceae)"", ""Piper hispidum (Piperaceae)"", ""Carapa guianensis"", ""Casearia sylvestris (Flacourtiaceae)"", ""Anacardium occidentale (Anacardiaceae)"", ""Piper crassinervium (Piperaceae)"", ""Murraya paniculata"", ""Casearia rupestris (Salicaeae)"", ""Senna multijuga (Fabaceae)""]]","doi_collectionSpecie"
"[""10.1016/j.jchromb.2012.07.013"", ""Zingiber officinale""]","[""10.1016/j.jchromb.2012.07.013"", [""Zingiber officinale"", ""Cinnamomum australe (Lauraceae)"", ""Citrus sinensis (Rutaceae)"", ""Piper aduncum (Piperaceae)"", ""Piper tuberculatum (Piperaceae)"", ""Piper hispidum (Piperaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Piper gaudichaudianum (Piperaceae)"", ""Peperomia obtusifolia (Piperaceae)"", ""Piper arboreum (Piperaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Ottonia corcovadensis (Piperaceae)"", ""Trichilia elegans (Meliaceae)"", ""Croton zehntneri (Euphorbiaceae)"", ""Piper crassinervium (Piperaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Alibertia edulis (Rubiaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Rudgea viburnioides (Rubiaceae)"", ""Ricinus communis (Euphorbiaceae)"", ""Vitex polygama (Verbenaceae)"", ""Angostura paniculata (Rutaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Cedrela odorata (Meliaceae)"", ""Coussarea hydrangeifolia (Rubiaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Piper hostmannianum (Piperaceae)"", ""Swartzia langsdorfii (Fabaceae)"", ""Esenbeckia leiocarpa"", ""Stemodia foliosa (Scrophulariaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Peperomia blanda (Piperaceae)"", ""Dalbergia riparia"", ""Alibertia macrophylla (Rubiaceae)"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Cedrela fissilis"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Citrus sp. (Rutaceae)"", ""Vochysia thyrsoidea"", ""Siphoneugena densiflora (Myrtaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Styrax ferrugineus (Styracaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Anacardium occidentale (Anacardiaceae)"", ""Maytenus ilicifolia (Celastraceae)"", ""Pilocarpus spicatus (Rutaceae)""]]","doi_collectionSpecie"
"[""10.1016/j.jpba.2012.08.028"", ""Piper solmsianum""]","[""10.1016/j.jpba.2012.08.028"", [""Iryanthera juruensis (Myristicaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Rapanea lancifolia (Myrsinaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Lantana lilacina (Verbenaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Croton zehntneri (Euphorbiaceae)"", ""Siphoneugena densiflora (Myrtaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Angostura paniculata (Rutaceae)"", ""Vitex polygama (Verbenaceae)"", ""Galipea bracteata (Rutaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Rudgea viburnioides (Rubiaceae)"", ""Ricinus communis (Euphorbiaceae)"", ""Carapa guianensis"", ""Casearia sylvestris (Flacourtiaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Hortia superba (Rutaceae)"", ""Alibertia edulis (Rubiaceae)"", ""Styrax ferrugineus (Styracaceae)"", ""Raulinoa echinata (Rutaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Chrysophyllum marginatum (Sapotaceae)"", ""Cinnamomum australe (Lauraceae)"", ""Pilocarpus riedelianus"", ""Alibertia sessilis (Rubiaceae)"", ""Citrus sp. (Rutaceae)"", ""Citrus sinensis (Rutaceae)"", ""Vochysia thyrsoidea"", ""Cedrela odorata (Meliaceae)"", ""Swartzia langsdorfii (Fabaceae)"", ""Erythrina mulungu (Fabaceae)"", ""Dimorphandra mollis"", ""Pilocarpus grandiflorus"", ""Styrax camporum (Styracaceae)"", ""Dalbergia riparia"", ""Alibertia macrophylla (Rubiaceae)"", ""Neoraputia alba (Rutaceae)"", ""Coussarea hydrangeifolia (Rubiaceae)"", ""Stemodia foliosa (Scrophulariaceae)""]]","doi_collectionSpecie"
"[""10.1016/j.jphotobiol.2013.01.006"", ""Balfourodendron riedelianum (Rutaceae)""]","[""10.1016/j.jphotobiol.2013.01.006"", [""Balfourodendron riedelianum (Rutaceae)"", ""Raulinoa echinata (Rutaceae)"", ""Alibertia edulis (Rubiaceae)"", ""Almeidea rubra (Rutaceae)"", ""Rudgea viburnioides (Rubiaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Neoraputia alba (Rutaceae)"", ""Hortia superba (Rutaceae)"", ""Pilocarpus riedelianus"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Galipea bracteata (Rutaceae)"", ""Swartzia langsdorfii (Fabaceae)"", ""Neoraputia magnifica (Rutaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Dalbergia riparia"", ""Chimarrhis turbinata (Rubiaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Erythrina mulungu (Fabaceae)"", ""Angostura paniculata (Rutaceae)"", ""Iryanthera juruensis (Myristicaceae)"", ""Citrus sinensis (Rutaceae)"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Coussarea hydrangeifolia (Rubiaceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Piper gaudichaudianum (Piperaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Adiscanthus fusciflorus"", ""Senna spectabilis (Fabaceae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Lantana lilacina (Verbenaceae)"", ""Croton zehntneri (Euphorbiaceae)"", ""Styrax ferrugineus (Styracaceae)"", ""Maytenus ilicifolia (Celastraceae)"", ""Styrax camporum (Styracaceae)"", ""Pilocarpus grandiflorus"", ""Casearia sylvestris (Flacourtiaceae)"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Cedrela odorata (Meliaceae)"", ""Rapanea lancifolia (Myrsinaceae)"", ""Ricinus communis (Euphorbiaceae)"", ""Piper crassinervium (Piperaceae)""]]","doi_collectionSpecie"
