"true","restored","edge_type"
"[""10.1002/cbdv.200800342"", ""Plant Isolated""]","[""10.1002/cbdv.200800342"", [""Plant Isolated""]]","doi_collectionType"
"[""10.1016/j.phytochem.2007.08.012"", ""Plant Isolated""]","[""10.1016/j.phytochem.2007.08.012"", [""Plant Isolated""]]","doi_collectionType"
"[""10.1016/j.phytochem.2008.01.006"", ""Plant Isolated""]","[""10.1016/j.phytochem.2008.01.006"", [""Plant Isolated""]]","doi_collectionType"
"[""10.1016/j.phytochem.2009.08.013"", ""Plant Isolated""]","[""10.1016/j.phytochem.2009.08.013"", [""Plant Isolated""]]","doi_collectionType"
"[""10.1016/j.tiv.2008.01.003"", ""Plant Isolated""]","[""10.1016/j.tiv.2008.01.003"", [""Plant Isolated""]]","doi_collectionType"
"[""10.1016/S0014-5793(02)02700-X"", ""Plant Isolated""]","[""10.1016/S0014-5793(02)02700-X"", [""Plant Isolated""]]","doi_collectionType"
"[""10.1016/S0031-9422(01)00431-9"", ""Plant Isolated""]","[""10.1016/S0031-9422(01)00431-9"", [""Plant Isolated""]]","doi_collectionType"
"[""10.1016/S0031-9422(98)00249-0"", ""Plant Isolated""]","[""10.1016/S0031-9422(98)00249-0"", [""Plant Isolated""]]","doi_collectionType"
"[""10.1016/S0031-9422(99)00132-6"", ""Plant Isolated""]","[""10.1016/S0031-9422(99)00132-6"", [""Plant Isolated""]]","doi_collectionType"
"[""10.1021/cc100076k"", ""Plant Isolated""]","[""10.1021/cc100076k"", [""Plant Isolated""]]","doi_collectionType"
"[""10.1021/np049863m"", ""Plant Isolated""]","[""10.1021/np049863m"", [""Plant Isolated""]]","doi_collectionType"
"[""10.1055/s-0034-1368301"", ""Microorganism isolated""]","[""10.1055/s-0034-1368301"", [""Microorganism isolated""]]","doi_collectionType"
"[""10.1080/14786410600907002"", ""Plant Isolated""]","[""10.1080/14786410600907002"", [""Plant Isolated""]]","doi_collectionType"
"[""10.1080/14786410802243271"", ""Plant Isolated""]","[""10.1080/14786410802243271"", [""Plant Isolated""]]","doi_collectionType"
"[""10.1515/znb-2005-0715"", ""Plant Isolated""]","[""10.1515/znb-2005-0715"", [""Plant Isolated""]]","doi_collectionType"
"[""10.1515/znc-2009-11-1212"", ""Microorganism isolated""]","[""10.1515/znc-2009-11-1212"", [""Microorganism isolated""]]","doi_collectionType"
"[""10.1590/S0073-47212009000100009"", ""Plant Isolated""]","[""10.1590/S0073-47212009000100009"", [""Plant Isolated""]]","doi_collectionType"
"[""10.1590/S0100-40422005000600011"", ""Microorganism isolated""]","[""10.1590/S0100-40422005000600011"", [""Microorganism isolated""]]","doi_collectionType"
"[""10.1590/S0100-40422006000300016"", ""Plant Isolated""]","[""10.1590/S0100-40422006000300016"", [""Plant Isolated""]]","doi_collectionType"
"[""10.1590/S0100-40422008000400018"", ""Plant Isolated""]","[""10.1590/S0100-40422008000400018"", [""Plant Isolated""]]","doi_collectionType"
"[""10.1590/S0102-695X2009000100002"", ""Plant Isolated""]","[""10.1590/S0102-695X2009000100002"", [""Plant Isolated""]]","doi_collectionType"
"[""10.1590/S0103-50532002000100019"", ""Plant Isolated""]","[""10.1590/S0103-50532002000100019"", [""Plant Isolated""]]","doi_collectionType"
"[""10.1590/S0103-50532005000400031"", ""Plant Isolated""]","[""10.1590/S0103-50532005000400031"", [""Plant Isolated""]]","doi_collectionType"
"[""10.1590/S0103-50532009000100029"", ""Biotransformation Product""]","[""10.1590/S0103-50532009000100029"", [""Microorganism isolated""]]","doi_collectionType"
"[""10.1590/S0103-50532009000400008"", ""Plant Isolated""]","[""10.1590/S0103-50532009000400008"", [""Plant Isolated""]]","doi_collectionType"
"[""10.1590/S0103-50532010000500016"", ""Plant Isolated""]","[""10.1590/S0103-50532010000500016"", [""Plant Isolated""]]","doi_collectionType"
"[""10.5935/0103-5053.19930018"", ""Plant Isolated""]","[""10.5935/0103-5053.19930018"", [""Plant Isolated""]]","doi_collectionType"
