"true","restored","edge_type"
"[""10.1016/j.tiv.2008.01.003"", ""Anticancer""]","[""10.1016/j.tiv.2008.01.003"", [""Anticancer"", ""Antimalarial"", ""Antitrypanosomal"", ""Anti-inflamatory"", ""Antioxidant""]]","doi_bioActivity"
"[""10.1021/np1007476"", ""Antioxidant""]","[""10.1021/np1007476"", [""Antioxidant"", ""Antichagasic"", ""Inhibition of Acetylcholinesterase"", ""Antitrypanosomal"", ""Anticancer""]]","doi_bioActivity"
"[""10.1021/np1007476"", ""Inhibition of Acetylcholinesterase""]","[""10.1021/np1007476"", [""Antioxidant"", ""Antichagasic"", ""Inhibition of Acetylcholinesterase"", ""Antitrypanosomal"", ""Anticancer""]]","doi_bioActivity"
"[""10.1016/S0031-9422(01)00431-9"", ""Antifungal""]","[""10.1016/S0031-9422(01)00431-9"", [""Antifungal"", ""Antibacterial"", ""Antileishmanial"", ""Antitrypanosomal"", ""Antimalarial""]]","doi_bioActivity"
"[""10.1248/bpb.31.538"", ""Antitrypanosomal""]","[""10.1248/bpb.31.538"", [""Antitrypanosomal"", ""Antifungal"", ""Antimalarial"", ""Anticancer"", ""Antileishmanial""]]","doi_bioActivity"
"[""10.1007/s10295-012-1165-2"", ""Cytotoxic""]","[""10.1007/s10295-012-1165-2"", [""Antimalarial"", ""Antitrypanosomal"", ""Anticancer"", ""Cytotoxic"", ""Antibacterial""]]","doi_bioActivity"
"[""10.1016/0031-9422(73)85048-4"", ""Antitrypanosomal""]","[""10.1016/0031-9422(73)85048-4"", [""Antifungal"", ""Antiviral"", ""Antibacterial"", ""Anticancer"", ""Antimalarial""]]","doi_bioActivity"
"[""10.1590/s0100-40422008000700015"", ""Cytotoxic""]","[""10.1590/s0100-40422008000700015"", [""Antibacterial"", ""Anticancer"", ""Antifungal"", ""Antiviral"", ""Cytotoxic""]]","doi_bioActivity"
"[""10.1107/S1600536803019913"", ""Antileishmanial""]","[""10.1107/S1600536803019913"", [""Inhibition of ATP synthesis"", ""Inhibition of Protease"", ""Inhibition of Cathepsin L"", ""Inhibition of Myeloperoxodase"", ""Inhibition of phosphorylating electron transport""]]","doi_bioActivity"
"[""10.1590/S0102-695X2010005000017"", ""Antiangiogenic""]","[""10.1590/S0102-695X2010005000017"", [""Inhibition of Myeloperoxodase"", ""Antifungal"", ""Anticancer"", ""Antibacterial"", ""Antioxidant""]]","doi_bioActivity"
"[""10.1590/S0102-695X2010005000017"", ""Cytotoxic""]","[""10.1590/S0102-695X2010005000017"", [""Antifungal"", ""Antibacterial"", ""Anticancer"", ""Inhibition of Myeloperoxodase"", ""Antiviral""]]","doi_bioActivity"
"[""10.1590/S0102-695X2010005000017"", ""Antifungal""]","[""10.1590/S0102-695X2010005000017"", [""Antifungal"", ""Antibacterial"", ""Anticancer"", ""Antiviral"", ""Antitrypanosomal""]]","doi_bioActivity"
"[""10.1016/j.bmc.2010.12.056"", ""Inhibition of Cathepsin V""]","[""10.1016/j.bmc.2010.12.056"", [""Inhibition of Cathepsin V"", ""Inhibition of Cathepsin L"", ""Inhibition of Cathepsin B"", ""Inhibition of Protease"", ""Antiviral""]]","doi_bioActivity"
"[""10.1016/j.phytochem.2006.09.005"", ""Cytotoxic""]","[""10.1016/j.phytochem.2006.09.005"", [""Antifungal"", ""Anticancer"", ""Cell growth inhbition"", ""Antimalarial"", ""Antibacterial""]]","doi_bioActivity"
"[""10.1016/j.phytochem.2006.09.005"", ""Antifungal""]","[""10.1016/j.phytochem.2006.09.005"", [""Antifungal"", ""Anticancer"", ""Cell growth inhbition"", ""Antimalarial"", ""Antibacterial""]]","doi_bioActivity"
