"true","restored","edge_type"
"[""10.1021/np1007476"", ""Antioxidant""]","[""10.1021/np1007476"", [""Antioxidant"", ""Antichagasic"", ""Inhibition of Acetylcholinesterase"", ""Antitrypanosomal"", ""Anticancer""]]","doi_bioActivity"
"[""10.1021/np1007476"", ""Inhibition of Acetylcholinesterase""]","[""10.1021/np1007476"", [""Antioxidant"", ""Antichagasic"", ""Inhibition of Acetylcholinesterase"", ""Antitrypanosomal"", ""Anticancer""]]","doi_bioActivity"
"[""10.1016/S0031-9422(01)00431-9"", ""Antifungal""]","[""10.1016/S0031-9422(01)00431-9"", [""Antifungal"", ""Antibacterial"", ""Antitrypanosomal"", ""Antileishmanial"", ""Antiviral""]]","doi_bioActivity"
"[""10.1248/bpb.31.538"", ""Antitrypanosomal""]","[""10.1248/bpb.31.538"", [""Antitrypanosomal"", ""Antifungal"", ""Antimalarial"", ""Anticancer"", ""Antileishmanial""]]","doi_bioActivity"
"[""10.1107/S1600536803019913"", ""Antileishmanial""]","[""10.1107/S1600536803019913"", [""Inhibition of ATP synthesis"", ""Inhibition of Protease"", ""Inhibition of phosphorylating electron transport"", ""Antitrypanosomal"", ""Inhibition of Cathepsin L""]]","doi_bioActivity"
"[""10.1016/0031-9422(81)80027-1"", ""Anesthetic""]","[""10.1016/0031-9422(81)80027-1"", [""Anesthetic"", ""Anxiolytic"", ""Antinociceptive"", ""Antichagasic"", ""Antibacterial""]]","doi_bioActivity"
"[""10.1590/S0103-50532005000800025"", ""Inhibition of Acetylcholinesterase""]","[""10.1590/S0103-50532005000800025"", [""Insecticidal"", ""Antifungal"", ""Antileishmanial"", ""Antichagasic"", ""Molluscicidal""]]","doi_bioActivity"
"[""10.1590/S0103-50532005000800025"", ""Antifungal""]","[""10.1590/S0103-50532005000800025"", [""Insecticidal"", ""Antifungal"", ""Antileishmanial"", ""Antichagasic"", ""Molluscicidal""]]","doi_bioActivity"
"[""10.1002/hlca.200890147"", ""Antifungal""]","[""10.1002/hlca.200890147"", [""Antifungal"", ""Antibacterial"", ""Antitrypanosomal"", ""Antiallergenic"", ""Antiviral""]]","doi_bioActivity"
"[""10.1002/cbdv.200800342"", ""Cytotoxic""]","[""10.1002/cbdv.200800342"", [""Anticancer"", ""Antimalarial"", ""Antitrypanosomal"", ""Antifungal"", ""Antileishmanial""]]","doi_bioActivity"
"[""10.1016/S0031-9422(00)00477-5"", ""Antioxidant""]","[""10.1016/S0031-9422(00)00477-5"", [""Anticancer"", ""Antioxidant"", ""Anti-inflamatory"", ""Antimalarial"", ""Antiangiogenic""]]","doi_bioActivity"
"[""10.1016/S0031-9422(98)00069-7"", ""Inhibition of Glycosidase""]","[""10.1016/S0031-9422(98)00069-7"", [""Anticancer"", ""Antioxidant"", ""Antiviral"", ""Antimalarial"", ""Inhibition of Protease""]]","doi_bioActivity"
"[""10.1590/S0100-40422002000300002"", ""Cytotoxic""]","[""10.1590/S0100-40422002000300002"", [""Antifungal"", ""Inhibition of Glycosidase"", ""Antiviral"", ""Genotoxic"", ""Inhibition of Protease""]]","doi_bioActivity"
