"true","restored","edge_type"
"[""10.1016/S0031-9422(01)00431-9"", ""Antifungal""]","[""10.1016/S0031-9422(01)00431-9"", [""Antifungal"", ""Antibacterial"", ""Antileishmanial"", ""Antitrypanosomal"", ""Antimalarial""]]","doi_bioActivity"
"[""10.1248/bpb.31.538"", ""Antitrypanosomal""]","[""10.1248/bpb.31.538"", [""Antitrypanosomal"", ""Antifungal"", ""Antimalarial"", ""Anticancer"", ""Antileishmanial""]]","doi_bioActivity"
"[""10.1590/S0103-50532005000800025"", ""Inhibition of Acetylcholinesterase""]","[""10.1590/S0103-50532005000800025"", [""Insecticidal"", ""Antileishmanial"", ""Antifungal"", ""Insect antennae response"", ""Antitrypanosomal""]]","doi_bioActivity"
"[""10.1590/S0103-50532005000800025"", ""Antifungal""]","[""10.1590/S0103-50532005000800025"", [""Insecticidal"", ""Antifungal"", ""Antileishmanial"", ""Antichagasic"", ""Molluscicidal""]]","doi_bioActivity"
"[""10.1002/cbdv.200800342"", ""Cytotoxic""]","[""10.1002/cbdv.200800342"", [""Anticancer"", ""Antimalarial"", ""Antitrypanosomal"", ""Antifungal"", ""Antileishmanial""]]","doi_bioActivity"
"[""10.1590/S0100-40422002000300002"", ""Cytotoxic""]","[""10.1590/S0100-40422002000300002"", [""Antifungal"", ""Anticancer"", ""Genotoxic"", ""Mutagenic"", ""Antiviral""]]","doi_bioActivity"
"[""10.1055/s-2002-36346"", ""Antibacterial""]","[""10.1055/s-2002-36346"", [""Antibacterial"", ""Antifungal"", ""Insecticidal"", ""Antiviral"", ""Antitrypanosomal""]]","doi_bioActivity"
"[""10.1590/S0102-695X2007000300003"", ""Antioxidant""]","[""10.1590/S0102-695X2007000300003"", [""Antibacterial"", ""Anticancer"", ""Antioxidant"", ""Inhibition of Cathepsin B"", ""Antifungal""]]","doi_bioActivity"
"[""10.4067/S0717-97072009000300004"", ""Inhibition of Glycosidase""]","[""10.4067/S0717-97072009000300004"", [""Anticancer"", ""Antioxidant"", ""Antiviral"", ""Antimalarial"", ""Inhibition of Protease""]]","doi_bioActivity"
"[""10.1021/np0303963"", ""Cytotoxic""]","[""10.1021/np0303963"", [""Genotoxic"", ""Mutagenic"", ""Cytotoxic"", ""Anticancer"", ""Inhibition of Myeloperoxodase""]]","doi_bioActivity"
"[""10.1590/S0103-50532003000500012"", ""Antioxidant""]","[""10.1590/S0103-50532003000500012"", [""Antioxidant"", ""Anti-inflamatory"", ""Anticancer"", ""Antiallergenic"", ""Antinociceptive""]]","doi_bioActivity"
"[""10.1590/S0103-50532002000100019"", ""Insecticidal""]","[""10.1590/S0103-50532002000100019"", [""Insecticidal"", ""Antioxidant"", ""Antileishmanial"", ""Anticancer"", ""Antitrypanosomal""]]","doi_bioActivity"
"[""10.1248/cpb.56.723"", ""Inhibition of Glycosidase""]","[""10.1248/cpb.56.723"", [""Inhibition of Myeloperoxodase"", ""Antioxidant"", ""Antibacterial"", ""Inhibition of phosphorylating electron transport"", ""Inhibition of basal electron transport""]]","doi_bioActivity"
"[""10.1248/cpb.56.723"", ""Inhibition of Myeloperoxodase""]","[""10.1248/cpb.56.723"", [""Inhibition of Myeloperoxodase"", ""Antioxidant"", ""Antibacterial"", ""Inhibition of phosphorylating electron transport"", ""Inhibition of basal electron transport""]]","doi_bioActivity"
"[""10.1080/14786410903335232"", ""Anticancer""]","[""10.1080/14786410903335232"", [""Anti-inflamatory"", ""Anticancer"", ""Antioxidant"", ""Antinociceptive"", ""Antiviral""]]","doi_bioActivity"
"[""10.5935/0103-5053.19960024"", ""Antifungal""]","[""10.5935/0103-5053.19960024"", [""Antifungal"", ""Antibacterial"", ""Cell growth inhbition"", ""Insecticidal"", ""Anticancer""]]","doi_bioActivity"
"[""10.1002/ps.1278"", ""Insecticidal""]","[""10.1002/ps.1278"", [""Insecticidal"", ""Insect antennae response"", ""Molluscicidal"", ""Antifungal"", ""Antileishmanial""]]","doi_bioActivity"
"[""10.1155/2013/835081"", ""Antifungal""]","[""10.1155/2013/835081"", [""Antifungal"", ""Antibacterial"", ""Antiviral"", ""Antitrypanosomal"", ""Antioxidant""]]","doi_bioActivity"
"[""10.1016/S0031-9422(97)00238-0"", ""Antifungal""]","[""10.1016/S0031-9422(97)00238-0"", [""Antifungal"", ""Antiviral"", ""Antibacterial"", ""Antimalarial"", ""Anticancer""]]","doi_bioActivity"
"[""10.1016/S0031-9422(97)00238-0"", ""Antioxidant""]","[""10.1016/S0031-9422(97)00238-0"", [""Antifungal"", ""Antiviral"", ""Antibacterial"", ""Antimalarial"", ""Anticancer""]]","doi_bioActivity"
"[""10.1016/S0031-9422(97)00598-0"", ""Antitrypanosomal""]","[""10.1016/S0031-9422(97)00598-0"", [""Anticancer"", ""Antioxidant"", ""Antiviral"", ""Antimalarial"", ""Inhibition of Protease""]]","doi_bioActivity"
"[""10.1021/np060254j"", ""Anxiolytic""]","[""10.1021/np060254j"", [""Anxiolytic"", ""Anesthetic"", ""Antinociceptive"", ""Inhibition of Acetylcholinesterase"", ""Antichagasic""]]","doi_bioActivity"
"[""10.1590/S0100-40421998000600005"", ""Antifungal""]","[""10.1590/S0100-40421998000600005"", [""Antifungal"", ""Antitrypanosomal"", ""Antimalarial"", ""Antileishmanial"", ""Anticancer""]]","doi_bioActivity"
"[""10.1021/np9704617"", ""Antifungal""]","[""10.1021/np9704617"", [""Antifungal"", ""Antibacterial"", ""Antitrypanosomal"", ""Antimalarial"", ""Antiviral""]]","doi_bioActivity"
"[""10.1016/j.chroma.2009.02.066"", ""Antifungal""]","[""10.1016/j.chroma.2009.02.066"", [""Antifungal"", ""Antibacterial"", ""Anticancer"", ""Antiviral"", ""Antitrypanosomal""]]","doi_bioActivity"
"[""10.1016/j.micres.2004.06.003"", ""Antibacterial""]","[""10.1016/j.micres.2004.06.003"", [""Antibacterial"", ""Antifungal"", ""Insecticidal"", ""Antiviral"", ""Anti-inflamatory""]]","doi_bioActivity"
"[""10.1021/jf00030a035"", ""Anticancer""]","[""10.1021/jf00030a035"", [""Anticancer"", ""Cytotoxic"", ""Inhibition of Cathepsin B"", ""Genotoxic"", ""Antibacterial""]]","doi_bioActivity"
"[""10.1021/jf00030a035"", ""Cytotoxic""]","[""10.1021/jf00030a035"", [""Anticancer"", ""Cytotoxic"", ""Inhibition of Cathepsin B"", ""Genotoxic"", ""Antibacterial""]]","doi_bioActivity"
"[""10.1590/S1519-566X2008000600013"", ""Insecticidal""]","[""10.1590/S1519-566X2008000600013"", [""Insecticidal"", ""Insect antennae response"", ""Molluscicidal"", ""Antitrypanosomal"", ""Antimalarial""]]","doi_bioActivity"
"[""10.1590/S0100-40422006000300016"", ""Antioxidant""]","[""10.1590/S0100-40422006000300016"", [""Antioxidant"", ""Anticancer"", ""Anti-inflamatory"", ""Antiallergenic"", ""Antiviral""]]","doi_bioActivity"
"[""10.1016/S0031-9422(03)00153-5"", ""Antitrypanosomal""]","[""10.1016/S0031-9422(03)00153-5"", [""Antitrypanosomal"", ""Antimalarial"", ""Antileishmanial"", ""Antichagasic"", ""Antifungal""]]","doi_bioActivity"
"[""10.1590/S0103-50532005000400031"", ""Insecticidal""]","[""10.1590/S0103-50532005000400031"", [""Insecticidal"", ""Molluscicidal"", ""Antifungal"", ""Antimalarial"", ""Antibacterial""]]","doi_bioActivity"
"[""10.1107/S160053680302107X"", ""Antileishmanial""]","[""10.1107/S160053680302107X"", [""Inhibition of ATP synthesis"", ""Inhibition of Protease"", ""Inhibition of Cathepsin L"", ""Inhibition of Myeloperoxodase"", ""Antitrypanosomal""]]","doi_bioActivity"
