"true","restored","edge_type"
"[""10.1016/j.tiv.2008.01.003"", ""Ribeirao Preto/SP""]","[""10.1016/j.tiv.2008.01.003"", [""Mogi Guacu/SP"", ""Teodoro Sampaio/SP"", ""Urucuca/BA"", ""N/A/ES"", ""Pocos De Caldas/MG"", ""Igarape-acu/PA"", ""Chapada Dos Guimaraes/MT"", ""N/A/AM"", ""Lavras/MG"", ""Vicosa/MG"", ""N/A/MS"", ""Belem/PA"", ""Cunha/SP"", ""Santarem/PA"", ""Rifaina/SP"", ""Recife/PE"", ""Campinas/SP"", ""Sao Paulo/SP"", ""Corumba/MS"", ""Cordeiropolis/SP""]]","doi_collectionSite"
"[""10.1021/np1007476"", ""Belem/PA""]","[""10.1021/np1007476"", [""Belem/PA"", ""Recife/PE"", ""Santarem/PA"", ""Itaituba/PA"", ""Ribeirao Preto/SP"", ""Sao Paulo/SP"", ""Teodoro Sampaio/SP"", ""Rio Claro/SP"", ""Rio De Janeiro/RJ"", ""Chapada Dos Guimaraes/MT"", ""Campinas/SP"", ""Sao Sebastiao Do Passe/BA"", ""Araraquara/SP"", ""Pirenopolis/GO"", ""Sao Carlos/SP"", ""Cordeiropolis/SP"", ""Piracicaba/SP"", ""Igarape-acu/PA"", ""Manaus/AM"", ""Iguape/SP""]]","doi_collectionSite"
"[""10.1107/S1600536803019913"", ""Manaus/AM""]","[""10.1107/S1600536803019913"", [""Manaus/AM"", ""Itacoatiara/AM"", ""Itaituba/PA"", ""Chapada Dos Guimaraes/MT"", ""Araraquara/SP"", ""Corumba/MS"", ""Sao Carlos/SP"", ""Rio De Janeiro/RJ"", ""Sao Sebastiao Do Passe/BA"", ""Piracicaba/SP"", ""Ribeirao Preto/SP"", ""Recife/PE"", ""Campinas/SP"", ""Cuiaba/MT"", ""Sao Paulo/SP"", ""Santarem/PA"", ""Mogi Guacu/SP"", ""Goiania/GO"", ""Teodoro Sampaio/SP"", ""Cordeiropolis/SP""]]","doi_collectionSite"
"[""10.1016/j.bmc.2010.12.056"", ""Campinas/SP""]","[""10.1016/j.bmc.2010.12.056"", [""Mogi Guacu/SP"", ""Teodoro Sampaio/SP"", ""Urucuca/BA"", ""N/A/ES"", ""Pocos De Caldas/MG"", ""Igarape-acu/PA"", ""Chapada Dos Guimaraes/MT"", ""N/A/AM"", ""Lavras/MG"", ""Vicosa/MG"", ""N/A/MS"", ""Belem/PA"", ""Cunha/SP"", ""Santarem/PA"", ""Rifaina/SP"", ""Recife/PE"", ""Campinas/SP"", ""Sao Paulo/SP"", ""Corumba/MS"", ""Cordeiropolis/SP""]]","doi_collectionSite"
"[""10.1016/j.phytochem.2006.09.005"", ""Araraquara/SP""]","[""10.1016/j.phytochem.2006.09.005"", [""Araraquara/SP"", ""Sao Paulo/SP"", ""Piracicaba/SP"", ""Sao Carlos/SP"", ""Campinas/SP"", ""Rio Claro/SP"", ""Ribeirao Preto/SP"", ""Teodoro Sampaio/SP"", ""Iguape/SP"", ""Sao Miguel Arcanjo/SP"", ""Sao Sebastiao Do Passe/BA"", ""Igarape-acu/PA"", ""Cordeiropolis/SP"", ""Ribeirao Preto/SP, Nigrospora sphaerica"", ""Itacoatiara/AM"", ""Cunha/SP"", ""Santarem/PA"", ""Mogi Guacu/SP"", ""Chapada Dos Guimaraes/MT"", ""Itaituba/PA""]]","doi_collectionSite"
"[""10.1021/np9004079"", ""Campinas/SP""]","[""10.1021/np9004079"", [""Campinas/SP"", ""Sao Paulo/SP"", ""Piracicaba/SP"", ""Sao Carlos/SP"", ""Teodoro Sampaio/SP"", ""Rio Claro/SP"", ""Ribeirao Preto/SP"", ""Araraquara/SP"", ""Iguape/SP"", ""Cordeiropolis/SP"", ""Sao Sebastiao Do Passe/BA"", ""Cunha/SP"", ""Pirenopolis/GO"", ""Sao Miguel Arcanjo/SP"", ""Mogi Guacu/SP"", ""Belem/PA"", ""Santarem/PA"", ""Corumba/MS"", ""Ribeirao Preto/SP, Nigrospora sphaerica"", ""Chapada Dos Guimaraes/MT""]]","doi_collectionSite"
"[""10.1590/S0103-50532005000800025"", ""Ibirama/SC""]","[""10.1590/S0103-50532005000800025"", [""Ibirama/SC"", ""Ribeirao Preto/SP"", ""Araraquara/SP"", ""Iguape/SP"", ""Piracicaba/SP"", ""Igarape-acu/PA"", ""Recife/PE"", ""Itaituba/PA"", ""Sao Sebastiao Do Passe/BA"", ""Ribeirao Preto/SP, Nigrospora sphaerica"", ""Chapada Dos Guimaraes/MT"", ""Rio De Janeiro/RJ"", ""Rio Claro/SP"", ""Corumba/MS"", ""Sao Carlos/SP"", ""Sao Paulo/SP"", ""Santarem/PA"", ""Mogi Guacu/SP"", ""Campinas/SP"", ""Teodoro Sampaio/SP""]]","doi_collectionSite"
"[""10.1021/np800106x"", ""Recife/PE""]","[""10.1021/np800106x"", [""Recife/PE"", ""Chapada Dos Guimaraes/MT"", ""Rio De Janeiro/RJ"", ""Ribeirao Preto/SP"", ""Piracicaba/SP"", ""Sao Sebastiao Do Passe/BA"", ""Igarape-acu/PA"", ""Iguape/SP"", ""Araraquara/SP"", ""Sao Paulo/SP"", ""Campinas/SP"", ""Rio Claro/SP"", ""Itaituba/PA"", ""Teodoro Sampaio/SP"", ""Manaus/AM"", ""Vicosa/MG"", ""Cordeiropolis/SP"", ""Goiania/GO"", ""Belem/PA"", ""Mogi Guacu/SP""]]","doi_collectionSite"
"[""10.1515/znc-2009-11-1212"", ""Mogi Guacu/SP""]","[""10.1515/znc-2009-11-1212"", [""Mogi Guacu/SP"", ""Campinas/SP"", ""Piracicaba/SP"", ""Araraquara/SP"", ""Chapada Dos Guimaraes/MT"", ""Iguape/SP"", ""Teodoro Sampaio/SP"", ""Sao Paulo/SP"", ""Vicosa/MG"", ""Pocos De Caldas/MG, Lonchocarpus atropurpureus"", ""Ribeirao Preto/SP, Nigrospora sphaerica"", ""Rio Claro/SP"", ""Ribeirao Preto/SP"", ""Sao Carlos/SP"", ""Itaituba/PA"", ""Igarape-acu/PA"", ""Cordeiropolis/SP"", ""Goiania/GO"", ""Cunha/SP"", ""Sao Sebastiao Do Passe/BA""]]","doi_collectionSite"
"[""10.1016/S0031-9422(00)00225-9"", ""Mogi Guacu/SP""]","[""10.1016/S0031-9422(00)00225-9"", [""Mogi Guacu/SP"", ""Campinas/SP"", ""Iguape/SP"", ""Chapada Dos Guimaraes/MT"", ""Araraquara/SP"", ""Piracicaba/SP"", ""Teodoro Sampaio/SP"", ""Sao Paulo/SP"", ""Cordeiropolis/SP"", ""Sao Miguel Arcanjo/SP"", ""Ribeirao Preto/SP"", ""Rio Claro/SP"", ""Cunha/SP"", ""Sao Carlos/SP"", ""Pocos De Caldas/MG"", ""Ribeirao Preto/SP, Nigrospora sphaerica"", ""Vicosa/MG"", ""Pocos De Caldas/MG, Lonchocarpus atropurpureus"", ""Goiania/GO"", ""Itaituba/PA""]]","doi_collectionSite"
