"true","restored","edge_type"
"[""10.1021/np1007476"", ""Belem/PA""]","[""10.1021/np1007476"", [""Belem/PA"", ""Recife/PE"", ""Santarem/PA"", ""Itaituba/PA"", ""Ribeirao Preto/SP"", ""Sao Paulo/SP"", ""Teodoro Sampaio/SP"", ""Rio Claro/SP"", ""Rio De Janeiro/RJ"", ""Chapada Dos Guimaraes/MT"", ""Campinas/SP"", ""Sao Sebastiao Do Passe/BA"", ""Araraquara/SP"", ""Sao Carlos/SP"", ""Pirenopolis/GO"", ""Cordeiropolis/SP"", ""Piracicaba/SP"", ""Igarape-acu/PA"", ""Manaus/AM"", ""Iguape/SP""]]","doi_collectionSite"
"[""10.1107/S1600536803019913"", ""Manaus/AM""]","[""10.1107/S1600536803019913"", [""Manaus/AM"", ""Itacoatiara/AM"", ""Itaituba/PA"", ""Chapada Dos Guimaraes/MT"", ""Araraquara/SP"", ""Corumba/MS"", ""Sao Carlos/SP"", ""Rio De Janeiro/RJ"", ""Sao Sebastiao Do Passe/BA"", ""Piracicaba/SP"", ""Ribeirao Preto/SP"", ""Recife/PE"", ""Campinas/SP"", ""Cuiaba/MT"", ""Sao Paulo/SP"", ""Santarem/PA"", ""Mogi Guacu/SP"", ""Goiania/GO"", ""Teodoro Sampaio/SP"", ""Cordeiropolis/SP""]]","doi_collectionSite"
"[""10.1016/j.bmc.2010.12.056"", ""Campinas/SP""]","[""10.1016/j.bmc.2010.12.056"", [""Mogi Guacu/SP"", ""Teodoro Sampaio/SP"", ""Urucuca/BA"", ""N/A/ES"", ""Pocos De Caldas/MG"", ""Igarape-acu/PA"", ""Chapada Dos Guimaraes/MT"", ""N/A/AM"", ""Lavras/MG"", ""Vicosa/MG"", ""N/A/MS"", ""Belem/PA"", ""Cunha/SP"", ""Santarem/PA"", ""Recife/PE"", ""Rifaina/SP"", ""Campinas/SP"", ""Sao Paulo/SP"", ""Corumba/MS"", ""Cordeiropolis/SP""]]","doi_collectionSite"
"[""10.1515/znc-2009-11-1212"", ""Mogi Guacu/SP""]","[""10.1515/znc-2009-11-1212"", [""Mogi Guacu/SP"", ""Campinas/SP"", ""Piracicaba/SP"", ""Araraquara/SP"", ""Chapada Dos Guimaraes/MT"", ""Iguape/SP"", ""Teodoro Sampaio/SP"", ""Sao Paulo/SP"", ""Vicosa/MG"", ""Pocos De Caldas/MG, Lonchocarpus atropurpureus"", ""Ribeirao Preto/SP, Nigrospora sphaerica"", ""Rio Claro/SP"", ""Ribeirao Preto/SP"", ""Sao Carlos/SP"", ""Itaituba/PA"", ""Igarape-acu/PA"", ""Cordeiropolis/SP"", ""Goiania/GO"", ""Cunha/SP"", ""Sao Sebastiao Do Passe/BA""]]","doi_collectionSite"
"[""10.1016/S0031-9422(00)00225-9"", ""Mogi Guacu/SP""]","[""10.1016/S0031-9422(00)00225-9"", [""Mogi Guacu/SP"", ""Campinas/SP"", ""Iguape/SP"", ""Chapada Dos Guimaraes/MT"", ""Araraquara/SP"", ""Piracicaba/SP"", ""Teodoro Sampaio/SP"", ""Sao Paulo/SP"", ""Cordeiropolis/SP"", ""Sao Miguel Arcanjo/SP"", ""Ribeirao Preto/SP"", ""Rio Claro/SP"", ""Cunha/SP"", ""Sao Carlos/SP"", ""Pocos De Caldas/MG"", ""Ribeirao Preto/SP, Nigrospora sphaerica"", ""Vicosa/MG"", ""Pocos De Caldas/MG, Lonchocarpus atropurpureus"", ""Goiania/GO"", ""Itaituba/PA""]]","doi_collectionSite"
"[""10.3390/molecules190812031"", ""Manaus/AM""]","[""10.3390/molecules190812031"", [""Itacoatiara/AM"", ""Itaituba/PA"", ""Manaus/AM"", ""Iguape/SP"", ""Araraquara/SP"", ""Sao Sebastiao Do Passe/BA"", ""Chapada Dos Guimaraes/MT"", ""Teodoro Sampaio/SP"", ""Igarape-acu/PA"", ""Ribeirao Preto/SP"", ""Mogi Guacu/SP"", ""Santarem/PA"", ""Rio Claro/SP"", ""Sao Paulo/SP"", ""Piracicaba/SP"", ""Rio De Janeiro/RJ"", ""Sao Carlos/SP"", ""Sao Miguel Arcanjo/SP"", ""Cordeiropolis/SP"", ""Ibirama/SC""]]","doi_collectionSite"
"[""10.1021/jf063451x"", ""Belem/PA""]","[""10.1021/jf063451x"", [""Chapada Dos Guimaraes/MT"", ""Manaus/AM"", ""Araraquara/SP"", ""Itacoatiara/AM"", ""Mogi Guacu/SP"", ""Itaituba/PA"", ""Campinas/SP"", ""Ribeirao Preto/SP"", ""Teodoro Sampaio/SP"", ""Vicosa/MG"", ""Rio Claro/SP"", ""Pocos De Caldas/MG, Lonchocarpus atropurpureus"", ""Ribeirao Preto/SP, Nigrospora sphaerica"", ""Iguape/SP"", ""Corumba/MS"", ""Igarape-acu/PA"", ""Sao Paulo/SP"", ""Sao Carlos/SP"", ""Sao Miguel Arcanjo/SP"", ""Piracicaba/SP""]]","doi_collectionSite"
"[""10.1590/S0100-40422002000300002"", ""Mogi Guacu/SP""]","[""10.1590/S0100-40422002000300002"", [""Mogi Guacu/SP"", ""Iguape/SP"", ""Piracicaba/SP"", ""Araraquara/SP"", ""Teodoro Sampaio/SP"", ""Campinas/SP"", ""Sao Paulo/SP"", ""Chapada Dos Guimaraes/MT"", ""Ribeirao Preto/SP"", ""Rio Claro/SP"", ""Cordeiropolis/SP"", ""Sao Miguel Arcanjo/SP"", ""Ribeirao Preto/SP, Nigrospora sphaerica"", ""Sao Carlos/SP"", ""Cunha/SP"", ""Vicosa/MG"", ""Pocos De Caldas/MG, Lonchocarpus atropurpureus"", ""Igarape-acu/PA"", ""Sao Sebastiao Do Passe/BA"", ""Itacoatiara/AM""]]","doi_collectionSite"
"[""10.1016/j.phytochem.2008.01.006"", ""Sao Paulo/SP""]","[""10.1016/j.phytochem.2008.01.006"", [""Sao Paulo/SP"", ""Sao Carlos/SP"", ""Teodoro Sampaio/SP"", ""Campinas/SP"", ""Piracicaba/SP"", ""Araraquara/SP"", ""Ribeirao Preto/SP, Nigrospora sphaerica"", ""Ribeirao Preto/SP"", ""Iguape/SP"", ""Rio Claro/SP"", ""Sao Sebastiao Do Passe/BA"", ""Sao Miguel Arcanjo/SP"", ""Mogi Guacu/SP"", ""Rio De Janeiro/RJ"", ""Cordeiropolis/SP"", ""Recife/PE"", ""Chapada Dos Guimaraes/MT"", ""Cunha/SP"", ""Vicosa/MG"", ""Pocos De Caldas/MG, Lonchocarpus atropurpureus""]]","doi_collectionSite"
"[""10.1016/j.phytol.2010.11.003"", ""Mogi Guacu/SP""]","[""10.1016/j.phytol.2010.11.003"", [""Mogi Guacu/SP"", ""Campinas/SP"", ""Chapada Dos Guimaraes/MT"", ""Araraquara/SP"", ""Iguape/SP"", ""Piracicaba/SP"", ""Teodoro Sampaio/SP"", ""Sao Paulo/SP"", ""Pocos De Caldas/MG, Lonchocarpus atropurpureus"", ""Ribeirao Preto/SP"", ""Ribeirao Preto/SP, Nigrospora sphaerica"", ""Vicosa/MG"", ""Rio Claro/SP"", ""Sao Carlos/SP"", ""Cordeiropolis/SP"", ""Itaituba/PA"", ""Pocos De Caldas/MG"", ""Igarape-acu/PA"", ""Sao Sebastiao Do Passe/BA"", ""Cunha/SP""]]","doi_collectionSite"
