"true","restored","edge_type"
"[""10.1021/np1007476"", ""Chimarrhis turbinata (Rubiaceae)""]","[""10.1021/np1007476"", [""Chimarrhis turbinata (Rubiaceae)"", ""Dimorphandra mollis"", ""Picramnia teapensis"", ""Carapa guianensis"", ""Mycoleptodiscus indicus"", ""Murraya paniculata"", ""Pilocarpus grandiflorus"", ""Chaetomium globosum"", ""Piper solmsianum"", ""Pilocarpus riedelianus"", ""Piper tuberculatum (Piperaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Tithonia diversifolia"", ""Trichilia pallida"", ""Pothomorphe umbellata (Piperaceae)"", ""Dalbergia riparia"", ""Vochysia thyrsoidea"", ""Humicola grisea"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Styrax ferrugineus (Styracaceae)"", ""Galipea bracteata (Rutaceae)"", ""Adiscanthus fusciflorus"", ""Swinglea glutinosa"", ""Chrysophyllum marginatum (Sapotaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Raulinoa echinata (Rutaceae)"", ""Cinnamomum australe (Lauraceae)"", ""Erythrina mulungu (Fabaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Piper hispidum (Piperaceae)"", ""Angostura paniculata (Rutaceae)"", ""Cabralea canjerana"", ""Michelia champaca (Magnoliaceae)"", ""Cedrela fissilis"", ""Piper gaudichaudianum (Piperaceae)"", ""Metrodorea stipularis"", ""Hortia superba (Rutaceae)"", ""Aspergillus terreus"", ""Amorpha fruticosa"", ""Zingiber officinale"", ""Esenbeckia leiocarpa"", ""Tocoyena formosa (Rubiaceae)"", ""Nigrospora sphaerica"", ""Iryanthera juruensis (Myristicaceae)"", ""Fusarium oxysporum"", ""Trichilia elegans (Meliaceae)""]]","doi_collectionSpecie"
"[""10.1016/0031-9422(73)85048-4"", ""Dalbergia riparia""]","[""10.1016/0031-9422(73)85048-4"", [""Dalbergia riparia"", ""Pilocarpus riedelianus"", ""Pilocarpus grandiflorus"", ""Balfourodendron riedelianum (Rutaceae)"", ""Dimorphandra mollis"", ""Swartzia langsdorfii (Fabaceae)"", ""Adiscanthus fusciflorus"", ""Petiveria alliacea (Phytolaccaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Trichilia pallida"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Rapanea lancifolia (Myrsinaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Esenbeckia leiocarpa"", ""Alibertia edulis (Rubiaceae)"", ""Tithonia diversifolia"", ""Alibertia sessilis (Rubiaceae)"", ""Cedrela fissilis"", ""Trichilia elegans (Meliaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Vochysia thyrsoidea"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Galipea bracteata (Rutaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Siphoneugena densiflora (Myrtaceae)"", ""Phomopsis sp. (Valsaceae)"", ""Piper gaudichaudianum (Piperaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Nectandra grandiflora (Lauraceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Lantana lilacina (Verbenaceae)"", ""Styrax camporum (Styracaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Picramnia teapensis"", ""Pterogyne nitens (Fabaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Senna spectabilis (Fabaceae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Neoraputia alba (Rutaceae)"", ""Erythrina mulungu (Fabaceae)"", ""Metrodorea stipularis"", ""Tocoyena formosa (Rubiaceae)"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Humicola grisea"", ""Iryanthera juruensis (Myristicaceae)""]]","doi_collectionSpecie"
"[""10.1590/s0100-40422008000700015"", ""Chaetomium globosum""]","[""10.1590/s0100-40422008000700015"", [""Chaetomium globosum"", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Fusarium oxysporum"", ""Penicillium corylophilum"", ""Humicola grisea"", ""Phoma betae"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Vochysia thyrsoidea"", ""Penicillium sp. (Trichocomaceae)"", ""Curvularia sp. (Pleosporaceae)"", ""Phomopsis sp. (Valsaceae)"", ""Cheiloclinium cognatum (Hippocrateaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Nigrospora sphaerica"", ""Stemodia foliosa (Scrophulariaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Tephrosia candida"", ""Cassia spectabilis (Fabaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Chrysophyllum marginatum (Sapotaceae)"", ""Casearia rupestris (Salicaeae)"", ""Phomopsis cassiae (Valsaceae)"", ""Styrax camporum (Styracaceae)"", ""Adiscanthus fusciflorus"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Metrodorea stipularis"", ""Eucalyptus maculata"", ""Streptomyces sp."", ""Aspergillus terreus"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Esenbeckia leiocarpa"", ""Aspergillus fumigatus"", ""Xylaria sp. (Xylariaceae)"", ""Rudgea viburnioides (Rubiaceae)"", ""Cedrela fissilis"", ""Hortia superba (Rutaceae)"", ""Picramnia teapensis"", ""Pterogyne nitens (Fabaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Trichilia elegans (Meliaceae)"", ""Swartzia langsdorfii (Fabaceae)"", ""Casearia obliqua (Flacourtiaceae)"", ""Vitex polygama (Verbenaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Piper tuberculatum (Piperaceae)"", ""Galipea bracteata (Rutaceae)"", ""Tocoyena brasiliensis (Rubiaceae)""]]","doi_collectionSpecie"
"[""10.1590/S0100-46702007000300002"", ""Michelia champaca (Magnoliaceae)""]","[""10.1590/S0100-46702007000300002"", [""Michelia champaca (Magnoliaceae)"", ""Chaetomium globosum"", ""Penicillium corylophilum"", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Penicillium sp. (Trichocomaceae)"", ""Fusarium oxysporum"", ""Nigrospora sphaerica"", ""Humicola grisea"", ""Tephrosia candida"", ""Phomopsis sp. (Valsaceae)"", ""Streptomyces sp."", ""Trichilia claussenii (Meliaceae)"", ""Salacia campestris (Celastraceae)"", ""Aspergillus fumigatus"", ""Cedrela fissilis"", ""Aspergillus terreus"", ""Styrax camporum (Styracaceae)"", ""Vochysia thyrsoidea"", ""Stemodia foliosa (Scrophulariaceae)"", ""Phomopsis cassiae (Valsaceae)"", ""Phoma betae"", ""Cassia spectabilis (Fabaceae)"", ""Metrodorea stipularis"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Curvularia sp. (Pleosporaceae)"", ""Chrysophyllum marginatum (Sapotaceae)"", ""Cheiloclinium cognatum (Hippocrateaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Picramnia teapensis"", ""Cedrela odorata (Meliaceae)"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Xylaria sp. (Xylariaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Amorpha fruticosa"", ""Casearia rupestris (Salicaeae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Maytenus ilicifolia (Celastraceae)"", ""Adiscanthus fusciflorus"", ""Cassia leptophylla (Fabaceae)"", ""Pilocarpus grandiflorus"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Esenbeckia leiocarpa"", ""Alibertia macrophylla (Rubiaceae)"", ""Trichilia elegans (Meliaceae)"", ""Senna spectabilis (Fabaceae)"", ""Pothomorphe umbellata (Piperaceae)""]]","doi_collectionSpecie"
"[""10.1016/j.phytochem.2006.09.005"", ""Periconia atropurpurea (Annonaceae)""]","[""10.1016/j.phytochem.2006.09.005"", [""Periconia atropurpurea (Annonaceae)"", ""Fusarium oxysporum"", ""Xylaria sp. (Xylariaceae)"", ""Vochysia thyrsoidea"", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Nigrospora sphaerica"", ""Chaetomium globosum"", ""Picramnia teapensis"", ""Penicillium corylophilum"", ""Pilocarpus grandiflorus"", ""Adiscanthus fusciflorus"", ""Curvularia sp. (Pleosporaceae)"", ""Penicillium sp. (Trichocomaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Humicola grisea"", ""Peperomia blanda (Piperaceae)"", ""Cheiloclinium cognatum (Hippocrateaceae)"", ""Phoma betae"", ""Trichilia claussenii (Meliaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Aspergillus terreus"", ""Phomopsis sp. (Valsaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Cedrela fissilis"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Amorpha fruticosa"", ""Peperomia obtusifolia (Piperaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Pilocarpus riedelianus"", ""Casearia rupestris (Salicaeae)"", ""Ouratea multiflora (Ochnaceae)"", ""Metrodorea stipularis"", ""Aspergillus fumigatus"", ""Tephrosia candida"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Phomopsis cassiae (Valsaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Tithonia diversifolia"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Dimorphandra mollis"", ""Salacia campestris (Celastraceae)"", ""Piper solmsianum"", ""Casearia obliqua (Flacourtiaceae)"", ""Siphoneugena densiflora (Myrtaceae)"", ""Styrax camporum (Styracaceae)"", ""Hortia oreadica""]]","doi_collectionSpecie"
"[""10.1590/S0103-50532005000800025"", ""Raulinoa echinata (Rutaceae)""]","[""10.1590/S0103-50532005000800025"", [""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Raulinoa echinata (Rutaceae)"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Trichilia elegans (Meliaceae)"", ""Pilocarpus riedelianus"", ""Trichilia claussenii (Meliaceae)"", ""Adiscanthus fusciflorus"", ""Hortia superba (Rutaceae)"", ""Casearia rupestris (Salicaeae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Citrus sp. (Rutaceae)"", ""Trichilia pallida"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Ouratea multiflora (Ochnaceae)"", ""Vochysia thyrsoidea"", ""Tocoyena formosa (Rubiaceae)"", ""Dimorphandra mollis"", ""Cedrela fissilis"", ""Tithonia diversifolia"", ""Pilocarpus spicatus (Rutaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Esenbeckia leiocarpa"", ""Toona ciliata (Meliacee)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Almeidea rubra (Rutaceae)"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Picramnia teapensis"", ""Balfourodendron riedelianum (Rutaceae)"", ""Citrus sinensis (Rutaceae)"", ""Alibertia edulis (Rubiaceae)"", ""Amorpha fruticosa"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Fusarium oxysporum"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Chaetomium globosum"", ""Penicillium sp. (Trichocomaceae)"", ""Rudgea viburnioides (Rubiaceae)"", ""Swinglea glutinosa"", ""Metrodorea stipularis"", ""Croton zehntneri (Euphorbiaceae)"", ""Hortia oreadica"", ""Alibertia sessilis (Rubiaceae)"", ""Erythrina mulungu (Fabaceae)"", ""Dalbergia riparia"", ""Nigrospora sphaerica"", ""Humicola grisea"", ""Pilocarpus grandiflorus"", ""Galipea bracteata (Rutaceae)"", ""Stemodia foliosa (Scrophulariaceae)""]]","doi_collectionSpecie"
"[""10.1002/hlca.200890147"", ""Alibertia edulis (Rubiaceae)""]","[""10.1002/hlca.200890147"", [""Aspergillus terreus"", ""Tephrosia candida"", ""Penicillium corylophilum"", ""Aspergillus fumigatus"", ""Nigrospora sphaerica"", ""Penicillium sp. (Trichocomaceae)"", ""Alibertia edulis (Rubiaceae)"", ""Fusarium oxysporum"", ""Cedrela fissilis"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Humicola grisea"", ""Alibertia macrophylla (Rubiaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Curvularia sp. (Pleosporaceae)"", ""Streptomyces sp."", ""Chaetomium globosum"", ""Xylaria sp. (Xylariaceae)"", ""Dimorphandra mollis"", ""Phoma betae"", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Amorpha fruticosa"", ""Casearia rupestris (Salicaeae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Cabralea canjerana"", ""Picramnia teapensis"", ""Trichilia pallida"", ""Swinglea glutinosa"", ""Carapa guianensis"", ""Eucalyptus maculata"", ""Erythrina mulungu (Fabaceae)"", ""Adiscanthus fusciflorus"", ""Metrodorea stipularis"", ""Pilocarpus riedelianus"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Mycoleptodiscus indicus"", ""Croton zehntneri (Euphorbiaceae)"", ""Pilocarpus grandiflorus"", ""Toona ciliata (Meliacee)"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Casearia obliqua (Flacourtiaceae)"", ""Phomopsis sp. (Valsaceae)"", ""Dalbergia riparia"", ""Neoraputia alba (Rutaceae)"", ""Phomopsis cassiae (Valsaceae)"", ""Nectandra grandiflora (Lauraceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Styrax camporum (Styracaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Esenbeckia leiocarpa""]]","doi_collectionSpecie"
"[""10.1021/np800106x"", ""Stemodia foliosa (Scrophulariaceae)""]","[""10.1021/np800106x"", [""Penicillium corylophilum"", ""Stemodia foliosa (Scrophulariaceae)"", ""Streptomyces sp."", ""Fusarium oxysporum"", ""Humicola grisea"", ""Aspergillus terreus"", ""Penicillium sp. (Trichocomaceae)"", ""Nigrospora sphaerica"", ""Phoma betae"", ""Tephrosia candida"", ""Aspergillus fumigatus"", ""Chaetomium globosum"", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Casearia rupestris (Salicaeae)"", ""Metrodorea stipularis"", ""Curvularia sp. (Pleosporaceae)"", ""Phomopsis sp. (Valsaceae)"", ""Styrax camporum (Styracaceae)"", ""Xylaria sp. (Xylariaceae)"", ""Dimorphandra mollis"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Vochysia thyrsoidea"", ""Phomopsis cassiae (Valsaceae)"", ""Casearia obliqua (Flacourtiaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Cedrela fissilis"", ""Mycoleptodiscus indicus"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Styrax ferrugineus (Styracaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Adiscanthus fusciflorus"", ""Casearia sylvestris (Flacourtiaceae)"", ""Picramnia teapensis"", ""Iryanthera juruensis (Myristicaceae)"", ""Swartzia langsdorfii (Fabaceae)"", ""Dalbergia riparia"", ""Swinglea glutinosa"", ""Trichilia pallida"", ""Eucalyptus maculata"", ""Hortia superba (Rutaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Cheiloclinium cognatum (Hippocrateaceae)"", ""Esenbeckia leiocarpa"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Erythrina mulungu (Fabaceae)"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Trichilia claussenii (Meliaceae)""]]","doi_collectionSpecie"
"[""10.1590/S0100-40422002000300002"", ""Styrax camporum (Styracaceae)""]","[""10.1590/S0100-40422002000300002"", [""Styrax camporum (Styracaceae)"", ""Styrax ferrugineus (Styracaceae)"", ""Streptomyces sp."", ""Fusarium oxysporum"", ""Nigrospora sphaerica"", ""Penicillium corylophilum"", ""Aspergillus terreus"", ""Tephrosia candida"", ""Penicillium sp. (Trichocomaceae)"", ""Cedrela fissilis"", ""Xylaria sp. (Xylariaceae)"", ""Aspergillus fumigatus"", ""Phoma betae"", ""Casearia rupestris (Salicaeae)"", ""Vochysia thyrsoidea"", ""Humicola grisea"", ""Swartzia langsdorfii (Fabaceae)"", ""Picramnia teapensis"", ""Pilocarpus riedelianus"", ""Salacia campestris (Celastraceae)"", ""Dalbergia riparia"", ""Swinglea glutinosa"", ""Iryanthera juruensis (Myristicaceae)"", ""Phomopsis sp. (Valsaceae)"", ""Phomopsis cassiae (Valsaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Curvularia sp. (Pleosporaceae)"", ""Pilocarpus grandiflorus"", ""Dimorphandra mollis"", ""Piper solmsianum"", ""Chaetomium globosum"", ""Eucalyptus maculata"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Esenbeckia leiocarpa"", ""Metrodorea stipularis"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Amorpha fruticosa"", ""Casearia sylvestris (Flacourtiaceae)"", ""Senna spectabilis (Fabaceae)"", ""Citrus sp. (Rutaceae)"", ""Carapa guianensis"", ""Mycoleptodiscus indicus"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Senna multijuga (Fabaceae)"", ""Erythrina mulungu (Fabaceae)"", ""Chrysophyllum marginatum (Sapotaceae)"", ""Cassia leptophylla (Fabaceae)""]]","doi_collectionSpecie"
"[""10.1055/s-2002-36346"", ""Stemodia foliosa (Scrophulariaceae)""]","[""10.1055/s-2002-36346"", [""Penicillium corylophilum"", ""Streptomyces sp."", ""Aspergillus terreus"", ""Fusarium oxysporum"", ""Stemodia foliosa (Scrophulariaceae)"", ""Humicola grisea"", ""Aspergillus fumigatus"", ""Nigrospora sphaerica"", ""Tephrosia candida"", ""Penicillium sp. (Trichocomaceae)"", ""Phoma betae"", ""Chaetomium globosum"", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Casearia rupestris (Salicaeae)"", ""Curvularia sp. (Pleosporaceae)"", ""Phomopsis sp. (Valsaceae)"", ""Styrax camporum (Styracaceae)"", ""Metrodorea stipularis"", ""Casearia obliqua (Flacourtiaceae)"", ""Phomopsis cassiae (Valsaceae)"", ""Vochysia thyrsoidea"", ""Cedrela fissilis"", ""Cassia spectabilis (Fabaceae)"", ""Xylaria sp. (Xylariaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Styrax ferrugineus (Styracaceae)"", ""Dimorphandra mollis"", ""Petiveria alliacea (Phytolaccaceae)"", ""Casearia sylvestris (Flacourtiaceae)"", ""Eucalyptus maculata"", ""Picramnia teapensis"", ""Mycoleptodiscus indicus"", ""Dalbergia riparia"", ""Adiscanthus fusciflorus"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Swinglea glutinosa"", ""Iryanthera juruensis (Myristicaceae)"", ""Swartzia langsdorfii (Fabaceae)"", ""Esenbeckia leiocarpa"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Piper solmsianum"", ""Pterogyne nitens (Fabaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Hortia oreadica"", ""Balfourodendron riedelianum (Rutaceae)"", ""Senna spectabilis (Fabaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Trichilia pallida""]]","doi_collectionSpecie"
