"true","restored","edge_type"
"['10.1002/cbdv.200590016', 'Sao Carlos/SP']","['10.1002/cbdv.200590016', ['Ribeirao Preto/SP', 'Sao Paulo/SP', 'Recife/PE', 'Sao Carlos/SP', 'Sao Sebastiao Do Passe/BA', 'Araraquara/SP', 'Piracicaba/SP', 'Campinas/SP', 'Iguape/SP', 'Rio De Janeiro/RJ', 'Manaus/AM', 'Goiania/GO', 'Rio Claro/SP', 'Corumba/MS', 'Cordeiropolis/SP', 'Teodoro Sampaio/SP', 'Chapada Dos Guimaraes/MT', 'Pirenopolis/GO', 'Cuiaba/MT', 'Belem/PA']]","doi_collectionSite"
"['10.1002/jobm.200800093', 'Ribeirao Preto/SP']","['10.1002/jobm.200800093', ['Ribeirao Preto/SP, Nigrospora sphaerica', 'Ribeirao Preto/SP', 'Piracicaba/SP', 'Araraquara/SP', 'Iguape/SP', 'Sao Paulo/SP', 'Rio Claro/SP', 'Campinas/SP', 'Sao Carlos/SP', 'Cordeiropolis/SP', 'Teodoro Sampaio/SP', 'Rio De Janeiro/RJ', 'Mogi Guacu/SP', 'Sao Sebastiao Do Passe/BA', 'Igarape-acu/PA', 'Recife/PE', 'Corumba/MS', 'Chapada Dos Guimaraes/MT', 'Pirenopolis/GO', 'Goiania/GO']]","doi_collectionSite"
"['10.1002/ps.1278', 'Pocos De Caldas/MG']","['10.1002/ps.1278', ['Pocos De Caldas/MG, Lonchocarpus atropurpureus', 'Pocos De Caldas/MG', 'Vicosa/MG', 'Chapada Dos Guimaraes/MT', 'Ribeirao Preto/SP', 'Iguape/SP', 'Piracicaba/SP', 'Cuiaba/MT', 'Sao Carlos/SP', 'Mogi Guacu/SP', 'Campinas/SP', 'Lavras/MG', 'Araraquara/SP', 'Sao Paulo/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Recife/PE', 'Cordeiropolis/SP', 'Sao Sebastiao Do Passe/BA', 'Rio Claro/SP', 'Sao Miguel Arcanjo/SP']]","doi_collectionSite"
"['10.1002/ps.478', 'Rio Claro/SP']","['10.1002/ps.478', ['Ribeirao Preto/SP', 'Piracicaba/SP', 'Londrina/PR', 'Sao Paulo/SP', 'Araraquara/SP', 'Campinas/SP', 'Pirenopolis/GO', 'Iguape/SP', 'Rio Claro/SP', 'Sao Carlos/SP', 'Goiania/GO', 'Cordeiropolis/SP', 'Belem/PA', 'Rio De Janeiro/RJ', 'Itaituba/PA', 'Recife/PE', 'Santarem/PA', 'Teodoro Sampaio/SP', 'Sao Sebastiao Do Passe/BA', 'Corumba/MS']]","doi_collectionSite"
"['10.1002/ptr.1249', 'Ribeirao Preto/SP']","['10.1002/ptr.1249', ['Ribeirao Preto/SP, Nigrospora sphaerica', 'Ribeirao Preto/SP', 'Piracicaba/SP', 'Araraquara/SP', 'Iguape/SP', 'Sao Paulo/SP', 'Rio Claro/SP', 'Campinas/SP', 'Sao Carlos/SP', 'Cordeiropolis/SP', 'Teodoro Sampaio/SP', 'Rio De Janeiro/RJ', 'Mogi Guacu/SP', 'Sao Sebastiao Do Passe/BA', 'Igarape-acu/PA', 'Recife/PE', 'Corumba/MS', 'Chapada Dos Guimaraes/MT', 'Pirenopolis/GO', 'Goiania/GO']]","doi_collectionSite"
"['10.1007/s10295-012-1165-2', 'Ribeirao Preto/SP']","['10.1007/s10295-012-1165-2', ['Ribeirao Preto/SP, Nigrospora sphaerica', 'Ribeirao Preto/SP', 'Piracicaba/SP', 'Araraquara/SP', 'Iguape/SP', 'Sao Paulo/SP', 'Rio Claro/SP', 'Campinas/SP', 'Sao Carlos/SP', 'Cordeiropolis/SP', 'Teodoro Sampaio/SP', 'Rio De Janeiro/RJ', 'Mogi Guacu/SP', 'Sao Sebastiao Do Passe/BA', 'Igarape-acu/PA', 'Recife/PE', 'Corumba/MS', 'Chapada Dos Guimaraes/MT', 'Pirenopolis/GO', 'Goiania/GO']]","doi_collectionSite"
"['10.1016/0031-9422(73)85048-4', 'N/A/AM']","['10.1016/0031-9422(73)85048-4', ['Sao Paulo/SP', 'Iguape/SP', 'Ribeirao Preto/SP', 'Piracicaba/SP', 'Araraquara/SP', 'Campinas/SP', 'Itirapina/SP', 'Sao Carlos/SP', 'Rio Claro/SP', 'Londrina/PR', 'Cunha/SP', 'Recife/PE', 'Pirenopolis/GO', 'Teodoro Sampaio/SP', 'Goiania/GO', 'Igarape-acu/PA', 'Santarem/PA', 'Itaituba/PA', 'Chapada Dos Guimaraes/MT', 'Peruibe/SP']]","doi_collectionSite"
"['10.1016/0031-9422(81)80027-1', 'Rio De Janeiro/RJ']","['10.1016/0031-9422(81)80027-1', ['Ribeirao Preto/SP', 'Rio De Janeiro/RJ', 'Sao Paulo/SP', 'Araraquara/SP', 'Rio Claro/SP', 'Piracicaba/SP', 'Sao Carlos/SP', 'Iguape/SP', 'Goiania/GO', 'Campinas/SP', 'Sao Sebastiao Do Passe/BA', 'Recife/PE', 'Chapada Dos Guimaraes/MT', 'Pirenopolis/GO', 'Corumba/MS', 'Manaus/AM', 'Teodoro Sampaio/SP', 'Cordeiropolis/SP', 'Cuiaba/MT', 'Ribeirao Preto/SP, Nigrospora sphaerica']]","doi_collectionSite"
"['10.1016/0031-9422(91)85077-D', 'Mogi Guacu/SP']","['10.1016/0031-9422(91)85077-D', ['Iguape/SP', 'Mogi Guacu/SP', 'Piracicaba/SP', 'Ribeirao Preto/SP', 'Araraquara/SP', 'Sao Paulo/SP', 'Chapada Dos Guimaraes/MT', 'Sao Miguel Arcanjo/SP', 'Campinas/SP', 'Igarape-acu/PA', 'Sao Carlos/SP', 'Cordeiropolis/SP', 'Teodoro Sampaio/SP', 'Goiania/GO', 'Rio Claro/SP', 'Cunha/SP', 'Pirenopolis/GO', 'Sao Sebastiao Do Passe/BA', 'Cuiaba/MT', 'Recife/PE']]","doi_collectionSite"
"['10.1016/0040-4020(95)00254-6', 'Sao Paulo/SP']","['10.1016/0040-4020(95)00254-6', ['Sao Paulo/SP', 'Ribeirao Preto/SP', 'Piracicaba/SP', 'Sao Carlos/SP', 'Araraquara/SP', 'Iguape/SP', 'Campinas/SP', 'Rio Claro/SP', 'Teodoro Sampaio/SP', 'Goiania/GO', 'Sao Sebastiao Do Passe/BA', 'Sao Miguel Arcanjo/SP', 'Rio De Janeiro/RJ', 'Cordeiropolis/SP', 'Recife/PE', 'Pirenopolis/GO', 'Corumba/MS', 'Cunha/SP', 'Ribeirao Preto/SP, Nigrospora sphaerica', 'Mogi Guacu/SP']]","doi_collectionSite"
