doi,assistant_reply
10.1002/cbdv.200590016,"[{""collectionSite"": ""Fortaleza/CE""}]"
10.1002/jobm.200800093,"[{""collectionSite"": ""Ribeirao Preto/SP""}]"
10.1002/ps.1278,"[{""collectionSite"": ""Pocos De Caldas/MG""}]"
10.1002/ps.478,"[{""collectionSite"": ""Londrina/PR""}]"
10.1002/ptr.1249,"[{""collectionSite"": ""Ribeirao Preto/SP""}]"
10.1007/s10295-012-1165-2,"[{""collectionSite"": ""Ribeirao Preto/SP""}]"
10.1016/0031-9422(73)85048-4,"[{""collectionSite"": ""Linhares/ES""}]"
10.1016/0031-9422(81)80027-1,"[{""collectionSite"": ""Rio de Janeiro/RJ""}]"
10.1016/0031-9422(91)85077-D,"[{""collectionSite"": ""Mogi Guacu/SP""}]"
10.1016/0040-4020(95)00254-6,"[{""collectionSite"": ""Sao Paulo/SP""}]"
10.1016/j.biortech.2010.01.041,"[{""collectionSite"": ""Araraquara/SP""}]"
10.1016/j.bmc.2010.12.056,"[{""collectionSite"": ""Sao Carlos/SP""}]"
10.1016/j.bse.2006.06.007,"[{""collectionSite"": ""Sao Paulo/SP""}]"
10.1016/j.chroma.2009.02.009,"[{""collectionSite"": ""Itacoatiara/AM""}]"
10.1016/j.chroma.2009.02.066,"[{""collectionSite"": ""Cordeiropolis/SP""}]"
10.1016/j.jfca.2003.09.013,"[{""collectionSite"": ""Araraquara/SP""}]"
10.1016/j.jpba.2012.08.028,"[{""collectionSite"": ""Ribeirao Preto/SP""}]"
10.1016/j.jphotobiol.2013.01.006,"[{""collectionSite"": ""Sao Carlos/SP""}]"
10.1016/j.jphotobiol.2013.01.006,"[{""collectionSite"": ""Sao Carlos/SP""}]"
10.1016/j.micres.2004.06.003,"[{""collectionSite"": ""Sao Carlos/SP""}]"
10.1016/j.phytochem.2005.06.019,"[{""collectionSite"": ""Mogi Guacu/SP""}]"
10.1016/j.phytochem.2006.06.004,"[{""collectionSite"": ""Araraquara/SP""}]"
10.1016/j.phytochem.2006.09.005,"[{""collectionSite"": ""Araraquara/SP""}]"
10.1016/j.phytochem.2008.01.006,"[{""collectionSite"": ""Sao Paulo/SP""}]"
10.1016/j.phytochem.2009.08.013,"[{""collectionSite"": ""Sao Sebastiao Do Passe/BA""}]"
10.1016/j.phytol.2010.11.003,"[{""collectionSite"": ""Mogi Guacu/SP""}]"
10.1016/j.tiv.2008.01.003,"[{""collectionSite"": ""Araraquara/SP""}]"
10.1016/S0014-5793(02)02700-X,"[{""collectionSite"": ""Sao Carlos/SP""}]"
10.1016/S0031-9422(00)00225-9,"[{""collectionSite"": ""Mogi Guacu/SP""}]"
10.1016/S0031-9422(00)00226-0,"[{""collectionSite"": ""Manaus/AM""}]"
10.1016/S0031-9422(00)00248-X,"[{""collectionSite"": ""Santa Teresa/ES""}]"
10.1016/S0031-9422(00)00323-X,"[{""collectionSite"": ""Heredia/CR""}]"
10.1016/S0031-9422(00)00477-5,"[{""collectionSite"": ""Fortaleza/CE""}]"
10.1016/S0031-9422(01)00431-9,"[{""collectionSite"": ""Araraquara/SP""}]"
10.1016/S0031-9422(03)00153-5,"[{""collectionSite"": ""Manaus/AM""}]"
10.1016/S0031-9422(97)00238-0,"[{""collectionSite"": ""Mogi Guacu/SP""}]"
10.1016/S0031-9422(97)00598-0,"[{""collectionSite"": ""Sao Carlos/SP""}]"
10.1016/S0031-9422(98)00069-7,"[{""collectionSite"": ""Corumba/MS""}]"
10.1016/S0031-9422(99)00132-6,"[{""collectionSite"": ""Ibate/SP""}]"
10.1021/cc100076k,"[{""collectionSite"": ""Sao Carlos/SP""}]"
10.1021/cc100076k,"[{""collectionSite"": ""Catalao/GO""}]"
10.1021/jf00030a035,"[{""collectionSite"": ""Sao Carlos/SP""}, {""collectionSite"": ""Sao Paulo/SP""}, {""collectionSite"": ""Rio de Janeiro/RJ""}]"
10.1021/jf063451x,"[{""collectionSite"": ""Belem/PA""}]"
10.1021/jf60217a066,"[{""collectionSite"": ""Araripe/CE""}]"
10.1021/np0103970,"[{""collectionSite"": ""Ibirama/SC""}]"
10.1021/np030100t,"[{""collectionSite"": ""Mogi Guacu/SP""}]"
10.1021/np0303963,"[{""collectionSite"": ""Sao Paulo/SP""}]"
10.1021/np030530j,"[{""collectionSite"": ""Manaus/AM""}]"
10.1021/np030530j,"[{""collectionSite"": ""Manaus/AM""}]"
10.1021/np049863m,"[{""collectionSite"": ""Belem/PA""}]"
10.1021/np070312g,"[{""collectionSite"": ""Araraquara/SP""}]"
10.1021/np1007476,"[{""collectionSite"": ""Belem/PA""}]"
10.1021/np100840w,"[{""collectionSite"": ""Campinas/SP""}]"
10.1021/np4006822,"[{""collectionSite"": ""Recife/PE""}]"
10.1021/np50086a012,"[{""collectionSite"": ""Bauru/SP""}]"
10.1021/np800106x,"[{""collectionSite"": ""Recife/PE""}]"
10.1021/np800612x,"[{""collectionSite"": ""Sao Paulo/SP""}]"
10.1021/np9004079,"[{""collectionSite"": ""Campinas/SP""}]"
