"true","restored","edge_type"
"[""10.1002/cbdv.200590016"", ""Salacia campestris (Celastraceae)""]","[""10.1002/cbdv.200590016"", [""Tocoyena brasiliensis (Rubiaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Rudgea viburnioides (Rubiaceae)"", ""Angostura paniculata (Rutaceae)"", ""Alibertia edulis (Rubiaceae)"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Coussarea hydrangeifolia (Rubiaceae)"", ""Raulinoa echinata (Rutaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Galipea bracteata (Rutaceae)"", ""Almeidea rubra (Rutaceae)"", ""Piper tuberculatum (Piperaceae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Peperomia obtusifolia (Piperaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Ricinus communis (Euphorbiaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Hortia superba (Rutaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Michelia champaca (Magnoliaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Piper crassinervium (Piperaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Citrus sinensis (Rutaceae)"", ""Piper gaudichaudianum (Piperaceae)"", ""Amorpha fruticosa"", ""Cinnamomum australe (Lauraceae)"", ""Piper hispidum (Piperaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Croton zehntneri (Euphorbiaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Citrus sp. (Rutaceae)"", ""Ottonia corcovadensis (Piperaceae)"", ""Carapa guianensis"", ""Neoraputia magnifica (Rutaceae)"", ""Adiscanthus fusciflorus"", ""Neoraputia alba (Rutaceae)"", ""Chrysophyllum marginatum (Sapotaceae)"", ""Anacardium occidentale (Anacardiaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Casearia obliqua (Flacourtiaceae)"", ""Erythrina mulungu (Fabaceae)"", ""Piper hostmannianum (Piperaceae)""]]","doi_collectionSpecie"
"[""10.1002/cbdv.200800342"", ""Casearia sylvestris (Flacourtiaceae)""]","[""10.1002/cbdv.200800342"", [""Casearia sylvestris (Flacourtiaceae)"", ""Casearia rupestris (Salicaeae)"", ""Casearia obliqua (Flacourtiaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Salacia campestris (Celastraceae)"", ""Senna spectabilis (Fabaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Phomopsis cassiae (Valsaceae)"", ""Chrysophyllum marginatum (Sapotaceae)"", ""Maytenus ilicifolia (Celastraceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Iryanthera juruensis (Myristicaceae)"", ""Swartzia langsdorfii (Fabaceae)"", ""Siphoneugena densiflora (Myrtaceae)"", ""Xylaria sp. (Xylariaceae)"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Styrax camporum (Styracaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Piper crassinervium (Piperaceae)"", ""Maytenus aquifolium (Celastraceae)"", ""Hortia superba (Rutaceae)"", ""Styrax ferrugineus (Styracaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Curvularia sp. (Pleosporaceae)"", ""Senna multijuga (Fabaceae)"", ""Ottonia corcovadensis (Piperaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Rapanea lancifolia (Myrsinaceae)"", ""Esenbeckia leiocarpa"", ""Coussarea hydrangeifolia (Rubiaceae)"", ""Lantana lilacina (Verbenaceae)"", ""Galipea bracteata (Rutaceae)"", ""Anacardium occidentale (Anacardiaceae)"", ""Phomopsis sp. (Valsaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Vochysia thyrsoidea"", ""Piper gaudichaudianum (Piperaceae)"", ""Trichilia elegans (Meliaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Almeidea rubra (Rutaceae)"", ""Croton zehntneri (Euphorbiaceae)"", ""Cedrela odorata (Meliaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Cedrela fissilis"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Dalbergia riparia"", ""Piper hispidum (Piperaceae)"", ""Nectandra grandiflora (Lauraceae)""]]","doi_collectionSpecie"
"[""10.1002/hlca.200890147"", ""Alibertia edulis (Rubiaceae)""]","[""10.1002/hlca.200890147"", [""Alibertia edulis (Rubiaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Almeidea rubra (Rutaceae)"", ""Rudgea viburnioides (Rubiaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Neoraputia alba (Rutaceae)"", ""Coussarea hydrangeifolia (Rubiaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Erythrina mulungu (Fabaceae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Raulinoa echinata (Rutaceae)"", ""Hortia superba (Rutaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Galipea bracteata (Rutaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Dalbergia riparia"", ""Ricinus communis (Euphorbiaceae)"", ""Neoraputia magnifica (Rutaceae)"", ""Swartzia langsdorfii (Fabaceae)"", ""Cedrela fruticosa (Meliaceae), Neoraputia magnifica (Rutaceae), Neoraputia alba (Rutaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Trichilia elegans (Meliaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Iryanthera juruensis (Myristicaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Citrus sinensis (Rutaceae)"", ""Piper tuberculatum (Piperaceae)"", ""Pilocarpus riedelianus"", ""Senna spectabilis (Fabaceae)"", ""Senna multijuga (Fabaceae)"", ""Vitex polygama (Verbenaceae)"", ""Angostura paniculata (Rutaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Piper hispidum (Piperaceae)"", ""Piper arboreum (Piperaceae)"", ""Citrus sp. (Rutaceae)"", ""Lantana lilacina (Verbenaceae)"", ""Maytenus ilicifolia (Celastraceae)"", ""Peperomia obtusifolia (Piperaceae)"", ""Cedrela odorata (Meliaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Piper gaudichaudianum (Piperaceae)""]]","doi_collectionSpecie"
"[""10.1002/jobm.200800093"", ""Nigrospora sphaerica""]","[""10.1002/jobm.200800093"", [""Nigrospora sphaerica"", ""Penicillium sp. (Trichocomaceae)"", ""Curvularia sp. (Pleosporaceae)"", ""Fusarium oxysporum"", ""Neoraputia alba (Rutaceae)"", ""Penicillium corylophilum"", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Aspergillus fumigatus"", ""Swartzia langsdorfii (Fabaceae)"", ""Styrax camporum (Styracaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Xylaria sp. (Xylariaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Humicola grisea"", ""Stemodia foliosa (Scrophulariaceae)"", ""Phomopsis sp. (Valsaceae)"", ""Streptomyces sp."", ""Siphoneugena densiflora (Myrtaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Chaetomium globosum"", ""Chrysophyllum marginatum (Sapotaceae)"", ""Casearia rupestris (Salicaeae)"", ""Styrax ferrugineus (Styracaceae)"", ""Senna spectabilis (Fabaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Nectandra grandiflora (Lauraceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Aspergillus terreus"", ""Senna multijuga (Fabaceae)"", ""Citrus sp. (Rutaceae)"", ""Neoraputia magnifica (Rutaceae)"", ""Rapanea lancifolia (Myrsinaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Iryanthera juruensis (Myristicaceae)"", ""Phoma betae"", ""Piper hispidum (Piperaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Hortia superba (Rutaceae)"", ""Peperomia obtusifolia (Piperaceae)"", ""Phomopsis cassiae (Valsaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Piper tuberculatum (Piperaceae)"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Peperomia blanda (Piperaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Croton zehntneri (Euphorbiaceae)"", ""Vochysia thyrsoidea"", ""Tocoyena brasiliensis (Rubiaceae)""]]","doi_collectionSpecie"
"[""10.1002/jobm.200800093"", ""Phoma betae""]","[""10.1002/jobm.200800093"", [""Nigrospora sphaerica"", ""Penicillium sp. (Trichocomaceae)"", ""Curvularia sp. (Pleosporaceae)"", ""Penicillium corylophilum"", ""Fusarium oxysporum"", ""Trichilia elegans (Meliaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Trichilia pallida"", ""Colletotrichum gloeosporioides (Phyllachoraceae)"", ""Aspergillus fumigatus"", ""Humicola grisea"", ""Neoraputia alba (Rutaceae)"", ""Chaetomium globosum"", ""Xylaria sp. (Xylariaceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Nectandra grandiflora (Lauraceae)"", ""Pterogyne nitens (Fabaceae)"", ""Streptomyces sp."", ""Styrax ferrugineus (Styracaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Aspergillus terreus"", ""Styrax camporum (Styracaceae)"", ""Swartzia langsdorfii (Fabaceae)"", ""Chrysophyllum marginatum (Sapotaceae)"", ""Dimorphandra mollis"", ""Casearia rupestris (Salicaeae)"", ""Croton zehntneri (Euphorbiaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Phoma betae"", ""Phomopsis sp. (Valsaceae)"", ""Hortia superba (Rutaceae)"", ""Vochysia thyrsoidea"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Neoraputia magnifica (Rutaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Tephrosia candida"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Siphoneugena densiflora (Myrtaceae)"", ""Piper tuberculatum (Piperaceae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Iryanthera juruensis (Myristicaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Senna spectabilis (Fabaceae)"", ""Amorpha fruticosa"", ""Salacia campestris (Celastraceae)""]]","doi_collectionSpecie"
"[""10.1002/ps.478"", ""Dimorphandra mollis""]","[""10.1002/ps.478"", [""Dimorphandra mollis"", ""Swartzia langsdorfii (Fabaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Trichilia elegans (Meliaceae)"", ""Erythrina mulungu (Fabaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Adiscanthus fusciflorus"", ""Michelia champaca (Magnoliaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Styrax camporum (Styracaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Dalbergia riparia"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Senna spectabilis (Fabaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Phomopsis cassiae (Valsaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Nectandra grandiflora (Lauraceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Phomopsis sp. (Valsaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Amorpha fruticosa"", ""Siphoneugena densiflora (Myrtaceae)"", ""Alibertia edulis (Rubiaceae)"", ""Iryanthera juruensis (Myristicaceae)"", ""Neoraputia magnifica (Rutaceae)"", ""Curvularia sp. (Pleosporaceae)"", ""Styrax ferrugineus (Styracaceae)"", ""Galipea bracteata (Rutaceae)"", ""Rudgea viburnioides (Rubiaceae)"", ""Tithonia diversifolia"", ""Metrodorea stipularis"", ""Tocoyena formosa (Rubiaceae)"", ""Chrysophyllum marginatum (Sapotaceae)"", ""Hortia superba (Rutaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Raulinoa echinata (Rutaceae)"", ""Senna multijuga (Fabaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Rapanea lancifolia (Myrsinaceae)"", ""Casearia obliqua (Flacourtiaceae)""]]","doi_collectionSpecie"
"[""10.1002/ptr.1249"", ""Maytenus aquifolium (Celastraceae)""]","[""10.1002/ptr.1249"", [""Maytenus aquifolium (Celastraceae)"", ""Maytenus ilicifolia (Celastraceae)"", ""Salacia campestris (Celastraceae)"", ""Trichilia claussenii (Meliaceae)"", ""Trichilia elegans (Meliaceae)"", ""Cedrela odorata (Meliaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Casearia obliqua (Flacourtiaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Casearia sylvestris (Flacourtiaceae)"", ""Rapanea lancifolia (Myrsinaceae)"", ""Galipea bracteata (Rutaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Siphoneugena densiflora (Myrtaceae)"", ""Ouratea multiflora (Ochnaceae)"", ""Senna spectabilis (Fabaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Adiscanthus fusciflorus"", ""Vitex polygama (Verbenaceae)"", ""Croton zehntneri (Euphorbiaceae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Rapanea umbellata,Myrsine cuneifolia (Myrsinaceae)"", ""Tithonia diversifolia"", ""Michelia champaca (Magnoliaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Iryanthera juruensis (Myristicaceae)"", ""Cheiloclinium cognatum (Hippocrateaceae)"", ""Lantana lilacina (Verbenaceae)"", ""Hortia superba (Rutaceae)"", ""Chrysophyllum marginatum (Sapotaceae)"", ""Nectandra grandiflora (Lauraceae)"", ""Pterogyne nitens (Fabaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Cedrela fissilis"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Vochysia thyrsoidea"", ""Ottonia corcovadensis (Piperaceae)"", ""Piper crassinervium (Piperaceae)"", ""Phomopsis cassiae (Valsaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Senna multijuga (Fabaceae)"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Coussarea hydrangeifolia (Rubiaceae)"", ""Styrax camporum (Styracaceae)"", ""Peperomia obtusifolia (Piperaceae)"", ""Almeidea rubra (Rutaceae)"", ""Tocoyena formosa (Rubiaceae)""]]","doi_collectionSpecie"
"[""10.1007/s10295-012-1165-2"", ""Aspergillus terreus""]","[""10.1007/s10295-012-1165-2"", [""Tithonia diversifolia"", ""Ouratea multiflora (Ochnaceae)"", ""Adiscanthus fusciflorus"", ""Periconia atropurpurea (Annonaceae)"", ""Vochysia thyrsoidea"", ""Maytenus ilicifolia (Celastraceae)"", ""Maytenus aquifolium (Celastraceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Hortia superba (Rutaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Trichilia elegans (Meliaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Galipea bracteata (Rutaceae)"", ""Lantana lilacina (Verbenaceae)"", ""Iryanthera juruensis (Myristicaceae)"", ""Vitex polygama (Verbenaceae)"", ""Styrax camporum (Styracaceae)"", ""Siphoneugena densiflora (Myrtaceae)"", ""Nectandra grandiflora (Lauraceae)"", ""Croton zehntneri (Euphorbiaceae)"", ""Raulinoa echinata (Rutaceae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Dimorphandra mollis"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Ottonia corcovadensis (Piperaceae)"", ""Piper hispidum (Piperaceae)"", ""Piper gaudichaudianum (Piperaceae)"", ""Piper crassinervium (Piperaceae)"", ""Senna spectabilis (Fabaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Erythrina mulungu (Fabaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Peperomia obtusifolia (Piperaceae)"", ""Casearia obliqua (Flacourtiaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Styrax ferrugineus (Styracaceae)"", ""Alibertia edulis (Rubiaceae)"", ""Swartzia langsdorfii (Fabaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Cheiloclinium cognatum (Hippocrateaceae)"", ""Salacia campestris (Celastraceae)""]]","doi_collectionSpecie"
"[""10.1007/s10295-012-1165-2"", ""Tithonia diversifolia""]","[""10.1007/s10295-012-1165-2"", [""Tithonia diversifolia"", ""Ouratea multiflora (Ochnaceae)"", ""Adiscanthus fusciflorus"", ""Periconia atropurpurea (Annonaceae)"", ""Vochysia thyrsoidea"", ""Maytenus ilicifolia (Celastraceae)"", ""Maytenus aquifolium (Celastraceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Hortia superba (Rutaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Himatanthus sucuuba (Apocynaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Cassia spectabilis (Fabaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Trichilia elegans (Meliaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Galipea bracteata (Rutaceae)"", ""Lantana lilacina (Verbenaceae)"", ""Iryanthera juruensis (Myristicaceae)"", ""Vitex polygama (Verbenaceae)"", ""Styrax camporum (Styracaceae)"", ""Siphoneugena densiflora (Myrtaceae)"", ""Nectandra grandiflora (Lauraceae)"", ""Croton zehntneri (Euphorbiaceae)"", ""Raulinoa echinata (Rutaceae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Dimorphandra mollis"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Ottonia corcovadensis (Piperaceae)"", ""Piper hispidum (Piperaceae)"", ""Piper gaudichaudianum (Piperaceae)"", ""Piper crassinervium (Piperaceae)"", ""Senna spectabilis (Fabaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Erythrina mulungu (Fabaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Peperomia obtusifolia (Piperaceae)"", ""Casearia obliqua (Flacourtiaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Styrax ferrugineus (Styracaceae)"", ""Alibertia edulis (Rubiaceae)"", ""Swartzia langsdorfii (Fabaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Cheiloclinium cognatum (Hippocrateaceae)"", ""Salacia campestris (Celastraceae)""]]","doi_collectionSpecie"
"[""10.1016/0031-9422(73)85048-4"", ""Dalbergia riparia""]","[""10.1016/0031-9422(73)85048-4"", [""Dalbergia riparia"", ""Cassia spectabilis (Fabaceae)"", ""Swartzia langsdorfii (Fabaceae)"", ""Cassia leptophylla (Fabaceae)"", ""Balfourodendron riedelianum (Rutaceae)"", ""Alibertia macrophylla (Rubiaceae)"", ""Senna spectabilis (Fabaceae)"", ""Alibertia sessilis (Rubiaceae)"", ""Alibertia edulis (Rubiaceae)"", ""Pterogyne nitens (Fabaceae)"", ""Pilocarpus spicatus (Rutaceae)"", ""Erythrina mulungu (Fabaceae)"", ""Pilocarpus riedelianus"", ""Rudgea viburnioides (Rubiaceae)"", ""Styrax camporum (Styracaceae)"", ""Calycophyllum spruceanum (Rubiaceae)"", ""Styrax ferrugineus (Styracaceae)"", ""Senna multijuga (Fabaceae)"", ""Galipea bracteata (Rutaceae)"", ""Pilocarpus grandiflorus"", ""Almeidea rubra (Rutaceae)"", ""Arrabidaea samydoides (Bignoniaceae)"", ""Stemodia foliosa (Scrophulariaceae)"", ""Conchocarpus heterophyllus (Rutaceae)"", ""Rapanea lancifolia (Myrsinaceae)"", ""Tocoyena brasiliensis (Rubiaceae)"", ""Neoraputia alba (Rutaceae)"", ""Chimarrhis turbinata (Rubiaceae)"", ""Trichilia elegans (Meliaceae)"", ""Tocoyena formosa (Rubiaceae)"", ""Piper tuberculatum (Piperaceae)"", ""Petiveria alliacea (Phytolaccaceae)"", ""Cnidoscolus vitifolius (Euphorbiaceae)"", ""Siphoneugena densiflora (Myrtaceae)"", ""Alchornea glandulosa (Euphorbiaceae)"", ""Pothomorphe umbellata (Piperaceae)"", ""Piper gaudichaudianum (Piperaceae)"", ""Piper arboreum (Piperaceae)"", ""Cedrela odorata (Meliaceae)"", ""Trichilia claussenii (Meliaceae)"", ""Periconia atropurpurea (Annonaceae)"", ""Neoraputia magnifica (Rutaceae)"", ""Phomopsis sp. (Valsaceae)"", ""Raulinoa echinata (Rutaceae)"", ""Lantana lilacina (Verbenaceae)"", ""Spiranthera odoratissima St. odoratissima (Rutaceae)"", ""Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)"", ""Hortia superba (Rutaceae)"", ""Iryanthera juruensis (Myristicaceae)"", ""Esenbeckia leiocarpa""]]","doi_collectionSpecie"
