doi,assistant_reply
10.1002/cbdv.200590016,"[{""compoundName"": ""Atractylenolide III""}]"
10.1002/cbdv.200590016,"[{""compoundName"": ""Atractylenolide I""}]"
10.1002/cbdv.200590016,"[{""compoundName"": ""Atractylenolide I""}]"
10.1002/cbdv.200590016,"[{""compoundName"": ""Atractylenolide I""}]"
10.1002/cbdv.200800342,"[{""compoundName"": ""Casearin X dialdehyde""}]"
10.1002/cbdv.200800342,"[{""compoundName"": ""Casearin X""}]"
10.1002/hlca.200890147,"[{""compoundName"": ""3β-O-[α-L-rhamnopyranosyl-(1→2)-O-β-D-glucopyranosyl-(1→2)-O-β-D-glucopyranosyl]-28-O-β-D-glucopyranoside pomolate""}]"
10.1002/hlca.200890147,"[{""compoundName"": ""3β-O-[α-L-rhamnopyranosyl-(1→2)-O-β-D-glucopyranosyl-(1→2)-O-β-D-glucopyranosyl]-28-O-β-D-glucopyranoside pomolate""}]"
10.1002/hlca.200890147,"[{""compoundName"": ""3β-O-[α-L-rhamnopyranosyl-(1→2)-O-β-D-glucopyranosyl-(1→2)-O-β-D-glucopyranosyl]-28-O-β-D-glucopyranoside pomolate""}]"
10.1002/hlca.200890147,"[{""compoundName"": ""3β-O-[α-L-rhamnopyranosyl-(1→2)-O-β-D-glucopyranosyl-(1→2)-O-β-D-glucopyranosyl]-28-O-β-D-glucopyranoside pomolate""}]"
10.1002/jobm.200800093,"[{""compoundName"": ""(22E,24R)-ergosta-4,6,8(14),22-tetraen-3-one""}]"
10.1002/jobm.200800093,"[{""compoundName"": ""(22E,24R)-ergosta-4,6,8(14),22-tetraen-3-one""}]"
10.1002/jobm.200800093,"[{""compoundName"": ""(22E,24R)-ergosta-4,6,8(14),22-tetraen-3-one""}]"
10.1002/jobm.200800093,"[{""compoundName"": ""(22E,24R)-ergosta-4,6,8(14),22-tetraen-3-one""}]"
10.1002/ps.1278,"[{""compoundName"": ""20-hydroxyecdysone""}]"
10.1002/ps.1278,"[{""compoundName"": ""20-hydroxyecdysone""}]"
10.1002/ps.1278,"[{""compoundName"": ""20-hydroxyecdysone""}]"
10.1002/ps.1278,"[{""compoundName"": ""20-hydroxyecdysone""}]"
10.1002/ps.1278,"[{""compoundName"": ""20-hydroxyecdysone""}]"
10.1002/ps.1278,"[{""compoundName"": ""20-hydroxyecdysone""}]"
10.1002/ps.1278,"[{""compoundName"": ""20-hydroxyecdysone""}]"
10.1002/ps.1278,"[{""compoundName"": ""20-hydroxyecdysone""}]"
10.1002/ps.1278,"[{""compoundName"": ""20-hydroxyecdysone""}]"
10.1002/ps.1278,"[{""compoundName"": ""20-hydroxyecdysone""}]"
10.1002/ps.1278,"[{""compoundName"": ""20-hydroxyecdysone""}]"
10.1002/ps.478,"[{""compoundName"": ""Astilbin""}]"
10.1002/ptr.1249,"[{""compoundName"": ""(+)-Ouratea-catechin""}]"
10.1002/ptr.1249,"[{""compoundName"": ""Quercetin 3-O-α-L-rhamnopyranosyl (1→6)-O-[β-D-glucopyranosyl (1→3)-O-α-L-rhamnopyranosyl-(1→2)]-O-β-D-glucopyranosyl""}]"
10.1002/ptr.1249,"[{""compoundName"": ""Quercetin 3-O-α-L-rhamnopyranosyl (1→6)-O-[β-D-glucopyranosyl (1→3)-O-α-L-rhamnopyranosyl-(1→2)]-O-β-D-glucopyranosyl""}]"
10.1002/ptr.1249,"[{""compoundName"": ""Quercetin 3-O-α-L-rhamnopyranosyl (1→6)-O-[β-D-glucopyranosyl (1→3)-O-α-L-rhamnopyranosyl-(1→2)]-O-β-D-glucopyranosyl""}]"
10.1002/ptr.1249,"[{""compoundName"": ""Quercetin 3-O-α-L-rhamnopyranosyl (1→6)-O-[β-D-glucopyranosyl (1→3)-O-α-L-rhamnopyranosyl-(1→2)]-O-β-D-glucopyranosyl""}]"
10.1007/s10295-012-1165-2,"[{""compoundName"": ""1β-methoxy-3α-hydroxy-3,10β-4,5α-diepoxy-8β-isobutyroyloxygermacr-11(13)-en-6α,12-olide""}]"
10.1007/s10295-012-1165-2,"[{""compoundName"": ""1β-methoxy-3α-hydroxy-3,10β-4,5α-diepoxy-8β-isobutyroyloxygermacr-11(13)-en-6α,12-olide""}]"
10.1016/0031-9422(73)85048-4,"[{""compoundName"": ""(2S)-sakuranetin""}]"
10.1016/0031-9422(90)80024-B,"[{""compoundName"": ""2-n-Pentylquinoline""}]"
10.1016/0031-9422(90)80024-B,"[{""compoundName"": ""2-n-Pentylquinoline""}]"
10.1016/0031-9422(91)85077-D,"[{""compoundName"": ""2-Phenylethyl caffeate""}]"
10.1016/0040-4020(95)00254-6,"[{""compoundName"": ""Leptophyllin A""}]"
10.1016/0040-4020(95)00254-6,"[{""compoundName"": ""Leptophyllin A""}]"
10.1016/0040-4020(95)00254-6,"[{""compoundName"": ""Leptophyllin A""}]"
10.1016/j.biortech.2010.01.041,"[{""compoundName"": ""3,4-dihydroxybenzoic acid geranyl ester""}]"
10.1016/j.bmc.2010.12.056,"[{""compoundName"": ""Citibrasine""}]"
10.1016/j.bmc.2010.12.056,"[{""compoundName"": ""Citibrasine""}]"
10.1016/j.bmc.2010.12.056,"[{""compoundName"": ""Citibrasine""}]"
10.1016/j.bmc.2010.12.056,"[{""compoundName"": ""Citibrasine""}]"
10.1016/j.bmc.2010.12.056,"[{""compoundName"": ""Citibrasine""}]"
10.1016/j.bmc.2010.12.056,"[{""compoundName"": ""Citibrasine""}]"
10.1016/j.bmc.2010.12.056,"[{""compoundName"": ""Citibrasine""}]"
10.1016/j.bse.2006.06.007,"[{""compoundName"": ""(4R)-4,8-dihydroxy-α-tetralone""}]"
10.1016/j.bse.2006.06.007,"[{""compoundName"": ""(4R)-4,8-dihydroxy-α-tetralone""}]"
10.1016/j.cbi.2010.08.008,"[{""compoundName"": ""Casearin X""}]"
10.1016/j.cbi.2010.08.008,"[{""compoundName"": ""Casearin X""}]"
10.1016/j.cbi.2010.08.008,"[{""compoundName"": ""Casearin X""}]"
10.1016/j.cbi.2010.08.008,"[{""compoundName"": ""Casearin X""}]"
10.1016/j.jchromb.2012.07.013,"[{""compoundName"": ""[10]-gingerol""}]"
10.1016/j.jep.2007.09.020,"[{""compoundName"": ""Isocarlinoside""}]"
10.1016/j.jfca.2003.09.013,"[{""compoundName"": ""Chlorogenic acid""}]"
10.1016/j.jpba.2012.08.028,"[{""compoundName"": ""Dihydro-grandisin""}]"
10.1016/j.jphotobiol.2013.01.006,"[{""compoundName"": ""Skimmianine""}]"
10.1016/j.jphotobiol.2013.01.006,"[{""compoundName"": ""Skimmianine""}]"
10.1016/j.micres.2004.06.003,"[{""compoundName"": ""Fumiquinazoline F""}]"
