"true","restored","edge_type"
"[""10.1002/cbdv.200590016"", ""Netzahualcoyene""]","[""10.1002/cbdv.200590016"", [""Aplysamine-1""]]","doi_name"
"[""10.1002/cbdv.200590016"", ""20\u03b1-Hydroxymaytenin; 20-hydroxy-20-epi-tingenone""]","[""10.1002/cbdv.200590016"", [""Aplysamine-1""]]","doi_name"
"[""10.1002/cbdv.200590016"", ""Maytenin, Tingenone""]","[""10.1002/cbdv.200590016"", [""Aplysamine-1""]]","doi_name"
"[""10.1002/cbdv.200590016"", ""Salacin""]","[""10.1002/cbdv.200590016"", [""Aplysamine-1""]]","doi_name"
"[""10.1002/cbdv.200800342"", ""Casearin X Dialdehyde; (2R*,4aS*,5S*,7R*,8R*,8aS*)-4,4a-Diformyl-1,2,4a,5,6,7,8,8a-octahydro-5-hydroxy-7,8-dimethyl-8-[(2Z)-3-methylpenta-2,4-dien-1-yl]naphthalen-2-yl Butanoate""]","[""10.1002/cbdv.200800342"", [""Casearin X""]]","doi_name"
"[""10.1002/cbdv.200800342"", ""Casearin D; (1R*,3S*,5S*,6aR*,7R*,8R*,9S*,10S*,10aR*)-1-(Acetyloxy)-3,5,6,6a,7,8,9,10-octahydro-5,10-dihydroxy-7,8-dimethyl-7-[(2Z)-3-methylpenta-2,4-dien-1-yl]naphtho[1,8a-c]furan-3,9-diyl Dibutanoate""]","[""10.1002/cbdv.200800342"", [""Casearin X""]]","doi_name"
"[""10.1002/hlca.200890147"", ""3\u03b2-O-[\u03b1-L-rhamnopyranosyl-(1\u21922)-O-\u03b2-D-glucopyranosyl-(1\u21922)-O-\u03b2-D-glucopyranosyl]-28-O-\u03b2-D-glucopyranoside pomolate""]","[""10.1002/hlca.200890147"", [""3\u03b2-O-[\u03b1-L-rhamnopyranosyl-(1\u21922)-O-\u03b2-D-glucopyranosyl-(1\u21922)-O-\u03b2-D-glucopyranosyl]-28-O-\u03b2-D-glucopyranoside pomolate""]]","doi_name"
"[""10.1002/hlca.200890147"", ""6\u03b2-hydroxy-7-epigardoside methyl ester""]","[""10.1002/hlca.200890147"", [""3\u03b2-O-[\u03b1-L-rhamnopyranosyl-(1\u21922)-O-\u03b2-D-glucopyranosyl-(1\u21922)-O-\u03b2-D-glucopyranosyl]-28-O-\u03b2-D-glucopyranoside pomolate""]]","doi_name"
"[""10.1002/hlca.200890147"", ""Ixoside""]","[""10.1002/hlca.200890147"", [""3\u03b2-O-[\u03b1-L-rhamnopyranosyl-(1\u21922)-O-\u03b2-D-glucopyranosyl-(1\u21922)-O-\u03b2-D-glucopyranosyl]-28-O-\u03b2-D-glucopyranoside pomolate""]]","doi_name"
"[""10.1002/hlca.200890147"", ""3,4,5-trimethoxyphenyl 1-O-\u03b2-D-apiofuranosyl-(1\u21926)-O-\u03b2-D-glucopyranoside""]","[""10.1002/hlca.200890147"", [""3\u03b2-O-[\u03b1-L-rhamnopyranosyl-(1\u21922)-O-\u03b2-D-glucopyranosyl-(1\u21922)-O-\u03b2-D-glucopyranosyl]-28-O-\u03b2-D-glucopyranoside pomolate""]]","doi_name"
"[""10.1002/ps.478"", ""astilbin; Rel-(2R, 3R)-dihydroquercetin-3-O-\u00b1-L-rhamnoside""]","[""10.1002/ps.478"", [""Astilbin""]]","doi_name"
"[""10.1002/ptr.1249"", ""Ourateacatechin""]","[""10.1002/ptr.1249"", [""(+)-Ouratea-catechin""]]","doi_name"
"[""10.1002/ptr.1249"", ""(-)-Epigallocatechin""]","[""10.1002/ptr.1249"", [""(+)-Ouratea-catechin""]]","doi_name"
"[""10.1002/ptr.1249"", ""Proanthocyanidin""]","[""10.1002/ptr.1249"", [""(+)-Ouratea-catechin""]]","doi_name"
"[""10.1002/ptr.1249"", ""Quercetin 3-O-\u03b1-L-rhamnopyranosyl (1\u21926)-O-[\u03b2 -D-glucopyranosyl (1\u21923)-O-\u03b1-L-rhamnopyranosyl-(1\u21922)]-O-\u03b2 -D-glucopyranosyl""]","[""10.1002/ptr.1249"", [""(+)-Ouratea-catechin""]]","doi_name"
"[""10.1002/ptr.1249"", ""Kaempferol 3-O-\u03b1-L-rhamnopyranosyl (1\u21926)-O-[\u03b2 -D-glucopyranosyl (1\u21923)-O-\u03b1-L-rhamnopyranosyl-(1\u21922)]-O-\u03b2 -D-glucopyranosyl""]","[""10.1002/ptr.1249"", [""(+)-Ouratea-catechin""]]","doi_name"
"[""10.1016/0031-9422(73)85048-4"", ""7-Hydroxy-4',6-dimethoxyisoflavone; Afrormosin; Afromosin""]","[""10.1016/0031-9422(73)85048-4"", [""7-O-glycosylcaviunin""]]","doi_name"
"[""10.1016/0031-9422(90)80024-B"", ""2-n-Propylquinoline""]","[""10.1016/0031-9422(90)80024-B"", [""2-n-Pentylquinoline"", ""2-(1'-pentenyl)-Quinoline""]]","doi_name"
"[""10.1016/0031-9422(90)80024-B"", ""2-(3',4'-methylenedioxyphenylethyl)-Quinoline""]","[""10.1016/0031-9422(90)80024-B"", [""2-n-Pentylquinoline"", ""2-(1'-pentenyl)-Quinoline""]]","doi_name"
"[""10.1016/0031-9422(91)85077-D"", ""2-Methyl-4-hydroxy-butyl caffeoate""]","[""10.1016/0031-9422(91)85077-D"", [""2-Phenylethyl caffeate""]]","doi_name"
"[""10.1016/0040-4020(95)00254-6"", ""Canavaline""]","[""10.1016/0040-4020(95)00254-6"", [""Leptophyllin A""]]","doi_name"
"[""10.1016/0040-4020(95)00254-6"", ""(-)-Spectalinine""]","[""10.1016/0040-4020(95)00254-6"", [""Leptophyllin B""]]","doi_name"
"[""10.1016/0040-4020(95)00254-6"", ""Leptophyllin A""]","[""10.1016/0040-4020(95)00254-6"", [""Leptophyllin B""]]","doi_name"
"[""10.1016/j.biortech.2010.01.041"", ""p-hydroxybenzoic acid-geranyl ester""]","[""10.1016/j.biortech.2010.01.041"", [""3,4-dihydroxybenzoic acid geranyl ester""]]","doi_name"
"[""10.1016/j.bmc.2010.12.056"", ""3,4-dihydro-3,5,8-trihydroxy-6-methoxy-2,2,7-trimethyl-2Hpyrano[ 2,3-a]acridin-12(7H)-one""]","[""10.1016/j.bmc.2010.12.056"", [""Citibrasine""]]","doi_name"
"[""10.1016/j.bmc.2010.12.056"", ""Citrusinine-I""]","[""10.1016/j.bmc.2010.12.056"", [""Citibrasine""]]","doi_name"
"[""10.1016/j.bmc.2010.12.056"", ""Citrusinine-II""]","[""10.1016/j.bmc.2010.12.056"", [""Citibrasine""]]","doi_name"
"[""10.1016/j.bmc.2010.12.056"", ""Glycocitrine-IV""]","[""10.1016/j.bmc.2010.12.056"", [""Citibrasine""]]","doi_name"
"[""10.1016/j.bmc.2010.12.056"", ""Glycocitrine-I""]","[""10.1016/j.bmc.2010.12.056"", [""Citibrasine""]]","doi_name"
"[""10.1016/j.bmc.2010.12.056"", ""1,3,5-trihydroxy-4-methoxy-10-methyl- 2,8-bis(3-methylbut-2-enyl)acridin-9(10H)-one""]","[""10.1016/j.bmc.2010.12.056"", [""Citibrasine""]]","doi_name"
"[""10.1016/j.bmc.2010.12.056"", ""1,3,5-trihydroxy- 2,8-bis(3-methylbut-2-enyl)-10-methyl-9-acridone""]","[""10.1016/j.bmc.2010.12.056"", [""Citibrasine""]]","doi_name"
"[""10.1016/j.bse.2006.06.007"", ""(4R)-4,8-dihydroxy-\u03b1-tetralone""]","[""10.1016/j.bse.2006.06.007"", [""(4R)-4,8-dihydroxy-alpha-tetralone""]]","doi_name"
"[""10.1016/j.bse.2006.06.007"", ""(-) Cis-4-hydroxy-6-deoxyscytalone""]","[""10.1016/j.bse.2006.06.007"", [""(4R)-4,8-dihydroxy-alpha-tetralone""]]","doi_name"
"[""10.1016/j.cbi.2010.08.008"", ""Casearin L; (1R*,3S*,5S*,6aR*,7R*,8R*,9S*,10S*,10aR*)-1,10-Bis(acetyloxy)-3,5,6,6a,7,8,9,10-octahydro-9-hydroxy-5-methoxy-7,8-dimethyl-7-[(2Z)-3-methylpenta-2,4-dien-1-yl]naphtho[1,8a-c]-furan-3-yl Butanoate""]","[""10.1016/j.cbi.2010.08.008"", [""Casearin X""]]","doi_name"
"[""10.1016/j.cbi.2010.08.008"", ""Casearin O; (1R*,3S*,5S*,6aR*,7R*,8R*,9S*,10S*,10aR*)-1,10-Bis(acetyloxy)-5-methoxy-7,8-dimethyl-7-[(2Z)-3-methylpenta-2,4-dien-1-yl]-3,5,6,6a,7,8,9,10-octahydronaphtho[1,8a-c]furan-3,9-diyl Dibutanoate""]","[""10.1016/j.cbi.2010.08.008"", [""Casearin X""]]","doi_name"
"[""10.1016/j.cbi.2010.08.008"", ""(-)-Hardwickiic acid""]","[""10.1016/j.cbi.2010.08.008"", [""Casearin X""]]","doi_name"
"[""10.1016/j.cbi.2010.08.008"", ""Casearin X; (1R*,3S*,5S*,6aR*,7S*,8S*,10R*,10aR*)-1-(Acetyloxy)-3,5,6,6a,7,8,9,10-octahydro-10-hydroxy-7,8-dimethyl-7-[(2Z)-3-methylpenta-2,4-dien-1-yl]naphtho[1,8a-c]furan-3,5-diyl Dibutanoate""]","[""10.1016/j.cbi.2010.08.008"", [""Casearin X""]]","doi_name"
"[""10.1016/j.jchromb.2012.07.013"", ""[8]-gingerol""]","[""10.1016/j.jchromb.2012.07.013"", [""[10]-gingerol""]]","doi_name"
"[""10.1016/j.jep.2007.09.020"", ""Methacrylic acid""]","[""10.1016/j.jep.2007.09.020"", [""Isoschaftoside""]]","doi_name"
"[""10.1016/j.jfca.2003.09.013"", ""p-Coumaric acid""]","[""10.1016/j.jfca.2003.09.013"", [""Chlorogenic acid""]]","doi_name"
"[""10.1016/j.jpba.2012.08.028"", ""(\u2212)-Grandisin""]","[""10.1016/j.jpba.2012.08.028"", [""(\u2212)-Grandisin""]]","doi_name"
"[""10.1016/j.jphotobiol.2013.01.006"", ""Maculosidine""]","[""10.1016/j.jphotobiol.2013.01.006"", [""Maculosidine""]]","doi_name"
"[""10.1016/j.jphotobiol.2013.01.006"", ""Kokusaginine""]","[""10.1016/j.jphotobiol.2013.01.006"", [""Maculosidine""]]","doi_name"
"[""10.1016/j.micres.2004.06.003"", ""fumiquinozoline F""]","[""10.1016/j.micres.2004.06.003"", [""Fumiquinazoline F""]]","doi_name"
"[""10.1016/j.phytochem.2004.03.039"", ""Cognatine""]","[""10.1016/j.phytochem.2004.03.039"", [""Cognatine""]]","doi_name"
"[""10.1016/j.phytochem.2004.03.039"", ""Netzahualcoyondiol""]","[""10.1016/j.phytochem.2004.03.039"", [""Cognatine""]]","doi_name"
"[""10.1016/j.phytochem.2004.03.039"", ""Netzahualcoyonol""]","[""10.1016/j.phytochem.2004.03.039"", [""Cognatine""]]","doi_name"
"[""10.1016/j.phytochem.2004.03.039"", ""22\u03b2-hydroxypristimerin""]","[""10.1016/j.phytochem.2004.03.039"", [""Cognatine""]]","doi_name"
"[""10.1016/j.phytochem.2005.04.043"", ""(2'S)-2-(propan-2'-ol)-5-hydroxy-benzopyran-4-one""]","[""10.1016/j.phytochem.2005.04.043"", [""(2R)-2,3-dihydro-2-methyl-5-methoxy-benzopyran-4-one""]]","doi_name"
"[""10.1016/j.phytochem.2005.04.043"", ""2-Methyl-5-methoxy-benzopyran-4-one""]","[""10.1016/j.phytochem.2005.04.043"", [""(2'R)-2,3-dihydro-2-methyl-5-methoxy-benzopyran-4-one""]]","doi_name"
"[""10.1016/j.phytochem.2005.06.019"", ""\u03b1-L-xylopyranosyl-(4\""\u219220)-(3-O-\u03b2-D-glucopyranosyl)-1'-O-E-caffeoyl-\u03b2-D-glucopyranoside""]","[""10.1016/j.phytochem.2005.06.019"", [""1,6-di-O-caffeoyl-\u03b2-D-glucopyranose""]]","doi_name"
"[""10.1016/j.phytochem.2006.09.005"", ""2,4-Dihydroxy-6-[(1'E,3'E)-penta-1', 3'-dienyl]-benzaldehyde""]","[""10.1016/j.phytochem.2006.09.005"", [""Periconicin B""]]","doi_name"
"[""10.1016/j.phytochem.2006.09.005"", ""Periconicin B""]","[""10.1016/j.phytochem.2006.09.005"", [""Periconicin B""]]","doi_name"
"[""10.1016/j.phytochem.2008.01.006"", ""Afzelin, 3-O-\u03b1-rhamnosyl kaempferol""]","[""10.1016/j.phytochem.2008.01.006"", [""Kaempferol""]]","doi_name"
"[""10.1016/j.phytochem.2008.01.006"", ""Kaempferol""]","[""10.1016/j.phytochem.2008.01.006"", [""Kaempferol-3-O-(3''-O-4'''-methylgallate-\u03b1-L-rhamnoside)""]]","doi_name"
"[""10.1016/j.phytochem.2008.01.006"", ""Pterogynoside; Kaempferol-3-O-(3''-O-4'''-methylgallate-\u03b1-L-rhamnoside)""]","[""10.1016/j.phytochem.2008.01.006"", [""Kaempferol""]]","doi_name"
"[""10.1016/j.phytochem.2008.01.006"", ""Kaempferitrin""]","[""10.1016/j.phytochem.2008.01.006"", [""Kaempferol""]]","doi_name"
"[""10.1016/j.phytochem.2009.08.013"", ""Methyl angolensate""]","[""10.1016/j.phytochem.2009.08.013"", [""Methyl angolensate""]]","doi_name"
"[""10.1016/j.phytol.2010.11.003"", ""(3R,4R)-4,7-Dihydroxymellein""]","[""10.1016/j.phytol.2010.11.003"", [""(3R,4R)-4,7-dihydroxymellein""]]","doi_name"
"[""10.1016/j.phytol.2010.11.003"", ""(R)-7-Hydroxymellein""]","[""10.1016/j.phytol.2010.11.003"", [""(3R,4R)-4,7-dihydroxymellein""]]","doi_name"
"[""10.1016/j.phytol.2010.11.003"", ""(3R,4R)-3,4-Dihydro-4,6-dihydroxy-3-methyl-1-oxo-1H-isochromene-5-carboxylic acid""]","[""10.1016/j.phytol.2010.11.003"", [""(3R,4R)-4,7-dihydroxymellein""]]","doi_name"
"[""10.1016/j.tiv.2008.01.003"", ""Pristimerin; 20\u03b1-3-hydroxy-2-oxo-24-nor-friedela-1-10,3,5,7-tetraen-carboxylic acid-29-methylester""]","[""10.1016/j.tiv.2008.01.003"", [""Pristimerin""]]","doi_name"
"[""10.1016/S0014-5793(02)02700-X"", ""Chalepin""]","[""10.1016/S0014-5793(02)02700-X"", [""Chalepin""]]","doi_name"
"[""10.1016/S0031-9422(00)00225-9"", ""5-[3''-(\u03b2-D-glucopyranosyloxy)propyl]-7-methoxy-2-(3',4'-methylenedioxyphenyl)benzofuran""]","[""10.1016/S0031-9422(00)00225-9"", [""5-(3'-hydroxypropyl)-7-methoxy-2-(3',4'-dimethoxyphenyl)benzofuran""]]","doi_name"
"[""10.1016/S0031-9422(00)00225-9"", ""5-(3'' -Hydroxypropyl)-7-methoxy-2-(3',4' -methyl-enedioxyphenyl)benzofuran""]","[""10.1016/S0031-9422(00)00225-9"", [""5-(3'-hydroxypropyl)-7-methoxy-2-(3',4'-dimethoxyphenyl)benzofuran""]]","doi_name"
"[""10.1016/S0031-9422(00)00225-9"", ""5-[3''-(\u03b2-D-glucopyranosyloxy)propyl]-7-methoxy-2-(3',4'-dimethoxyphenyl)benzofuran""]","[""10.1016/S0031-9422(00)00225-9"", [""5-(3'-hydroxypropyl)-7-methoxy-2-(3',4'-dimethoxyphenyl)benzofuran""]]","doi_name"
"[""10.1016/S0031-9422(00)00248-X"", ""2'-hydroxy-3,4,4'-trimethoxy-5',6'-(2'',2''-dimethylpyrano)-chalcone""]","[""10.1016/S0031-9422(00)00248-X"", [""2'-Hydroxy-3,4,4',5-tetramethoxy-5',6'-(2'',2''-dimethylpyrano)chalcone"", ""2'-Hydroxy-3,4,4'-trimethoxy-5',6'-(2'',2''-dimethylpyrano)chalcone""]]","doi_name"
"[""10.1016/S0031-9422(00)00248-X"", ""3',4'-methylenedioxy-5,5',6,7-tetramethoxyflavone""]","[""10.1016/S0031-9422(00)00248-X"", [""2'-Hydroxy-3,4,4',5-tetramethoxy-5',6'-(2'',2''-dimethylpyrano)chalcone"", ""2'-Hydroxy-3,4,4'-trimethoxy-5',6'-(2'',2''-dimethylpyrano)chalcone""]]","doi_name"
"[""10.1016/S0031-9422(00)00248-X"", ""3',4'-methylenedioxy-5,6,7- trimethoxyflavone""]","[""10.1016/S0031-9422(00)00248-X"", [""2'-Hydroxy-3,4,4',5-tetramethoxy-5',6'-(2'',2''-dimethylpyrano)chalcone"", ""2'-Hydroxy-3,4,4'-trimethoxy-5',6'-(2'',2''-dimethylpyrano)chalcone""]]","doi_name"
"[""10.1016/S0031-9422(00)00323-X"", ""Picramnioside F""]","[""10.1016/S0031-9422(00)00323-X"", [""Mayoside C""]]","doi_name"
"[""10.1016/S0031-9422(00)00477-5"", ""7-Methyl-sargachromenol; 2,7,8-Trimethyl-2-[(3-E,7-Z)-4,12-dimethyl-8-carboxyl-3,7,11-tridecatrienyl]-3-chromen-6-ol, \u03b2-caroteno""]","[""10.1016/S0031-9422(00)00477-5"", [""6'-O-Demethyl-4-dehydroxy-3'-deoxypaclitaxel""]]","doi_name"
